伙伴等级,需求经验,伙伴升级费用,获得点数
140,13478400,0,30
141,13574400,0,31
142,13670400,0,31
143,13766400,0,31
144,13862400,0,31
145,13958400,0,31
146,14054400,0,32
147,14150400,0,32
148,14246400,0,32
149,14342400,0,32
150,14438000,0,32
151,14534000,0,33
152,14630000,0,33
153,14726000,0,33
154,14822000,0,33
155,14918000,0,33
156,15014000,0,34
157,15110000,0,34
158,15206000,0,34
159,15302000,0,34
160,15398000,0,34
161,15494000,0,35
162,15590000,0,35
163,15686000,0,35
164,15782000,0,35
165,15878000,0,35
166,15974000,0,36
167,16070000,0,36
168,16166000,0,36
169,16262000,0,36
170,16358000,0,36
171,16454000,0,37
172,16550000,0,37
173,16646000,0,37
174,16742000,0,37
175,16838000,0,37
176,16934000,0,38
177,17030000,0,38
178,17126000,0,38
179,17222000,0,38
180,17318000,0,38
181,17414000,0,39
182,17510000,0,39
183,17606000,0,39
184,17702000,0,39
185,17798000,0,39
186,17894000,0,40
187,17990000,0,40
188,18086000,0,40
189,18182000,0,40
190,18278000,0,40
191,18374000,0,41
192,18470000,0,41
193,18566000,0,41
194,18662000,0,41
195,18758000,0,41
196,18854000,0,42
197,18950000,0,42
198,19046000,0,42
199,19142000,0,42
200,19238000,0,42
201,19815000,0,43
202,20409000,0,43
203,21022000,0,43
204,21652000,0,43
205,22302000,0,43
206,22971000,0,44
207,23660000,0,44
208,24370000,0,44
209,25101000,0,44
210,25854000,0,44
211,26629000,0,45
212,27428000,0,45
213,28251000,0,45
214,29098000,0,45
215,29971000,0,45
216,30870000,0,46
217,31797000,0,46
218,32750000,0,46
219,33733000,0,46
220,34745000,0,46
221,35787000,0,47
222,36861000,0,47
223,37967000,0,47
224,39106000,0,47
225,40279000,0,47
226,41487000,0,48
227,42732000,0,48
228,44014000,0,48
229,45334000,0,48
230,46694000,0,48
231,48095000,0,49
232,49538000,0,49
233,51024000,0,49
234,52554000,0,49
235,54131000,0,49
236,55755000,0,50
237,57427000,0,50
238,59150000,0,50
239,60925000,0,50
240,62752000,0,50
241,64635000,0,51
242,66574000,0,51
243,68571000,0,51
244,70628000,0,51
245,72747000,0,51
246,74929000,0,52
247,77177000,0,52
248,79493000,0,52
249,81877000,0,52
250,84334000,0,52
251,86020000,0,53
252,87741000,0,53
253,89495000,0,53
254,91285000,0,53
255,93111000,0,53
256,94973000,0,54
257,96873000,0,54
258,98810000,0,54
259,100786000,0,54
260,102802000,0,54
261,104858000,0,54
262,106955000,0,54
263,109094000,0,54
264,111276000,0,54
265,113501000,0,54
266,115771000,0,54
267,118087000,0,55
268,120448000,0,55
269,122857000,0,55
270,125314000,0,55
271,127821000,0,55
272,130377000,0,55
273,132985000,0,55
274,135644000,0,55
275,138357000,0,55
276,141124000,0,55
277,143947000,0,55
278,146825000,0,55
279,149762000,0,55
280,152757000,0,55
281,155812000,0,55
282,158928000,0,55
283,162107000,0,56
284,165349000,0,56
285,168656000,0,56
286,172029000,0,56
287,175470000,0,56
288,178979000,0,56
289,182558000,0,56
290,186210000,0,56
291,189934000,0,56
292,193732000,0,56
293,197607000,0,56
294,201559000,0,56
295,205590000,0,56
296,209702000,0,56
297,213896000,0,57
298,218174000,0,57
299,222537000,0,57
300,226988000,0,57
