ID,出现概率,类型,随机次数,掉落组1
9,6800,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
10,6800,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
11,6800,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
12,6800,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
13,6800,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
14,6800,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
15,6800,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
16,6800,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
17,6800,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
18,6800,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
19,6800,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
20,6800,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
21,6800,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
500,3000,0,1,500:404:1:1;500:405:1:1;500:406:1:1;100:420:1:1;100:422:1:1;100:440:1:1;
501,4100,0,1,2000:1501:1:1;2000:2001:1:1;2000:3001:1:1;2000:4001:1:1;2000:5001:1:1;2000:6001:1:1;2000:7001:1:1;2000:8001:1:1;2000:9001:1:1;
502,10000,0,1,2000:1001:1:1;2000:1501:1:1;2000:2001:1:1;2000:3001:1:1;2000:4001:1:1;
503,10000,0,3,2000:1001:1:1;2000:1501:1:1;2000:2001:1:1;2000:3001:1:1;2000:4001:1:1;2000:5001:1:1;2000:6001:1:1;2000:7001:1:1;2000:8001:1:1;2000:9001:1:1;
504,10000,0,1,2000:1001:1:1;2000:1501:1:1;2000:2001:1:1;2000:3001:1:1;2000:4001:1:1;2000:5001:1:1;2000:6001:1:1;2000:7001:1:1;2000:8001:1:1;2000:9001:1:1;
505,10000,0,3,2000:1001:1:1;2000:1501:1:1;2000:2001:1:1;2000:3001:1:1;2000:4001:1:1;2000:5001:1:1;2000:6001:1:1;2000:7001:1:1;2000:8001:1:1;2000:9001:1:1;
506,10000,0,1,2000:1001:1:1;2000:1501:1:1;2000:2001:1:1;2000:3001:1:1;2000:4001:1:1;2000:5001:1:1;2000:6001:1:1;2000:7001:1:1;2000:8001:1:1;2000:9001:1:1;
507,10000,0,3,2000:1001:1:1;2000:1501:1:1;2000:2001:1:1;2000:3001:1:1;2000:4001:1:1;2000:5001:1:1;2000:6001:1:1;2000:7001:1:1;2000:8001:1:1;2000:9001:1:1;
508,10000,0,1,2000:1001:1:1;2000:1501:1:1;2000:2001:1:1;2000:3001:1:1;2000:4001:1:1;2000:5001:1:1;2000:6001:1:1;2000:7001:1:1;2000:8001:1:1;2000:9001:1:1;
509,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
510,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
511,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
512,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
513,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
514,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
515,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
516,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
517,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
518,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
519,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
520,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
521,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
522,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
523,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
524,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
525,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
526,5000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
4000,10000,0,1,10000:495:1:1;5000:496:1:1;1000:497:1:1;100:498:1:1;
4001,10000,1,1,10000:19:20000:20000
4002,10000,1,1,10000:19:100000:100000
4003,10000,1,1,10000:19:200000:200000
4004,10000,1,1,10000:19:1000000:1000000
4010,10000,1,1,10000:503:5:5;10000:110:1:1;10000:19:20000:20000;10000:1:20000:20000
4011,10000,1,1,10000:2:100:100;10000:661:1:1
4012,10000,1,1,10000:2:200:200;10000:662:1:1
4013,10000,1,1,10000:2:400:400;10000:663:1:1
4014,10000,1,1,10000:2:600:600;10000:664:1:1
4015,10000,1,1,10000:2:600:600;10000:665:1:1
4016,10000,1,1,10000:2:800:800;10000:666:1:1
4017,10000,1,1,10000:2:800:800;10000:667:1:1
4018,10000,1,1,10000:2:800:800;10000:668:1:1
4019,10000,1,1,10000:2:2000:2000;10000:669:1:1
4020,10000,1,1,10000:2:5000:5000;10000:670:1:1
4021,10000,1,1,10000:2:10000:10000;10000:671:1:1
4022,10000,1,1,10000:2:20000:20000;10000:672:1:1
4023,10000,1,1,10000:2:35000:35000;10000:673:1:1
4024,10000,1,1,10000:2:60000:60000;10000:13103:1:1;10000:404:30:30;10000:405:30:30;10000:406:30:30
4025,10000,1,1,10000:2:100:100;10000:15002:1:1
4026,10000,1,1,10000:2:200:200;10000:15003:1:1
4027,10000,1,1,10000:2:300:300;10000:15004:1:1
4028,10000,1,1,10000:2:500:500;10000:15005:1:1
4029,10000,1,1,10000:2:750:750;10000:15006:1:1
4030,10000,1,1,10000:2:950:950;10000:15007:1:1
4031,10000,1,1,10000:2:1200:1200;10000:15008:1:1
4032,10000,1,1,10000:2:1500:1500;10000:15009:1:1
4033,10000,1,1,10000:2:2000:2000;10000:15010:1:1
4034,10000,1,1,10000:2:2500:2500
4035,10000,1,1,10000:2:2500:2500;10000:15012:1:1
4036,10000,1,1,10000:2:5000:5000;10000:15013:1:1
4037,10000,1,1,10000:2:10000:10000;10000:15014:1:1
4038,10000,1,1,10000:2:17500:17500;10000:15015:1:1
4039,10000,1,1,10000:2:30000:30000;10000:15016:1:1
4040,10000,1,1,10000:2:60000:60000;10000:15017:1:1
4041,10000,1,1,10000:2:110000:110000;10000:404:30:30;10000:405:30:30;10000:406:30:30;10000:13103:1:1
4042,10000,1,1,10000:45:1000:1000
4043,10000,1,1,10000:45:10000:10000
4044,10000,1,1,10000:45:100000:100000
4045,10000,1,1,10000:2:2500:2500;10000:15051:1:1
4046,10000,1,1,10000:2:5000:5000;10000:15052:1:1
4047,10000,1,1,10000:2:10000:10000;10000:15053:1:1
4048,10000,1,1,10000:2:17000:17000;10000:15054:1:1
4049,10000,1,1,10000:2:28000:28000;10000:15055:1:1
4050,10000,1,1,10000:2:60000:60000;10000:15056:1:1
4051,10000,1,1,10000:2:110000:110000;10000:404:90:90;10000:405:90:90;10000:406:90:90;10000:13103:1:1
4101,10000,0,1,2000:1001:1:1;2000:1501:1:1;2000:2001:1:1;2000:3001:1:1;2000:4001:1:1;10000:5001:1:1;10000:6001:1:1;10000:7001:1:1;10000:8001:1:1;10000:9001:1:1;
4102,10000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;10000:5002:1:1;10000:6002:1:1;10000:7002:1:1;10000:8002:1:1;10000:9002:1:1;
4103,10000,0,1,2000:1003:1:1;2000:1503:1:1;2000:2003:1:1;2000:3003:1:1;2000:4003:1:1;10000:5003:1:1;10000:6003:1:1;10000:7003:1:1;10000:8003:1:1;10000:9003:1:1;
4104,10000,0,1,2000:1004:1:1;2000:1504:1:1;2000:2004:1:1;2000:3004:1:1;2000:4004:1:1;10000:5004:1:1;10000:6004:1:1;10000:7004:1:1;10000:8004:1:1;10000:9004:1:1;
4105,10000,0,1,2000:1005:1:1;2000:1505:1:1;2000:2005:1:1;2000:3005:1:1;2000:4005:1:1;10000:5005:1:1;10000:6005:1:1;10000:7005:1:1;10000:8005:1:1;10000:9005:1:1;
4106,10000,0,1,2000:1006:1:1;2000:1506:1:1;2000:2006:1:1;2000:3006:1:1;2000:4006:1:1;10000:5006:1:1;10000:6006:1:1;10000:7006:1:1;10000:8006:1:1;10000:9006:1:1;
4107,10000,0,1,2000:1007:1:1;2000:1507:1:1;2000:2007:1:1;2000:3007:1:1;2000:4007:1:1;10000:5007:1:1;10000:6007:1:1;10000:7007:1:1;10000:8007:1:1;10000:9007:1:1;
4108,10000,0,1,2000:1008:1:1;2000:1508:1:1;2000:2008:1:1;2000:3008:1:1;2000:4008:1:1;10000:5008:1:1;10000:6008:1:1;10000:7008:1:1;10000:8008:1:1;10000:9008:1:1;
4109,10000,0,1,2000:1009:1:1;2000:1509:1:1;2000:2009:1:1;2000:3009:1:1;2000:4009:1:1;10000:5009:1:1;10000:6009:1:1;10000:7009:1:1;10000:8009:1:1;10000:9009:1:1;
4110,10000,0,1,2000:1010:1:1;2000:1510:1:1;2000:2010:1:1;2000:3010:1:1;2000:4010:1:1;10000:5010:1:1;10000:6010:1:1;10000:7010:1:1;10000:8010:1:1;10000:9010:1:1;
4111,10000,0,1,2000:1011:1:1;2000:1511:1:1;2000:2011:1:1;2000:3011:1:1;2000:4011:1:1;10000:5011:1:1;10000:6011:1:1;10000:7011:1:1;10000:8011:1:1;10000:9011:1:1;
4112,10000,0,1,2000:1012:1:1;2000:1512:1:1;2000:2012:1:1;2000:3012:1:1;2000:4012:1:1;10000:5012:1:1;10000:6012:1:1;10000:7012:1:1;10000:8012:1:1;10000:9012:1:1;
4113,10000,0,1,2000:1013:1:1;2000:1513:1:1;2000:2013:1:1;2000:3013:1:1;2000:4013:1:1;10000:5013:1:1;10000:6013:1:1;10000:7013:1:1;10000:8013:1:1;10000:9013:1:1;
4114,10000,0,1,2000:1014:1:1;2000:1514:1:1;2000:2014:1:1;2000:3014:1:1;2000:4014:1:1;10000:5014:1:1;10000:6014:1:1;10000:7014:1:1;10000:8014:1:1;10000:9014:1:1;
4115,10000,0,1,2000:1015:1:1;2000:1515:1:1;2000:2015:1:1;2000:3015:1:1;2000:4015:1:1;10000:5015:1:1;10000:6015:1:1;10000:7015:1:1;10000:8015:1:1;10000:9015:1:1;
4151,10000,0,1,2000:1001:1:1;2000:1501:1:1;2000:2001:1:1;2000:3001:1:1;2000:4001:1:1;
4152,10000,0,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;
4153,10000,0,1,2000:1003:1:1;2000:1503:1:1;2000:2003:1:1;2000:3003:1:1;2000:4003:1:1;
4154,10000,0,1,2000:1004:1:1;2000:1504:1:1;2000:2004:1:1;2000:3004:1:1;2000:4004:1:1;
4155,10000,0,1,2000:1005:1:1;2000:1505:1:1;2000:2005:1:1;2000:3005:1:1;2000:4005:1:1;
4156,10000,0,1,2000:1006:1:1;2000:1506:1:1;2000:2006:1:1;2000:3006:1:1;2000:4006:1:1;
4157,10000,0,1,2000:1007:1:1;2000:1507:1:1;2000:2007:1:1;2000:3007:1:1;2000:4007:1:1;
4158,10000,0,1,2000:1008:1:1;2000:1508:1:1;2000:2008:1:1;2000:3008:1:1;2000:4008:1:1;
4159,10000,0,1,2000:1009:1:1;2000:1509:1:1;2000:2009:1:1;2000:3009:1:1;2000:4009:1:1;
4160,10000,0,1,2000:1010:1:1;2000:1510:1:1;2000:2010:1:1;2000:3010:1:1;2000:4010:1:1;
4161,10000,0,1,2000:1011:1:1;2000:1511:1:1;2000:2011:1:1;2000:3011:1:1;2000:4011:1:1;
4162,10000,0,1,2000:1012:1:1;2000:1512:1:1;2000:2012:1:1;2000:3012:1:1;2000:4012:1:1;
4163,10000,0,1,2000:1013:1:1;2000:1513:1:1;2000:2013:1:1;2000:3013:1:1;2000:4013:1:1;
4164,10000,0,1,2000:1014:1:1;2000:1514:1:1;2000:2014:1:1;2000:3014:1:1;2000:4014:1:1;
4165,10000,0,1,2000:1015:1:1;2000:1515:1:1;2000:2015:1:1;2000:3015:1:1;2000:4015:1:1;
4201,10000,1,1,2000:1001:1:1;2000:1501:1:1;2000:2001:1:1;2000:3001:1:1;2000:4001:1:1;
4202,10000,1,1,2000:1002:1:1;2000:1502:1:1;2000:2002:1:1;2000:3002:1:1;2000:4002:1:1;
4203,10000,1,1,2000:1003:1:1;2000:1503:1:1;2000:2003:1:1;2000:3003:1:1;2000:4003:1:1;
4204,10000,1,1,2000:1004:1:1;2000:1504:1:1;2000:2004:1:1;2000:3004:1:1;2000:4004:1:1;
4205,10000,1,1,2000:1005:1:1;2000:1505:1:1;2000:2005:1:1;2000:3005:1:1;2000:4005:1:1;
4206,10000,1,1,2000:1006:1:1;2000:1506:1:1;2000:2006:1:1;2000:3006:1:1;2000:4006:1:1;
4207,10000,1,1,2000:1007:1:1;2000:1507:1:1;2000:2007:1:1;2000:3007:1:1;2000:4007:1:1;
4208,10000,1,1,2000:1008:1:1;2000:1508:1:1;2000:2008:1:1;2000:3008:1:1;2000:4008:1:1;
4209,10000,1,1,2000:1009:1:1;2000:1509:1:1;2000:2009:1:1;2000:3009:1:1;2000:4009:1:1;
4210,10000,1,1,2000:1010:1:1;2000:1510:1:1;2000:2010:1:1;2000:3010:1:1;2000:4010:1:1;
4211,10000,1,1,2000:1011:1:1;2000:1511:1:1;2000:2011:1:1;2000:3011:1:1;2000:4011:1:1;
4212,10000,1,1,2000:1012:1:1;2000:1512:1:1;2000:2012:1:1;2000:3012:1:1;2000:4012:1:1;
4213,10000,1,1,2000:1013:1:1;2000:1513:1:1;2000:2013:1:1;2000:3013:1:1;2000:4013:1:1;
4214,10000,1,1,2000:1014:1:1;2000:1514:1:1;2000:2014:1:1;2000:3014:1:1;2000:4014:1:1;
4215,10000,1,1,2000:1015:1:1;2000:1515:1:1;2000:2015:1:1;2000:3015:1:1;2000:4015:1:1;
4901,10000,0,1,1000:146:1:1;1000:147:1:1;500:148:1:1;25:149:1:1;
4902,10000,0,1,1000:146:1:1;1000:147:1:1;1000:148:1:1;1200:149:1:1;2200:530:1:1;1500:601:1:1;1500:602:1:1;1000:603:1:1;100:604:1:1;
4903,10000,0,1,7000:157:1:1;7000:156:1:1;10000:155:1:1;10000:154:1:1;
4911,10000,0,1,10000:215:1:1;10000:216:1:1;7500:217:1:1;10000:218:1:1;
4990,2000,0,1,500:14015:1:1;500:14019:1:1;500:14027:1:1;500:14023:1:1;500:14005:1:1;500:14013:1:1;500:14009:1:1;500:14007:1:1;500:14021:1:1;500:14001:1:1;500:14003:1:1;300:14036:1:1;300:14078:1:1;300:14105:1:1;300:14111:1:1;300:14141:1:1;300:14063:1:1;100:14090:1:1;100:14042:1:1;100:14075:1:1;100:14051:1:1;100:14060:1:1;100:14072:1:1;
4991,10000,0,1,500:14015:1:1;500:14019:1:1;500:14027:1:1;500:14023:1:1;500:14005:1:1;500:14013:1:1;500:14009:1:1;500:14007:1:1;500:14021:1:1;500:14001:1:1;500:14003:1:1;300:14036:1:1;300:14078:1:1;300:14105:1:1;300:14111:1:1;300:14141:1:1;300:14063:1:1;100:14090:1:1;100:14042:1:1;100:14075:1:1;100:14051:1:1;100:14060:1:1;100:14072:1:1;
4992,10000,0,1,500:14016:1:1;500:14020:1:1;500:14028:1:1;500:14024:1:1;500:14006:1:1;500:14014:1:1;500:14010:1:1;500:14008:1:1;500:14022:1:1;500:14002:1:1;500:14004:1:1;300:14037:1:1;300:14079:1:1;300:14106:1:1;300:14112:1:1;300:14142:1:1;300:14064:1:1;100:14091:1:1;100:14043:1:1;100:14076:1:1;100:14052:1:1;100:14061:1:1;100:14073:1:1;
4993,10000,0,1,300:14038:1:1;300:14080:1:1;300:14107:1:1;300:14113:1:1;300:14143:1:1;300:14065:1:1;100:14092:1:1;100:14044:1:1;100:14077:1:1;100:14053:1:1;100:14062:1:1;100:14074:1:1;
4994,10000,0,1,10000:250:1:1;10000:251:1:1;10000:252:1:1;10000:253:1:1;
5001,10000,1,1,500:12235:1:1;2000:100:30:30;2000:101:30:30
5002,10000,1,1,100:12235:1:1;2000:100:10:12;2000:101:10:12
5003,10000,1,1,2000:100:5:8;2000:101:5:8
5004,10000,1,1,500:12239:1:1;2000:100:30:30;2000:101:30:30
5005,10000,1,1,100:12239:1:1;2000:100:10:12;2000:101:10:12
5006,10000,1,1,500:12241:1:1;2000:100:30:30;2000:101:30:30
5007,10000,1,1,100:12241:1:1;2000:100:10:12;2000:101:10:12
5010,10000,0,1,100:12101:1:1;100:12102:1:1;100:12103:1:1;100:12104:1:1;100:12105:1:1;100:12106:1:1;100:12107:1:1;100:12108:1:1;100:12109:1:1;100:12110:1:1;100:12111:1:1;100:12112:1:1;
5011,10000,0,1,100:12113:1:1;100:12114:1:1;100:12115:1:1;100:12116:1:1;100:12117:1:1;100:12118:1:1;100:12119:1:1;100:12120:1:1;100:12121:1:1;100:12122:1:1;100:12123:1:1;100:12124:1:1;100:12125:1:1;100:12126:1:1;100:12127:1:1;100:12128:1:1;100:12129:1:1;100:12130:1:1;
5012,10000,0,1,10:12134:1:1:10:12142:1:1:100:12136:1:1:100:12140:1:1:100:12148:1:1:100:12150:1:1:100:12151:1:1:100:12155:1:1:100:12158:1:1:100:12131:1:1:100:12161:1:1:100:12169:1:1:100:12170:1:1:100:12175:1:1:100:12173:1:1:100:12149:1:1:100:12176:1:1:100:12177:1:1:100:12179:1:1:100:12181:1:1;100:12182:1:1;100:12183:1:1;100:12185:1:1;100:12156:1:1;100:12157:1:1;100:12190:1:1;100:12188:1:1;
5013,10000,0,1,300:12101:1:1;300:12102:1:1;300:12103:1:1;300:12104:1:1;300:12105:1:1;300:12106:1:1;300:12107:1:1;300:12108:1:1;300:12109:1:1;300:12110:1:1;300:12111:1:1;300:12112:1:1;100:12113:1:1;100:12114:1:1;100:12115:1:1;100:12116:1:1;100:12117:1:1;100:12118:1:1;100:12119:1:1;100:12120:1:1;100:12123:1:1;100:12124:1:1;100:12125:1:1;100:12126:1:1;100:12127:1:1;100:12128:1:1;100:12129:1:1;100:12130:1:1;12:12135:1:1;12:12142:1:1;5:12146:1:1;12:12151:1:1;12:12156:1:1;
5020,1400,0,1,100:12101:1:1;100:12102:1:1;100:12103:1:1;100:12104:1:1;100:12105:1:1;100:12106:1:1;100:12107:1:1;100:12108:1:1;100:12109:1:1;100:12110:1:1;100:12111:1:1;100:12112:1:1;
5021,10000,0,1,100:12113:1:1;100:12114:1:1;100:12115:1:1;100:12116:1:1;100:12117:1:1;100:12118:1:1;100:12119:1:1;100:12120:1:1;100:12121:1:1;100:12122:1:1;100:12123:1:1;100:12124:1:1;100:12125:1:1;100:12126:1:1;100:12127:1:1;100:12128:1:1;100:12129:1:1;100:12130:1:1;
5022,10000,0,1,100:12131:1:1;100:12132:1:1;100:12133:1:1;100:12134:1:1;100:12135:1:1;100:12136:1:1;
5023,10000,0,1,300:12101:1:1;300:12102:1:1;300:12103:1:1;300:12104:1:1;300:12105:1:1;300:12106:1:1;300:12107:1:1;300:12108:1:1;300:12109:1:1;300:12110:1:1;300:12111:1:1;300:12112:1:1;100:12113:1:1;100:12114:1:1;100:12115:1:1;100:12116:1:1;100:12117:1:1;100:12118:1:1;100:12119:1:1;100:12120:1:1;100:12123:1:1;100:12124:1:1;100:12125:1:1;100:12126:1:1;100:12127:1:1;100:12128:1:1;100:12129:1:1;100:12130:1:1;12:12135:1:1;12:12142:1:1;5:12146:1:1;12:12151:1:1;12:12156:1:1;
5030,10000,0,1,2000:801:1:1;2000:802:1:1;2000:803:1:1;2000:804:1:1;2000:805:1:1;2000:806:1:1;2000:807:1:1;2000:808:1:1;2000:809:1:1;
5031,10000,0,1,2000:810:1:1;2000:811:1:1;2000:812:1:1;2000:813:1:1;2000:814:1:1;2000:815:1:1;2000:816:1:1;2000:817:1:1;2000:818:1:1;2000:819:1:1;2000:820:1:1;2000:821:1:1;2000:822:1:1;
5032,10000,0,1,2000:823:1:1;2000:832:1:1;2000:835:1:1;2000:839:1:1;2000:842:1:1;2000:843:1:1;20:845:1:1;2000:847:1:1;
5033,10000,1,1,10000:26:300:300;10000:2:300:300;10000:41:1:1
5034,10000,1,1,10000:26:980:980;10000:2:980:980;10000:42:1:1
5035,10000,1,1,10000:493:100:100;10000:498:30:30;10000:494:300:300
5036,10000,0,1,100:15032:1:1;10000:15036:1:1
5101,10000,1,1,10000:127:1:1;10000:100:5:5;10000:110:2:2;10000:604:1:1;10000:532:1:1
5102,10000,1,1,10000:127:1:1;10000:100:5:5;10000:110:2:2;10000:604:1:1;10000:533:1:1
5103,10000,1,1,10000:13002:1:1;10000:100:5:5;10000:110:2:2;10000:12840:5:5;10000:534:1:1
5104,10000,1,1,10000:261:1:1;10000:12861:3:3;10000:100:5:5;10000:110:2:2;10000:12840:5:5;10000:535:1:1
5105,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:2:2;10000:12840:5:5;10000:536:1:1
5106,10000,1,1,10000:13003:1:1;10000:100:5:5;10000:110:2:2;10000:12840:5:5;10000:537:1:1
5107,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:2:2;10000:12840:5:5;10000:538:1:1
5108,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:2:2;10000:12840:5:5;10000:539:1:1
5109,10000,1,1,10000:13004:1:1;10000:100:5:5;10000:110:2:2;10000:12840:5:5;10000:540:1:1
