固定ID,SP消耗,技能ID,技能等级
11027044,5,11027,44
11027045,5,11027,45
11027046,5,11027,46
11027047,6,11027,47
11027048,6,11027,48
11027049,6,11027,49
11027050,6,11027,50
11027051,6,11027,51
11027052,6,11027,52
11027053,6,11027,53
11027054,6,11027,54
11027055,6,11027,55
11027056,7,11027,56
11027057,7,11027,57
11027058,7,11027,58
11027059,7,11027,59
11027060,7,11027,60
11027061,7,11027,61
11027062,7,11027,62
11027063,7,11027,63
11027064,7,11027,64
11027065,8,11027,65
11027066,8,11027,66
11027067,8,11027,67
11027068,8,11027,68
11027069,8,11027,69
11027070,8,11027,70
11027071,8,11027,71
11027072,8,11027,72
11027073,8,11027,73
11027074,9,11027,74
11027075,9,11027,75
11027076,9,11027,76
11027077,9,11027,77
11027078,9,11027,78
11027079,9,11027,79
11027080,9,11027,80
11027081,9,11027,81
11027082,9,11027,82
11027083,10,11027,83
11027084,10,11027,84
11027085,10,11027,85
11027086,10,11027,86
11027087,10,11027,87
11027088,10,11027,88
11027089,10,11027,89
11027090,10,11027,90
11027091,10,11027,91
11027092,11,11027,92
11027093,11,11027,93
11027094,11,11027,94
11027095,11,11027,95
11027096,11,11027,96
11027097,11,11027,97
11027098,11,11027,98
11027099,11,11027,99
11027100,11,11027,100
11028001,2,11028,1
11028002,2,11028,2
11028003,2,11028,3
11028004,2,11028,4
11028005,2,11028,5
11028006,2,11028,6
11028007,2,11028,7
11028008,2,11028,8
11028009,2,11028,9
11028010,2,11028,10
11028011,3,11028,11
11028012,3,11028,12
11028013,3,11028,13
11028014,3,11028,14
11028015,3,11028,15
11028016,3,11028,16
11028017,3,11028,17
11028018,3,11028,18
11028019,3,11028,19
11028020,4,11028,20
11028021,4,11028,21
11028022,4,11028,22
11028023,4,11028,23
11028024,4,11028,24
11028025,4,11028,25
11028026,4,11028,26
11028027,4,11028,27
11028028,4,11028,28
11028029,5,11028,29
11028030,5,11028,30
11028031,5,11028,31
11028032,5,11028,32
11028033,5,11028,33
11028034,5,11028,34
11028035,5,11028,35
11028036,5,11028,36
11028037,5,11028,37
11028038,6,11028,38
11028039,6,11028,39
11028040,6,11028,40
11028041,6,11028,41
11028042,6,11028,42
11028043,6,11028,43
11028044,6,11028,44
11028045,6,11028,45
11028046,6,11028,46
11028047,7,11028,47
11028048,7,11028,48
11028049,7,11028,49
11028050,7,11028,50
11028051,7,11028,51
11028052,7,11028,52
11028053,7,11028,53
11028054,7,11028,54
11028055,7,11028,55
11028056,8,11028,56
11028057,8,11028,57
11028058,8,11028,58
11028059,8,11028,59
11028060,8,11028,60
11028061,8,11028,61
11028062,8,11028,62
11028063,8,11028,63
11028064,8,11028,64
11028065,9,11028,65
11028066,9,11028,66
11028067,9,11028,67
11028068,9,11028,68
11028069,9,11028,69
11028070,9,11028,70
11028071,9,11028,71
11028072,9,11028,72
11028073,9,11028,73
11028074,10,11028,74
11028075,10,11028,75
11028076,10,11028,76
11028077,10,11028,77
11028078,10,11028,78
11028079,10,11028,79
11028080,10,11028,80
11028081,10,11028,81
11028082,10,11028,82
11028083,11,11028,83
11028084,11,11028,84
11028085,11,11028,85
11028086,11,11028,86
11028087,11,11028,87
11028088,11,11028,88
11028089,11,11028,89
11028090,11,11028,90
11028091,11,11028,91
11028092,12,11028,92
11028093,12,11028,93
11028094,12,11028,94
11028095,12,11028,95
11028096,12,11028,96
11028097,12,11028,97
11028098,12,11028,98
11028099,12,11028,99
11028100,12,11028,100
11029001,2,11029,1
11029002,2,11029,2
11029003,2,11029,3
11029004,2,11029,4
11029005,2,11029,5
11029006,2,11029,6
11029007,2,11029,7
11029008,2,11029,8
11029009,2,11029,9
11029010,2,11029,10
11029011,3,11029,11
11029012,3,11029,12
11029013,3,11029,13
11029014,3,11029,14
11029015,3,11029,15
11029016,3,11029,16
11029017,3,11029,17
11029018,3,11029,18
11029019,3,11029,19
11029020,4,11029,20
11029021,4,11029,21
11029022,4,11029,22
11029023,4,11029,23
11029024,4,11029,24
11029025,4,11029,25
11029026,4,11029,26
11029027,4,11029,27
11029028,4,11029,28
11029029,5,11029,29
11029030,5,11029,30
11029031,5,11029,31
11029032,5,11029,32
11029033,5,11029,33
11029034,5,11029,34
11029035,5,11029,35
11029036,5,11029,36
11029037,5,11029,37
11029038,6,11029,38
11029039,6,11029,39
11029040,6,11029,40
11029041,6,11029,41
11029042,6,11029,42
11029043,6,11029,43
11029044,6,11029,44
11029045,6,11029,45
11029046,6,11029,46
11029047,7,11029,47
11029048,7,11029,48
11029049,7,11029,49
11029050,7,11029,50
11029051,7,11029,51
11029052,7,11029,52
11029053,7,11029,53
11029054,7,11029,54
11029055,7,11029,55
11029056,8,11029,56
11029057,8,11029,57
11029058,8,11029,58
11029059,8,11029,59
11029060,8,11029,60
11029061,8,11029,61
11029062,8,11029,62
11029063,8,11029,63
11029064,8,11029,64
11029065,9,11029,65
11029066,9,11029,66
11029067,9,11029,67
11029068,9,11029,68
11029069,9,11029,69
11029070,9,11029,70
11029071,9,11029,71
11029072,9,11029,72
11029073,9,11029,73
11029074,10,11029,74
11029075,10,11029,75
11029076,10,11029,76
11029077,10,11029,77
11029078,10,11029,78
11029079,10,11029,79
11029080,10,11029,80
11029081,10,11029,81
11029082,10,11029,82
11029083,11,11029,83
11029084,11,11029,84
11029085,11,11029,85
11029086,11,11029,86
11029087,11,11029,87
11029088,11,11029,88
11029089,11,11029,89
11029090,11,11029,90
11029091,11,11029,91
11029092,12,11029,92
11029093,12,11029,93
11029094,12,11029,94
11029095,12,11029,95
11029096,12,11029,96
11029097,12,11029,97
11029098,12,11029,98
11029099,12,11029,99
11029100,12,11029,100
11030001,2,11030,1
11030002,2,11030,2
11030003,2,11030,3
11030004,2,11030,4
11030005,2,11030,5
11030006,2,11030,6
11030007,2,11030,7
11030008,2,11030,8
11030009,2,11030,9
11030010,2,11030,10
11030011,3,11030,11
11030012,3,11030,12
11030013,3,11030,13
11030014,3,11030,14
11030015,3,11030,15
11030016,3,11030,16
11030017,3,11030,17
11030018,3,11030,18
11030019,3,11030,19
11030020,4,11030,20
11030021,4,11030,21
11030022,4,11030,22
11030023,4,11030,23
11030024,4,11030,24
11030025,4,11030,25
11030026,4,11030,26
11030027,4,11030,27
11030028,4,11030,28
11030029,5,11030,29
11030030,5,11030,30
11030031,5,11030,31
11030032,5,11030,32
11030033,5,11030,33
11030034,5,11030,34
11030035,5,11030,35
11030036,5,11030,36
11030037,5,11030,37
11030038,6,11030,38
11030039,6,11030,39
11030040,6,11030,40
11030041,6,11030,41
11030042,6,11030,42
11030043,6,11030,43
11030044,6,11030,44
11030045,6,11030,45
11030046,6,11030,46
11030047,7,11030,47
11030048,7,11030,48
11030049,7,11030,49
11030050,7,11030,50
11030051,7,11030,51
11030052,7,11030,52
11030053,7,11030,53
11030054,7,11030,54
11030055,7,11030,55
11030056,8,11030,56
11030057,8,11030,57
11030058,8,11030,58
11030059,8,11030,59
11030060,8,11030,60
11030061,8,11030,61
11030062,8,11030,62
11030063,8,11030,63
11030064,8,11030,64
11030065,9,11030,65
11030066,9,11030,66
11030067,9,11030,67
11030068,9,11030,68
11030069,9,11030,69
11030070,9,11030,70
11030071,9,11030,71
11030072,9,11030,72
11030073,9,11030,73
11030074,10,11030,74
11030075,10,11030,75
11030076,10,11030,76
11030077,10,11030,77
11030078,10,11030,78
11030079,10,11030,79
11030080,10,11030,80
11030081,10,11030,81
11030082,10,11030,82
11030083,11,11030,83
11030084,11,11030,84
11030085,11,11030,85
11030086,11,11030,86
11030087,11,11030,87
11030088,11,11030,88
11030089,11,11030,89
11030090,11,11030,90
11030091,11,11030,91
11030092,12,11030,92
11030093,12,11030,93
11030094,12,11030,94
11030095,12,11030,95
11030096,12,11030,96
11030097,12,11030,97
11030098,12,11030,98
11030099,12,11030,99
11030100,12,11030,100
11031001,4,11031,1
11031002,4,11031,2
11031003,4,11031,3
11031004,4,11031,4
11031005,4,11031,5
11031006,4,11031,6
11031007,4,11031,7
11031008,5,11031,8
11031009,5,11031,9
11031010,5,11031,10
11031011,5,11031,11
11031012,5,11031,12
11031013,5,11031,13
11031014,5,11031,14
11031015,6,11031,15
11031016,6,11031,16
11031017,6,11031,17
11031018,6,11031,18
11031019,6,11031,19
11031020,6,11031,20
11031021,7,11031,21
11031022,7,11031,22
11031023,7,11031,23
11031024,7,11031,24
11031025,7,11031,25
11031026,7,11031,26
11031027,7,11031,27
11031028,8,11031,28
11031029,8,11031,29
11031030,8,11031,30
11031031,8,11031,31
11031032,8,11031,32
11031033,8,11031,33
11031034,8,11031,34
11031035,9,11031,35
11031036,9,11031,36
11031037,9,11031,37
11031038,9,11031,38
11031039,9,11031,39
11031040,9,11031,40
11031041,10,11031,41
11031042,10,11031,42
11031043,10,11031,43
11031044,10,11031,44
11031045,10,11031,45
11031046,10,11031,46
11031047,10,11031,47
11031048,11,11031,48
11031049,11,11031,49
11031050,11,11031,50
11031051,11,11031,51
11031052,11,11031,52
11031053,11,11031,53
11031054,11,11031,54
11031055,12,11031,55
11031056,12,11031,56
11031057,12,11031,57
11031058,12,11031,58
11031059,12,11031,59
11031060,12,11031,60
11031061,13,11031,61
11031062,13,11031,62
11031063,13,11031,63
11031064,13,11031,64
11031065,13,11031,65
11031066,13,11031,66
11031067,13,11031,67
11031068,14,11031,68
11031069,14,11031,69
11031070,14,11031,70
11031071,14,11031,71
11031072,14,11031,72
11031073,14,11031,73
11031074,14,11031,74
11031075,15,11031,75
11031076,15,11031,76
11031077,15,11031,77
11031078,15,11031,78
11031079,15,11031,79
11031080,15,11031,80
11031081,16,11031,81
11031082,16,11031,82
11031083,16,11031,83
11031084,16,11031,84
11031085,16,11031,85
11031086,16,11031,86
11031087,16,11031,87
11031088,17,11031,88
11031089,17,11031,89
11031090,17,11031,90
11031091,17,11031,91
11031092,17,11031,92
11031093,17,11031,93
11031094,17,11031,94
11031095,18,11031,95
11031096,18,11031,96
11031097,18,11031,97
11031098,18,11031,98
11031099,18,11031,99
11031100,18,11031,100
11032001,4,11032,1
11032002,4,11032,2
11032003,4,11032,3
11032004,4,11032,4
11032005,4,11032,5
11032006,4,11032,6
11032007,4,11032,7
11032008,5,11032,8
11032009,5,11032,9
11032010,5,11032,10
11032011,5,11032,11
11032012,5,11032,12
11032013,5,11032,13
11032014,5,11032,14
11032015,6,11032,15
11032016,6,11032,16
11032017,6,11032,17
11032018,6,11032,18
11032019,6,11032,19
11032020,6,11032,20
11032021,7,11032,21
11032022,7,11032,22
11032023,7,11032,23
11032024,7,11032,24
11032025,7,11032,25
11032026,7,11032,26
11032027,7,11032,27
11032028,8,11032,28
11032029,8,11032,29
11032030,8,11032,30
11032031,8,11032,31
11032032,8,11032,32
11032033,8,11032,33
11032034,8,11032,34
11032035,9,11032,35
11032036,9,11032,36
11032037,9,11032,37
11032038,9,11032,38
11032039,9,11032,39
11032040,9,11032,40
11032041,10,11032,41
11032042,10,11032,42
11032043,10,11032,43
11032044,10,11032,44
11032045,10,11032,45
11032046,10,11032,46
11032047,10,11032,47
11032048,11,11032,48
11032049,11,11032,49
11032050,11,11032,50
11032051,11,11032,51
11032052,11,11032,52
11032053,11,11032,53
11032054,11,11032,54
11032055,12,11032,55
11032056,12,11032,56
11032057,12,11032,57
11032058,12,11032,58
11032059,12,11032,59
11032060,12,11032,60
11032061,13,11032,61
11032062,13,11032,62
11032063,13,11032,63
11032064,13,11032,64
11032065,13,11032,65
11032066,13,11032,66
11032067,13,11032,67
11032068,14,11032,68
11032069,14,11032,69
11032070,14,11032,70
11032071,14,11032,71
11032072,14,11032,72
11032073,14,11032,73
11032074,14,11032,74
11032075,15,11032,75
11032076,15,11032,76
11032077,15,11032,77
11032078,15,11032,78
11032079,15,11032,79
11032080,15,11032,80
11032081,16,11032,81
11032082,16,11032,82
11032083,16,11032,83
11032084,16,11032,84
11032085,16,11032,85
11032086,16,11032,86
11032087,16,11032,87
11032088,17,11032,88
11032089,17,11032,89
11032090,17,11032,90
11032091,17,11032,91
11032092,17,11032,92
11032093,17,11032,93
11032094,17,11032,94
11032095,18,11032,95
11032096,18,11032,96
11032097,18,11032,97
11032098,18,11032,98
11032099,18,11032,99
11032100,18,11032,100
11033001,5,11033,1
11033002,5,11033,2
11033003,5,11033,3
11033004,5,11033,4
11033005,5,11033,5
11033006,5,11033,6
11033007,5,11033,7
11033008,6,11033,8
11033009,6,11033,9
11033010,6,11033,10
11033011,6,11033,11
11033012,6,11033,12
11033013,6,11033,13
11033014,6,11033,14
11033015,7,11033,15
11033016,7,11033,16
11033017,7,11033,17
11033018,7,11033,18
11033019,7,11033,19
11033020,7,11033,20
11033021,8,11033,21
11033022,8,11033,22
11033023,8,11033,23
11033024,8,11033,24
11033025,8,11033,25
11033026,8,11033,26
11033027,8,11033,27
11033028,9,11033,28
11033029,9,11033,29
11033030,9,11033,30
11033031,9,11033,31
11033032,9,11033,32
11033033,9,11033,33
11033034,9,11033,34
11033035,10,11033,35
11033036,10,11033,36
11033037,10,11033,37
11033038,10,11033,38
11033039,10,11033,39
11033040,10,11033,40
11033041,11,11033,41
11033042,11,11033,42
11033043,11,11033,43
11033044,11,11033,44
11033045,11,11033,45
11033046,11,11033,46
11033047,11,11033,47
11033048,12,11033,48
11033049,12,11033,49
11033050,12,11033,50
11033051,12,11033,51
11033052,12,11033,52
11033053,12,11033,53
11033054,12,11033,54
11033055,13,11033,55
11033056,13,11033,56
11033057,13,11033,57
11033058,13,11033,58
11033059,13,11033,59
11033060,13,11033,60
11033061,14,11033,61
11033062,14,11033,62
11033063,14,11033,63
11033064,14,11033,64
11033065,14,11033,65
11033066,14,11033,66
11033067,14,11033,67
11033068,15,11033,68
11033069,15,11033,69
11033070,15,11033,70
11033071,15,11033,71
11033072,15,11033,72
11033073,15,11033,73
11033074,15,11033,74
11033075,16,11033,75
11033076,16,11033,76
11033077,16,11033,77
11033078,16,11033,78
11033079,16,11033,79
11033080,16,11033,80
11033081,17,11033,81
11033082,17,11033,82
11033083,17,11033,83
11033084,17,11033,84
11033085,17,11033,85
11033086,17,11033,86
11033087,17,11033,87
11033088,18,11033,88
11033089,18,11033,89
11033090,18,11033,90
11033091,18,11033,91
11033092,18,11033,92
11033093,18,11033,93
11033094,18,11033,94
11033095,19,11033,95
11033096,19,11033,96
11033097,19,11033,97
11033098,19,11033,98
11033099,19,11033,99
11033100,19,11033,100
11034001,5,11034,1
11034002,5,11034,2
11034003,5,11034,3
11034004,5,11034,4
11034005,5,11034,5
11034006,5,11034,6
11034007,5,11034,7
11034008,6,11034,8
11034009,6,11034,9
11034010,6,11034,10
11034011,6,11034,11
11034012,6,11034,12
11034013,6,11034,13
11034014,6,11034,14
11034015,7,11034,15
11034016,7,11034,16
11034017,7,11034,17
11034018,7,11034,18
11034019,7,11034,19
11034020,7,11034,20
11034021,8,11034,21
11034022,8,11034,22
11034023,8,11034,23
11034024,8,11034,24
11034025,8,11034,25
11034026,8,11034,26
11034027,8,11034,27
11034028,9,11034,28
11034029,9,11034,29
11034030,9,11034,30
11034031,9,11034,31
11034032,9,11034,32
11034033,9,11034,33
11034034,9,11034,34
11034035,10,11034,35
11034036,10,11034,36
11034037,10,11034,37
11034038,10,11034,38
11034039,10,11034,39
11034040,10,11034,40
11034041,11,11034,41
11034042,11,11034,42
11034043,11,11034,43
11034044,11,11034,44
11034045,11,11034,45
11034046,11,11034,46
11034047,11,11034,47
11034048,12,11034,48
11034049,12,11034,49
11034050,12,11034,50
11034051,12,11034,51
11034052,12,11034,52
11034053,12,11034,53
11034054,12,11034,54
11034055,13,11034,55
11034056,13,11034,56
11034057,13,11034,57
11034058,13,11034,58
11034059,13,11034,59
11034060,13,11034,60
11034061,14,11034,61
11034062,14,11034,62
11034063,14,11034,63
11034064,14,11034,64
11034065,14,11034,65
11034066,14,11034,66
11034067,14,11034,67
11034068,15,11034,68
11034069,15,11034,69
11034070,15,11034,70
11034071,15,11034,71
11034072,15,11034,72
11034073,15,11034,73
11034074,15,11034,74
11034075,16,11034,75
11034076,16,11034,76
11034077,16,11034,77
11034078,16,11034,78
11034079,16,11034,79
11034080,16,11034,80
11034081,17,11034,81
11034082,17,11034,82
11034083,17,11034,83
11034084,17,11034,84
11034085,17,11034,85
11034086,17,11034,86
11034087,17,11034,87
11034088,18,11034,88
11034089,18,11034,89
11034090,18,11034,90
11034091,18,11034,91
11034092,18,11034,92
11034093,18,11034,93
11034094,18,11034,94
11034095,19,11034,95
11034096,19,11034,96
11034097,19,11034,97
11034098,19,11034,98
11034099,19,11034,99
11034100,19,11034,100
11035001,5,11035,1
11035002,5,11035,2
11035003,5,11035,3
11035004,5,11035,4
11035005,5,11035,5
11035006,5,11035,6
11035007,5,11035,7
11035008,6,11035,8
11035009,6,11035,9
11035010,6,11035,10
11035011,6,11035,11
11035012,6,11035,12
11035013,6,11035,13
11035014,6,11035,14
11035015,7,11035,15
11035016,7,11035,16
11035017,7,11035,17
11035018,7,11035,18
11035019,7,11035,19
11035020,7,11035,20
11035021,8,11035,21
11035022,8,11035,22
11035023,8,11035,23
11035024,8,11035,24
11035025,8,11035,25
11035026,8,11035,26
11035027,8,11035,27
11035028,9,11035,28
11035029,9,11035,29
11035030,9,11035,30
11035031,9,11035,31
11035032,9,11035,32
11035033,9,11035,33
11035034,9,11035,34
11035035,10,11035,35
11035036,10,11035,36
11035037,10,11035,37
11035038,10,11035,38
11035039,10,11035,39
11035040,10,11035,40
11035041,11,11035,41
11035042,11,11035,42
11035043,11,11035,43
11035044,11,11035,44
11035045,11,11035,45
11035046,11,11035,46
11035047,11,11035,47
11035048,12,11035,48
11035049,12,11035,49
11035050,12,11035,50
11035051,12,11035,51
11035052,12,11035,52
11035053,12,11035,53
11035054,12,11035,54
11035055,13,11035,55
11035056,13,11035,56
11035057,13,11035,57
11035058,13,11035,58
11035059,13,11035,59
11035060,13,11035,60
11035061,14,11035,61
11035062,14,11035,62
11035063,14,11035,63
11035064,14,11035,64
11035065,14,11035,65
11035066,14,11035,66
11035067,14,11035,67
11035068,15,11035,68
11035069,15,11035,69
11035070,15,11035,70
11035071,15,11035,71
11035072,15,11035,72
11035073,15,11035,73
11035074,15,11035,74
11035075,16,11035,75
11035076,16,11035,76
11035077,16,11035,77
11035078,16,11035,78
11035079,16,11035,79
11035080,16,11035,80
11035081,17,11035,81
11035082,17,11035,82
11035083,17,11035,83
11035084,17,11035,84
11035085,17,11035,85
11035086,17,11035,86
11035087,17,11035,87
11035088,18,11035,88
11035089,18,11035,89
11035090,18,11035,90
11035091,18,11035,91
11035092,18,11035,92
11035093,18,11035,93
11035094,18,11035,94
11035095,19,11035,95
11035096,19,11035,96
11035097,19,11035,97
11035098,19,11035,98
11035099,19,11035,99
11035100,19,11035,100
11036001,5,11036,1
11036002,5,11036,2
11036003,5,11036,3
11036004,5,11036,4
11036005,5,11036,5
11036006,5,11036,6
11036007,5,11036,7
11036008,6,11036,8
11036009,6,11036,9
11036010,6,11036,10
11036011,6,11036,11
11036012,6,11036,12
11036013,6,11036,13
11036014,6,11036,14
11036015,7,11036,15
11036016,7,11036,16
11036017,7,11036,17
11036018,7,11036,18
11036019,7,11036,19
11036020,7,11036,20
11036021,8,11036,21
11036022,8,11036,22
11036023,8,11036,23
11036024,8,11036,24
11036025,8,11036,25
11036026,8,11036,26
11036027,8,11036,27
11036028,9,11036,28
11036029,9,11036,29
11036030,9,11036,30
11036031,9,11036,31
11036032,9,11036,32
11036033,9,11036,33
11036034,9,11036,34
11036035,10,11036,35
11036036,10,11036,36
11036037,10,11036,37
11036038,10,11036,38
11036039,10,11036,39
11036040,10,11036,40
11036041,11,11036,41
11036042,11,11036,42
11036043,11,11036,43
11036044,11,11036,44
11036045,11,11036,45
11036046,11,11036,46
11036047,11,11036,47
11036048,12,11036,48
11036049,12,11036,49
11036050,12,11036,50
11036051,12,11036,51
11036052,12,11036,52
11036053,12,11036,53
11036054,12,11036,54
11036055,13,11036,55
11036056,13,11036,56
11036057,13,11036,57
11036058,13,11036,58
11036059,13,11036,59
11036060,13,11036,60
11036061,14,11036,61
11036062,14,11036,62
11036063,14,11036,63
11036064,14,11036,64
11036065,14,11036,65
11036066,14,11036,66
11036067,14,11036,67
11036068,15,11036,68
11036069,15,11036,69
11036070,15,11036,70
11036071,15,11036,71
11036072,15,11036,72
11036073,15,11036,73
11036074,15,11036,74
11036075,16,11036,75
11036076,16,11036,76
11036077,16,11036,77
11036078,16,11036,78
11036079,16,11036,79
11036080,16,11036,80
11036081,17,11036,81
11036082,17,11036,82
11036083,17,11036,83
11036084,17,11036,84
11036085,17,11036,85
11036086,17,11036,86
11036087,17,11036,87
11036088,18,11036,88
11036089,18,11036,89
11036090,18,11036,90
11036091,18,11036,91
11036092,18,11036,92
11036093,18,11036,93
11036094,18,11036,94
11036095,19,11036,95
11036096,19,11036,96
11036097,19,11036,97
11036098,19,11036,98
11036099,19,11036,99
11036100,19,11036,100
11037001,5,11037,1
11037002,5,11037,2
11037003,5,11037,3
11037004,5,11037,4
11037005,5,11037,5
11037006,5,11037,6
11037007,5,11037,7
11037008,6,11037,8
11037009,6,11037,9
11037010,6,11037,10
11037011,6,11037,11
11037012,6,11037,12
11037013,6,11037,13
11037014,6,11037,14
11037015,7,11037,15
11037016,7,11037,16
