机器人ID,名字,段位ID,等级,机器人模型,装备,技能,头像,伙伴,伙伴装备,伙伴等级,战斗力,机器人系统类别
RobotId,RobotName,ArenaLevelId,RobotLevel,RobotAvatar,RobotEquip,RobotSkill,RobotHeadPortrait,PartnerId,PartnerEquip,PartnerLevel,FightPower,SystemType
int,string,int,int,int,list,list,int,list,list,list,list,int
1018,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1019,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1020,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1021,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1022,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1023,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1024,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1025,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1026,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1027,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1028,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1029,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1030,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1031,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1032,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1033,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1034,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1035,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1036,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1037,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1038,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1039,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1040,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1041,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1042,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1043,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1044,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1045,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1046,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1047,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1048,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1049,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1050,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1051,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1052,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1053,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1054,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1055,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1056,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1057,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1058,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1059,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1060,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1061,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1062,张三疯,10001,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1063,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1064,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1065,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1066,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1067,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1068,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1069,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1070,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1071,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1072,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1073,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1074,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1075,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1076,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1077,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1078,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1079,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1080,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1081,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1082,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1083,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1084,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1085,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1086,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1087,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1088,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1089,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1090,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1091,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1092,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1093,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1094,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1095,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1096,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1097,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1098,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1099,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1100,张三疯,10001,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1101,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1102,张三疯,10001,26,30010,1001;5001;6001;7001;8001;9001,13023001;13026001;13024001;13027001,103,10010;20010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5400;6400,
1103,李笑龙,10002,26,20010,1001;5001;6001;7001;8001;9001,12024001;12023001;12021001;12022001,102,10010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5200;6200,
1104,李笑龙,10002,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1105,李笑龙,10002,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
1106,李笑龙,10002,26,10010,1001;5001;6001;7001;8001;9001,11028001;11026001;11025001;11029001,101,20010;30010;40010,1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001;1001:5001:6001:7001:8001:9001,26;26;26,5000;6000,
