唯一id,场景id,地图id,场景类型,挑战CD,在线base经验,在线伙伴经验,在线银币,技能经验,在线金币,在线魔魂值,在线掉落包ID,活动掉落ID,通关base经验,通关job经验,通关银币,通关金币,通关伙伴经验,活动通关现金,通关超过人数,通关公会活跃,通关掉落包ID,bossId,挑战后掉落次数,BOSS挑战等级,巡游前剧情ID,剧情索引ID,战力校验,蓝量加成,战力削弱,停留时间削弱,版本,里程积分,查封配置
10014,14,1,1,1,1356,776,1456,124,0,12,10000:1,,1200,145,284,5,740,0,360,,10000:504;10000:6121,90008013,0,1,,,165,20:0,,,7,2,
10015,15,1,1,1,1356,776,1456,124,0,12,10000:1,,1210,152,284,5,750,1,380,,10000:504,90013015,0,1,,,200,20:0,,,7,2,
10016,16,1,1,1,1364,780,1460,128,0,12,10000:1,,1220,159,284,5,760,0,400,,10000:504;10000:6329,90018016,0,1,,,235,20:0,,,7,2,
10017,17,1,1,1,1364,780,1460,128,0,12,10000:1,,1230,166,284,5,770,0,420,,10000:503;,90004017,0,1,,,270,20:0,,,7,2,
10018,18,1,1,1,1364,780,1460,128,0,12,10000:1,,1240,173,284,5,780,0,440,,10000:504,90009018,0,1,,,305,20:0,,,7,2,
10019,19,1,1,1,1364,780,1460,128,0,12,10000:1,,1250,180,284,5,790,0,460,,10000:504,90014019,0,1,,,340,20:0,,,7,2,
10020,20,1,1,1,1364,780,1460,128,0,12,10000:1,,1260,187,284,5,800,1,480,,10000:504,90019020,0,1,,,375,20:0,,,7,2,
10021,21,1,1,1,1372,784,1464,128,0,12,10000:1,10000:500:1;1000:501:1;100:502:1,1270,194,4392,5,810,0,500,,10000:503,90004021,0,1,,,410,20:0,,,7,3,
10022,22,1,1,1,1372,784,1464,128,0,12,10000:1,10000:500:1;1000:501:1;100:502:1,1280,201,4392,5,820,0,520,,10000:504,90009022,0,1,,,445,20:0,,,7,3,
10023,23,1,1,1,1372,784,1464,128,0,12,10000:1,10000:500:1;1000:501:1;100:502:1,1290,208,4392,5,830,0,540,,10000:504,90014023,0,1,,,480,20:0,,,7,3,
10024,24,1,1,1,1372,784,1464,128,0,12,10000:1,10000:500:1;1000:501:1;100:502:1,1300,215,4392,5,840,0,560,,10000:504,90019024,0,1,,,515,20:0,,,7,3,
10025,25,1,1,1,1372,784,1464,128,0,12,10000:1,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1310,222,4392,5,850,1,580,,10000:504,90004025,0,1,,,550,20:0,,,7,3,
10026,26,1,1,1,1380,788,1468,132,0,12,10000:1,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1320,229,4404,5,860,0,600,,10000:503,90009026,0,1,,,585,20:0,,,7,3,
10027,27,1,1,1,1380,788,1468,132,0,12,10000:1,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1330,236,4404,5,870,0,620,,10000:504,90014027,0,1,,,620,20:0,,,7,3,
10028,28,1,1,1,1380,788,1468,132,0,12,10000:1,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1340,243,4404,5,880,0,640,,10000:504,90019028,0,1,,,655,20:0,,,7,3,
10029,29,1,1,1,1380,788,1468,132,0,12,10000:1,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1350,250,4404,5,890,0,660,,10000:504,90004029,0,1,,,690,20:0,,,7,3,
10030,30,1,3,1,1380,788,1468,132,0,12,10000:1,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1360,257,4404,5,900,3,680,,10000:5101;,90099032,0,1,,,725,20:0,1942;9:-4;10:-4;19:-6|3015;9:-6;10:-6;19:-12|4123;9:-10;10:-10;19:-18|5268;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,3,
20001,1,2,1,1,1388,792,1472,132,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1370,264,4416,5,910,0,700,,10000:503,90100019,0,1,2,2,760,20:0,1988;9:-4;10:-4;19:-6|3064;9:-6;10:-6;19:-12|4178;9:-10;10:-10;19:-18|5330;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,4,
20002,2,2,1,1,1388,792,1472,132,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1380,271,4416,5,920,0,720,,10000:504,90105020,0,1,,,795,20:0,2033;9:-4;10:-4;19:-6|3113;9:-6;10:-6;19:-12|4232;9:-10;10:-10;19:-18|5391;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,4,
20003,3,2,1,1,1388,792,1472,132,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1390,278,4416,5,930,0,740,,10000:504,90110021,0,1,,,830,20:0,2079;9:-4;10:-4;19:-6|3162;9:-6;10:-6;19:-12|4286;9:-10;10:-10;19:-18|5452;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,4,
20004,4,2,1,1,1388,792,1472,132,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1400,285,4416,5,940,0,760,,10000:504;10000:6328,90115022,0,1,,,867,20:0,2127;9:-4;10:-4;19:-6|3213;9:-6;10:-6;19:-12|4343;9:-10;10:-10;19:-18|5517;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,4,
20005,5,2,1,1,1388,792,1472,132,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1410,292,4416,5,950,1,780,,10000:504,90101023,0,1,,,881,20:0,2145;9:-4;10:-4;19:-6|3233;9:-6;10:-6;19:-12|4365;9:-10;10:-10;19:-18|5541;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,4,
20006,6,2,1,1,1396,796,1476,136,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1420,299,4428,5,960,0,800,,10000:503,90106024,0,1,,,895,20:0,2163;9:-4;10:-4;19:-6|3253;9:-6;10:-6;19:-12|4387;9:-10;10:-10;19:-18|5566;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,4,
20007,7,2,1,1,1396,796,1476,136,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1430,306,4428,5,970,0,820,,10000:504,90111025,0,1,,,909,20:0,2181;9:-4;10:-4;19:-6|3272;9:-6;10:-6;19:-12|4408;9:-10;10:-10;19:-18|5590;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,4,
20008,8,2,1,1,1396,796,1476,136,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1440,313,4428,5,980,0,840,,10000:504,90116026,0,1,,,922,20:0,2198;9:-4;10:-4;19:-6|3290;9:-6;10:-6;19:-12|4429;9:-10;10:-10;19:-18|5613;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,4,
20009,9,2,1,1,1396,796,1476,136,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1450,320,4428,5,990,0,860,,10000:504;10000:6136,90102027,0,1,,,1100,20:0,2430;9:-4;10:-4;19:-6|3540;9:-6;10:-6;19:-12|4705;9:-10;10:-10;19:-18|5925;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,4,
20010,10,2,1,1,1396,796,1476,136,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1460,327,4428,5,1000,1,880,,10000:504,90107028,0,1,,,1116,20:0,2450;9:-4;10:-4;19:-6|3562;9:-6;10:-6;19:-12|4729;9:-10;10:-10;19:-18|5953;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,4,
20011,11,2,1,1,1404,800,1480,136,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1470,334,4440,5,1010,0,900,,10000:503,90112029,0,1,,,1131,20:0,2470;9:-4;10:-4;19:-6|3583;9:-6;10:-6;19:-12|4753;9:-10;10:-10;19:-18|5979;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,5,
20012,12,2,1,1,1404,800,1480,136,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1480,341,4440,5,1020,0,920,,10000:504,90117030,0,1,,,1146,20:0,2489;9:-4;10:-4;19:-6|3604;9:-6;10:-6;19:-12|4776;9:-10;10:-10;19:-18|6005;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,5,
20013,13,2,1,1,1404,800,1480,136,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1490,348,4440,5,1030,0,940,,10000:504,90103031,0,1,,,1161,20:0,2509;9:-4;10:-4;19:-6|3625;9:-6;10:-6;19:-12|4799;9:-10;10:-10;19:-18|6031;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,5,
20014,14,2,1,1,1404,800,1480,136,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1500,355,4440,5,1040,0,960,,10000:504;10000:6129,90108032,0,1,,,1176,20:0,2528;9:-4;10:-4;19:-6|3646;9:-6;10:-6;19:-12|4822;9:-10;10:-10;19:-18|6058;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,5,
20015,15,2,1,1,1404,800,1480,136,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1510,362,4440,5,1050,1,980,,10000:504,90113033,0,1,,,1191,20:0,2548;9:-4;10:-4;19:-6|3667;9:-6;10:-6;19:-12|4846;9:-10;10:-10;19:-18|6084;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,5,
20016,16,2,1,1,1412,804,1484,140,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1520,369,4452,5,1060,0,1000,,10000:503,90118034,0,1,,,1206,20:0,2567;9:-4;10:-4;19:-6|3688;9:-6;10:-6;19:-12|4869;9:-10;10:-10;19:-18|6110;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,5,
20017,17,2,1,1,1412,804,1484,140,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1530,376,4452,5,1070,0,1020,,10000:504,90104035,0,1,,,1220,20:0,2586;9:-4;10:-4;19:-6|3708;9:-6;10:-6;19:-12|4891;9:-10;10:-10;19:-18|6135;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,5,
20018,18,2,1,1,1412,804,1484,140,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1540,383,4452,5,1080,0,1040,,10000:504,90109036,0,1,,,1234,20:0,2604;9:-4;10:-4;19:-6|3727;9:-6;10:-6;19:-12|4912;9:-10;10:-10;19:-18|6159;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,5,
20019,19,2,1,1,1412,804,1484,140,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1550,390,4452,5,1090,0,1060,,10000:504;10000:6122,90114037,0,1,,,1249,20:0,2623;9:-4;10:-4;19:-6|3748;9:-6;10:-6;19:-12|4935;9:-10;10:-10;19:-18|6185;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,5,
20020,20,2,1,1,1412,804,1484,140,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1560,397,4452,5,1100,1,1080,,10000:504,90119038,0,1,,,1244,20:0,2617;9:-4;10:-4;19:-6|3741;9:-6;10:-6;19:-12|4928;9:-10;10:-10;19:-18|6177;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,5,
20021,21,2,1,1,1420,808,1488,140,0,12,10000:1;10000:5020;10000:500,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,1570,404,4464,5,1110,0,1100,,10000:503,90104039,0,1,,,1242,20:0,2614;9:-4;10:-4;19:-6|3738;9:-6;10:-6;19:-12|4925;9:-10;10:-10;19:-18|6173;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,6,
