唯一id,品质,最大星级,效果ID,职业类型,职业分支,职业阶段,升星条件,增加战力,熔炼返还材料,神器重铸消耗,批次id,开服天数区间
14243,3,1,1:12223:22223:42305;,4,2,3,14243|1:1|100000,1750,48|50;14243|1:48|50:1|100000,,,
14244,3,1,1:13125:23125:43304;,3,1,3,14244|1:1|100000,1750,48|50;14244|1:48|50:1|100000,,,
14245,3,1,1:13227:23227:43307;,3,2,3,14245|1:1|100000,1750,48|50;14245|1:48|50:1|100000,,,
14246,3,1,1:14123:24123:44300;,2,1,3,14246|1:1|100000,1750,48|50;14246|1:48|50:1|100000,,,
14247,3,1,1:14224:24224:44307;,2,2,3,14247|1:1|100000,1750,48|50;14247|1:48|50:1|100000,,,
14248,3,1,1:15127:25127:45304;,5,1,3,14248|1:1|100000,1750,48|50;14248|1:48|50:1|100000,,,
14249,3,1,1:15222:25222:45307;,5,2,3,14249|1:1|100000,1750,48|50;14249|1:48|50:1|100000,,,
14250,3,2,1:11126:21126:41301;2:11125:21125:41300;,1,1,3,14240|1:1|100000;14250|1:1|200000,1750;1870,48|60;14240|1:48|60:1|100000;48|60:14240|1:14250|1:1|200000,,,
14251,3,2,1:11227:21227:41308;2:11228:21228:41305;,1,2,3,14241|1:1|100000;14251|1:1|200000,1750;1870,48|60;14241|1:48|60:1|100000;48|60:14241|1:14251|1:1|200000,,,
14252,3,2,1:12122:22122:42301;2:12121:22121:42300;,4,1,3,14242|1:1|100000;14252|1:1|200000,1750;1870,48|60;14242|1:48|60:1|100000;48|60:14242|1:14252|1:1|200000,,,
14253,3,2,1:12223:22223:42305;2:12224:22224:42306;,4,2,3,14243|1:1|100000;14253|1:1|200000,1750;1870,48|60;14243|1:48|60:1|100000;48|60:14243|1:14253|1:1|200000,,,
14254,3,2,1:13125:23125:43304;2:13124:23124:43302;,3,1,3,14244|1:1|100000;14254|1:1|200000,1750;1870,48|60;14244|1:48|60:1|100000;48|60:14244|1:14254|1:1|200000,,,
14255,3,2,1:13227:23227:43307;2:13226:23226:43308;,3,2,3,14245|1:1|100000;14255|1:1|200000,1750;1870,48|60;14245|1:48|60:1|100000;48|60:14245|1:14255|1:1|200000,,,
14256,3,2,1:14123:24123:44300;2:14122:24122:44301;,2,1,3,14246|1:1|100000;14256|1:1|200000,1750;1870,48|60;14246|1:48|60:1|100000;48|60:14246|1:14256|1:1|200000,,,
14257,3,2,1:14224:24224:44307;2:14225:24225:44305;,2,2,3,14247|1:1|100000;14257|1:1|200000,1750;1870,48|60;14247|1:48|60:1|100000;48|60:14247|1:14257|1:1|200000,,,
14258,3,2,1:15127:25127:45304;2:15126:25126:45301;,5,1,3,14248|1:1|100000;14258|1:1|200000,1750;1870,48|60;14248|1:48|60:1|100000;48|60:14248|1:14258|1:1|200000,,,
14259,3,2,1:15222:25222:45307;2:15223:25223:45306;,5,2,3,14249|1:1|100000;14259|1:1|200000,1750;1870,48|60;14249|1:48|60:1|100000;48|60:14249|1:14259|1:1|200000,,,
14260,3,3,1:11126:21126:41301;2:11125:21125:41300;3:11130:21130:41303;,1,1,3,14240|1:1|100000;14250|1:1|200000;14260|1:1|400000,1750;1870;2500,48|100;14240|1:48|100:1|100000;48|100:14240|1:14250|1:1|200000;48|100:14240|1:14250|1:14260|1:1|400000,,,
14261,3,3,1:11227:21227:41308;2:11228:21228:41305;3:11229:21229:41306;,1,2,3,14241|1:1|100000;14251|1:1|200000;14261|1:1|400000,1750;1870;2500,48|100;14241|1:48|100:1|100000;48|100:14241|1:14251|1:1|200000;48|100:14241|1:14251|1:14261|1:1|400000,,,
14262,3,3,1:12122:22122:42301;2:12121:22121:42300;3:12125:22125:42302;,4,1,3,14242|1:1|100000;14252|1:1|200000;14262|1:1|400000,1750;1870;2500,48|100;14242|1:48|100:1|100000;48|100:14242|1:14252|1:1|200000;48|100:14242|1:14252|1:14262|1:1|400000,,,
14263,3,3,1:12223:22223:42305;2:12224:22224:42306;3:12225:22225:42307;,4,2,3,14243|1:1|100000;14253|1:1|200000;14263|1:1|400000,1750;1870;2500,48|100;14243|1:48|100:1|100000;48|100:14243|1:14253|1:1|200000;48|100:14243|1:14253|1:14263|1:1|400000,,,
14264,3,3,1:13125:23125:43304;2:13124:23124:43302;3:13123:23123:43300;,3,1,3,14244|1:1|100000;14254|1:1|200000;14264|1:1|400000,1750;1870;2500,48|100;14244|1:48|100:1|100000;48|100:14244|1:14254|1:1|200000;48|100:14244|1:14254|1:14264|1:1|400000,,,
14265,3,3,1:13227:23227:43307;2:13226:23226:43308;3:13223:23223:43305;,3,2,3,14245|1:1|100000;14255|1:1|200000;14265|1:1|400000,1750;1870;2500,48|100;14245|1:48|100:1|100000;48|100:14245|1:14255|1:1|200000;48|100:14245|1:14255|1:14265|1:1|400000,,,
14266,3,3,1:14123:24123:44300;2:14122:24122:44301;3:14127:24127:44303;,2,1,3,14246|1:1|100000;14256|1:1|200000;14266|1:1|400000,1750;1870;2500,48|100;14246|1:48|100:1|100000;48|100:14246|1:14256|1:1|200000;48|100:14246|1:14256|1:14266|1:1|400000,,,
14267,3,3,1:14224:24224:44307;2:14225:24225:44305;3:14227:24227:44308;,2,2,3,14247|1:1|100000;14257|1:1|200000;14267|1:1|400000,1750;1870;2500,48|100;14247|1:48|100:1|100000;48|100:14247|1:14257|1:1|200000;48|100:14247|1:14257|1:14267|1:1|400000,,,
14268,3,3,1:15127:25127:45304;2:15126:25126:45301;3:15124:25124:45302;,5,1,3,14248|1:1|100000;14258|1:1|200000;14268|1:1|400000,1750;1870;2500,48|100;14248|1:48|100:1|100000;48|100:14248|1:14258|1:1|200000;48|100:14248|1:14258|1:14268|1:1|400000,,,
14269,3,3,1:15222:25222:45307;2:15223:25223:45306;3:15224:25224:45308;,5,2,3,14249|1:1|100000;14259|1:1|200000;14269|1:1|400000,1750;1870;2500,48|100;14249|1:48|100:1|100000;48|100:14249|1:14259|1:1|200000;48|100:14249|1:14259|1:14269|1:1|400000,,,
14270,3,4,1:11126:21126:41301;2:11125:21125:41300;3:11130:21130:41303;4:11129:21129:41302;,1,1,3,14240|1:1|100000;14250|1:1|200000;14260|1:1|400000;14270|1:1|800000,1750;1870;2500;3800;5000,48|200;14240|1:48|200:1|100000;48|200:14240|1:14250|1:1|200000;48|200:14240|1:14250|1:14260|1:1|400000;48|200:14240|1:14250|1:14260|1:14270|1:1|800000,,,
14271,3,4,1:11227:21227:41308;2:11228:21228:41305;3:11229:21229:41306;4:11230:21230:41309;,1,2,3,14241|1:1|100000;14251|1:1|200000;14261|1:1|400000;14271|1:1|800000,1750;1870;2500;3800;5000,48|200;14241|1:48|200:1|100000;48|200:14241|1:14251|1:1|200000;48|200:14241|1:14251|1:14261|1:1|400000;48|200:14241|1:14251|1:14261|1:14271|1:1|800000,,,
14272,3,4,1:12122:22122:42301;2:12121:22121:42300;3:12125:22125:42302;4:12126:22126:42304;,4,1,3,14242|1:1|100000;14252|1:1|200000;14262|1:1|400000;14272|1:1|800000,1750;1870;2500;3800;5000,48|200;14242|1:48|200:1|100000;48|200:14242|1:14252|1:1|200000;48|200:14242|1:14252|1:14262|1:1|400000;48|200:14242|1:14252|1:14262|1:14272|1:1|800000,,,
14273,3,4,1:12223:22223:42305;2:12224:22224:42306;3:12225:22225:42307;4:12226:22226:42309;,4,2,3,14243|1:1|100000;14253|1:1|200000;14263|1:1|400000;14273|1:1|800000,1750;1870;2500;3800;5000,48|200;14243|1:48|200:1|100000;48|200:14243|1:14253|1:1|200000;48|200:14243|1:14253|1:14263|1:1|400000;48|200:14243|1:14253|1:14263|1:14273|1:1|800000,,,
14274,3,4,1:13125:23125:43304;2:13124:23124:43302;3:13123:23123:43300;4:13128:23128:43303;,3,1,3,14244|1:1|100000;14254|1:1|200000;14264|1:1|400000;14274|1:1|800000,1750;1870;2500;3800;5000,48|200;14244|1:48|200:1|100000;48|200:14244|1:14254|1:1|200000;48|200:14244|1:14254|1:14264|1:1|400000;48|200:14244|1:14254|1:14264|1:14274|1:1|800000,,,
14275,3,4,1:13227:23227:43307;2:13226:23226:43308;3:13223:23223:43305;4:13228:23228:43309;,3,2,3,14245|1:1|100000;14255|1:1|200000;14265|1:1|400000;14275|1:1|800000,1750;1870;2500;3800;5000,48|200;14245|1:48|200:1|100000;48|200:14245|1:14255|1:1|200000;48|200:14245|1:14255|1:14265|1:1|400000;48|200:14245|1:14255|1:14265|1:14275|1:1|800000,,,
14276,3,4,1:14123:24123:44300;2:14122:24122:44301;3:14127:24127:44303;4:14126:24126:44302;,2,1,3,14246|1:1|100000;14256|1:1|200000;14266|1:1|400000;14276|1:1|800000,1750;1870;2500;3800;5000,48|200;14246|1:48|200:1|100000;48|200:14246|1:14256|1:1|200000;48|200:14246|1:14256|1:14266|1:1|400000;48|200:14246|1:14256|1:14266|1:14276|1:1|800000,,,
14277,3,4,1:14224:24224:44307;2:14225:24225:44305;3:14227:24227:44308;4:14226:24226:44306;,2,2,3,14247|1:1|100000;14257|1:1|200000;14267|1:1|400000;14277|1:1|800000,1750;1870;2500;3800;5000,48|200;14247|1:48|200:1|100000;48|200:14247|1:14257|1:1|200000;48|200:14247|1:14257|1:14267|1:1|400000;48|200:14247|1:14257|1:14267|1:14277|1:1|800000,,,
14278,3,4,1:15127:25127:45304;2:15126:25126:45301;3:15124:25124:45302;4:15125:25125:45300;,5,1,3,14248|1:1|100000;14258|1:1|200000;14268|1:1|400000;14278|1:1|800000,1750;1870;2500;3800;5000,48|200;14248|1:48|200:1|100000;48|200:14248|1:14258|1:1|200000;48|200:14248|1:14258|1:14268|1:1|400000;48|200:14248|1:14258|1:14268|1:14278|1:1|800000,,,
14279,3,4,1:15222:25222:45307;2:15223:25223:45306;3:15224:25224:45308;4:15225:25225:45305;,5,2,3,14249|1:1|100000;14259|1:1|200000;14269|1:1|400000;14279|1:1|800000,1750;1870;2500;3800;5000,48|200;14249|1:48|200:1|100000;48|200:14249|1:14259|1:1|200000;48|200:14249|1:14259|1:14269|1:1|400000;48|200:14249|1:14259|1:14269|1:14279|1:1|800000,,,
14280,3,5,1:11126:21126:41301;2:11125:21125:41300;3:11130:21130:41303;4:11129:21129:41302;5:11130:21130:41304;,1,1,3,14240|1:1|100000;14250|1:1|200000;14260|1:1|400000;14270|1:1|800000;14280|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14240|1:48|500:1|100000;48|500:14240|1:14250|1:1|200000;48|500:14240|1:14250|1:14260|1:1|400000;48|500:14240|1:14250|1:14260|1:14270|1:1|800000;48|500:14240|1:14250|1:14260|1:14270|1:14280|1:1|1600000,2:1000,1,1:45
14281,3,5,1:11227:21227:41308;2:11228:21228:41305;3:11229:21229:41306;4:11230:21230:41309;5:11229:21229:41307;,1,2,3,14241|1:1|100000;14251|1:1|200000;14261|1:1|400000;14271|1:1|800000;14281|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14241|1:48|500:1|100000;48|500:14241|1:14251|1:1|200000;48|500:14241|1:14251|1:14261|1:1|400000;48|500:14241|1:14251|1:14261|1:14271|1:1|800000;48|500:14241|1:14251|1:14261|1:14271|1:14281|1:1|1600000,2:1000,1,1:45
14282,3,5,1:12122:22122:42301;2:12121:22121:42300;3:12125:22125:42302;4:12126:22126:42304;5:12125:22125:42303;,4,1,3,14242|1:1|100000;14252|1:1|200000;14262|1:1|400000;14272|1:1|800000;14282|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14242|1:48|500:1|100000;48|500:14242|1:14252|1:1|200000;48|500:14242|1:14252|1:14262|1:1|400000;48|500:14242|1:14252|1:14262|1:14272|1:1|800000;48|500:14242|1:14252|1:14262|1:14272|1:14282|1:1|1600000,2:1000,1,1:45
14283,3,5,1:12223:22223:42305;2:12224:22224:42306;3:12225:22225:42307;4:12226:22226:42309;5:12225:22225:42308;,4,2,3,14243|1:1|100000;14253|1:1|200000;14263|1:1|400000;14273|1:1|800000;14283|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14243|1:48|500:1|100000;48|500:14243|1:14253|1:1|200000;48|500:14243|1:14253|1:14263|1:1|400000;48|500:14243|1:14253|1:14263|1:14273|1:1|800000;48|500:14243|1:14253|1:14263|1:14273|1:14283|1:1|1600000,2:1000,1,1:45
14284,3,5,1:13125:23125:43304;2:13124:23124:43302;3:13123:23123:43300;4:13128:23128:43303;5:13123:23123:43301;,3,1,3,14244|1:1|100000;14254|1:1|200000;14264|1:1|400000;14274|1:1|800000;14284|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14244|1:48|500:1|100000;48|500:14244|1:14254|1:1|200000;48|500:14244|1:14254|1:14264|1:1|400000;48|500:14244|1:14254|1:14264|1:14274|1:1|800000;48|500:14244|1:14254|1:14264|1:14274|1:14284|1:1|1600000,2:1000,1,1:45
14285,3,5,1:13227:23227:43307;2:13226:23226:43308;3:13223:23223:43305;4:13228:23228:43309;5:13223:23223:43306;,3,2,3,14245|1:1|100000;14255|1:1|200000;14265|1:1|400000;14275|1:1|800000;14285|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14245|1:48|500:1|100000;48|500:14245|1:14255|1:1|200000;48|500:14245|1:14255|1:14265|1:1|400000;48|500:14245|1:14255|1:14265|1:14275|1:1|800000;48|500:14245|1:14255|1:14265|1:14275|1:14285|1:1|1600000,2:1000,1,1:45
14286,3,5,1:14123:24123:44300;2:14122:24122:44301;3:14127:24127:44303;4:14126:24126:44302;5:14127:24127:44304;,2,1,3,14246|1:1|100000;14256|1:1|200000;14266|1:1|400000;14276|1:1|800000;14286|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14246|1:48|500:1|100000;48|500:14246|1:14256|1:1|200000;48|500:14246|1:14256|1:14266|1:1|400000;48|500:14246|1:14256|1:14266|1:14276|1:1|800000;48|500:14246|1:14256|1:14266|1:14276|1:14286|1:1|1600000,2:1000,1,1:45
14287,3,5,1:14224:24224:44307;2:14225:24225:44305;3:14227:24227:44308;4:14226:24226:44306;5:14227:24227:44309;,2,2,3,14247|1:1|100000;14257|1:1|200000;14267|1:1|400000;14277|1:1|800000;14287|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14247|1:48|500:1|100000;48|500:14247|1:14257|1:1|200000;48|500:14247|1:14257|1:14267|1:1|400000;48|500:14247|1:14257|1:14267|1:14277|1:1|800000;48|500:14247|1:14257|1:14267|1:14277|1:14287|1:1|1600000,2:1000,1,1:45
14288,3,5,1:15127:25127:45304;2:15126:25126:45301;3:15124:25124:45302;4:15125:25125:45300;5:15124:25124:45303;,5,1,3,14248|1:1|100000;14258|1:1|200000;14268|1:1|400000;14278|1:1|800000;14288|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14248|1:48|500:1|100000;48|500:14248|1:14258|1:1|200000;48|500:14248|1:14258|1:14268|1:1|400000;48|500:14248|1:14258|1:14268|1:14278|1:1|800000;48|500:14248|1:14258|1:14268|1:14278|1:14288|1:1|1600000,2:1000,1,1:45
14289,3,5,1:15222:25222:45307;2:15223:25223:45306;3:15224:25224:45308;4:15225:25225:45305;5:15224:25224:45309;,5,2,3,14249|1:1|100000;14259|1:1|200000;14269|1:1|400000;14279|1:1|800000;14289|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14249|1:48|500:1|100000;48|500:14249|1:14259|1:1|200000;48|500:14249|1:14259|1:14269|1:1|400000;48|500:14249|1:14259|1:14269|1:14279|1:1|800000;48|500:14249|1:14259|1:14269|1:14279|1:14289|1:1|1600000,2:1000,1,1:45
14290,3,1,1:11129:21129:41310,1,1,3,14290|1:1|100000,1750,48|50;14290|1:1|100000:48|50,,,
14291,3,1,1:11230:21230:41316,1,2,3,14291|1:1|100000,1750,48|50;14291|1:1|100000:48|50,,,
14292,3,1,1:12126:22126:42311,4,1,3,14292|1:1|100000,1750,48|50;14292|1:1|100000:48|50,,,
14293,3,1,1:12226:22226:42316,4,2,3,14293|1:1|100000,1750,48|50;14293|1:1|100000:48|50,,,
14294,3,1,1:13128:23128:43311,3,1,3,14294|1:1|100000,1750,48|50;14294|1:1|100000:48|50,,,
14295,3,1,1:13228:23228:43315,3,2,3,14295|1:1|100000,1750,48|50;14295|1:1|100000:48|50,,,
14296,3,1,1:14126:24126:44310,2,1,3,14296|1:1|100000,1750,48|50;14296|1:1|100000:48|50,,,
14297,3,1,1:14226:24226:44315,2,2,3,14297|1:1|100000,1750,48|50;14297|1:1|100000:48|50,,,
14298,3,1,1:15125:25125:45311,5,1,3,14298|1:1|100000,1750,48|50;14298|1:1|100000:48|50,,,
14299,3,1,1:15225:25225:45314,5,2,3,14299|1:1|100000,1750,48|50;14299|1:1|100000:48|50,,,
14300,3,2,1:11129:21129:41310;2:11131:21131:41312,1,1,3,14290|1:1|100000;14300|1:1|200000,1750;1870,48|60;14290|1:1|100000:48|60;14290|1:14300|1:1|200000:48|60,,,
14301,3,2,1:11230:21230:41316;2:11231:21231:41317,1,2,3,14291|1:1|100000;14301|1:1|200000,1750;1870,48|60;14291|1:1|100000:48|60;14291|1:14301|1:1|200000:48|60,,,
14302,3,2,1:12126:22126:42311;2:12127:22127:42312,4,1,3,14292|1:1|100000;14302|1:1|200000,1750;1870,48|60;14292|1:1|100000:48|60;14292|1:14302|1:1|200000:48|60,,,
14303,3,2,1:12226:22226:42316;2:12228:22228:42319,4,2,3,14293|1:1|100000;14303|1:1|200000,1750;1870,48|60;14293|1:1|100000:48|60;14293|1:14303|1:1|200000:48|60,,,
14304,3,2,1:13128:23128:43311;2:13129:23129:43319,3,1,3,14294|1:1|100000;14304|1:1|200000,1750;1870,48|60;14294|1:1|100000:48|60;14294|1:14304|1:1|200000:48|60,,,
14305,3,2,1:13228:23228:43315;2:13222:23222:43318,3,2,3,14295|1:1|100000;14305|1:1|200000,1750;1870,48|60;14295|1:1|100000:48|60;14295|1:14305|1:1|200000:48|60,,,
14306,3,2,1:14126:24126:44310;2:14128:24128:44314,2,1,3,14296|1:1|100000;14306|1:1|200000,1750;1870,48|60;14296|1:1|100000:48|60;14296|1:14306|1:1|200000:48|60,,,
14307,3,2,1:14226:24226:44315;2:14228:24228:44319,2,2,3,14297|1:1|100000;14307|1:1|200000,1750;1870,48|60;14297|1:1|100000:48|60;14297|1:14307|1:1|200000:48|60,,,
14308,3,2,1:15125:25125:45311;2:15128:25128:45319,5,1,3,14298|1:1|100000;14308|1:1|200000,1750;1870,48|60;14298|1:1|100000:48|60;14298|1:14308|1:1|200000:48|60,,,
14309,3,2,1:15225:25225:45314;2:15229:25229:45316,5,2,3,14299|1:1|100000;14309|1:1|200000,1750;1870,48|60;14299|1:1|100000:48|60;14299|1:14309|1:1|200000:48|60,,,
14310,3,3,1:11129:21129:41310;2:11131:21131:41312;3:11132:21132:41313,1,1,3,14290|1:1|100000;14300|1:1|200000;14310|1:1|400000,1750;1870;2500,48|100;14290|1:1|100000:48|100;14290|1:14300|1:1|200000:48|100;14290|1:14300|1:14310|1:1|400000:48|100,,,
14311,3,3,1:11230:21230:41316;2:11231:21231:41317;3:11232:21232:41318,1,2,3,14291|1:1|100000;14301|1:1|200000;14311|1:1|400000,1750;1870;2500,48|100;14291|1:1|100000:48|100;14291|1:14301|1:1|200000:48|100;14291|1:14301|1:14311|1:1|400000:48|100,,,
14312,3,3,1:12126:22126:42311;2:12127:22127:42312;3:12128:22128:42313,4,1,3,14292|1:1|100000;14302|1:1|200000;14312|1:1|400000,1750;1870;2500,48|100;14292|1:1|100000:48|100;14292|1:14302|1:1|200000:48|100;14292|1:14302|1:14312|1:1|400000:48|100,,,
