任务ID,任务枚举,任务奖励,是否显示进度,积分
71,1:18,12838:1;26:200;23:1,1,1
72,37:20,12838:1;26:200;23:1,1,1
73,48:3:3,530:10;26:200;23:1,1,1
74,22:3,115:5;26:200;23:1,1,1
75,51:5,12838:1;26:200;23:1,1,1
76,1:24,12838:1;26:200;23:1,1,1
77,37:45,12838:1;26:200;23:1,1,1
78,48:3:6,530:10;26:200;23:1,1,1
79,42:5,115:5;26:200;23:1,1,1
80,51:15,12838:1;26:200;23:1,1,1
81,1:29,12838:1;26:200;23:1,1,1
82,37:65,12838:1;26:200;23:1,1,1
83,48:4:3,512:1;26:200;23:1,1,1
84,42:10,115:5;26:200;23:1,1,1
85,51:30,12838:1;26:200;23:1,1,1
86,1:35,12838:1;26:200;23:1,1,1
87,37:80,116:3;26:200;23:1,1,1
88,48:4:5,512:1;26:200;23:1,1,1
89,42:15,115:5;26:200;23:1,1,1
90,63:10,12838:1;26:200;23:1,1,1
91,1:40,12838:1;26:200;23:1,1,1
92,37:100,116:3;26:200;23:1,1,1
93,48:4:7,512:1;26:200;23:1,1,1
94,42:20,115:5;26:200;23:1,1,1
95,62:20,12838:1;26:200;23:1,1,1
96,1:45,12838:1;26:200;23:1,1,1
97,37:125,116:3;26:200;23:1,1,1
98,48:4:9,512:1;26:200;23:1,1,1
99,42:30,115:5;26:200;23:1,1,1
100,63:20,12838:1;26:200;23:1,1,1
101,1:52,12838:1;26:200;23:1,1,1
102,37:145,116:3;26:200;23:1,1,1
103,48:4:12,512:1;26:200;23:1,1,1
104,42:50,115:5;26:200;23:1,1,1
105,62:50,12838:1;26:200;23:1,1,1
106,1:54,11:30000;26:200;23:1,1,1
107,37:160,5:50000;26:200;23:1,1,1
108,48:4:15,116:3;26:200;23:1,1,1
109,42:55,115:5;26:200;23:1,1,1
110,63:30,942:1;26:200;23:1,1,1
111,1:58,11:35000;26:200;23:1,1,1
112,37:175,5:55000;26:200;23:1,1,1
113,48:4:18,116:3;26:200;23:1,1,1
114,42:65,115:5;26:200;23:1,1,1
115,45:3:4,942:1;26:200;23:1,1,1
116,1:62,11:40000;26:200;23:1,1,1
117,37:190,5:60000;26:200;23:1,1,1
118,48:4:21,116:3;26:200;23:1,1,1
119,42:75,115:5;26:200;23:1,1,1
120,46:3:1,942:1;26:200;23:1,1,1
121,1:65,11:45000;26:200;23:1,1,1
122,37:200,5:65000;26:200;23:1,1,1
123,48:4:24,116:3;26:200;23:1,1,1
124,42:85,115:5;26:200;23:1,1,1
125,62:90,942:1;26:200;23:1,1,1
126,1:68,11:50000;26:200;23:1,1,1
127,37:210,5:70000;26:200;23:1,1,1
128,48:4:27,116:3;26:200;23:1,1,1
129,42:95,115:5;26:200;23:1,1,1
130,63:50,942:1;26:200;23:1,1,1
131,1:71,11:55000;26:200;23:1,1,1
132,37:220,5:75000;26:200;23:1,1,1
133,48:4:30,116:3;26:200;23:1,1,1
134,42:105,115:5;26:200;23:1,1,1
135,46:3:3,942:1;26:200;23:1,1,1
136,1:75,11:60000;26:200;23:1,1,1
137,37:230,5:80000;26:200;23:1,1,1
138,48:4:35,116:3;26:200;23:1,1,1
139,42:115,115:5;26:200;23:1,1,1
140,45:3:7,942:1;26:200;23:1,1,1
141,72:4:80,934:1,1,
142,67:35,934:1,1,
143,68:35,934:1,1,
144,71:12340:1,934:3,1,
145,70:5007:1,934:1,1,
146,70:5008:1,934:3,1,
147,60:66,934:4,1,
148,72:4:80,934:1,1,
149,67:35,934:1,1,
150,68:35,934:1,1,
151,71:12348:1,934:3,1,
152,70:6007:1,934:1,1,
153,70:6008:1,934:3,1,
154,60:66,934:4,1,
155,72:4:80,934:1,1,
156,67:35,934:1,1,
157,68:35,934:1,1,
158,71:12375:1,934:3,1,
159,70:7007:1,934:1,1,
160,70:7008:1,934:3,1,
161,60:66,934:4,1,
162,72:4:80,934:1,1,
163,67:35,934:1,1,
164,68:35,934:1,1,
165,71:12356:1,934:3,1,
166,70:8007:1,934:1,1,
167,70:8008:1,934:3,1,
168,60:66,934:4,1,
169,72:4:80,934:1,1,
170,67:35,934:1,1,
171,68:35,934:1,1,
172,71:12385:1,934:3,1,
173,70:9007:1,934:1,1,
174,70:9008:1,934:3,1,
175,60:66,934:4,1,
176,72:4:80,934:1,1,
177,67:35,934:1,1,
178,68:35,934:1,1,
179,71:12331:1,934:3,1,
180,70:1007:1,934:1,1,
181,70:1008:1,934:3,1,
182,60:66,934:4,1,
183,72:4:80,934:1,1,
184,67:35,934:1,1,
185,68:35,934:1,1,
186,71:12336:1,934:3,1,
187,70:1507:1,934:1,1,
188,70:1508:1,934:3,1,
189,60:66,934:4,1,
190,72:4:80,934:1,1,
191,67:35,934:1,1,
192,68:35,934:1,1,
193,71:12350:1,934:3,1,
194,70:2007:1,934:1,1,
195,70:2008:1,934:3,1,
196,60:66,934:4,1,
197,72:4:80,934:1,1,
198,67:35,934:1,1,
199,68:35,934:1,1,
200,71:12373:1,934:3,1,
201,70:3007:1,934:1,1,
202,70:3008:1,934:3,1,
203,60:66,934:4,1,
204,72:4:80,934:1,1,
205,67:35,934:1,1,
206,68:35,934:1,1,
207,71:12358:1,934:3,1,
208,70:4007:1,934:1,1,
209,70:4008:1,934:3,1,
210,60:66,934:4,1,
211,72:4:80,934:1,1,
212,67:35,934:1,1,
213,68:35,934:1,1,
214,71:12361:1,934:3,1,
215,70:5007:1,934:1,1,
216,70:5008:1,934:3,1,
217,60:66,934:4,1,
218,72:4:80,934:1,1,
219,67:35,934:1,1,
220,68:35,934:1,1,
221,71:12369:1,934:3,1,
222,70:6007:1,934:1,1,
223,70:6008:1,934:3,1,
224,60:66,934:4,1,
225,72:4:80,934:1,1,
226,67:35,934:1,1,
227,68:35,934:1,1,
228,71:12377:1,934:3,1,
229,70:7007:1,934:1,1,
230,70:7008:1,934:3,1,
231,60:66,934:4,1,
232,72:4:80,934:1,1,
233,67:35,934:1,1,
234,68:35,934:1,1,
235,71:12349:1,934:3,1,
236,70:8007:1,934:1,1,
237,70:8008:1,934:3,1,
238,60:66,934:4,1,
239,72:4:80,934:1,1,
240,67:35,934:1,1,
241,68:35,934:1,1,
242,71:12390:1,934:3,1,
243,70:9007:1,934:1,1,
244,70:9008:1,934:3,1,
245,60:66,934:4,1,
246,72:4:80,934:1,1,
247,67:35,934:1,1,
248,68:35,934:1,1,
249,71:12382:1,934:3,1,
250,70:1007:1,934:1,1,
251,70:1008:1,934:3,1,
252,60:66,934:4,1,
253,72:4:80,934:1,1,
254,67:35,934:1,1,
255,68:35,934:1,1,
256,71:12370:1,934:3,1,
257,70:1507:1,934:1,1,
258,70:1508:1,934:3,1,
259,60:66,934:4,1,
260,72:4:80,934:1,1,
261,67:35,934:1,1,
262,68:35,934:1,1,
263,71:12379:1,934:3,1,
264,70:2007:1,934:1,1,
265,70:2008:1,934:3,1,
266,60:66,934:4,1,
267,72:4:80,934:1,1,
268,67:35,934:1,1,
269,68:35,934:1,1,
270,71:12376:1,934:3,1,
271,70:3007:1,934:1,1,
272,70:3008:1,934:3,1,
273,60:66,934:4,1,
274,72:4:80,934:1,1,
275,67:35,934:1,1,
276,68:35,934:1,1,
277,71:12383:1,934:3,1,
278,70:4007:1,934:1,1,
279,70:4008:1,934:3,1,
280,60:66,934:4,1,
281,72:4:6,11:50000,1,
282,67:1,2:50,1,
283,68:1,2:50,1,
284,60:6,15099:1;15100:1,1,
285,71:12321:1,100:1,1,
286,70:5004:1,15099:1,1,
287,70:5005:1,100:1,1,
288,72:4:6,11:50000,1,
289,67:1,2:50,1,
290,68:1,2:50,1,
291,60:6,15099:1;15100:1,1,
292,71:12322:1,100:1,1,
293,70:6004:1,15099:1,1,
294,70:6005:1,100:1,1,
295,72:4:6,11:50000,1,
296,67:1,2:50,1,
297,68:1,2:50,1,
298,60:6,15099:1;15100:1,1,
299,71:12313:1,100:1,1,
300,70:7004:1,15099:1,1,
301,70:7005:1,100:1,1,
302,72:4:6,11:50000,1,
303,67:1,2:50,1,
304,68:1,2:50,1,
305,60:6,15099:1;15100:1,1,
306,71:12314:1,100:1,1,
307,70:8004:1,15099:1,1,
308,70:8005:1,100:1,1,
309,72:4:6,11:50000,1,
310,67:1,2:50,1,
311,68:1,2:50,1,
312,60:6,15099:1;15100:1,1,
313,71:12315:1,100:1,1,
314,70:9004:1,15099:1,1,
315,70:9005:1,100:1,1,
316,72:4:6,11:50000,1,
317,67:1,2:50,1,
318,68:1,2:50,1,
319,60:6,15099:1;15100:1,1,
320,71:12316:1,100:1,1,
321,70:1004:1,15099:1,1,
322,70:1005:1,100:1,1,
323,72:4:6,11:50000,1,
324,67:1,2:50,1,
325,68:1,2:50,1,
326,60:6,15099:1;15100:1,1,
327,71:12317:1,100:1,1,
328,70:1504:1,15099:1,1,
329,70:1505:1,100:1,1,
330,72:4:6,11:50000,1,
331,67:1,2:50,1,
332,68:1,2:50,1,
333,60:6,15099:1;15100:1,1,
334,71:12318:1,100:1,1,
335,70:2004:1,15099:1,1,
336,70:2005:1,100:1,1,
337,72:4:6,11:50000,1,
338,67:1,2:50,1,
339,68:1,2:50,1,
340,60:6,15099:1;15100:1,1,
341,71:12319:1,100:1,1,
342,70:3004:1,15099:1,1,
343,70:3005:1,100:1,1,
344,72:4:6,11:50000,1,
345,67:1,2:50,1,
346,68:1,2:50,1,
347,60:6,15099:1;15100:1,1,
348,71:12320:1,100:1,1,
349,70:4004:1,15099:1,1,
350,70:4005:1,100:1,1,
351,72:4:6,11:50000,1,
352,67:1,2:50,1,
353,68:1,2:50,1,
354,60:6,15099:1;15100:1,1,
355,71:12323:1,100:1,1,
356,70:5004:1,15099:1,1,
357,70:5005:1,100:1,1,
358,72:4:6,11:50000,1,
359,67:1,2:50,1,
360,68:1,2:50,1,
361,60:6,15099:1;15100:1,1,
362,71:12324:1,100:1,1,
363,70:6004:1,15099:1,1,
364,70:6005:1,100:1,1,
365,72:4:6,11:50000,1,
366,67:1,2:50,1,
367,68:1,2:50,1,
368,60:6,15099:1;15100:1,1,
369,71:12325:1,100:1,1,
370,70:7004:1,15099:1,1,
371,70:7005:1,100:1,1,
372,72:4:6,11:50000,1,
373,67:1,2:50,1,
374,68:1,2:50,1,
375,60:6,15099:1;15100:1,1,
376,71:12326:1,100:1,1,
377,70:8004:1,15099:1,1,
378,70:8005:1,100:1,1,
379,72:4:6,11:50000,1,
380,67:1,2:50,1,
381,68:1,2:50,1,
382,60:6,15099:1;15100:1,1,
383,71:12327:1,100:1,1,
384,70:9004:1,15099:1,1,
385,70:9005:1,100:1,1,
386,72:4:6,11:50000,1,
387,67:1,2:50,1,
388,68:1,2:50,1,
389,60:6,15099:1;15100:1,1,
390,71:12328:1,100:1,1,
391,70:1004:1,15099:1,1,
392,70:1005:1,100:1,1,
393,72:4:6,11:50000,1,
394,67:1,2:50,1,
395,68:1,2:50,1,
396,60:6,15099:1;15100:1,1,
397,71:12329:1,100:1,1,
398,70:1504:1,15099:1,1,
399,70:1505:1,100:1,1,
400,72:4:6,11:50000,1,
401,67:1,2:50,1,
402,68:1,2:50,1,
403,60:6,15099:1;15100:1,1,
404,71:12330:1,100:1,1,
405,70:2004:1,15099:1,1,
406,70:2005:1,100:1,1,
407,72:4:6,11:50000,1,
408,67:1,2:50,1,
409,68:1,2:50,1,
410,60:6,15099:1;15100:1,1,
411,71:12321:1,100:1,1,
412,70:3004:1,15099:1,1,
413,70:3005:1,100:1,1,
414,72:4:6,11:50000,1,
415,67:1,2:50,1,
416,68:1,2:50,1,
417,60:6,15099:1;15100:1,1,
418,71:12322:1,100:1,1,
419,70:4004:1,15099:1,1,
420,70:4005:1,100:1,1,
421,60:100,208:1,1,
422,60:200,208:1,1,
423,60:500,208:5,1,
424,60:1000,208:5,1,
425,60:1500,208:5,1,
426,60:2200,208:5,1,
427,60:3000,208:10,1,
428,60:4000,208:10,1,
429,60:5000,208:10,1,
430,60:6000,208:10,1,
431,60:7000,208:10,1,
432,60:8000,208:10,1,
433,60:9000,208:10,1,
434,60:10000,208:10,1,
435,72:4:80,934:1,1,
436,67:35,934:1,1,
437,68:35,934:1,1,
438,71:12334:1,934:3,1,
439,70:5007:1,934:1,1,
440,70:5008:1,934:3,1,
441,60:66,934:4,1,
442,72:4:80,934:1,1,
443,67:35,934:1,1,
444,68:35,934:1,1,
445,71:12336:1,934:3,1,
446,70:6007:1,934:1,1,
447,70:6008:1,934:3,1,
448,60:66,934:4,1,
449,72:4:80,934:1,1,
450,67:35,934:1,1,
451,68:35,934:1,1,
452,71:12351:1,934:3,1,
453,70:7007:1,934:1,1,
454,70:7008:1,934:3,1,
455,60:66,934:4,1,
456,72:4:80,934:1,1,
457,67:35,934:1,1,
458,68:35,934:1,1,
459,71:12355:1,934:3,1,
460,70:8007:1,934:1,1,
461,70:8008:1,934:3,1,
462,60:66,934:4,1,
463,72:4:80,934:1,1,
464,67:35,934:1,1,
465,68:35,934:1,1,
466,71:12381:1,934:3,1,
467,70:9007:1,934:1,1,
468,70:9008:1,934:3,1,
469,60:66,934:4,1,
470,72:4:80,934:1,1,
471,67:35,934:1,1,
472,68:35,934:1,1,
473,71:12357:1,934:3,1,
474,70:1007:1,934:1,1,
475,70:1008:1,934:3,1,
476,60:66,934:4,1,
477,72:4:80,934:1,1,
478,67:35,934:1,1,
479,68:35,934:1,1,
480,71:12388:1,934:3,1,
481,70:1507:1,934:1,1,
482,70:1508:1,934:3,1,
483,60:66,934:4,1,
484,72:4:80,934:1,1,
485,67:35,934:1,1,
486,68:35,934:1,1,
487,71:12358:1,934:3,1,
488,70:2007:1,934:1,1,
489,70:2008:1,934:3,1,
490,60:66,934:4,1,
491,72:4:80,934:1,1,
492,67:35,934:1,1,
493,68:35,934:1,1,
494,71:12375:1,934:3,1,
495,70:3007:1,934:1,1,
496,70:3008:1,934:3,1,
497,60:66,934:4,1,
498,72:4:80,934:1,1,
499,67:35,934:1,1,
500,68:35,934:1,1,
501,71:12382:1,934:3,1,
502,70:4007:1,934:1,1,
503,70:4008:1,934:3,1,
504,60:66,934:4,1,
505,72:4:6,11:50000,1,
506,67:1,2:50,1,
507,68:1,2:50,1,
508,60:6,15099:1;15100:1,1,
509,71:12323:1,100:1,1,
510,70:5004:1,15099:1,1,
511,70:5005:1,100:1,1,
512,72:4:6,11:50000,1,
513,67:1,2:50,1,
514,68:1,2:50,1,
515,60:6,15099:1;15100:1,1,
516,71:12324:1,100:1,1,
517,70:6004:1,15099:1,1,
518,70:6005:1,100:1,1,
519,72:4:6,11:50000,1,
520,67:1,2:50,1,
521,68:1,2:50,1,
522,60:6,15099:1;15100:1,1,
523,71:12325:1,100:1,1,
524,70:7004:1,15099:1,1,
525,70:7005:1,100:1,1,
526,72:4:6,11:50000,1,
527,67:1,2:50,1,
528,68:1,2:50,1,
529,60:6,15099:1;15100:1,1,
530,71:12326:1,100:1,1,
531,70:8004:1,15099:1,1,
532,70:8005:1,100:1,1,
533,72:4:6,11:50000,1,
534,67:1,2:50,1,
535,68:1,2:50,1,
536,60:6,15099:1;15100:1,1,
537,71:12327:1,100:1,1,
538,70:9004:1,15099:1,1,
539,70:9005:1,100:1,1,
540,72:4:6,11:50000,1,
541,67:1,2:50,1,
542,68:1,2:50,1,
543,60:6,15099:1;15100:1,1,
544,71:12328:1,100:1,1,
545,70:1004:1,15099:1,1,
546,70:1005:1,100:1,1,
547,72:4:6,11:50000,1,
548,67:1,2:50,1,
549,68:1,2:50,1,
550,60:6,15099:1;15100:1,1,
551,71:12329:1,100:1,1,
552,70:1504:1,15099:1,1,
553,70:1505:1,100:1,1,
554,72:4:6,11:50000,1,
555,67:1,2:50,1,
556,68:1,2:50,1,
557,60:6,15099:1;15100:1,1,
558,71:12330:1,100:1,1,
559,70:2004:1,15099:1,1,
560,70:2005:1,100:1,1,
561,72:4:6,11:50000,1,
562,67:1,2:50,1,
563,68:1,2:50,1,
564,60:6,15099:1;15100:1,1,
565,71:12321:1,100:1,1,
566,70:3004:1,15099:1,1,
567,70:3005:1,100:1,1,
568,72:4:6,11:50000,1,
569,67:1,2:50,1,
570,68:1,2:50,1,
571,60:6,15099:1;15100:1,1,
572,71:12322:1,100:1,1,
573,70:4004:1,15099:1,1,
574,70:4005:1,100:1,1,
575,60:100,231:6;100:5,1,
576,60:200,231:6;100:5,1,
577,60:500,231:6;100:8,1,
578,60:1000,231:8;100:8,1,
579,60:1500,231:9;100:10,1,
580,60:2200,231:10;100:10,1,
581,60:3000,231:10;100:10,1,
582,60:4000,231:10;100:15,1,
583,60:5000,231:10;100:15,1,
584,60:7500,231:20;100:20,1,
585,60:10000,231:25;100:30,1,
586,60:10,607:1,1,
587,60:100,607:1,1,
588,70:5010:1,5010:1,1,
589,70:6010:1,6010:1,1,
590,70:7010:1,7010:1,1,
591,70:8010:1,8010:1,1,
592,70:9010:1,9010:1,1,
593,60:100,15065:1;100:1,1,
594,60:200,15065:1;100:1,1,
595,60:600,15065:1;100:2,1,
596,60:1200,15065:1;100:2,1,
597,60:1800,15065:1;100:3,1,
598,60:2500,15065:1;100:4,1,
599,60:3500,15065:1;100:5,1,
600,60:100,2:100;100:1,1,
601,60:200,2:200;100:1,1,
602,60:600,2:600;100:2,1,
603,60:1200,2:1200;15065:1,1,
604,60:1800,2:1800;15065:1,1,
605,60:2500,2:2500;15065:1,1,
606,60:3500,2:3500;15065:1,1,
607,60:5000,2:5000;15065:1,1,
608,60:100,2:100;15063:1,1,
609,60:200,2:200;15063:1,1,
610,60:600,2:600;15063:2,1,
611,60:1200,2:1200;15063:2,1,
612,60:1800,2:1800;15063:3,1,
613,60:2500,2:2500;15063:3,1,
614,60:3500,2:3500;15063:4,1,
615,60:5000,2:5000;15063:4,1,
616,70:1010:1,1010:1,1,
617,70:1510:1,1510:1,1,
618,70:2010:1,2010:1,1,
619,70:3010:1,3010:1,1,
620,70:4010:1,4010:1,1,
621,70:1008:1,1008:1,1,
622,70:1508:1,1508:1,1,
623,70:2008:1,2008:1,1,
624,70:3008:1,3008:1,1,
625,70:4008:1,4008:1,1,
626,71:12234:1,12194:1,1,
627,71:12233:1,12192:1,1,
628,71:12247:1,12147:1,1,
629,71:12232:1,12132:1,1,
630,71:12237:1,12137:1,1,
631,71:12243:1,12143:1,1,
632,60:100,607:1;2:100,1,
633,60:200,607:1;2:200,1,
634,60:600,701:2;2:600,1,
635,60:1200,701:2;2:1200,1,
636,60:1800,701:2;2:1800,1,
637,60:2500,701:3;2:2500,1,
638,60:3500,701:3;2:3500,1,
639,60:5000,701:3;2:5000,1,
640,60:10,100:10,1,
641,60:100,100:10;2:100,1,
642,60:200,100:20;110:10;2:200,1,
643,60:600,100:30;110:20;607:1;2:600,1,
644,60:1200,100:30;110:20;607:2;2:1200,1,
645,60:1800,100:30;110:20;607:3;2:1800,1,
646,60:2500,100:50;110:30;607:4;2:2500,1,
647,60:3500,100:50;110:30;607:5;2:3500,1,
648,60:5000,100:50;110:30;607:6;2:5000,1,
649,60:7500,704:1;2:7500,1,
650,60:10000,707:1;2:10000,1,
651,60:100,607:1;2:100,1,
652,60:200,607:1;2:200,1,
653,60:600,701:2;100:20;110:10;2:600,1,
654,60:1200,701:2;100:20;110:10;2:1200,1,
655,60:1800,701:2;100:20;110:10;2:1800,1,
656,60:2500,701:3;100:20;110:10;2:2500,1,
657,60:3500,701:3;100:30;110:20;2:3500,1,
658,60:5000,701:3;100:30;110:20;2:5000,1,
659,60:100,100:1;2:100,1,
660,60:200,100:1;2:200,1,
661,60:600,100:2;2:600,1,
662,60:1200,607:1;2:1200,1,
663,60:1800,607:1;2:1800,1,
664,60:2500,607:2;2:2500,1,
665,60:3500,607:2;2:3500,1,
666,60:5000,607:3;2:5000,1,
667,60:100,100:1;2:100,1,
668,60:200,100:1;2:200,1,
669,60:600,100:2;2:600,1,
670,60:1200,15065:1;2:1200;528:2,1,
671,60:1800,15065:1;2:1800;528:3,1,
672,60:2500,15065:1;2:2500;528:4,1,
673,60:3500,15065:1;2:3500;528:5,1,
674,60:5000,15065:1;2:5000;529:1,1,
675,60:12,100:12,1,
676,60:121,100:10;2:121,1,
677,60:212,100:20;2:212;110:10,1,
678,60:666,100:30;2:666;110:20;607:1,1,
679,60:1212,100:30;2:1212;110:20;704:1,1,
680,60:1888,100:30;2:1888;110:20;704:1,1,
681,60:2424,100:50;2:2424;110:30;704:1,1,
682,60:3636,100:50;2:3636;110:30;704:1,1,
683,60:4848,100:50;2:4848;110:30;704:1,1,
684,60:8888,2:8888;706:1,1,
685,60:12120,2:12120;707:1,1,
686,60:100,607:1;2:100,1,
687,60:200,607:1;2:200,1,
688,60:600,701:2;100:20;110:10;2:600,1,
689,60:1200,701:2;100:20;110:10;2:1200,1,
690,60:1800,701:3;100:20;110:10;2:1800,1,
691,60:2500,701:4;100:20;110:10;2:2500,1,
692,60:3500,701:5;100:30;110:20;2:3500,1,
693,60:5000,701:6;100:30;110:20;2:5000,1,
694,60:1,528:1;2:10;47:20000;531:1,1,
695,60:30,115:5;2:68;47:50000;531:2,1,
696,60:68,116:5;2:88;47:50000;531:3,1,
697,60:128,45:20000;2:188;47:50000;531:4,1,
698,60:328,687:1;2:333;47:50000;531:5,1,
699,60:648,687:1;2:666;47:50000;531:6,1,
700,60:1296,610:1;2:777;47:50000;134:1,1,
701,60:1944,687:1;2:888;47:100000;531:8,1,
702,60:2592,610:1;2:999;47:100000;138:1,1,
703,60:100,607:1;2:100,1,
704,60:200,607:1;2:200,1,
705,60:600,701:2;100:20;110:10;2:600,1,
706,60:1200,701:2;100:20;110:10;2:1200,1,
707,60:1800,701:3;100:20;110:10;2:1800,1,
708,60:2500,701:4;100:20;110:10;2:2500,1,
709,60:3500,701:5;493:100;2:3500,1,
710,60:5000,701:5;12196:1;2:5000,1,
