商品Id,商品名称,商品所属tab,商品页签,商品内容,消耗资源类型,消耗资源数量,活动商品,是否热销,折扣比例,折扣后价格,限购类型次数,开始时间,结束时间,排序Id,权重概率,VIP权重概率1,VIP权重概率2,VIP权重概率3,VIP权重概率4,是否通知客户端,图片,购买后获得道具,上架解锁条件枚举
10015,动物外皮,1,杂货店,420,2,30,,,,,,,,58,,,,,,,,,
10016,恶魔角,1,杂货店,422,2,30,,,,,,,,59,,,,,,,,,
10017,泯灭之心,1,杂货店,440,2,30,,,,,,,,60,,,,,,,,,
10018,职业更换许可证,1,杂货店,145,2,2000,,,,,,,,35,,,,,,,,,
10019,高级双旦礼盒,1,杂货店,151,2,100,151,,,,,,,25,,,,,,1,,,
10020,集字礼盒,1,杂货店,158,2,100,158,,,,,,,26,,,,,,1,,,
10027,潜能圣水,1,杂货店,190,2,2500,,,,,1:5,,,42,,,,,,,,,11:190001
10028,超级技能书,1,杂货店,191,2,2500,,,,,,,,41,,,,,,,,,11:190001
10029,高级技能书,1,杂货店,113,2,200,,,,,,,,47,,,,,,,,,
10030,小整蛊箱,1,杂货店,15036,2,1,,,,,3:1,2021-04-01 05:00:00,2021-04-02 05:00:00,37,,,,,,,,,
10031,青团,1,杂货店,203,2,600,203,,,,,,,36,,,,,,1,,,
10032,技能徽章,1,杂货店,200,2,2500,,,,,,,,38,,,,,,,,,11:190001
10033,白巧克力,1,杂货店,205,2,10,205,,20,2,,,,32,,,,,,1,,,
10034,年糕,1,杂货店,212,2,30,212,,,,,,,24,,,,,,1,,,
10035,黑暗之心,1,杂货店,208,2,100,208,,,,2:90,,,21,,,,,,1,,,
10036,夹心巧克力,1,杂货店,207,2,10,207,,20,2,,,,33,,,,,,1,,,
10037,见证爱情礼盒,1,杂货店,219,2,100,219,,,,2:100,2021-05-19 05:00:00,2021-05-22 05:00:00,20,,,,,,1,,,
10038,情书,1,杂货店,214,2,20,,,,,3:30000,2021-05-22 05:00:00,2021-05-29 05:00:00,19,,,,,,1,,,
10039,浪漫情书,1,杂货店,224,2,20,224,,,,,,,17,,,,,,1,,,
10040,黑暗灵魂,1,杂货店,221,2,100,221,,,,,,,18,,,,,,1,,,
10041,绿色铭文,1,杂货店,192,2,50,,,,,2:10,,,45,,,,,,,,,73:14
10042,蓝色铭文,1,杂货店,193,2,125,,,,,2:10,,,44,,,,,,,,,73:21
10043,紫色铭文,1,杂货店,194,2,360,,,,,2:10,,,43,,,,,,,,,73:28
10044,香囊,1,杂货店,236,2,100,236,,,,,,,16,,,,,,1,,,
10045,手里剑,1,杂货店,241,2,100,241,,,,,,,15,,,,,,1,,,
10046,荧光棒,1,杂货店,238,2,5,238,,,,,,,13,,,,,,1,,,
10047,烈火飞镖,1,杂货店,246,2,100,246,,,,,,,14,,,,,,1,,,
10048,花灯,1,杂货店,249,2,100,249,,,,,,,12,,,,,,1,,,
10049,金秋集字礼盒,1,杂货店,254,2,30,254,,,,2:300,,,26,,,,,,1,,,
10050,黑暗之力,1,杂货店,257,2,20,257,,,,2:10,,,8,,,,,,1,,,
10051,黑暗之力,1,杂货店,257,2,50,257,,,,2:10,,,9,,,,,,1,,,
10052,黑暗之力,1,杂货店,257,2,80,257,,,,2:10,,,10,,,,,,1,,,
10053,黑暗之力,1,杂货店,257,2,100,257,,,,,,,11,,,,,,1,,,
10054,七彩花灯,1,杂货店,259,2,100,259,,,,,,,7,,,,,,1,,,
10055,空间碎片,1,杂货店,261,2,1000,,,,,1:1,,,34,,,,,,1,,,
10056,小蝴蝶,1,杂货店,263,2,100,263,,25,25,2:5,,,3,,,,,,1,,,
10057,小蝴蝶,1,杂货店,263,2,100,263,,50,50,2:5,,,4,,,,,,1,,,
10058,小蝴蝶,1,杂货店,263,2,100,263,,75,75,2:5,,,5,,,,,,1,,,
10059,小蝴蝶,1,杂货店,263,2,100,263,,,100,,,,6,,,,,,1,,,
10060,银铃铛,1,杂货店,265,1,100000,265,,,,,,,100,,,,,,1,,,
10061,金铃铛,1,杂货店,266,2,100,266,,,,,,,101,,,,,,1,,,
10062,幸运铃铛,1,杂货店,271,1,100000,271,,,,,,,3,,,,,,1,,,
10063,祝福铃铛,1,杂货店,272,2,100,272,,,,,,,2,,,,,,1,,,
10064,邪恶之力,1,杂货店,270,2,100,270,,,,,,,1,,,,,,1,,,
10065,龙族信物,1,杂货店,274,2,100,274,,,,,,,7,,,,,,1,,,
10066,墨玉,1,杂货店,276,2,100,276,,,,,,,8,,,,,,1,,,
20001,铝,2,英灵殿,101,12,150,,,,,4:35,,,5,,,,,,,,,
20002,神之金属,2,英灵殿,102,12,150,,,,,4:35,,,6,,,,,,,,,
20003,小恶魔翅膀,2,英灵殿,13047,12,30000,,,,,1:1,,,1,,,,,,,,,
20004,Mvp卡片碎片,2,英灵殿,531,12,625,,,,,,,,2,,,,,,,,,
20005,海盗之王卡片I,2,英灵殿,12137,12,12500,,1,,,,,,3,,,,,,,,,
20006,命运绳结,2,英灵殿,110,12,350,,1,,,2:2,,,4,,,,,,,,,
20007,绿色铭文,2,英灵殿,192,12,200,,,,,,,,7,,,,,,,,,
20008,蓝色铭文,2,英灵殿,193,12,500,,,,,,,,8,,,,,,,,,
20009,紫色铭文,2,英灵殿,194,12,1500,,,,,,,,9,,,,,,,,,
20010,金色铭文,2,英灵殿,195,12,5000,,,,,,,,10,,,,,,,,,
30001,白素贞卡,3,黑市,12154,2,2500,,,,,5:1,,,8,0,100,1000,1000,1000,,,,
30002,死灵卡,3,黑市,12133,2,2500,,,,,5:1,,,9,0,100,1000,1000,1000,,,,
30003,乌龟将军卡,3,黑市,12147,2,2500,,,,,5:1,,,10,0,100,1000,1000,1000,,,,
30004,白素贞卡碎片,3,黑市,12854,2,160,,,,,5:5,,,11,200,50,50,50,,,,,
30005,死灵卡碎片,3,黑市,12833,2,160,,,,,5:5,,,12,200,50,50,50,,,,,
30006,乌龟将军卡碎片,3,黑市,12847,2,160,,,,,5:5,,,13,200,50,50,50,,,,,
30007,宠物碎片-巴风特,3,黑市,941,2,600,,,,,5:5,,,14,0,100,80,240,800,,,,
30008,宠物碎片-蜂后,3,黑市,938,2,600,,,,,5:5,,,15,0,300,400,400,800,,,,
30009,宠物碎片-狂暴巨石怪,3,黑市,942,2,600,,,,,5:5,,,16,0,500,500,500,500,,,,
30010,宠物碎片-巴风特,3,黑市,941,2,600,,,80,480,5:5,,,17,0,0,20,60,200,,,,
30011,宠物碎片-蜂后,3,黑市,938,2,600,,,80,480,5:5,,,18,0,0,100,100,200,,,,
30012,宠物碎片-狂暴巨石怪,3,黑市,942,2,600,,,80,480,5:5,,,19,0,0,500,500,500,,,,
30013,白素贞卡碎片,3,黑市,12854,2,160,,,80,128,5:5,,,20,100,150,450,450,,,,,
30014,死灵卡碎片,3,黑市,12833,2,160,,,80,128,5:5,,,21,100,150,450,450,,,,,
30015,乌龟将军卡碎片,3,黑市,12847,2,160,,,80,128,5:5,,,22,100,150,450,450,,,,,
30016,波利王卡片Ⅰ,3,黑市,12113,2,200,,,,,5:1,,,23,150,150,0,,,,,,
30017,蓝疯兔卡片Ⅰ,3,黑市,12114,2,200,,,,,5:1,,,24,150,150,0,,,,,,
30018,哥布灵首领卡片Ⅰ,3,黑市,12115,2,200,,,,,5:1,,,25,150,150,0,,,,,,
30019,流浪之狼卡片Ⅰ,3,黑市,12116,2,200,,,,,5:1,,,26,150,150,0,,,,,,
30020,犬妖首领卡片Ⅰ,3,黑市,12117,2,200,,,,,5:1,,,27,150,150,0,,,,,,
30021,深渊骑士卡片Ⅰ,3,黑市,12118,2,200,,,,,5:1,,,28,150,150,0,,,,,,
30022,迷幻之王卡片Ⅰ,3,黑市,12119,2,200,,,,,5:1,,,29,150,150,0,,,,,,
30023,龙蝇卡片Ⅰ,3,黑市,12120,2,200,,,,,5:1,,,30,150,150,0,,,,,,
30024,波利王卡片Ⅰ,3,黑市,12113,2,200,,,80,160,5:1,,,31,100,100,0,,,,,,
30025,蓝疯兔卡片Ⅰ,3,黑市,12114,2,200,,,80,160,5:1,,,32,100,100,0,,,,,,
30026,哥布灵首领卡片Ⅰ,3,黑市,12115,2,200,,,80,160,5:1,,,33,100,100,0,,,,,,
30027,流浪之狼卡片Ⅰ,3,黑市,12116,2,200,,,80,160,5:1,,,34,100,100,0,,,,,,
30028,犬妖首领卡片Ⅰ,3,黑市,12117,2,200,,,80,160,5:1,,,35,100,100,0,,,,,,
30029,深渊骑士卡片Ⅰ,3,黑市,12118,2,200,,,80,160,5:1,,,36,100,100,0,,,,,,
30030,迷幻之王卡片Ⅰ,3,黑市,12119,2,200,,,80,160,5:1,,,37,100,100,0,,,,,,
30031,龙蝇卡片Ⅰ,3,黑市,12120,2,200,,,80,160,5:1,,,38,100,100,0,,,,,,
30032,波利王卡片Ⅰ,3,黑市,12113,2,200,,,50,100,5:1,,,39,0,100,0,,,,,,
30033,蓝疯兔卡片Ⅰ,3,黑市,12114,2,200,,,50,100,5:1,,,40,0,100,0,,,,,,
30034,哥布灵首领卡片Ⅰ,3,黑市,12115,2,200,,,50,100,5:1,,,41,0,100,0,,,,,,
30035,流浪之狼卡片Ⅰ,3,黑市,12116,2,200,,,50,100,5:1,,,42,0,100,0,,,,,,
30036,犬妖首领卡片Ⅰ,3,黑市,12117,2,200,,,50,100,5:1,,,43,0,100,0,,,,,,
30037,深渊骑士卡片Ⅰ,3,黑市,12118,2,200,,,50,100,5:1,,,44,0,100,0,,,,,,
30038,迷幻之王卡片Ⅰ,3,黑市,12119,2,200,,,50,100,5:1,,,45,0,100,0,,,,,,
30039,龙蝇卡片Ⅰ,3,黑市,12120,2,200,,,50,100,5:1,,,46,0,100,0,,,,,,
30040,波利王卡片Ⅰ,3,黑市,12113,2,200,,,20,40,5:1,,,47,0,50,0,,,,,,
30041,蓝疯兔卡片Ⅰ,3,黑市,12114,2,200,,,20,40,5:1,,,48,0,50,0,,,,,,
30042,哥布灵首领卡片Ⅰ,3,黑市,12115,2,200,,,20,40,5:1,,,49,0,50,0,,,,,,
30043,流浪之狼卡片Ⅰ,3,黑市,12116,2,200,,,20,40,5:1,,,50,0,50,0,,,,,,
30044,犬妖首领卡片Ⅰ,3,黑市,12117,2,200,,,20,40,5:1,,,51,0,50,0,,,,,,
30045,深渊骑士卡片Ⅰ,3,黑市,12118,2,200,,,20,40,5:1,,,52,0,50,0,,,,,,
30046,迷幻之王卡片Ⅰ,3,黑市,12119,2,200,,,20,40,5:1,,,53,0,50,0,,,,,,
30047,龙蝇卡片Ⅰ,3,黑市,12120,2,200,,,20,40,5:1,,,54,0,50,0,,,,,,
30048,波利王卡片Ⅰ,3,黑市,12113,1,800000,,,,,5:1,,,55,100,100,0,,,,,,
30049,蓝疯兔卡片Ⅰ,3,黑市,12114,1,800000,,,,,5:1,,,56,100,100,0,,,,,,
30050,哥布灵首领卡片Ⅰ,3,黑市,12115,1,800000,,,,,5:1,,,57,100,100,0,,,,,,
30051,流浪之狼卡片Ⅰ,3,黑市,12116,1,800000,,,,,5:1,,,58,100,100,0,,,,,,
30052,犬妖首领卡片Ⅰ,3,黑市,12117,1,800000,,,,,5:1,,,59,100,100,0,,,,,,
30053,深渊骑士卡片Ⅰ,3,黑市,12118,1,800000,,,,,5:1,,,60,100,100,0,,,,,,
30054,迷幻之王卡片Ⅰ,3,黑市,12119,1,800000,,,,,5:1,,,61,100,100,0,,,,,,
30055,龙蝇卡片Ⅰ,3,黑市,12120,1,800000,,,,,5:1,,,62,100,100,0,,,,,,
30056,宠物-兽牙怪,3,黑市,824,2,350,,,,,5:1,,,63,0,600,600,600,,,,,
30057,宠物-白幽灵,3,黑市,825,2,350,,,,,5:1,,,64,0,600,600,600,,,,,
30058,宠物-狂暴蜈蚣,3,黑市,826,2,350,,,,,5:1,,,65,0,600,600,600,,,,,
30059,宠物-蓝疯兔,3,黑市,827,2,350,,,,,5:1,,,66,0,600,600,600,,,,,
30060,宠物-摩卡,3,黑市,828,2,350,,,,,5:1,,,67,0,600,600,600,,,,,
30061,宠物-兽牙怪,3,黑市,824,2,350,,,80,280,5:1,,,68,0,200,200,200,,,,,
30062,宠物-白幽灵,3,黑市,825,2,350,,,80,280,5:1,,,69,0,200,200,200,,,,,
30063,宠物-狂暴蜈蚣,3,黑市,826,2,350,,,80,280,5:1,,,70,0,200,200,200,,,,,
30064,宠物-蓝疯兔,3,黑市,827,2,350,,,80,280,5:1,,,71,0,200,200,200,,,,,
30065,宠物-摩卡,3,黑市,828,2,350,,,80,280,5:1,,,72,0,200,200,200,,,,,
30066,高级技能书,3,黑市,113,2,200,,,,,5:1,,,73,100000,100000,0,0,0,,,,
30067,高级技能书,3,黑市,113,2,200,,,80,160,5:1,,,74,0,500,200,200,200,,,,
30068,顶级技能书,3,黑市,114,2,1000,,,80,800,5:1,,,75,0,0,1000,1000,1000,,,,
30069,技能徽章,3,黑市,200,2,2500,,,80,2000,5:1,,,76,,,800,800,800,,,,
30070,技能徽章,3,黑市,200,2,2500,,,50,1250,5:1,,,77,,,200,200,200,,,,
30071,亚尔特剑,3,黑市,1004,2,100,,,,,5:1,,,78,20,40,0,,,,,,
30072,骷髅魔杖,3,黑市,1504,2,100,,,,,5:1,,,79,20,40,0,,,,,,
30073,埃布尔雷弓,3,黑市,2004,2,100,,,,,5:1,,,80,20,40,0,,,,,,
30074,许愿之杖,3,黑市,3004,2,100,,,,,5:1,,,81,20,40,0,,,,,,
30075,风灵拳刃,3,黑市,4004,2,100,,,,,5:1,,,82,20,40,0,,,,,,
30076,冒险外套,3,黑市,5004,2,100,,,,,5:1,,,83,80,160,0,,,,,,
30077,宝石头盔,3,黑市,6004,2,80,,,,,5:1,,,84,80,160,0,,,,,,
30078,阴影之靴,3,黑市,7004,2,80,,,,,5:1,,,85,80,160,0,,,,,,
30079,雅乐披肩,3,黑市,8004,2,80,,,,,5:1,,,86,80,160,0,,,,,,
30080,潜能戒指,3,黑市,9004,2,100,,,,,5:1,,,87,80,160,0,,,,,,
30081,亚尔特剑,3,黑市,1004,1,350000,,,,,5:1,,,88,20,20,0,,,,,,
30082,骷髅魔杖,3,黑市,1504,1,350000,,,,,5:1,,,89,20,20,0,,,,,,
30083,埃布尔雷弓,3,黑市,2004,1,350000,,,,,5:1,,,90,20,20,0,,,,,,
30084,许愿之杖,3,黑市,3004,1,350000,,,,,5:1,,,91,20,20,0,,,,,,
30085,风灵拳刃,3,黑市,4004,1,350000,,,,,5:1,,,92,20,20,0,,,,,,
30086,冒险外套,3,黑市,5004,1,350000,,,,,5:1,,,93,80,80,0,,,,,,
30087,宝石头盔,3,黑市,6004,1,350000,,,,,5:1,,,94,80,80,0,,,,,,
30088,阴影之靴,3,黑市,7004,1,350000,,,,,5:1,,,95,80,80,0,,,,,,
30089,雅乐披肩,3,黑市,8004,1,350000,,,,,5:1,,,96,80,80,0,,,,,,
30090,潜能戒指,3,黑市,9004,1,350000,,,,,5:1,,,97,80,80,0,,,,,,
30091,亚尔特剑,3,黑市,1004,2,100,,,80,80,5:1,,,98,20,40,0,,,,,,
30092,骷髅魔杖,3,黑市,1504,2,100,,,80,80,5:1,,,99,20,40,0,,,,,,
30093,埃布尔雷弓,3,黑市,2004,2,100,,,80,80,5:1,,,100,20,40,0,,,,,,
30094,许愿之杖,3,黑市,3004,2,100,,,80,80,5:1,,,101,20,40,0,,,,,,
30095,风灵拳刃,3,黑市,4004,2,100,,,80,80,5:1,,,102,20,40,0,,,,,,
30096,冒险外套,3,黑市,5004,2,100,,,80,80,5:1,,,103,80,160,0,,,,,,
30097,宝石头盔,3,黑市,6004,2,80,,,80,64,5:1,,,104,80,160,0,,,,,,
30098,阴影之靴,3,黑市,7004,2,80,,,80,64,5:1,,,105,80,160,0,,,,,,
30099,雅乐披肩,3,黑市,8004,2,80,,,80,64,5:1,,,106,80,160,0,,,,,,
30100,潜能戒指,3,黑市,9004,2,100,,,80,80,5:1,,,107,80,160,0,,,,,,
30101,亚尔特剑,3,黑市,1004,2,100,,,50,50,5:1,,,108,20,20,0,,,,,,
30102,骷髅魔杖,3,黑市,1504,2,100,,,50,50,5:1,,,109,20,20,0,,,,,,
30103,埃布尔雷弓,3,黑市,2004,2,100,,,50,50,5:1,,,110,20,20,0,,,,,,
30104,许愿之杖,3,黑市,3004,2,100,,,50,50,5:1,,,111,20,20,0,,,,,,
30105,风灵拳刃,3,黑市,4004,2,100,,,50,50,5:1,,,112,20,20,0,,,,,,
30106,冒险外套,3,黑市,5004,2,100,,,50,50,5:1,,,113,80,80,0,,,,,,
30107,宝石头盔,3,黑市,6004,2,80,,,50,40,5:1,,,114,80,80,0,,,,,,
30108,阴影之靴,3,黑市,7004,2,80,,,50,40,5:1,,,115,80,80,0,,,,,,
30109,雅乐披肩,3,黑市,8004,2,80,,,50,40,5:1,,,116,80,80,0,,,,,,
30110,潜能戒指,3,黑市,9004,2,100,,,50,50,5:1,,,117,80,80,0,,,,,,
30111,红云长剑,3,黑市,1005,2,320,,,,0,5:1,,,118,10,20,40,,,,,,
30112,古树之杖,3,黑市,1505,2,320,,,,0,5:1,,,119,10,20,40,,,,,,
30113,兽人之弓,3,黑市,2005,2,320,,,,0,5:1,,,120,10,20,40,,,,,,
30114,羽翼之杖,3,黑市,3005,2,320,,,,0,5:1,,,121,10,20,40,,,,,,
30115,刺杀拳刃,3,黑市,4005,2,320,,,,0,5:1,,,122,10,20,40,,,,,,
30116,钢铁锁子甲,3,黑市,5005,2,320,,,,0,5:1,,,123,40,80,160,,,,,,
30117,骸骨帽子,3,黑市,6005,2,250,,,,0,5:1,,,124,40,80,160,,,,,,
30118,森林之靴,3,黑市,7005,2,250,,,,0,5:1,,,125,40,80,160,,,,,,
30119,秘银魔法斗篷,3,黑市,8005,2,250,,,,0,5:1,,,126,40,80,160,,,,,,
30120,卡普拉戒指,3,黑市,9005,2,320,,,,0,5:1,,,127,40,80,160,,,,,,
30121,红云长剑,3,黑市,1005,2,320,,,80,256,5:1,,,128,0,10,10,,,,,,
30122,古树之杖,3,黑市,1505,2,320,,,80,256,5:1,,,129,0,10,10,,,,,,
30123,兽人之弓,3,黑市,2005,2,320,,,80,256,5:1,,,130,0,10,10,,,,,,
30124,羽翼之杖,3,黑市,3005,2,320,,,80,256,5:1,,,131,0,10,10,,,,,,
30125,刺杀拳刃,3,黑市,4005,2,320,,,80,256,5:1,,,132,0,10,10,,,,,,
30126,钢铁锁子甲,3,黑市,5005,2,320,,,80,256,5:1,,,133,0,40,40,,,,,,
30127,骸骨帽子,3,黑市,6005,2,250,,,80,200,5:1,,,134,0,40,40,,,,,,
30128,森林之靴,3,黑市,7005,2,250,,,80,200,5:1,,,135,0,40,40,,,,,,
30129,秘银魔法斗篷,3,黑市,8005,2,250,,,80,200,5:1,,,136,0,40,40,,,,,,
30130,卡普拉戒指,3,黑市,9005,2,320,,,80,256,5:1,,,137,0,40,40,,,,,,
30131,红云长剑,3,黑市,1005,2,320,,,50,160,5:1,,,138,0,4,4,,,,,,
30132,古树之杖,3,黑市,1505,2,320,,,50,160,5:1,,,139,0,4,4,,,,,,
30133,兽人之弓,3,黑市,2005,2,320,,,50,160,5:1,,,140,0,4,4,,,,,,
30134,羽翼之杖,3,黑市,3005,2,320,,,50,160,5:1,,,141,0,4,4,,,,,,
30135,刺杀拳刃,3,黑市,4005,2,320,,,50,160,5:1,,,142,0,4,4,,,,,,
30136,钢铁锁子甲,3,黑市,5005,2,320,,,50,160,5:1,,,143,0,16,16,,,,,,
30137,骸骨帽子,3,黑市,6005,2,250,,,50,125,5:1,,,144,0,16,16,,,,,,
30138,森林之靴,3,黑市,7005,2,250,,,50,125,5:1,,,145,0,16,16,,,,,,
30139,秘银魔法斗篷,3,黑市,8005,2,250,,,50,125,5:1,,,146,0,16,16,,,,,,
30140,卡普拉戒指,3,黑市,9005,2,320,,,50,160,5:1,,,147,0,16,16,,,,,,
30141,红云长剑,3,黑市,1005,1,1200000,,,,,5:1,,,148,10,10,30,,,,,,
30142,古树之杖,3,黑市,1505,1,1200000,,,,,5:1,,,149,10,10,30,,,,,,
30143,兽人之弓,3,黑市,2005,1,1200000,,,,,5:1,,,150,10,10,30,,,,,,
30144,羽翼之杖,3,黑市,3005,1,1200000,,,,,5:1,,,151,10,10,30,,,,,,
30145,刺杀拳刃,3,黑市,4005,1,1200000,,,,,5:1,,,152,10,10,30,,,,,,
30146,钢铁锁子甲,3,黑市,5005,1,1200000,,,,,5:1,,,153,40,20,100,,,,,,
30147,骸骨帽子,3,黑市,6005,1,1200000,,,,,5:1,,,154,40,20,100,,,,,,
30148,森林之靴,3,黑市,7005,1,1200000,,,,,5:1,,,155,40,20,100,,,,,,
30149,秘银魔法斗篷,3,黑市,8005,1,1200000,,,,,5:1,,,156,40,20,100,,,,,,
30150,卡普拉戒指,3,黑市,9005,1,1200000,,,,,5:1,,,157,40,20,100,,,,,,
30151,攻城双手巨剑,3,黑市,1007,2,2700,,,,,5:1,,,158,0,40,80,80,80,,,,
30152,角斗士的法杖,3,黑市,1507,2,2700,,,,,5:1,,,159,0,40,80,80,80,,,,
30153,连发弓,3,黑市,2007,2,2700,,,,,5:1,,,160,0,40,80,80,80,,,,
30154,森林之杖,3,黑市,3007,2,2700,,,,,5:1,,,161,0,40,80,80,80,,,,
30155,钻孔拳刃,3,黑市,4007,2,2700,,,,,5:1,,,162,0,40,80,80,80,,,,
30156,西装外套,3,黑市,5007,2,2700,,,,,5:1,,,163,0,160,320,320,320,,,,
30157,角力头盔,3,黑市,6007,2,2160,,,,,5:1,,,164,0,160,320,320,320,,,,
30158,噩梦长靴,3,黑市,7007,2,2160,,,,,5:1,,,165,0,160,320,320,320,,,,
30159,暴躁龙斗篷,3,黑市,8007,2,2160,,,,,5:1,,,166,0,160,320,320,320,,,,
30160,芙蕾雅之戒,3,黑市,9007,2,2700,,,,,5:1,,,167,0,160,320,320,320,,,,
30161,无限双手剑,3,黑市,1008,2,8750,,,80,7000,5:1,,,168,0,0,10,40,80,,,,
30162,元气之光魔杖,3,黑市,1508,2,8750,,,80,7000,5:1,,,169,0,0,10,40,80,,,,
30163,大地之弓,3,黑市,2008,2,8750,,,80,7000,5:1,,,170,0,0,10,40,80,,,,
30164,毁灭魔杖,3,黑市,3008,2,8750,,,80,7000,5:1,,,171,0,0,10,40,80,,,,
30165,杀戮拳刃,3,黑市,4008,2,8750,,,80,7000,5:1,,,172,0,0,10,40,80,,,,
30166,裴陆船长盔甲,3,黑市,5008,2,8750,,,80,7000,5:1,,,173,0,0,20,60,120,,,,
30167,裴陆船长头盔,3,黑市,6008,2,6250,,,80,5000,5:1,,,174,0,0,40,60,120,,,,
30168,裴陆船长靴子,3,黑市,7008,2,6250,,,80,5000,5:1,,,175,0,0,40,60,120,,,,
30169,裴陆船长斗篷,3,黑市,8008,2,6250,,,80,5000,5:1,,,176,0,0,40,60,120,,,,
30170,裴陆船长戒指,3,黑市,9008,2,8750,,,80,7000,5:1,,,177,0,0,10,60,120,,,,
30171,十字巨剑,3,黑市,1001,2,10,,,,,5:1,,,178,200,70,0,,,,,,
30172,粗木魔杖,3,黑市,1501,2,10,,,,,5:1,,,179,200,70,0,,,,,,
30173,猎人之弓,3,黑市,2001,2,10,,,,,5:1,,,180,200,70,0,,,,,,
30174,绯红权杖,3,黑市,3001,2,10,,,,,5:1,,,181,200,70,0,,,,,,
30175,刺藤拳刃 ,3,黑市,4001,2,10,,,,,5:1,,,182,200,70,0,,,,,,
30176,棉衬衫,3,黑市,5001,2,10,,,,,5:1,,,183,200,70,0,,,,,,
30177,荒野之帽,3,黑市,6001,2,10,,,,,5:1,,,184,200,70,0,,,,,,
30178,铁制靴,3,黑市,7001,2,10,,,,,5:1,,,185,200,70,0,,,,,,
30179,救援斗篷,3,黑市,8001,2,10,,,,,5:1,,,186,200,70,0,,,,,,
30180,月光戒指,3,黑市,9001,2,10,,,,,5:1,,,187,200,70,0,,,,,,
30181,十字巨剑,3,黑市,1001,1,50000,,,,,5:1,,,188,140,70,0,,,,,,
30182,粗木魔杖,3,黑市,1501,1,50000,,,,,5:1,,,189,140,70,0,,,,,,
30183,猎人之弓,3,黑市,2001,1,50000,,,,,5:1,,,190,140,70,0,,,,,,
30184,绯红权杖,3,黑市,3001,1,50000,,,,,5:1,,,191,140,70,0,,,,,,
30185,刺藤拳刃 ,3,黑市,4001,1,50000,,,,,5:1,,,192,140,70,0,,,,,,
30186,棉衬衫,3,黑市,5001,1,50000,,,,,5:1,,,193,140,70,0,,,,,,
30187,荒野之帽,3,黑市,6001,1,50000,,,,,5:1,,,194,140,70,0,,,,,,
30188,铁制靴,3,黑市,7001,1,50000,,,,,5:1,,,195,140,70,0,,,,,,
30189,救援斗篷,3,黑市,8001,1,50000,,,,,5:1,,,196,140,70,0,,,,,,
30190,月光戒指,3,黑市,9001,1,50000,,,,,5:1,,,197,140,70,0,,,,,,
30191,十字巨剑,3,黑市,1001,2,10,,,80,8,5:1,,,198,60,70,0,,,,,,
30192,粗木魔杖,3,黑市,1501,2,10,,,80,8,5:1,,,199,60,70,0,,,,,,
30193,猎人之弓,3,黑市,2001,2,10,,,80,8,5:1,,,200,60,70,0,,,,,,
30194,绯红权杖,3,黑市,3001,2,10,,,80,8,5:1,,,201,60,70,0,,,,,,
30195,刺藤拳刃 ,3,黑市,4001,2,10,,,80,8,5:1,,,202,60,70,0,,,,,,
