卡片ID,卡片名称,来源目标,升级目标,卡片类型,卡片部位,卡片等级,卡片属性,卡片图鉴ID,卡片BUFF,卡组权重,卡片附加战斗力,推荐职业,筛选用基础属性,卡片相克属性,卡片升级费用
12315,哥布灵首领卡片,12215,12415,2,1,3,9:170;8:13;7:490,103,,1,27,3;2;1,9;8;7,3,20000
12316,流浪之狼卡片,12216,12416,2,2,3,7:1900;15:16,104,,1,27,1;2;3;4;5,7;15,1,20000
12317,犬妖首领卡片,12217,12417,2,2,3,7:1900;14:16,105,,1,27,1;2;3;4;5,7;14,2,20000
12318,深渊骑士卡片,12218,12418,2,2,3,7:2700,106,,1,27,1;2;3;4;5,7,3,20000
12319,迷幻之王卡片,12219,12419,2,3,3,10:170;92:130,107,,1,27,4;5,10;92,1,20000
12320,龙蝇卡片,12220,12420,2,3,3,9:170;91:130,108,,1,27,1;2;3,9;91,2,20000
12321,天使波利卡片,12221,12421,2,3,3,9:160;10:160;86:150;76:150,109,,1,27,3;2;4;5;1,9;10;86;76,3,20000
12322,幽灵波利卡片,12222,12422,2,4,3,10:160;9:160;95:150,110,,1,27,3;2;4;5;1,9;10;95,1,20000
12323,暗黑祭司卡片,12223,12423,2,4,3,10:130;97:200;77:150,111,,1,27,4;5,10;97;77,2,20000
12324,弑神者卡片,12224,12424,2,4,3,9:130;97:200;74:150,112,,1,27,3;2;1,9;97;74,3,20000
12325,兽牙怪卡片,12225,12425,2,5,3,11:130;16:16;84:150,113,,1,27,1;2;3;4;5,11;16;84,1,20000
12326,行刑者卡片,12226,12426,2,5,3,11:160;82:150;72:150,114,,1,27,1;2;3;4;5,11;82;72,2,20000
12327,狮鹫兽卡片,12227,12427,2,5,3,11:130;13:16;85:150,115,,1,27,1;2;3;4;5,11;13;85,3,20000
12328,半龙人卡片,12228,12428,2,6,3,12:100;93:100;95:100,116,,1,27,3;2;1,12;93;95,1,20000
12329,凯美拉卡片,12229,12429,2,6,3,12:130;96:100;87:150,117,,1,27,1;2;3;4;5,12;96;87,2,20000
12330,鹗枭男爵卡片,12230,12430,2,6,3,12:130;94:100;74:150,118,,1,27,4;5,12;94;74,3,20000
12413,波利王卡片,12313,,2,1,4,9:210;7:1500,101,,1,38,1;2;3,9;7,1,
12414,蓝疯兔卡片,12314,,2,1,4,10:240;8:15;7:770,102,,1,38,4;5,10;8;7,2,
12415,哥布灵首领卡片,12315,,2,1,4,9:240;8:15;7:770,103,,1,38,3;2;1,9;8;7,3,
12416,流浪之狼卡片,12316,,2,2,4,7:2600;15:23,104,,1,38,1;2;3;4;5,7;15,1,
12417,犬妖首领卡片,12317,,2,2,4,7:2600;14:23,105,,1,38,1;2;3;4;5,7;14,2,
12418,深渊骑士卡片,12318,,2,2,4,7:3800,106,,1,38,1;2;3;4;5,7,3,
12419,迷幻之王卡片,12319,,2,3,4,10:260;92:150,107,,1,38,4;5,10;92,1,
12420,龙蝇卡片,12320,,2,3,4,9:260;91:150,108,,1,38,1;2;3,9;91,2,
12421,天使波利卡片,12321,,2,3,4,9:230;10:230;86:200;76:200,109,,1,38,3;2;4;5;1,9;10;86;76,3,
12422,幽灵波利卡片,12322,,2,4,4,10:230;9:230;95:200,110,,1,38,3;2;4;5;1,9;10;95,1,
12423,暗黑祭司卡片,12323,,2,4,4,10:200;97:250;77:200,111,,1,38,4;5,10;97;77,2,
12424,弑神者卡片,12324,,2,4,4,9:200;97:250;74:200,112,,1,38,3;2;1,9;97;74,3,
12425,兽牙怪卡片,12325,,2,5,4,11:180;16:23;84:200,113,,1,38,1;2;3;4;5,11;16;84,1,
12426,行刑者卡片,12326,,2,5,4,11:230;82:200;72:200,114,,1,38,1;2;3;4;5,11;82;72,2,
12427,狮鹫兽卡片,12327,,2,5,4,11:180;13:23;85:200,115,,1,38,1;2;3;4;5,11;13;85,3,
12428,半龙人卡片,12328,,2,6,4,12:140;93:140;95:140,116,,1,38,3;2;1,12;93;95,1,
12429,凯美拉卡片,12329,,2,6,4,12:180;96:140;87:200,117,,1,38,1;2;3;4;5,12;96;87,2,
12430,鹗枭男爵卡片,12330,,2,6,4,12:180;94:140;74:200,118,,1,38,4;5,12;94;74,3,
12131,俄塞里斯卡片,,12231,3,1,1,7:1800;9:180;16:14;86:250,501,,1,53,3;2;1,7;9;16;86,1,30000
12132,巴风特卡片,,12232,3,1,1,9:360;93:100;15:10,502,,1,53,3;2;1,9;93;15,2,30000
12159,阿特罗斯卡片,,12259,3,1,1,7:1300;9:260;91:100;8:16,503,,1,53,3;2;1,7;9;91;8,3,30000
12134,蜂后卡片,,12234,3,1,1,10:350;94:100;92:100,504,,1,53,4;5,10;94;92,1,30000
12135,黄金虫卡片,,12235,3,1,1,7:2800;11:63;12:58;16:23,505,,1,53,1;2;3;4;5,7;11;12;16,2,30000
12161,梦魇卡片,,12261,3,1,1,7:1800;10:180;14:16;76:250,506,,1,53,4;5,7;10;14;76,3,30000
12162,七彩大嘴鸟卡片,,12262,3,1,1,7:1700;9:190;13:14;87:250,507,,1,53,3;2;1,7;9;13;87,1,30000
12163,狂暴大脚熊卡片,,12263,3,1,1,7:3100;11:73;12:58;95:100,508,,1,53,1;2;3;4;5,7;11;12;95,2,30000
12164,恶魔侍者卡片,,12264,3,1,1,7:2100;9:170;10:170;77:250,509,,1,53,5;4;3;2;1,7;9;10;77,3,30000
12165,女妖卡片,,12265,3,1,1,7:1200;10:270;92:100;8:16,510,,1,53,4;5,7;10;92;8,1,30000
12191,年兽卡片,,12291,3,1,1,9:370;10:370;97:200;8:16,561,,1,53,5;4;3;2;1,9;10;97;8,1,30000
12195,赤炎魔蛙卡片,,12295,3,1,1,7:5000;8:15;9:350;10:350,564,,0,53,5;4;3;2;1,7;8;9;10,1,30000
12136,兽人英雄卡片,,12236,3,2,1,7:2900;9:88;11:63;85:250,511,,1,53,3;2;1,7;9;11;85,2,30000
12180,伊夫利特卡片,,12280,3,2,1,7:1800;9:170;15:16;93:100,512,,1,53,3;2;1,7;9;15;93,3,30000
12138,虎王卡片,,12238,3,2,1,7:4000;11:49;14:7;96:53,513,,1,53,1;2;3;4;5,7;11;14;96,1,30000
12146,黑暗之王卡片,,12246,3,2,1,7:1800;10:180;15:15;94:100,514,,1,53,4;5,7;10;15;94,2,30000
12169,将军魔碑卡片,,12269,3,2,1,7:3000;9:68;12:78;82:250,515,,1,53,3;2;1,7;9;12;82,3,30000
12166,土人卡片,,12266,3,2,1,7:2400;9:130;13:16;91:100,516,,1,53,3;2;1,7;9;13;91,1,30000
12167,狂暴地龙卡片,,12267,3,2,1,7:3200;12:58;16:12;95:100,517,,1,53,1;2;3;4;5,7;12;16;95,2,30000
12168,傅里叶卡片,,12268,3,2,1,7:2600;10:120;13:15;92:100,518,,1,53,4;5,7;10;13;92,3,30000
12140,月夜猫卡片,,12240,3,2,1,7:3100;9:88;10:88;75:250,519,,1,53,5;4;3;2;1,7;9;10;75,1,30000
12170,蛇女伊斯卡片,,12270,3,2,1,7:3000;10:68;12:78;72:250,520,,1,53,4;5,7;10;12;72,2,30000
12193,卡噗酱卡片,,12293,3,2,1,11:100;12:100;95:160;96:160,565,,0,53,5;4;3;2;1,11;12;95;96,2,300
12175,海神卡片,,12275,3,3,1,10:200;12:98;13:26;73:250,521,,1,53,4;5,10;12;13;73,3,30000
12142,皮里恩卡片,,12242,3,3,1,9:170;7:1800;11:73;12:73,522,,1,53,3;2;1,9;7;11;12,1,30000
12143,兽人酋长卡片,,12243,3,3,1,9:200;7:1300;15:21;84:250,523,,1,53,3;2;1,9;7;15;84,2,30000
12144,冰暴骑士卡片,,12244,3,3,1,9:290;10:290;91:150;92:150,524,,1,53,5;4;3;2;1,9;10;91;92,3,30000
12145,卡仑卡片,,12245,3,3,1,10:160;7:2000;11:73;74:250,525,,1,53,1;2;3;4;5,10;7;11;74,1,30000
12171,重金属蝗虫卡片,,12271,3,3,1,9:280;11:68;93:100;91:100,526,,1,53,3;2;1,9;11;93;91,2,30000
12172,瓦尔基里卡片,,12272,3,3,1,9:350;15:12;93:100,527,,1,53,3;2;1,9;15;93,3,30000
12173,腐尸首领卡片,,12273,3,3,1,9:200;12:100;16:23;83:250,528,,1,53,3;2;1,9;12;16;83,1,30000
12174,女王甲虫卡片,,12274,3,3,1,10:350;15:12;94:100,529,,1,53,4;5,10;15;94,2,30000
12141,法老王卡片,,12241,3,3,1,10:240;94:100;92:100;95:150,530,,1,53,4;5,10;94;92;95,3,30000
12139,蚁后卡片,,12239,3,4,1,10:240;15:21;94:100;97:200,531,,1,53,4;5,10;15;94;97,1,30000
12147,乌龟将军卡片,,12247,3,4,1,7:2500;14:16;95:150;96:100,532,,1,53,1;2;3;4;5,7;14;95;96,2,30000
12148,死灵骑士卡片,,12248,3,4,1,9:180;13:26;91:200;97:200,533,,1,53,3;2;1,9;13;91;97,3,30000
12149,德古拉男爵卡片,,12249,3,4,1,10:170;16:32;15:21;86:250,534,,1,53,4;5,10;16;15;86,1,30000
12150,墨蛇君卡片,,12250,3,4,1,7:2100;16:16;94:150;96:150,535,,1,53,4;5,7;16;94;96,2,30000
12176,邪骸兽人卡片,,12276,3,4,1,7:1700;9:140;14:24;76:250,536,,1,53,3;2;1,7;9;14;76,3,30000
12177,鹗枭首领卡片,,12277,3,4,1,7:1700;10:150;92:200;87:250,537,,1,53,4;5,7;10;92;87,1,30000
12178,风魔巫师卡片,,12278,3,4,1,10:200;15:21;96:150;97:200,538,,1,53,4;5,10;15;96;97,2,30000
12179,摩卡卡片,,12279,3,4,1,7:1600;9:160;13:24;77:250,539,,1,53,3;2;1,7;9;13;77,3,30000
12137,海盗之王卡片,,12237,3,4,1,9:240;15:21;93:100;97:200,540,,1,53,3;2;1,9;15;93;97,1,30000
12196,圣诞波利卡片,,12296,3,4,1,7:5500;95:250;96:250,565,,0,53,1;2;3;4;5,7;95;96,2,30000
12151,元灵武士卡片,,12251,3,5,1,11:260;7:1600;95:100,541,,1,53,1;2;3;4;5,11;7;95,2,30000
12154,白素贞卡片,,12254,3,5,1,11:180;10:140;13:19;15:16,542,,1,53,4;5,11;10;13;15,3,30000
12181,狂暴野猫卡片,,12281,3,5,1,11:250;9:98;15:14;75:250,543,,1,53,3;2;1,11;9;15;75,1,30000
12152,古埃及王卡片,,12252,3,5,1,11:170;10:220;97:250,544,,1,53,4;5,11;10;97,2,30000
12155,贝思波卡片,,12255,3,5,1,11:210;7:1100;91:150;16:19,545,,1,53,1;2;3;4;5,11;7;91;16,3,30000
12153,塔奥群卡卡片,,12253,3,5,1,11:170;9:220;97:250,546,,1,53,3;2;1,11;9;97,1,30000
12182,寒冰巨人卡片,,12282,3,5,1,11:230;9:110;97:200;72:250,547,,1,53,3;2;1,11;9;97;72,2,30000
12183,堕落大神官卡片,,12283,3,5,1,11:230;10:100;16:19;85:250,548,,1,53,4;5,11;10;16;85,3,30000
12184,野猫骑士卡片,,12284,3,5,1,11:180;9:140;14:19;15:16,549,,1,53,3;2;1,11;9;14;15,1,30000
12185,爆炎蝙蝠卡片,,12285,3,5,1,11:210;10:93;96:150;82:250,550,,1,53,4;5,11;10;96;82,2,30000
12156,嗒妮小姐卡片,,12256,3,6,1,12:220;10:100;14:21;83:250,551,,1,53,4;5,12;10;14;83,3,30000
12157,影魔卡片,,12257,3,6,1,12:230;10:93;16:21;84:250,552,,1,53,4;5,12;10;16;84,1,30000
12158,寒冰龙卡片,,12258,3,6,1,12:260;7:1600;96:100,553,,1,53,1;2;3;4;5,12;7;96,2,30000
12190,马尔杜克卡片,,12290,3,6,1,12:210;9:100;16:21;74:250,554,,1,53,3;2;1,12;9;16;74,3,30000
12160,贝雷杰卡片,,12260,3,6,1,12:210;7:1100;92:150;14:19,555,,1,53,1;2;3;4;5,12;7;92;14,1,30000
12186,九尾狐卡片,,12286,3,6,1,12:180;10:140;14:19;97:200,556,,1,53,4;5,12;10;14;97,2,30000
12187,妖君卡片,,12287,3,6,1,12:190;10:220;94:100,557,,1,53,4;5,12;10;94,3,30000
12188,狂暴野猪卡片,,12288,3,6,1,12:230;9:88;15:21;73:250,558,,1,53,3;2;1,12;9;15;73,1,30000
12189,巨石怪卡片,,12289,3,6,1,12:180;9:140;16:19;13:16,559,,1,53,3;2;1,12;9;16;13,2,30000
12133,死灵卡片,,12233,3,6,1,12:190;9:220;93:100,560,,1,53,3;2;1,12;9;93,3,30000
12192,罗拉卡片,,12292,3,6,1,7:2400;9:300;93:180,562,,0,60,3;2;1,7;9;93,1,30000
12194,尼德霍格卡片,,12294,3,6,1,7:2400;10:300;94:180,563,,0,60,4;5,7;10;94,2,30000
12231,俄塞里斯卡片,12131,12331,3,1,2,7:2900;9:290;16:22;86:400,501,,1,84,3;2;1,7;9;16;86,1,40000
12232,巴风特卡片,12132,12332,3,1,2,9:570;93:150;15:16,502,,1,84,3;2;1,9;93;15,2,40000
12259,阿特罗斯卡片,12159,12359,3,1,2,7:2400;9:420;91:150;8:18,503,,1,84,3;2;1,7;9;91;8,3,40000
12234,蜂后卡片,12134,12334,3,1,2,10:570;94:150;92:150,504,,1,84,4;5,10;94;92,1,40000
12235,黄金虫卡片,12135,12335,3,1,2,7:4400;11:100;12:92;16:37,505,,1,84,1;2;3;4;5,7;11;12;16,2,40000
12261,梦魇卡片,12161,12361,3,1,2,7:2800;10:280;14:25;76:400,506,,1,84,4;5,7;10;14;76,3,40000
12262,七彩大嘴鸟卡片,12162,12362,3,1,2,7:2700;9:300;13:22;87:400,507,,1,84,3;2;1,7;9;13;87,1,40000
12263,狂暴大脚熊卡片,12163,12363,3,1,2,7:4900;11:110;12:92;95:150,508,,1,84,1;2;3;4;5,7;11;12;95,2,40000
12264,恶魔侍者卡片,12164,12364,3,1,2,7:3300;9:270;10:270;77:400,509,,1,84,5;4;3;2;1,7;9;10;77,3,40000
12265,女妖卡片,12165,12365,3,1,2,7:2200;10:430;92:150;8:18,510,,1,84,4;5,7;10;92;8,1,40000
12291,年兽卡片,12191,12391,3,1,2,9:600;10:600;97:320;8:18,561,,1,84,5;4;3;2;1,9;10;97;8,1,40000
12295,赤炎魔蛙卡片,12195,12395,3,1,2,7:7200;8:18;9:620;10:620,564,,1,84,5;4;3;2;1,7;8;9;10,1,40000
12236,兽人英雄卡片,12136,12336,3,2,2,7:4600;9:130;11:100;85:400,511,,1,84,3;2;1,7;9;11;85,2,40000
12280,伊夫利特卡片,12180,12380,3,2,2,7:2900;9:260;15:25;93:150,512,,1,84,3;2;1,7;9;15;93,3,40000
12238,虎王卡片,12138,12338,3,2,2,7:6300;11:77;14:11;96:84,513,,1,84,1;2;3;4;5,7;11;14;96,1,40000
12246,黑暗之王卡片,12146,12346,3,2,2,7:2800;10:280;15:23;94:150,514,,1,84,4;5,7;10;15;94,2,40000
12269,将军魔碑卡片,12169,12369,3,2,2,7:4700;9:100;12:120;82:400,515,,1,84,3;2;1,7;9;12;82,3,40000
12266,土人卡片,12166,12366,3,2,2,7:3900;9:200;13:25;91:150,516,,1,84,3;2;1,7;9;13;91,1,40000
12267,狂暴地龙卡片,12167,12367,3,2,2,7:5100;12:92;16:20;95:150,517,,1,84,1;2;3;4;5,7;12;16;95,2,40000
12268,傅里叶卡片,12168,12368,3,2,2,7:4200;10:190;13:23;92:150,518,,1,84,4;5,7;10;13;92,3,40000
12240,月夜猫卡片,12140,12340,3,2,2,7:4900;9:130;10:130;75:400,519,,1,84,5;4;3;2;1,7;9;10;75,1,40000
12270,蛇女伊斯卡片,12170,12370,3,2,2,7:4700;10:100;12:120;72:400,520,,1,84,4;5,7;10;12;72,2,40000
12293,卡噗酱卡片,12193,12393,3,2,2,11:220;12:220;95:240;96:240,565,,0,84,5;4;3;2;1,11;12;95;96,1,40000
12275,海神卡片,12175,12375,3,3,2,10:310;12:150;13:42;73:400,521,,1,84,4;5,10;12;13;73,3,40000
12242,皮里恩卡片,12142,12342,3,3,2,9:260;7:2900;11:110;12:110,522,,1,84,3;2;1,9;7;11;12,1,40000
12243,兽人酋长卡片,12143,12343,3,3,2,9:310;7:2100;15:33;84:400,523,,1,84,3;2;1,9;7;15;84,2,40000
12244,冰暴骑士卡片,12144,12344,3,3,2,9:450;10:450;91:250;92:250,524,,1,84,5;4;3;2;1,9;10;91;92,3,40000
12245,卡仑卡片,12145,12345,3,3,2,10:250;7:3200;11:110;74:400,525,,1,84,1;2;3;4;5,10;7;11;74,1,40000
12271,重金属蝗虫卡片,12171,12371,3,3,2,9:460;11:100;93:150;91:150,526,,1,84,3;2;1,9;11;93;91,2,40000
12272,瓦尔基里卡片,12172,12372,3,3,2,9:560;15:20;93:150,527,,1,84,3;2;1,9;15;93,3,40000
12273,腐尸首领卡片,12173,12373,3,3,2,9:320;12:160;16:37;83:400,528,,1,84,3;2;1,9;12;16;83,1,40000
12274,女王甲虫卡片,12174,12374,3,3,2,10:560;15:20;94:150,529,,1,84,4;5,10;15;94,2,40000
12241,法老王卡片,12141,12341,3,3,2,10:390;94:150;92:150;95:240,530,,1,84,4;5,10;94;92;95,3,40000
12239,蚁后卡片,12139,12339,3,4,2,10:380;15:33;94:150;97:310,531,,1,84,4;5,10;15;94;97,1,40000
12247,乌龟将军卡片,12147,12347,3,4,2,7:3900;14:25;95:240;96:150,532,,1,84,1;2;3;4;5,7;14;95;96,2,40000
12248,死灵骑士卡片,12148,12348,3,4,2,9:290;13:42;91:300;97:310,533,,1,84,3;2;1,9;13;91;97,3,40000
12249,德古拉男爵卡片,12149,12349,3,4,2,10:270;16:50;15:33;86:400,534,,1,84,4;5,10;16;15;86,1,40000
12250,墨蛇君卡片,12150,12350,3,4,2,7:3300;16:25;94:240;96:240,535,,1,84,4;5,7;16;94;96,2,40000
12276,邪骸兽人卡片,12176,12376,3,4,2,7:2700;9:230;14:39;76:400,536,,1,84,3;2;1,7;9;14;76,3,40000
12277,鹗枭首领卡片,12177,12377,3,4,2,7:2800;10:230;92:300;87:400,537,,1,84,4;5,7;10;92;87,1,40000
12278,风魔巫师卡片,12178,12378,3,4,2,10:320;15:33;96:240;97:310,538,,1,84,4;5,10;15;96;97,2,40000
12279,摩卡卡片,12179,12379,3,4,2,7:2500;9:250;13:39;77:400,539,,1,84,3;2;1,7;9;13;77,3,40000
12237,海盗之王卡片,12137,12337,3,4,2,9:380;15:33;93:150;97:310,540,,1,84,3;2;1,9;15;93;97,1,40000
12296,圣诞波利卡片,12196,12396,3,4,2,7:7800;95:350;96:350,565,,0,84,1;2;3;4;5,7;95;96,2,40000
12251,元灵武士卡片,12151,12351,3,5,2,11:420;7:2500;95:150,541,,1,84,1;2;3;4;5,11;7;95,2,40000
12254,白素贞卡片,12154,12354,3,5,2,11:280;10:230;13:30;15:25,542,,1,84,4;5,11;10;13;15,3,40000
12281,狂暴野猫卡片,12181,12381,3,5,2,11:400;9:150;15:22;75:400,543,,1,84,3;2;1,11;9;15;75,1,40000
12252,古埃及王卡片,12152,12352,3,5,2,11:270;10:340;97:400,544,,1,84,4;5,11;10;97,2,40000
12255,贝思波卡片,12155,12355,3,5,2,11:320;7:1800;91:250;16:30,545,,1,84,1;2;3;4;5,11;7;91;16,3,40000
