唯一id,模型id,宠物职业,品质,头像框,属性,属性转化率,虚拟站位,生命,蓝量,物攻,魔攻,物防,魔防,命中,闪避,暴击,韧性,攻击速度,生命系数,蓝量系数,物攻系数,魔攻系数,物防系数,魔防系数,命中系数,闪避系数,暴击系数,韧性系数,普攻技能id,技能1,技能1发动概率,技能2,技能2发动概率,技能3,技能3发动概率,技能4,技能4发动概率,备用技能,收集奖励,宠物契约继承属性,领悟额外增加继承属性
841,50313,2,3,4,4,1000,2,7360.0,30.0,1105.0,203.0,174.0,174.0,57.0,12.0,70.0,32.0,100.0,363,0,363,363,363,363,363,363,363,363,70080;70081,74058,40;44;48;52;56;60;64;68;72;75,74059,30;34;38;42;46;50;54;58;62;65,71025,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,800,150
842,50314,2,3,4,4,1000,6,8960.0,30.0,872.0,814.0,261.0,261.0,51.0,25.0,38.0,38.0,100.0,311,0,311,311,311,311,311,311,311,311,70082;70083,74060,30;34;38;42;46;50;54;58;62;65,74061,30;34;38;42;46;50;54;58;62;65,71026,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,500,100
843,50315,2,3,4,4,1000,3,6080.0,30.0,1309.0,261.0,232.0,58.0,51.0,25.0,76.0,12.0,100.0,359,0,359,359,359,359,359,359,359,359,70084;70085,74062,40;44;48;52;56;60;64;68;72;75,74063,30;34;38;42;46;50;54;58;62;65,71027,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,500,100
844,50316,2,3,4,8,1000,8,5760.0,30.0,1192.0,261.0,87.0,261.0,32.0,64.0,51.0,38.0,100.0,363,0,363,363,363,363,363,363,363,363,70086;70087,74064,40;44;48;52;56;60;64;68;72;75,71028,30;34;38;42;46;50;54;58;62;65,74073,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,1500,200
845,50317,4,3,4,8,1000,6,6400.0,30.0,174.0,1192.0,203.0,116.0,25.0,51.0,51.0,51.0,100.0,359,0,359,359,359,359,359,359,359,359,70088;70089,74065,40;44;48;52;56;60;64;68;72;75,74066,30;34;38;42;46;50;54;58;62;65,71030,30;34;38;42;46;50;54;58;62;65,,,80042,0:2:50;2:2:100;5:2:200,800,150
846,50318,4,3,4,2,1000,8,7040.0,30.0,261.0,1105.0,290.0,58.0,64.0,12.0,89.0,12.0,100.0,311,0,311,311,311,311,311,311,311,311,70090;70091,74067,30;34;38;42;46;50;54;58;62;65,74068,43;47;51;55;61;63;67;72;75;80,71031,30;34;38;42;46;50;54;58;62;65,,,80042,0:2:50;2:2:100;5:2:200,1200,200
847,50319,2,3,4,2,1000,2,8960.0,30.0,872.0,814.0,261.0,261.0,51.0,25.0,38.0,38.0,100.0,359,0,359,359,359,359,359,359,359,359,70092;70093,74069,30;34;38;42;46;50;54;58;62;65,71032,30;34;38;42;46;50;54;58;62;65,71033,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,500,100
848,50208,4,3,4,2,1000,6,6400.0,30.0,174.0,1192.0,203.0,116.0,25.0,51.0,51.0,51.0,100.0,363,0,363,363,363,363,363,363,363,363,70094;70095,74070,40;44;48;52;56;60;64;68;72;75,74071,30;34;38;42;46;50;54;58;62;65,71034,30;34;38;42;46;50;54;58;62;65,,,80024,0:2:50;2:2:100;5:2:200,500,100
849,50321,4,3,4,6,1000,6,7040.0,30.0,261.0,1105.0,290.0,58.0,64.0,12.0,89.0,12.0,100.0,363,0,363,363,363,363,363,363,363,363,70096;70097,74074,30;34;38;42;46;50;54;58;62;65,74075,30;34;38;42;46;50;54;58;62;65,71035,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,1200,200
850,50322,2,3,4,4,1000,3,6080.0,30.0,1329.0,211.0,252.0,38.0,61.0,21.0,86.0,12.0,100.0,359,0,359,359,359,359,359,359,359,359,70098,74076,30;34;38;42;46;50;54;58;62;65,74077,30;34;38;42;46;50;54;58;62;65,71036,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,1200,200
851,50323,1,3,4,7,1000,6,999.0,9.0,999.0,999.0,99.0,99.0,9.0,9.0,9.0,9.0,100.0,100,0,100,100,100,100,100,100,100,100,80003,74078,30;34;38;42;46;50;54;58;62;65,,,,,,,80027,0:2:50;2:2:100;5:2:200,100,100
852,50324,4,3,4,8,1000,6,6840.0,30.0,261.0,1205.0,292.0,58.0,64.0,16.0,89.0,13.0,100.0,363,0,363,363,363,363,363,363,363,363,70099,74079,30;34;38;42;46;50;54;58;62;65,74080,30;34;38;42;46;50;54;58;62;65,71038,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,1200,200
853,50325,4,3,4,5,1000,6,7040.0,30.0,1192.0,1192.0,292.0,292.0,64.0,16.0,89.0,13.0,100.0,363,0,363,363,363,363,363,363,363,363,70100,74081,30;34;38;42;46;50;54;58;62;65,74082,30;34;38;42;46;50;54;58;62;65,71039,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,1200,200
854,50326,3,3,4,4,1000,6,7020.0,30.0,1681.0,235.0,164.0,194.0,52.0,16.0,90.0,32.0,200.0,363,0,363,363,363,363,363,363,363,363,70101,74084,30;34;38;42;46;50;54;58;62;65,74085,30;34;38;42;46;50;54;58;62;65,71040,30;34;38;42;46;50;54;58;62;65,,,80042,0:2:50;2:2:100;5:2:200,1200,200
855,50327,1,3,4,1,1000,6,999.0,9.0,999.0,999.0,99.0,99.0,9.0,9.0,9.0,9.0,100.0,100,0,100,100,100,100,100,100,100,100,80003,74090,30,,,,,,,80027,0:2:50;2:2:100;5:2:200,100,100
856,50328,3,3,4,8,1000,6,7650.0,30.0,721.0,1271.0,184.0,172.0,62.0,12.0,41.0,20.0,100.0,100,0,100,100,100,100,100,100,100,100,70102,74088,30;34;38;42;46;50;54;58;62;65,74089,30;34;38;42;46;50;54;58;62;65,71041,30;34;38;42;46;50;54;58;62;65,,,80042,0:2:50;2:2:100;5:2:200,1200,200
857,50329,1,3,4,7,1000,6,6820.0,30.0,1721.0,205.0,124.0,210.0,52.0,16.0,47.0,40.0,200.0,363,0,363,363,363,363,363,363,363,363,70103,74091,30;34;38;42;46;50;54;58;62;65,74092,30;34;38;42;46;50;54;58;62;65,71042,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,1200,200
858,50330,4,3,4,6,1000,6,7240.0,30.0,221.0,1305.0,242.0,148.0,64.0,16.0,41.0,13.0,100.0,363,0,363,363,363,363,363,363,363,363,70104,74093,30;34;38;42;46;50;54;58;62;65,74094,30;34;38;42;46;50;54;58;62;65,71043,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,1200,200
859,50331,4,3,4,6,1000,6,7240.0,30.0,221.0,1305.0,242.0,148.0,64.0,16.0,41.0,13.0,150.0,363,0,363,363,363,363,363,363,363,363,70105,74096,30;34;38;42;46;50;54;58;62;65,74097,30;34;38;42;46;50;54;58;62;65,74098,30;34;38;42;46;50;54;58;62;65,,,80027,0:2:50;2:2:100;5:2:200,1200,200
