id,装备类型,装备等级,职业类型,锻造目标,装备前置,合成消耗,套装ID,物攻,魔攻,物防,魔防,生命,蓝量,暴击,韧性,命中,闪避,物伤加成,魔伤加成,ATK%,MATK%,力量,敏捷,智力,体质,灵巧,幸运
4012,3,12,2,4013,4011,300000,7,1978,,,,,,,,,,,,,,,,,,,
4013,3,13,2,4014,4012,400000,8,2294,,,,,,,,,,,,,,,,,,,
4014,3,14,2,4015,4013,500000,9,2547,,,,,,,,,,,,,,,,,,,
4015,3,15,2,0,4014,0,10,2837,,,,,,,,,,,,,,,,,,,
5001,2,1,0;1;2;3;4;5,5002,0,2500,,,,,,290,,,,,,,,,,,,,,,
5002,2,2,0;1;2;3;4;5,5003,5001,5000,,,,,,570,,,,,,,,,,,,,,,
5003,2,3,0;1;2;3;4;5,5004,5002,10000,,,,,,1040,,,,,,,,,,,,,,,
5004,2,4,0;1;2;3;4;5,5005,5003,25000,,,,,,2280,,,,,,,,,,,,,,,
5005,2,5,0;1;2;3;4;5,5006,5004,50000,,,,,,4110,,,,,,,,,,,,,,,
5006,2,6,0;1;2;3;4;5,5007,5005,75000,1,,,,,6590,,,,,,,,,,,,,,,
5007,2,7,0;1;2;3;4;5,5008,5006,100000,2,,,,,12520,,,,,,,,,,,,,,,
5008,2,8,0;1;2;3;4;5,5009,5007,125000,3,,,,,16900,,,,,,,,,,,,,,,
5009,2,9,0;1;2;3;4;5,5010,5008,150000,4,,,,,21980,,,,,,,,,,,,,,,
5010,2,10,0;1;2;3;4;5,5011,5009,175000,5,,,,,30770,,,,,,,,,,,,,,,
5011,2,11,0;1;2;3;4;5,5012,5010,200000,6,,,,,35380,,,,,,,,,,,,,,,
5012,2,12,0;1;2;3;4;5,5013,5011,300000,7,,,,,40340,,,,,,,,,,,,,,,
5013,2,13,0;1;2;3;4;5,5014,5012,400000,8,,,,,46790,,,,,,,,,,,,,,,
5014,2,14,0;1;2;3;4;5,5015,5013,500000,9,,,,,51940,,,,,,,,,,,,,,,
5015,2,15,0;1;2;3;4;5,0,5014,0,10,,,,,57860,,,,,,,,,,,,,,,
6001,1,1,0;1;2;3;4;5,6002,0,2500,,,,,,,4,,,,,,,,,,,,,,
6002,1,2,0;1;2;3;4;5,6003,6001,5000,,,,,,,8,,,,,,,,,,,,,,
6003,1,3,0;1;2;3;4;5,6004,6002,10000,,,,,,,11,,,,,,,,,,,,,,
6004,1,4,0;1;2;3;4;5,6005,6003,25000,,,,,,,15,,,,,,,,,,,,,,
6005,1,5,0;1;2;3;4;5,6006,6004,50000,,,,,,,18,,,,,,,,,,,,,,
6006,1,6,0;1;2;3;4;5,6007,6005,75000,1,,,,,,21,,,,,,,,,,,,,,
6007,1,7,0;1;2;3;4;5,6008,6006,100000,2,,,,,,25,,,,,,,,,,,,,,
6008,1,8,0;1;2;3;4;5,6009,6007,125000,3,,,,,,28,,,,,,,,,,,,,,
6009,1,9,0;1;2;3;4;5,6010,6008,150000,4,,,,,,31,,,,,,,,,,,,,,
6010,1,10,0;1;2;3;4;5,6011,6009,175000,5,,,,,,34,,,,,,,,,,,,,,
6011,1,11,0;1;2;3;4;5,6012,6010,200000,6,,,,,,40,,,,,,,,,,,,,,
6012,1,12,0;1;2;3;4;5,6013,6011,300000,7,,,,,,45,,,,,,,,,,,,,,
6013,1,13,0;1;2;3;4;5,6014,6012,400000,8,,,,,,50,,,,,,,,,,,,,,
6014,1,14,0;1;2;3;4;5,6015,6013,500000,9,,,,,,55,,,,,,,,,,,,,,
6015,1,15,0;1;2;3;4;5,0,6014,0,10,,,,,,60,,,,,,,,,,,,,,
7001,5,1,0;1;2;3;4;5,7002,0,2500,,,,5,,,,,,,,,,,,,,,,,
7002,5,2,0;1;2;3;4;5,7003,7001,5000,,,,10,,,,,,,,,,,,,,,,,
7003,5,3,0;1;2;3;4;5,7004,7002,10000,,,,19,,,,,,,,,,,,,,,,,
7004,5,4,0;1;2;3;4;5,7005,7003,25000,,,,43,,,,,,,,,,,,,,,,,
7005,5,5,0;1;2;3;4;5,7006,7004,50000,,,,78,,,,,,,,,,,,,,,,,
7006,5,6,0;1;2;3;4;5,7007,7005,75000,1,,,125,,,,,,,,,,,,,,,,,
7007,5,7,0;1;2;3;4;5,7008,7006,100000,2,,,238,,,,,,,,,,,,,,,,,
7008,5,8,0;1;2;3;4;5,7009,7007,125000,3,,,321,,,,,,,,,,,,,,,,,
7009,5,9,0;1;2;3;4;5,7010,7008,150000,4,,,417,,,,,,,,,,,,,,,,,
7010,5,10,0;1;2;3;4;5,7011,7009,175000,5,,,585,,,,,,,,,,,,,,,,,
7011,5,11,0;1;2;3;4;5,7012,7010,200000,6,,,672,,,,,,,,,,,,,,,,,
7012,5,12,0;1;2;3;4;5,7013,7011,300000,7,,,766,,,,,,,,,,,,,,,,,
7013,5,13,0;1;2;3;4;5,7014,7012,400000,8,,,889,,,,,,,,,,,,,,,,,
7014,5,14,0;1;2;3;4;5,7015,7013,500000,9,,,987,,,,,,,,,,,,,,,,,
7015,5,15,0;1;2;3;4;5,0,7014,0,10,,,1100,,,,,,,,,,,,,,,,,
8001,4,1,0;1;2;3;4;5,8002,0,2500,,,,,5,,,,,,,,,,,,,,,,
8002,4,2,0;1;2;3;4;5,8003,8001,5000,,,,,10,,,,,,,,,,,,,,,,
8003,4,3,0;1;2;3;4;5,8004,8002,10000,,,,,19,,,,,,,,,,,,,,,,
8004,4,4,0;1;2;3;4;5,8005,8003,25000,,,,,43,,,,,,,,,,,,,,,,
8005,4,5,0;1;2;3;4;5,8006,8004,50000,,,,,78,,,,,,,,,,,,,,,,
8006,4,6,0;1;2;3;4;5,8007,8005,75000,1,,,,125,,,,,,,,,,,,,,,,
8007,4,7,0;1;2;3;4;5,8008,8006,100000,2,,,,238,,,,,,,,,,,,,,,,
8008,4,8,0;1;2;3;4;5,8009,8007,125000,3,,,,321,,,,,,,,,,,,,,,,
8009,4,9,0;1;2;3;4;5,8010,8008,150000,4,,,,417,,,,,,,,,,,,,,,,
8010,4,10,0;1;2;3;4;5,8011,8009,175000,5,,,,585,,,,,,,,,,,,,,,,
8011,4,11,0;1;2;3;4;5,8012,8010,200000,6,,,,672,,,,,,,,,,,,,,,,
8012,4,12,0;1;2;3;4;5,8013,8011,300000,7,,,,766,,,,,,,,,,,,,,,,
8013,4,13,0;1;2;3;4;5,8014,8012,400000,8,,,,889,,,,,,,,,,,,,,,,
8014,4,14,0;1;2;3;4;5,8015,8013,500000,9,,,,987,,,,,,,,,,,,,,,,
8015,4,15,0;1;2;3;4;5,0,8014,0,10,,,,1100,,,,,,,,,,,,,,,,
9001,6,1,0;1;2;3;4;5,9002,0,2500,,6,6,,,,,,,,,,,,,,,,,,
9002,6,2,0;1;2;3;4;5,9003,9001,5000,,12,12,,,,,,,,,,,,,,,,,,
9003,6,3,0;1;2;3;4;5,9004,9002,10000,,21,21,,,,,,,,,,,,,,,,,,
9004,6,4,0;1;2;3;4;5,9005,9003,25000,,48,48,,,,,,,,,,,,,,,,,,
9005,6,5,0;1;2;3;4;5,9006,9004,50000,,86,86,,,,,,,,,,,,,,,,,,
9006,6,6,0;1;2;3;4;5,9007,9005,75000,1,138,138,,,,,,,,,,,,,,,,,,
9007,6,7,0;1;2;3;4;5,9008,9006,100000,2,263,263,,,,,,,,,,,,,,,,,,
9008,6,8,0;1;2;3;4;5,9009,9007,125000,3,355,355,,,,,,,,,,,,,,,,,,
9009,6,9,0;1;2;3;4;5,9010,9008,150000,4,461,461,,,,,,,,,,,,,,,,,,
9010,6,10,0;1;2;3;4;5,9011,9009,175000,5,646,646,,,,,,,,,,,,,,,,,,
9011,6,11,0;1;2;3;4;5,9012,9010,200000,6,743,743,,,,,,,,,,,,,,,,,,
9012,6,12,0;1;2;3;4;5,9013,9011,300000,7,847,847,,,,,,,,,,,,,,,,,,
9013,6,13,0;1;2;3;4;5,9014,9012,400000,8,983,983,,,,,,,,,,,,,,,,,,
9014,6,14,0;1;2;3;4;5,9015,9013,500000,9,1091,1091,,,,,,,,,,,,,,,,,,
9015,6,15,0;1;2;3;4;5,0,9014,0,10,1216,1216,,,,,,,,,,,,,,,,,,
