任务ID,任务枚举,奖励,是否为开始任务,后续ID
500013,37:260,115:2,,500014
500014,37:280,115:2,,500015
500015,37:300,115:2,,500016
500016,37:320,115:2,,500017
500017,37:340,115:2,,500018
500018,37:360,115:2,,500019
500019,37:380,115:2,,500020
500020,37:400,115:2,,500021
500021,37:420,115:2,,500022
500022,37:440,115:2,,500023
500023,37:460,115:2,,500024
500024,37:480,115:2,,500025
500025,37:500,115:2,,500026
500026,37:520,115:2,,500027
500027,37:540,115:2,,500028
500028,37:560,115:2,,500029
500029,37:580,115:2,,500030
500030,37:600,115:2,,500031
500031,37:620,115:2,,500032
500032,37:640,115:2,,500033
500033,37:660,115:2,,500034
500034,37:680,115:2,,500035
500035,37:700,115:2,,500036
500036,37:720,115:2,,500037
500037,37:740,115:2,,500038
500038,37:760,115:2,,500039
500039,37:780,115:2,,500040
500040,37:800,115:2,,500041
500041,37:820,115:2,,500042
500042,37:840,115:2,,500043
500043,37:860,115:2,,500044
500044,37:880,115:2,,500045
500045,37:900,115:2,,500046
500046,37:920,115:2,,500047
500047,37:940,115:2,,500048
500048,37:960,115:2,,500049
500049,37:980,115:2,,500050
500050,37:1000,115:2,,500051
500051,37:1020,115:2,,500052
500052,37:1040,115:2,,500053
500053,37:1060,115:2,,500054
500054,37:1080,115:2,,500055
500055,37:1100,115:2,,500056
500056,37:1120,115:2,,500057
500057,37:1140,115:2,,500058
500058,37:1160,115:2,,500059
500059,37:1180,115:2,,500060
500060,37:1200,115:2,,
600001,42:1,12:100,1,600002
600002,42:15,12:200,,600003
600003,42:50,12:300,,600004
600004,42:100,12:400,,600005
600005,42:300,12:500,,600006
600006,42:500,12:600,,600007
600007,42:700,12:700,,600008
600008,42:900,12:800,,600009
600009,42:1100,12:900,,600010
600010,42:1300,12:1000,,600011
600011,42:1500,12:1100,,
700001,39:100000,11:10000,1,700002
700002,39:500000,11:15000,,700003
700003,39:1000000,11:20000,,700004
700004,39:5000000,11:25000,,700005
700005,39:10000000,11:30000,,
800001,40:1,2:100,1,800002
800002,40:10,2:100,,800003
800003,40:15,2:100,,800004
800004,40:20,2:100,,800005
800005,40:25,2:100,,800006
800006,40:30,2:100,,800007
800007,40:35,2:100,,800008
800008,40:40,2:100,,800009
800009,40:45,2:100,,800010
800010,40:50,2:100,,800011
800011,40:55,2:100,,800012
800012,40:60,2:100,,800013
800013,40:65,2:100,,800014
800014,40:70,2:100,,800015
800015,40:75,2:100,,800016
800016,40:80,2:100,,800017
800017,40:85,2:100,,
900001,41:10,1:10000,1,900002
900002,41:100,1:20000,,900003
900003,41:300,1:30000,,900004
900004,41:500,1:50000,,900005
900005,41:1000,116:2,,900006
900006,41:1500,116:2,,900007
900007,41:2000,116:2,,900008
900008,41:2500,116:2,,900009
900009,41:3000,116:3,,900010
900010,41:3500,116:3,,900011
900011,41:4000,116:3,,900012
900012,41:4500,116:3,,900013
900013,41:5000,116:3,,900014
900014,41:5500,116:3,,900015
900015,41:6000,116:3,,900016
900016,41:6500,116:3,,900017
900017,41:7000,116:3,,
1000001,6:1000:1,2:10,1,1000002
1000002,6:3000:2,2:20,,1000003
1000003,6:6000:3,2:30,,1000004
1000004,6:10000:3,2:40,,1000005
1000005,6:20000:3,2:50,,1000006
1000006,6:30000:3,2:50,,1000007
1000007,6:40000:3,2:50,,1000008
1000008,6:50000:3,2:50,,1000009
1000009,6:60000:3,2:50,,1000010
1000010,6:70000:3,2:50,,1000011
1000011,6:80000:3,2:50,,1000012
1000012,6:90000:3,2:50,,1000013
1000013,6:100000:3,2:50,,1000014
1000014,6:100000:4,2:50,,1000015
1000015,6:100000:5,2:50,,
