时装id,时装部位类型,是否隐藏发型,时装性别限制,时装职业限制,是否开放使用,时装品质,属性数量,时装套装
10087,1,false,,,true,3,3,232
10088,1,false,,,true,3,3,233
10089,1,true,1,,true,4,4,236;240
10090,1,true,2,,true,4,4,237;241
10091,1,false,,,true,4,4,242;244
10092,1,false,,,true,4,4,246;249;250
10093,1,false,,,true,4,4,251
10094,1,false,,,true,4,4,252
10095,1,true,1,,true,4,4,255;257
10096,1,true,2,,true,4,4,258;260
20001,2,false,,,false,1,1,
20002,2,false,,,true,1,1,104;59;29
20003,2,false,,,false,1,1,
20004,2,false,,,false,1,1,
20005,2,false,,,false,3,3,
20006,2,false,,,false,3,3,
20007,2,false,,,true,3,3,105;31;44;47
20008,2,false,,,true,3,3,106;16;45
20009,2,false,,,true,3,3,107;44;41;65
20010,2,false,,,true,3,3,108;30;59
30001,3,false,,,true,2,2,109;18;39
30002,3,false,,,true,2,2,110;39;66
30005,3,false,,,true,4,4,111;9;51;46
30006,3,false,,,true,3,3,189
30007,3,false,,,true,1,1,112;43;53
30008,3,false,,,true,2,2,113;65;63
30009,3,false,,,true,4,4,114;15;45
30010,3,false,,,true,2,2,115;46;22;23
30011,3,false,,,true,2,2,116;24;32;47
30012,3,false,,,true,2,2,117;43;30;49;53
30014,3,false,,,true,3,3,119;14;63
30015,3,false,,,true,4,4,120;63;3;4
40001,4,false,2,,true,3,3,121;5;12
40002,4,false,1,,true,3,3,122;6;13
40003,4,false,2,,true,4,4,123;3
40004,4,false,1,,true,4,4,124;4
40005,4,false,2,,true,4,4,125;1
40006,4,false,1,,true,4,4,126;2
40007,4,false,1,,true,4,4,200;210
40008,4,false,2,,true,4,4,201;211
40009,4,false,1,,true,4,4,202;212
40010,4,false,2,,true,4,4,203;213
40011,4,false,1,,true,4,4,204;214
40012,4,false,2,,true,4,4,205;215
40013,4,false,1,,true,4,4,206;216
40014,4,false,2,,true,4,4,207;217
40015,4,false,1,,true,4,4,208;218
40016,4,false,2,,true,4,4,209;219
40017,4,false,1,,true,4,4,238;240
40018,4,false,2,,true,4,4,239;241
40019,4,false,1,,true,4,4,247;249
40020,4,false,2,,true,4,4,248;250
40021,4,false,1,,true,4,4,256;257
40022,4,false,2,,true,4,4,259;260
50001,5,false,,40010;40021;40022;40031;40032,true,2,2,127;7;10;16
50002,5,false,,10010;10021;10022;10031;10032,true,2,2,128;7;8;14
50003,5,false,,20010;20021;20022;20031;20032,true,2,2,129;7;9;15
50004,5,false,,30010;30021;30022;30031;30032,true,2,2,130;7;11;17
50005,5,false,,50010;50021;50022;50031;50032,true,2,2,131;7;13;12;18
50006,5,false,,10010;10021;10031,true,4,4,132;19
50007,5,false,,20010;20021;20022;20031;20032,true,4,4,133;19
50008,5,false,,30010;30021;30022;30031;30032,true,4,4,134;19
50009,5,false,,40010;40021;40022;40031;40032,true,4,4,135;19
50011,5,false,,50010;50021;50031,true,4,4,136;19
50012,5,false,,10022;10032,true,4,4,137;19
50014,5,false,,50022;50032,true,4,4,138;19
50016,5,false,,10010;10021;10031,true,4,4,139;20
50017,5,false,,20010;20021;20022;20031;20032,true,4,4,140;20
50018,5,false,,30010;30021;30022;30031;30032,true,4,4,141;20
50019,5,false,,40021;40031,false,4,4,
50021,5,false,,40010;40021;40022;40031;40032,true,4,4,143;20
50022,5,false,,50010;50021;50031,true,4,4,144;20
50023,5,false,,10022;10032,true,4,4,145;20
50025,5,false,,50022;50032,true,4,4,146;20
50027,5,false,,10010;10021;10031,true,4,4,147;21
50028,5,false,,20010;20021;20022;20031;20032,true,4,4,148;21
50029,5,false,,30010;30021;30022;30031;30032,true,4,4,149;21
50030,5,false,,40010;40021;40022;40031;40032,true,4,4,150;21
50032,5,false,,50010;50021;50031,true,4,4,151;21
50033,5,false,,10022;10032,true,4,4,152;21
50035,5,false,,50022;50032,true,4,4,153;21
60001,6,false,,,true,3,3,154;27;56;58
60002,6,false,,,true,4,4,234
60003,6,false,,,true,2,2,155;22;37;28
60004,6,false,,,true,4,4,235
60005,6,false,,,true,4,4,164;228
60006,6,false,,,false,4,4,
60007,6,false,,,true,4,4,156;28;25;56
60008,6,false,,,true,3,3,157;10;34;37
60009,6,false,,,true,3,3,158;69;42
60010,6,false,,,true,4,4,159;42;26
60011,6,false,,,true,3,3,160;17;27;37
60012,6,false,,,true,4,4,161;55
60013,6,false,,,true,3,3,162;53;38
60014,6,false,,,true,3,3,163;66;38
60015,6,false,,,true,4,4,243;244
60016,6,false,,,true,4,4,245
60017,6,false,,,true,4,4,253;261
60018,6,false,,,true,4,4,254;261
