图纸ID,图纸制作材料,时装ID,分解获得
13143,420:30;422:30;440:30;1:1000,50030,498:1
13144,420:30;422:30;440:30;1:1000,50032,498:1
13145,420:30;422:30;440:30;1:1000,50033,498:1
13146,420:30;422:30;440:30;1:1000,50035,498:1
13147,404:70;405:70;406:70;1:50000,60009,497:1
13148,404:90;405:90;406:90;1:70000,60010,498:1
13149,404:70;405:70;406:70;1:50000,60011,497:1
13150,404:90;405:90;406:90;1:70000,60012,498:1
13151,404:70;405:70;406:70;1:50000,60013,497:1
13152,404:30;405:30;406:30;1:1000,60014,497:1
13153,404:30;405:30;406:30;1:1000,10075,498:1;2:1000
13154,404:30;405:30;406:30;1:1000,10076,498:1;2:1000
13155,404:90;405:90;406:90;1:70000,60002,498:1;2:1000
13156,420:90;422:90;440:90;1:70000,40007,498:1
13157,420:90;422:90;440:90;1:70000,40008,498:1
13158,420:90;422:90;440:90;1:70000,40009,498:1
13159,420:90;422:90;440:90;1:70000,40010,498:1
13160,420:90;422:90;440:90;1:70000,40011,498:1
13161,420:90;422:90;440:90;1:70000,40012,498:1
13162,420:90;422:90;440:90;1:70000,40013,498:1
13163,420:90;422:90;440:90;1:70000,40014,498:1
13164,420:90;422:90;440:90;1:70000,40015,498:1
13165,420:90;422:90;440:90;1:70000,40016,498:1
13166,404:90;405:90;406:90;1:70000,10077,498:1
13167,404:90;405:90;406:90;1:70000,10078,498:1
13168,404:90;405:90;406:90;1:70000,10079,498:1
13169,404:90;405:90;406:90;1:70000,10080,498:1
13170,404:90;405:90;406:90;1:70000,10081,498:1
13171,404:90;405:90;406:90;1:70000,10082,498:1
13172,404:90;405:90;406:90;1:70000,10083,498:1
13173,404:90;405:90;406:90;1:70000,10084,498:1
13174,404:90;405:90;406:90;1:70000,10085,498:1
13175,404:90;405:90;406:90;1:70000,10086,498:1
13176,404:70;405:70;406:70;1:50000,10087,497:1;2:200
13177,404:70;405:70;406:70;1:50000,10088,497:1;2:200
13178,404:90;405:90;406:90;1:70000,10089,498:1;2:1000
13179,404:90;405:90;406:90;1:70000,10090,498:1;2:1000
13180,420:90;422:90;440:90;1:70000,40017,498:1;2:1000
13181,420:90;422:90;440:90;1:70000,40018,498:1;2:1000
13182,404:90;405:90;406:90;1:70000,10091,498:1;2:500
13183,404:90;405:90;406:90;1:70000,60015,498:1;2:1000
13184,404:90;405:90;406:90;1:70000,60016,498:1;2:1000
13185,404:90;405:90;406:90;1:70000,10092,498:1;2:500
13186,420:90;422:90;440:90;1:70000,40019,498:1;2:1000
13187,420:90;422:90;440:90;1:70000,40020,498:1;2:1000
13188,404:90;405:90;406:90;1:70000,10093,498:1;2:500
13189,404:90;405:90;406:90;1:70000,10094,498:1;2:500
13190,404:90;405:90;406:90;1:70000,60017,498:1;2:500
13191,404:90;405:90;406:90;1:70000,60018,498:1;2:500
13192,404:90;405:90;406:90;1:70000,10095,498:1;2:1000
13193,404:90;405:90;406:90;1:70000,10096,498:1;2:1000
13194,420:90;422:90;440:90;1:70000,40021,498:1;2:1000
13195,420:90;422:90;440:90;1:70000,40022,498:1;2:1000
