地块编号,地块类别,功能类型,固定时间间隔资源产出,初始机器人Id,保护时间(分钟),占领时间(分钟),固定时间间隔资源产出
43,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
44,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
45,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
46,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
47,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
48,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
49,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
50,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
51,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
52,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
53,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
54,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
55,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
56,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
57,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
58,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
59,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
60,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
61,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
62,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
63,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
64,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
65,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
66,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
67,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
68,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
69,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
70,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
71,5,1,28:20;1:1000;33:40;152:2;220:1,10004,60,180,28:20;1:1000;33:40
72,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
73,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
74,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
75,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
76,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
77,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
78,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
79,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
80,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
81,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
82,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
83,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
84,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
85,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
86,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
87,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
88,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
89,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
90,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
91,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
92,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
93,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
94,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
95,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
96,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
97,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
98,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
99,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
100,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
101,6,1,28:15;1:750;33:30;152:1,10005,60,120,28:15;1:750;33:30
