id,道具类型,道具品质,叠加数量,是否自动使用,是否消耗道具,需要等级,是否绑定,是否分职业,合成目标,分解目标,道具时效,碎片展示,获取途径,属性,对应藏品,道具使用所需时间
233,16,3,9999,0,,,1,,8017,8017,5,,,,,
234,16,4,9999,0,,,1,,8018,8018,5,,,,,
235,16,4,9999,0,,,1,,6541,6541,6,,,,,
236,16,3,9999,0,,,1,,6539,6539,6,,,,,
237,7,4,9999,0,,,1,,,,,,20;24,,,
238,16,4,9999,0,,,,,6538,6538,4,,24,,,
239,16,4,9999,0,,,,,6538,6538,4,,24,,,
240,16,4,9999,0,,,1,,6541,6541,6,,,,,
241,16,3,9999,0,,,1,,6539,6539,6,,,,,
242,7,4,9999,0,,,1,,,,,,,,,
243,50,4,9999,0,,,1,,,,,,,,,
244,50,4,9999,0,,,1,,,,,,,,,
245,7,3,9999,0,,,1,,,,,,,,,
246,16,3,9999,0,,,1,,6539,6539,6,,,,,
247,16,4,9999,0,,,1,,6541,6541,6,,,,,
248,16,3,9999,0,,,1,,6541,6541,6,,,,,
249,16,3,9999,0,,,1,,6539,6539,6,,,,,
250,7,3,9999,0,,,1,,,,5,,,,,
251,7,3,9999,0,,,1,,,,5,,,,,
252,7,3,9999,0,,,1,,,,5,,,,,
253,7,3,9999,0,,,1,,,,5,,,,,
254,16,3,9999,0,,,,,4994,4994,5,,,,,
255,16,4,999,0,,,1,,8379,8379,6,,,,,
256,16,4,9999,0,,,1,,6541,6541,6,,,,,
257,16,3,9999,0,,,1,,6539,6539,6,,,,,
258,16,4,9999,0,,,1,,6541,6541,6,,,,,
259,16,3,9999,0,,,1,,6539,6539,6,,,,,
260,7,3,9999,0,,,1,,,,,,,,,
261,7,3,9999,0,,,1,,,,,,,,,
262,16,4,9999,0,,,1,,6541,6541,6,,,,,
263,16,3,9999,0,,,1,,6539,6539,6,,,,,
264,7,4,9999,0,,,1,,,,,,,,,
265,16,3,9999,0,,,1,,8380,8380,6,,,,,
266,16,4,9999,0,,,1,,8381,8381,6,,,,,
267,16,4,999,0,,,1,,8379,8379,6,,,,,
268,7,4,9999,0,,,1,,,,,,24,,,
269,16,4,9999,0,,,1,,6541,6541,6,,,,,
270,16,3,9999,0,,,1,,6539,6539,6,,,,,
271,16,3,9999,0,,,1,,8380,8380,6,,,,,
272,16,4,9999,0,,,1,,8381,8381,6,,,,,
273,16,4,9999,0,,,1,,6541,6541,6,,,,,
274,16,3,9999,0,,,1,,6539,6539,6,,,,,
275,16,4,9999,0,,,1,,6541,6541,6,,,,,
276,16,3,9999,0,,,1,,6539,6539,6,,,,,
277,16,4,999,0,,,1,,8379,8379,6,,,,,
300,18,1,9999,0,,,0,,300:-1,,,,,,,
301,18,4,9999,0,,,0,,301:-1,,,,,,,
302,18,4,9999,0,,,0,,302:-1,,,,,,,
303,18,4,9999,0,,,0,,303:-1,,,,,,,
304,18,4,9999,0,,,0,,304:168,,,,,,,
305,18,4,9999,0,,,0,,305:168,,,,,,,
306,18,4,9999,0,,,0,,306:168,,,,,,,
307,18,3,9999,0,,,0,,307:12,,,,,,,
308,18,3,9999,0,,,0,,308:2,,,,,,,
309,18,3,9999,0,,,0,,309:1,,,,,,,
310,18,3,9999,0,,,0,,310:-1,,,,,,,
311,18,3,9999,0,,,0,,311:-1,,,,,,,
312,18,3,9999,0,,,0,,312:-1,,,,,,,
313,18,3,9999,0,,,0,,313:-1,,,,,,,
314,18,3,9999,0,,,0,,314:-1,,,,,,,
315,18,3,9999,0,,,0,,315:-1,,,,,,,
316,18,3,9999,0,,,0,,316:-1,,,,,,,
317,18,3,9999,0,,,0,,317:-1,,,,,,,
318,18,3,9999,0,,,0,,318:-1,,,,,,,
319,18,4,9999,0,,,0,,319:-1,,,,,,,
320,18,3,9999,0,,,0,,320:-1,,,,,,,
321,18,3,9999,0,,,0,,321:-1,,,,,,,
322,18,3,9999,0,,,0,,322:-1,,,,,,,
323,18,3,9999,0,,,0,,323:-1,,,,,,,
324,18,3,9999,0,,,0,,324:-1,,,,,,,
325,18,3,9999,0,,,0,,325:-1,,,,,,,
326,18,3,9999,0,,,0,,326:-1,,,,,,,
327,18,4,9999,0,,,0,,327:-1,,,,,,,
328,18,4,9999,0,,,0,,328:-1,,,,,,,
329,18,4,9999,0,,,0,,329:-1,,,,,,,
330,18,4,9999,0,,,0,,330:-1,,,,,,,
331,18,4,9999,0,,,0,,331:-1,,,,,,,
332,18,4,1,0,,,0,,332:-1,,,,,,,
333,18,4,1,0,,,0,,333:-1,,,,,,,
334,18,4,1,0,,,0,,334:-1,,,,,,,
335,18,4,1,0,,,0,,335:-1,,,,,,,
336,18,4,1,0,,,0,,336:-1,,,,,,,
337,18,4,1,0,,,0,,337:-1,,,,,,,
338,18,4,1,0,,,0,,338:-1,,,,,,,
339,18,4,1,0,,,0,,339:-1,,,,,,,
340,18,4,1,0,,,0,,340:-1,,,,,,,
341,18,4,1,0,,,0,,341:-1,,,,,,,
342,18,4,1,0,,,0,,342:-1,,,,,,,
343,18,4,1,0,,,0,,343:-1,,,,,,,
344,7,4,99999,0,,,1,,,,,,,,,
345,7,4,9999,0,,,1,,,,,,,,,
346,18,3,1,0,,,0,,346:-1,,,,,,,
347,18,3,1,0,,,0,,347:-1,,,,,,,
348,18,3,1,0,,,0,,348:-1,,,,,,,
349,18,4,1,0,,,0,,349:-1,,,,,,,
350,18,4,1,0,,,0,,350:-1,,,,,,,
351,18,4,1,0,,,0,,351:-1,,,,,,,
352,18,4,1,0,,,0,,352:-1,,,,,,,
353,18,4,1,0,,,0,,353:-1,,,,,,,
354,18,4,1,0,,,0,,349:-1,,,,,,,
355,18,4,1,0,,,0,,349:-1,,,,,,,
356,18,3,1,0,,,0,,356:-1,,,,,,,
357,18,3,1,0,,,0,,357:-1,,,,,,,
358,18,3,1,0,,,0,,358:-1,,,,,,,
359,18,4,1,0,,,0,,349:-1,,,,,,,
360,18,4,1,0,,,0,,349:-1,,,,,,,
361,18,3,1,0,,,0,,361:-1,,,,,,,
362,18,4,1,0,,,0,,349:-1,,,,,,,
363,18,4,1,0,,,0,,349:-1,,,,,,,
364,18,4,1,0,,,0,,349:-1,,,,,,,
365,18,4,1,0,,,0,,349:-1,,,,,,,
366,18,3,1,0,,,0,,366:-1,,,,,,,
367,18,4,1,0,,,0,,367:-1,,,,,,,
368,18,4,1,0,,,0,,349:-1,,,,,,,
369,18,4,1,0,,,0,,349:-1,,,,,,,
370,18,4,1,0,,,0,,349:-1,,,,,,,
371,18,4,1,0,,,0,,349:-1,,,,,,,
372,18,4,1,0,,,0,,349:-1,,,,,,,
373,18,4,1,0,,,0,,349:-1,,,,,,,
374,18,4,1,0,,,0,,349:-1,,,,,,,
375,18,4,1,0,,,0,,349:-1,,,,,,,
376,18,4,1,0,,,0,,376:-1,,,,,,,
377,18,4,1,0,,,0,,349:-1,,,,,,,
378,18,4,1,0,,,0,,349:-1,,,,,,,
379,18,4,1,0,,,0,,349:-1,,,,,,,
380,18,4,1,0,,,0,,349:-1,,,,,,,
398,18,1,9999,0,,,0,,301:-1,,,,,,,
399,18,1,9999,0,,,0,,309:-1,,,,,,,
401,7,3,9999,0,,,1,,,,,,4,,,
402,7,3,9999,0,,,1,,,,,,4,,,
403,7,3,9999,0,,,1,,,,,,4,,,
404,7,3,9999,0,,,1,,,,,,4,,,
405,7,3,9999,0,,,1,,,,,,4,,,
406,7,3,9999,0,,,1,,,,,,4,,,
407,7,3,9999,0,,,1,,,,,,4,,,
408,7,3,9999,0,,,1,,,,,,4,,,
409,7,3,9999,0,,,1,,,,,,4,,,
410,7,3,9999,0,,,1,,,,,,4,,,
411,7,3,9999,0,,,1,,,,,,4,,,
412,7,3,9999,0,,,1,,,,,,4,,,
413,7,3,9999,0,,,1,,,,,,4,,,
414,7,3,9999,0,,,1,,,,,,4,,,
415,7,3,9999,0,,,1,,,,,,4,,,
416,7,3,9999,0,,,1,,,,,,4,,,
417,7,3,9999,0,,,1,,,,,,4,,,
418,7,3,9999,0,,,1,,,,,,4,,,
419,7,3,9999,0,,,1,,,,,,4,,,
420,7,3,9999,0,,,1,,,,,,4,,,
422,7,3,9999,0,,,1,,,,,,4,,,
423,7,3,9999,0,,,1,,,,,,4,,,
424,7,3,9999,0,,,1,,,,,,4,,,
425,7,3,9999,0,,,1,,,,,,4,,,
426,7,3,9999,0,,,1,,,,,,4,,,
427,7,3,9999,0,,,1,,,,,,4,,,
429,7,3,9999,0,,,1,,,,,,4,,,
430,7,3,9999,0,,,1,,,,,,4,,,
431,7,3,9999,0,,,1,,,,,,4,,,
432,7,3,9999,0,,,1,,,,,,4,,,
433,7,3,9999,0,,,1,,,,,,4,,,
434,7,3,9999,0,,,1,,,,,,4,,,
436,7,3,9999,0,,,1,,,,,,4,,,
438,7,3,9999,0,,,1,,,,,,4,,,
439,7,3,9999,0,,,1,,,,,,4,,,
440,7,3,9999,0,,,1,,,,,,4,,,
441,7,3,9999,0,,,1,,,,,,4,,,
442,7,3,9999,0,,,1,,,,,,4,,,
443,7,3,9999,0,,,1,,,,,,4,,,
444,7,3,9999,0,,,1,,,,,,4,,,
445,7,3,9999,0,,,1,,,,,,4,,,
493,16,3,9999,0,,,1,,4000,4000,,,,,,
494,7,3,9999,0,,,1,,,,,,30,,,
495,7,1,9999,0,,,1,,,,,,27,,,
496,7,2,9999,0,,,1,,,,,,27,,,
497,7,3,9999,0,,,1,,,,,,27,,,
498,7,4,9999,0,,,1,,,,,,27,,,
499,7,5,9999,0,,,1,,,,,,27,,,
500,7,1,9999,0,,,1,,,,2,,,,,
501,7,2,9999,0,,,1,,,,2,,,,,
502,7,3,9999,0,,,1,,,,2,,,,,
503,7,4,9999,0,,,1,,,,2,,,,,
504,16,4,9999,1,,,1,,4010,4010,2,,,,,
505,16,2,9999,0,,,,,4991,4991,,,,,,
506,16,3,9999,0,,,,,4992,4992,,,,,,
507,16,4,9999,0,,,,,4993,4993,,,,,,
508,32,3,9999,0,,,,,14016:1;14020:1;14028:1;14024:1;14006:1;14014:1;14010:1;14008:1;14022:1;14002:1;14004:1;14037:1;14079:1;14106:1;14112:1;14142:1;14064:1;14091:1;14043:1;14076:1;14052:1;14061:1;14073:1;,,,,,,,
509,32,4,9999,0,,,,,14038:1;14080:1;14107:1;14113:1;14143:1;14065:1;14092:1;14044:1;14077:1;14053:1;14062:1;14074:1;,,,,,,,
511,16,2,9999,0,,10,1,0,5010,5010,,,,,,
512,16,3,9999,0,,10,1,0,5011,5011,,,,,,
513,16,4,9999,0,,10,1,0,5012,5012,,,,,,
514,16,4,9999,0,,10,1,0,5013,5013,,,,,,
515,22,2,9999,0,515:20,0,1,,6000,6000,,1,,,,
516,22,3,9999,0,516:20,0,1,,6001,6001,,1,,,,
517,22,4,9999,0,517:20,0,1,,6002,6002,,1,,,,
520,32,4,9999,0,,1,1,0,12136:1;12140:1;12148:1;12150:1;12151:1;12155:1;12158:1;12131:1;12161:1;12169:1;12170:1;12175:1;12173:1;12149:1;12176:1;12177:1;12179:1;12181:1;12182:1;12183:1;12185:1;12156:1;12157:1;12190:1;12188:1;,,,,,,,
521,16,2,9999,0,,20,1,,6000,6000,,,,,,
522,16,3,9999,0,,20,1,,6001,6001,,,,,,
523,16,4,9999,0,,20,1,,6002,6002,,,,,,
524,16,5,9999,0,,20,1,,6003,6003,,,,,,
525,16,5,9999,0,,20,1,,5999,5999,,,,,,
526,32,4,9999,0,,10,1,,13042:1;13043:1;13044:1;13045:1;13046:1,,,,,,,
527,16,4,9999,0,,1,1,,8001,8000,,,,,,
528,7,3,9999,0,,,1,,,,,,,,,
529,7,4,9999,0,,,1,,,,,,,,,
530,22,3,9999,0,530:20,1,1,,5011,5011,,3,,,,
531,22,4,9999,0,531:20,1,1,,5012,5012,,3,,,,
532,16,4,9999,0,2:200,1,,,5201,5201,,,,,,
533,16,4,9999,0,2:200,1,,,5202,5202,,,,,,
534,16,4,9999,0,2:200,1,,,5203,5203,,,,,,
535,16,4,9999,0,2:200,1,,,5204,5204,,,,,,
536,16,4,9999,0,2:200,1,,,5205,5205,,,,,,
537,16,4,9999,0,2:200,1,,,5206,5206,,,,,,
538,16,4,9999,0,2:200,1,,,5207,5207,,,,,,
539,16,4,9999,0,2:200,1,,,5208,5208,,,,,,
540,16,4,9999,0,2:200,1,,,5209,5209,,,,,,
541,16,4,9999,0,2:500,1,,,5210,5210,,,,,,
542,16,4,9999,0,2:500,1,,,5211,5211,,,,,,
543,16,4,9999,0,2:500,1,,,5212,5212,,,,,,
544,16,4,9999,0,2:500,1,,,5213,5213,,,,,,
545,16,4,9999,0,2:500,1,,,5214,5214,,,,,,
546,16,4,9999,0,2:500,1,,,5215,5215,,,,,,
547,16,4,9999,0,2:500,1,,,5216,5216,,,,,,
548,16,4,9999,0,2:500,1,,,5217,5217,,,,,,
549,16,4,9999,0,2:500,1,,,5218,5218,,,,,,
550,16,4,9999,0,2:1000,1,,,5219,5219,,,,,,
551,16,4,9999,0,2:1000,1,,,5220,5220,,,,,,
552,16,4,9999,0,2:1000,1,,,5221,5221,,,,,,
553,16,4,9999,0,2:1000,1,,,5222,5222,,,,,,
554,16,4,9999,0,2:1000,1,,,5223,5223,,,,,,
555,16,4,9999,0,2:1000,1,,,5224,5224,,,,,,
556,16,4,9999,0,2:1000,1,,,5225,5225,,,,,,
557,16,4,9999,0,2:1000,1,,,5226,5226,,,,,,
558,16,4,9999,0,2:1500,1,,,5227,5227,,,,,,
559,16,4,9999,0,2:1500,1,,,5228,5228,,,,,,
560,16,4,9999,0,2:1500,1,,,5229,5229,,,,,,
561,16,4,9999,0,2:1500,1,,,5230,5230,,,,,,
562,16,4,9999,0,2:1500,1,,,5231,5231,,,,,,
563,16,4,9999,0,2:1500,1,,,5232,5232,,,,,,
564,16,4,9999,0,2:1500,1,,,5233,5233,,,,,,
565,16,4,9999,0,2:1500,1,,,5234,5234,,,,,,
566,16,4,9999,0,2:1500,1,,,5235,5235,,,,,,
567,16,4,9999,0,2:1500,1,,,5236,5236,,,,,,
568,16,2,9999,0,,,,,6417,6417,,,,,,
569,16,3,9999,0,,,,,6418,6418,,,,,,
571,16,2,9999,0,,,,,6419,6419,,,,,,
572,16,3,9999,0,,,,,6420,6420,,,,,,
573,16,4,9999,0,,,,,6421,6421,,,,,,
574,16,2,9999,0,,,,,6422,6422,,,,,,
575,16,3,9999,0,,,,,6423,6423,,,,,,
576,16,4,9999,0,,,,,6424,6424,,,,,,
577,16,2,9999,0,,15,,,6016,6016,,,,,,
578,16,2,9999,0,,20,,,6017,6017,,,,,,
579,16,2,9999,0,,25,,,6018,6018,,,,,,
580,16,2,9999,0,,30,,,6019,6019,,,,,,
581,16,2,9999,0,,35,,,6020,6020,,,,,,
582,16,2,9999,0,,40,,,6021,6021,,,,,,
583,16,2,9999,0,,45,,,6022,6022,,,,,,
584,16,2,9999,0,,50,,,6023,6023,,,,,,
585,16,2,9999,0,,55,,,6024,6024,,,,,,
586,16,2,9999,0,,60,,,6025,6025,,,,,,
587,16,2,9999,0,,65,,,6026,6026,,,,,,
588,16,2,9999,0,,70,,,6027,6027,,,,,,
589,16,2,9999,0,,75,,,6028,6028,,,,,,
590,16,2,9999,0,,80,,,6029,6029,,,,,,
591,16,2,9999,0,,85,,,6030,6030,,,,,,
592,16,2,9999,0,,90,,,6031,6031,,,,,,
595,16,4,1,0,2:8000,,,,6040,6040,604800,,,,,
596,16,4,1,0,2:10000,,,,6041,6041,604800,,,,,
597,16,4,1,0,2:12000,,,,6042,6042,604800,,,,,
600,43,2,1,0,,,,,,,,,,,,
601,16,1,9999,0,,1,1,,4101,4101,,,,,,
602,16,1,9999,0,,1,1,,4102,4102,,,,,,
603,16,1,9999,0,,1,1,,4103,4103,,,,,,
604,16,2,9999,0,,1,1,,4104,4104,,,,,,
605,16,2,9999,0,,1,1,,4105,4105,,,,,,
606,16,2,9999,0,,1,1,,4106,4106,,,,,,
607,16,3,9999,0,,1,1,,4107,4107,,,,,,
608,16,3,9999,0,,1,1,,4108,4108,,,,,,
609,16,3,9999,0,,1,1,,4109,4109,,,,,,
610,16,4,9999,0,,1,1,,4110,4110,,,,,,
611,16,4,9999,0,,1,1,,4111,4111,,,,,,
612,16,4,9999,0,,1,1,,4112,4112,,,,,,
613,16,4,9999,0,,1,1,,4113,4113,,,,,,
614,16,4,9999,0,,1,1,,4114,4114,,,,,,
615,16,4,9999,0,,1,1,,4115,4115,,,,,,
621,16,1,9999,0,,1,1,,4151,4151,,,,,,
622,16,1,9999,0,,1,1,,4152,4152,,,,,,
623,16,1,9999,0,,1,1,,4153,4153,,,,,,
624,16,2,9999,0,,1,1,,4154,4154,,,,,,
625,16,2,9999,0,,1,1,,4155,4155,,,,,,
626,16,2,9999,0,,1,1,,4156,4156,,,,,,
627,16,3,9999,0,,1,1,,4157,4157,,,,,,
628,16,3,9999,0,,1,1,,4158,4158,,,,,,
629,16,3,9999,0,,1,1,,4159,4159,,,,,,
630,16,4,9999,0,,1,1,,4160,4160,,,,,,
631,16,4,9999,0,,1,1,,4161,4161,,,,,,
632,16,4,9999,0,,1,1,,4162,4162,,,,,,
633,16,4,9999,0,,1,1,,4163,4163,,,,,,
634,16,4,9999,0,,1,1,,4164,4164,,,,,,
635,16,4,9999,0,,1,1,,4165,4165,,,,,,
641,16,1,9999,0,,1,1,,4201,4201,,,,,,
642,16,1,9999,0,,1,1,,4202,4202,,,,,,
643,16,1,9999,0,,1,1,,4203,4203,,,,,,
644,16,2,9999,0,,1,1,,4204,4204,,,,,,
645,16,2,9999,0,,1,1,,4205,4205,,,,,,
646,16,2,9999,0,,1,1,,4206,4206,,,,,,
647,16,3,9999,0,,1,1,,4207,4207,,,,,,
648,16,3,9999,0,,1,1,,4208,4208,,,,,,
649,16,3,9999,0,,1,1,,4209,4209,,,,,,
650,16,4,9999,0,,1,1,,4210,4210,,,,,,
651,16,4,9999,0,,1,1,,4211,4211,,,,,,
652,16,4,9999,0,,1,1,,4212,4212,,,,,,
653,16,4,9999,0,,1,1,,4213,4213,,,,,,
654,16,4,9999,0,,1,1,,4214,4214,,,,,,
655,16,4,9999,0,,1,1,,4215,4215,,,,,,
660,16,4,9999,0,,10,1,,4011,4011,,,,,,
661,16,4,9999,0,,20,1,,4012,4012,,,,,,
662,16,4,9999,0,,30,1,,4013,4013,,,,,,
663,16,4,9999,0,,40,1,,4014,4014,,,,,,
664,16,4,9999,0,,50,1,,4015,4015,,,,,,
665,16,4,9999,0,,55,1,,4016,4016,,,,,,
666,16,4,9999,0,,60,1,,4017,4017,,,,,,
667,16,4,9999,0,2:200,1,1,,4018,4018,,,,,,
668,16,4,9999,0,2:1000,1,1,,4019,4019,,,,,,
669,16,4,9999,0,2:4000,1,1,,4020,4020,,,,,,
670,16,4,9999,0,2:8000,1,1,,4021,4021,,,,,,
671,16,4,9999,0,2:15000,1,1,,4022,4022,,,,,,
