唯一id,商品标识,名称,解锁条件,金额,奖励1,倒计时,价值,弹出次数,是否弹出,累计充值
91,9,地下矿道30专属礼包,7:150030,648.0,12144:3;139:4;116:50;2:3000,43200,300,1,1,3
92,10,地下矿道80专属礼包,7:150080,6.0,531:2;2:60,43200,500,1,1,1
93,10,地下矿道80专属礼包,7:150080,98.0,513:1;139:1;116:10;2:100,43200,500,1,1,2
94,10,地下矿道80专属礼包,7:150080,328.0,513:2;139:2;116:20;2:1000,43200,300,1,1,3
95,11,火焰沼泽30专属礼包,7:160030,30.0,531:2;138:1;116:4,43200,400,1,1,1
96,11,火焰沼泽30专属礼包,7:160030,198.0,513:2;138:2;115:11;2:298,43200,400,1,1,2
97,11,火焰沼泽30专属礼包,7:160030,648.0,513:3;138:4;115:20;2:3000,43200,300,1,1,3
98,12,火焰沼泽80专属礼包,7:160080,98.0,12144:1;139:1;2:1000,43200,300,1,1,1
99,12,火焰沼泽80专属礼包,7:160080,328.0,12144:2;139:2;2:1000;116:30,43200,300,1,1,2
100,12,火焰沼泽80专属礼包,7:160080,648.0,12144:3;139:4;2:3000;116:50,43200,300,1,1,3
101,13,火神洞30专属礼包,7:170030,30.0,531:2;138:1;115:4,43200,400,1,1,1
102,13,火神洞30专属礼包,7:170030,198.0,513:2;138:2;115:11;2:298,43200,400,1,1,2
103,13,火神洞30专属礼包,7:170030,648.0,513:3;138:4;115:50;2:3000,43200,300,1,1,3
104,14,火神洞80专属礼包,7:170080,30.0,531:2;139:1;116:4,43200,400,1,1,1
105,14,火神洞80专属礼包,7:170080,198.0,513:2;139:2;116:11;2:298,43200,400,1,1,2
106,14,火神洞80专属礼包,7:170080,648.0,513:3;139:4;116:50;2:3000,43200,300,1,1,3
107,15,沉灰盆地30专属礼包,7:180030,98.0,12144:1;139:1;2:1000,43200,300,1,1,1
108,15,沉灰盆地30专属礼包,7:180030,328.0,12144:2;139:2;2:1000;116:30,43200,300,1,1,2
109,15,沉灰盆地30专属礼包,7:180030,648.0,12144:3;139:4;2:3000;116:50,43200,300,1,1,3
110,16,沉灰盆地80专属礼包,7:180080,6.0,531:2;2:60,43200,500,1,1,1
111,16,沉灰盆地80专属礼包,7:180080,98.0,513:1;139:1;116:10;2:100,43200,500,1,1,2
112,16,沉灰盆地80专属礼包,7:180080,328.0,513:2;139:2;116:20;2:1000,43200,300,1,1,3
113,17,雷鸣峡湾30专属礼包,7:190030,30.0,531:2;138:1;115:4,43200,400,1,1,1
114,17,雷鸣峡湾30专属礼包,7:190030,198.0,513:2;138:2;115:11;2:298,43200,400,1,1,2
115,17,雷鸣峡湾30专属礼包,7:190030,648.0,513:3;138:4;115:50;2:3000,43200,300,1,1,3
116,18,雷鸣峡湾80专属礼包,7:190080,30.0,531:2;139:1;116:4,43200,400,1,1,1
117,18,雷鸣峡湾80专属礼包,7:190080,198.0,513:2;139:2;116:11;2:298,43200,400,1,1,2
118,18,雷鸣峡湾80专属礼包,7:190080,648.0,513:3;139:4;116:50;2:3000,43200,300,1,1,3
119,19,薪火营地30专属礼包,7:200030,98.0,12144:1;139:1;2:1000,43200,300,1,1,1
120,19,薪火营地30专属礼包,7:200030,328.0,12144:2;139:2;2:1000;116:30,43200,300,1,1,2
121,19,薪火营地30专属礼包,7:200030,648.0,12144:3;139:4;2:3000;116:50,43200,300,1,1,3
122,20,薪火营地80专属礼包,7:200080,6.0,531:2;2:60,43200,500,1,1,1
123,20,薪火营地80专属礼包,7:200080,98.0,513:1;139:1;116:10;2:100,43200,500,1,1,2
124,20,薪火营地80专属礼包,7:200080,328.0,513:2;139:2;116:20;2:1000,43200,300,1,1,3
125,21,风箱山谷30专属礼包,7:210030,30.0,531:2;139:1;116:4,43200,400,1,1,1
126,21,风箱山谷30专属礼包,7:210030,198.0,513:2;139:2;116:11;2:298,43200,400,1,1,2
127,21,风箱山谷30专属礼包,7:210030,648.0,513:3;139:4;115:50;2:3000,43200,300,1,1,3
128,22,风箱山谷80专属礼包,7:210080,98.0,12144:1;139:1;2:1000,43200,300,1,1,1
129,22,风箱山谷80专属礼包,7:210080,328.0,12144:2;139:2;2:1000;116:30,43200,300,1,1,2
130,22,风箱山谷80专属礼包,7:210080,648.0,12144:3;139:4;2:3000;116:50,43200,300,1,1,3
131,23,聚金矿洞30专属礼包,7:220030,30.0,531:2;138:1;115:4,43200,400,1,1,1
132,23,聚金矿洞30专属礼包,7:220030,198.0,513:2;138:2;115:11;2:298,43200,400,1,1,2
133,23,聚金矿洞30专属礼包,7:220030,648.0,513:3;138:4;115:50;2:3000,43200,300,1,1,3
134,24,聚金矿洞80专属礼包,7:220080,30.0,531:2;139:1;116:4,43200,400,1,1,1
135,24,聚金矿洞80专属礼包,7:220080,198.0,513:2;139:2;116:11;2:298,43200,400,1,1,2
136,24,聚金矿洞80专属礼包,7:220080,648.0,513:3;139:4;116:50;2:3000,43200,300,1,1,3
137,25,炎息熔炉30专属礼包,7:230030,98.0,12832:5;12834:5;115:10;2:1000,43200,300,1,1,1
138,25,炎息熔炉30专属礼包,7:230030,328.0,12132:1;12134:1;115:30;2:1000,43200,300,1,1,2
139,25,炎息熔炉30专属礼包,7:230030,648.0,12132:2;12134:2;115:50;2:3000,43200,300,1,1,3
140,26,炎息熔炉80专属礼包,7:230080,6.0,531:2;2:60,43200,500,1,1,1
141,26,炎息熔炉80专属礼包,7:230080,98.0,513:1;139:1;116:10;2:100,43200,500,1,1,2
142,26,炎息熔炉80专属礼包,7:230080,328.0,513:2;139:2;116:20;2:1000,43200,300,1,1,3
143,27,凯萨督姆30专属礼包,7:240030,30.0,531:2;138:1;115:4,43200,400,1,1,1
144,27,凯萨督姆30专属礼包,7:240030,198.0,513:2;139:2;115:11;47:50000,43200,400,1,1,2
145,27,凯萨督姆30专属礼包,7:240030,648.0,513:3;139:4;115:50;47:100000,43200,300,1,1,3
146,28,凯萨督姆80专属礼包,7:240080,30.0,531:2;139:1;116:4,43200,400,1,1,1
147,28,凯萨督姆80专属礼包,7:240080,198.0,513:2;139:2;116:11;47:50000,43200,400,1,1,2
148,28,凯萨督姆80专属礼包,7:240080,648.0,513:3;139:4;116:50;47:100000,43200,300,1,1,3
149,29,孤山30专属礼包,7:250030,98.0,12832:5;12834:5;115:10;2:1000,43200,300,1,1,1
150,29,孤山30专属礼包,7:250030,328.0,12132:1;12134:1;115:30;2:1000,43200,300,1,1,2
151,29,孤山30专属礼包,7:250030,648.0,12132:2;12134:2;115:50;2:3000,43200,300,1,1,3
152,30,孤山80专属礼包,7:250080,6.0,531:2;2:60,43200,500,1,1,1
153,30,孤山80专属礼包,7:250080,98.0,513:1;139:1;116:10;2:100,43200,500,1,1,2
154,30,孤山80专属礼包,7:250080,328.0,513:2;139:2;116:20;2:1000,43200,300,1,1,3
155,31,斯露德莫丹30专属礼包,7:260030,30.0,531:2;139:1;116:4,43200,400,1,1,1
156,31,斯露德莫丹30专属礼包,7:260030,198.0,513:2;139:2;116:11;47:50000,43200,400,1,1,2
157,31,斯露德莫丹30专属礼包,7:260030,648.0,513:3;139:4;115:50;47:100000,43200,300,1,1,3
158,32,斯露德莫丹80专属礼包,7:260080,98.0,12832:5;12834:5;115:10;2:1000,43200,300,1,1,1
159,32,斯露德莫丹80专属礼包,7:260080,328.0,12132:1;12134:1;115:30;2:1000,43200,300,1,1,2
160,32,斯露德莫丹80专属礼包,7:260080,648.0,12132:2;12134:2;115:50;2:3000,43200,300,1,1,3
161,33,格尼塔海德30专属礼包,7:270030,30.0,531:2;138:1;115:4,43200,400,1,1,1
162,33,格尼塔海德30专属礼包,7:270030,198.0,513:2;138:2;115:11;47:50000,43200,400,1,1,2
163,33,格尼塔海德30专属礼包,7:270030,648.0,513:3;138:4;115:50;47:100000,43200,300,1,1,3
164,34,格尼塔海德80专属礼包,7:270080,30.0,531:2;139:1;116:4,43200,400,1,1,1
165,34,格尼塔海德80专属礼包,7:270080,198.0,513:2;139:2;116:11;47:50000,43200,400,1,1,2
166,34,格尼塔海德80专属礼包,7:270080,648.0,513:3;139:4;116:50;47:100000,43200,300,1,1,3
167,35,汶巴拉30专属礼包,7:280030,98.0,12832:10;12834:10;139:1;2:1000,43200,300,1,1,1
168,35,汶巴拉30专属礼包,7:280030,328.0,12132:1;12134:1;115:30;2:1000,43200,300,1,1,2
169,35,汶巴拉30专属礼包,7:280030,648.0,12132:2;12134:2;115:50;2:3000,43200,300,1,1,3
170,36,汶巴拉80专属礼包,7:280080,6.0,531:2;2:60,43200,500,1,1,1
171,36,汶巴拉80专属礼包,7:280080,98.0,513:1;139:1;116:10;2:100,43200,500,1,1,2
172,36,汶巴拉80专属礼包,7:280080,328.0,513:2;139:2;116:20;2:1000,43200,300,1,1,3
173,37,掠影谷30专属礼包,7:290030,30.0,531:2;138:1;115:4,43200,400,1,1,1
174,37,掠影谷30专属礼包,7:290030,198.0,513:2;139:2;115:11;47:60000,43200,400,1,1,2
175,37,掠影谷30专属礼包,7:290030,648.0,513:3;139:4;115:50;47:120000,43200,300,1,1,3
176,38,掠影谷80专属礼包,7:290080,30.0,531:2;139:1;116:4,43200,400,1,1,1
177,38,掠影谷80专属礼包,7:290080,198.0,513:2;139:2;116:11;47:60000,43200,400,1,1,2
178,38,掠影谷80专属礼包,7:290080,648.0,513:3;139:4;116:50;47:120000,43200,300,1,1,3
179,39,希恩达尔30专属礼包,7:300030,98.0,12832:10;12834:10;139:1;2:1000,43200,300,1,1,1
180,39,希恩达尔30专属礼包,7:300030,328.0,12132:1;12134:1;115:30;2:1000,43200,300,1,1,2
181,39,希恩达尔30专属礼包,7:300030,648.0,12132:2;12134:2;115:50;2:3000,43200,300,1,1,3
182,40,希恩达尔80专属礼包,7:300080,6.0,531:2;2:60,43200,500,1,1,1
183,40,希恩达尔80专属礼包,7:300080,98.0,513:1;139:1;116:10;2:100,43200,500,1,1,2
184,40,希恩达尔80专属礼包,7:300080,328.0,513:2;139:2;116:20;2:1000,43200,300,1,1,3
185,41,霜火帷幕30专属礼包,7:310030,30.0,531:2;139:1;116:4,43200,400,1,1,1
186,41,霜火帷幕30专属礼包,7:310030,198.0,513:2;139:2;116:11;47:60000,43200,400,1,1,2
187,41,霜火帷幕30专属礼包,7:310030,648.0,513:3;139:4;115:50;47:120000,43200,300,1,1,3
188,42,霜火帷幕80专属礼包,7:310080,98.0,12832:10;12834:10;139:1;2:1000,43200,300,1,1,1
189,42,霜火帷幕80专属礼包,7:310080,328.0,12132:1;12134:1;115:30;2:1000,43200,300,1,1,2
190,42,霜火帷幕80专属礼包,7:310080,648.0,12132:2;12134:2;115:50;2:3000,43200,300,1,1,3
191,43,尼伯龙根30专属礼包,7:320030,30.0,531:2;138:1;115:4,43200,400,1,1,1
192,43,尼伯龙根30专属礼包,7:320030,198.0,513:2;138:2;115:11;47:60000,43200,400,1,1,2
193,43,尼伯龙根30专属礼包,7:320030,648.0,513:3;138:4;115:50;47:120000,43200,300,1,1,3
194,44,尼伯龙根80专属礼包,7:320080,30.0,531:2;139:1;116:4,43200,400,1,1,1
195,44,尼伯龙根80专属礼包,7:320080,198.0,513:2;139:2;116:11;47:60000,43200,400,1,1,2
196,44,尼伯龙根80专属礼包,7:320080,648.0,513:3;139:4;116:50;47:120000,43200,300,1,1,3
197,45,迷雾森林30专属礼包,7:330030,98.0,12832:10;12834:10;139:1;2:1000,43200,300,1,1,1
198,45,迷雾森林30专属礼包,7:330030,328.0,12132:1;12134:1;115:30;2:1000,43200,300,1,1,2
199,45,迷雾森林30专属礼包,7:330030,648.0,12132:2;12134:2;115:50;2:3000,43200,300,1,1,3
200,46,迷雾森林80专属礼包,7:330080,6.0,531:2;2:60,43200,500,1,1,1
201,46,迷雾森林80专属礼包,7:330080,98.0,513:1;139:1;116:10;2:100,43200,500,1,1,2
202,46,迷雾森林80专属礼包,7:330080,328.0,513:2;139:2;116:20;2:1000,43200,300,1,1,3
203,47,花影巢穴30专属礼包,7:340030,30.0,531:2;138:1;115:4,43200,400,1,1,1
204,47,花影巢穴30专属礼包,7:340030,198.0,513:2;139:2;115:11;47:70000,43200,400,1,1,2
205,47,花影巢穴30专属礼包,7:340030,648.0,513:3;139:4;115:50;47:140000,43200,300,1,1,3
206,48,花影巢穴80专属礼包,7:340080,30.0,531:2;139:1;116:4,43200,400,1,1,1
207,48,花影巢穴80专属礼包,7:340080,198.0,513:2;139:2;116:11;47:70000,43200,400,1,1,2
208,48,花影巢穴80专属礼包,7:340080,648.0,513:3;139:4;116:50;47:140000,43200,300,1,1,3
209,49,浮光塔30专属礼包,7:350030,98.0,12832:10;12834:10;139:1;2:1000,43200,300,1,1,1
210,49,浮光塔30专属礼包,7:350030,328.0,12132:1;12134:1;115:30;2:1000,43200,300,1,1,2
211,49,浮光塔30专属礼包,7:350030,648.0,12132:2;12134:2;115:50;2:3000,43200,300,1,1,3
212,50,浮光塔80专属礼包,7:350080,6.0,531:2;2:60,43200,500,1,1,1
213,50,浮光塔80专属礼包,7:350080,98.0,513:1;139:1;116:10;2:100,43200,500,1,1,2
214,50,浮光塔80专属礼包,7:350080,328.0,513:2;139:2;116:20;2:1000,43200,300,1,1,3
215,51,不竭之泉30专属礼包,7:360030,30.0,531:2;139:1;116:4,43200,400,1,1,1
216,51,不竭之泉30专属礼包,7:360030,198.0,513:2;139:2;116:11;47:70000,43200,400,1,1,2
217,51,不竭之泉30专属礼包,7:360030,648.0,513:3;139:4;115:50;47:140000,43200,300,1,1,3
218,52,不竭之泉80专属礼包,7:360080,98.0,12832:10;12834:10;139:1;2:1000,43200,300,1,1,1
219,52,不竭之泉80专属礼包,7:360080,328.0,12132:1;12134:1;115:30;2:1000,43200,300,1,1,2
220,52,不竭之泉80专属礼包,7:360080,648.0,12132:2;12134:2;115:50;2:3000,43200,300,1,1,3
221,53,罪骨深渊30专属礼包,7:370030,30.0,531:2;138:1;115:4,43200,400,1,1,1
222,53,罪骨深渊30专属礼包,7:370030,198.0,513:2;138:2;115:11;47:70000,43200,400,1,1,2
223,53,罪骨深渊30专属礼包,7:370030,648.0,513:3;138:4;115:50;47:140000,43200,300,1,1,3
224,54,罪骨深渊80专属礼包,7:370080,30.0,531:2;139:1;116:4,43200,400,1,1,1
225,54,罪骨深渊80专属礼包,7:370080,198.0,513:2;139:2;116:11;47:70000,43200,400,1,1,2
226,54,罪骨深渊80专属礼包,7:370080,648.0,513:3;139:4;116:50;47:140000,43200,300,1,1,3
227,55,埃琉德尼尔30专属礼包,7:380030,98.0,12832:10;12834:10;139:1;2:1000,43200,300,1,1,1
228,55,埃琉德尼尔30专属礼包,7:380030,328.0,12132:2;12134:2;2:2000,43200,300,1,1,2
229,55,埃琉德尼尔30专属礼包,7:380030,648.0,12132:2;12134:2;115:50;2:3000,43200,300,1,1,3
230,56,埃琉德尼尔80专属礼包,7:380080,6.0,531:2;2:60,43200,500,1,1,1
231,56,埃琉德尼尔80专属礼包,7:380080,98.0,513:1;139:1;116:10;2:100,43200,500,1,1,2
232,56,埃琉德尼尔80专属礼包,7:380080,328.0,513:2;139:2;116:20;2:1000,43200,300,1,1,3
233,57,杜阿特30专属礼包,7:390030,30.0,531:2;138:1;115:4,43200,400,1,1,1
234,57,杜阿特30专属礼包,7:390030,198.0,513:2;139:2;115:11;47:80000,43200,400,1,1,2
235,57,杜阿特30专属礼包,7:390030,648.0,513:3;139:4;115:50;47:160000,43200,300,1,1,3
236,58,杜阿特80专属礼包,7:390080,30.0,531:2;139:1;116:4,43200,400,1,1,1
237,58,杜阿特80专属礼包,7:390080,198.0,513:2;139:2;116:11;47:80000,43200,400,1,1,2
238,58,杜阿特80专属礼包,7:390080,648.0,513:3;139:4;116:50;47:160000,43200,300,1,1,3
239,59,尖刀河30专属礼包,7:400030,98.0,12832:10;12834:10;139:1;2:1000,43200,300,1,1,1
240,59,尖刀河30专属礼包,7:400030,328.0,12132:2;12134:2;2:2000,43200,300,1,1,2
241,59,尖刀河30专属礼包,7:400030,648.0,12132:2;12134:2;115:50;2:3000,43200,300,1,1,3
242,60,尖刀河80专属礼包,7:400080,6.0,531:2;2:60,43200,500,1,1,1
243,60,尖刀河80专属礼包,7:400080,98.0,513:1;139:1;116:10;2:100,43200,500,1,1,2
244,60,尖刀河80专属礼包,7:400080,328.0,513:2;139:2;116:20;2:1000,43200,300,1,1,3
245,61,拥光湖30专属礼包,7:410030,30.0,531:2;139:1;116:4,43200,400,1,1,1
246,61,拥光湖30专属礼包,7:410030,198.0,513:2;139:2;115:11;47:80000,43200,400,1,1,2
247,61,拥光湖30专属礼包,7:410030,648.0,513:3;139:4;115:50;47:160000,43200,300,1,1,3
248,62,拥光湖80专属礼包,7:410080,98.0,12832:10;12834:10;139:1;2:1000,43200,300,1,1,1
249,62,拥光湖80专属礼包,7:410080,328.0,12132:2;12134:2;2:2000,43200,300,1,1,2
250,62,拥光湖80专属礼包,7:410080,648.0,12132:2;12134:2;115:50;2:3000,43200,300,1,1,3
251,63,回魂灶30专属礼包,7:420030,30.0,531:2;138:1;115:4,43200,400,1,1,1
252,63,回魂灶30专属礼包,7:420030,198.0,513:2;138:2;115:11;47:80000,43200,400,1,1,2
253,63,回魂灶30专属礼包,7:420030,648.0,513:3;138:4;115:50;47:160000,43200,300,1,1,3
254,64,回魂灶80专属礼包,7:420080,30.0,531:2;139:1;116:4,43200,400,1,1,1
255,64,回魂灶80专属礼包,7:420080,198.0,513:2;139:2;116:11;47:80000,43200,400,1,1,2
256,64,回魂灶80专属礼包,7:420080,648.0,513:3;139:4;116:50;47:160000,43200,300,1,1,3
257,65,格尼帕30专属礼包,7:430030,98.0,12832:10;12834:10;139:1;2:1000,43200,300,1,1,1
258,65,格尼帕30专属礼包,7:430030,328.0,12132:2;12134:2;2:2000,43200,300,1,1,2
259,65,格尼帕30专属礼包,7:430030,648.0,12132:2;12134:2;115:50;2:3000,43200,300,1,1,3
260,66,格尼帕80专属礼包,7:430080,6.0,531:2;2:60,43200,500,1,1,1
261,66,格尼帕80专属礼包,7:430080,98.0,513:1;139:1;116:10;2:100,43200,500,1,1,2
262,66,格尼帕80专属礼包,7:430080,328.0,513:2;139:2;116:20;2:1000,43200,300,1,1,3
263,67,海拉之门30专属礼包,7:440030,30.0,531:2;138:1;115:4,43200,400,1,1,1
264,67,海拉之门30专属礼包,7:440030,198.0,513:2;139:2;115:11;47:80000,43200,400,1,1,2
265,67,海拉之门30专属礼包,7:440030,648.0,513:3;139:4;115:50;47:160000,43200,300,1,1,3
266,68,海拉之门80专属礼包,7:440080,30.0,531:2;139:1;116:4,43200,400,1,1,1
267,68,海拉之门80专属礼包,7:440080,198.0,513:2;139:2;116:11;47:80000,43200,400,1,1,2
268,68,海拉之门80专属礼包,7:440080,648.0,513:3;139:4;116:50;47:160000,43200,300,1,1,3
269,69,绽灵路30专属礼包,7:450030,98.0,12832:10;12834:10;139:1;2:1000,43200,300,1,1,1
270,69,绽灵路30专属礼包,7:450030,328.0,12132:2;12134:2;2:2000,43200,300,1,1,2
271,69,绽灵路30专属礼包,7:450030,648.0,12132:2;12134:2;115:50;2:3000,43200,300,1,1,3
272,70,绽灵路80专属礼包,7:450080,6.0,531:2;2:60,43200,500,1,1,1
273,70,绽灵路80专属礼包,7:450080,98.0,513:1;139:1;116:10;2:100,43200,500,1,1,2
274,70,绽灵路80专属礼包,7:450080,328.0,513:2;139:2;116:20;2:1000,43200,300,1,1,3
275,71,试炼之塔25层特惠礼包,2:25,98.0,9007:1;138:1;531:5;1:100000,43200,400,1,1,1
276,71,试炼之塔25层特惠礼包,2:25,98.0,9007:1;138:1;531:5;1:100000,43200,400,1,1,2
277,71,试炼之塔25层特惠礼包,2:25,98.0,9007:1;138:1;531:5;1:100000,43200,400,1,1,3
278,72,试炼之塔45层特惠礼包,2:45,98.0,9007:1;138:1;531:5;1:120000,43200,400,1,1,1
279,72,试炼之塔45层特惠礼包,2:45,98.0,9007:1;138:1;531:5;1:120000,43200,400,1,1,2
280,72,试炼之塔45层特惠礼包,2:45,98.0,9007:1;138:1;531:5;1:120000,43200,400,1,1,3
281,73,试炼之塔100层特惠礼包,2:100,98.0,9007:1;138:1;531:5;1:140000,43200,400,1,1,1
282,73,试炼之塔100层特惠礼包,2:100,98.0,9007:1;138:1;531:5;1:140000,43200,400,1,1,2
283,73,试炼之塔100层特惠礼包,2:100,98.0,9007:1;138:1;531:5;1:140000,43200,400,1,1,3
284,74,试炼之塔200层特惠礼包,2:200,98.0,9007:1;138:1;531:5;1:160000,43200,400,1,1,1
285,74,试炼之塔200层特惠礼包,2:200,98.0,9007:1;138:1;531:5;1:160000,43200,400,1,1,2
286,74,试炼之塔200层特惠礼包,2:200,98.0,9007:1;138:1;531:5;1:160000,43200,400,1,1,3
287,75,试炼之塔250层特惠礼包,2:250,30.0,517:5;134:1;19:100000,43200,400,1,1,1
288,75,试炼之塔250层特惠礼包,2:250,198.0,523:1;134:1;19:200000;2:1000,43200,500,1,1,2
289,75,试炼之塔250层特惠礼包,2:250,648.0,523:2;138:2;19:800000;2:3000,43200,300,1,1,3
290,76,试炼之塔300层特惠礼包,2:300,98,115:15;116:15;138:1;139:1,43200,400,1,1,1
291,76,试炼之塔300层特惠礼包,2:300,198.0,115:20;116:20;138:1;139:1,43200,500,1,1,2
292,76,试炼之塔300层特惠礼包,2:300,648.0,115:50;116:50;138:2;139:2,43200,300,1,1,3
293,77,试炼之塔350层特惠礼包,2:350,98.0,115:15;116:15;138:1;139:1,43200,400,1,1,1
294,77,试炼之塔350层特惠礼包,2:350,328.0,115:30;116:30;138:2;139:2,43200,400,1,1,2
295,77,试炼之塔350层特惠礼包,2:350,648.0,115:50;116:50;138:2;139:2,43200,400,1,1,3
296,78,试炼之塔400层特惠礼包,2:400,6.0,531:2;2:60,43200,500,1,1,1
297,78,试炼之塔400层特惠礼包,2:400,98.0,513:1;137:2;116:10;2:980,43200,500,1,1,2
298,78,试炼之塔400层特惠礼包,2:400,328.0,115:50;116:50;138:2;139:2,43200,200,1,1,3
299,79,试炼之塔450层特惠礼包,2:450,98,115:15;116:15;138:1;139:1,43200,400,1,1,1
300,79,试炼之塔450层特惠礼包,2:450,198.0,523:1;134:1;19:200000;2:100,43200,500,1,1,2
301,79,试炼之塔450层特惠礼包,2:450,648.0,523:2;138:2;19:800000;2:3000,43200,300,1,1,3
302,80,试炼之塔500层特惠礼包,2:500,30.0,517:2;522:1;19:100000,43200,400,1,1,1
303,80,试炼之塔500层特惠礼包,2:500,198.0,115:20;116:20;138:1;139:1,43200,500,1,1,2
304,80,试炼之塔500层特惠礼包,2:500,648.0,523:2;2:3000;138:2;19:800000,43200,300,1,1,3
305,81,试炼之塔550层特惠礼包,2:550,98.0,115:15;116:15;138:1;139:1,43200,400,1,1,1
306,81,试炼之塔550层特惠礼包,2:550,328.0,115:30;116:30;138:2;139:2,43200,400,1,1,2
307,81,试炼之塔550层特惠礼包,2:550,648.0,115:50;116:50;138:2;139:2,43200,400,1,1,3
308,82,试炼之塔600层特惠礼包,2:600,6.0,531:2;2:60,43200,500,1,1,1
309,82,试炼之塔600层特惠礼包,2:600,98.0,513:1;137:2;116:10;2:980,43200,500,1,1,2
310,82,试炼之塔600层特惠礼包,2:600,328.0,513:2;137:4;116:50,43200,200,1,1,3
311,83,试炼之塔650层特惠礼包,2:650,98,115:15;116:15;138:1;139:1,43200,400,1,1,1
312,83,试炼之塔650层特惠礼包,2:650,198.0,523:1;134:1;19:200000;2:1000,43200,500,1,1,2
313,83,试炼之塔650层特惠礼包,2:650,648.0,523:3;138:2;19:1000000,43200,300,1,1,3
314,84,试炼之塔700层特惠礼包,2:700,30.0,517:2;522:1;19:100000,43200,400,1,1,1
315,84,试炼之塔700层特惠礼包,2:700,198.0,115:20;116:20;138:1;139:1,43200,500,1,1,2
316,84,试炼之塔700层特惠礼包,2:700,648.0,523:2;522:5;19:800000;2:3000,43200,300,1,1,3
317,85,试炼之塔750层特惠礼包,2:750,98.0,115:15;116:15;138:1;139:1,43200,400,1,1,1
318,85,试炼之塔750层特惠礼包,2:750,328.0,115:30;116:30;138:2;139:2,43200,400,1,1,2
319,85,试炼之塔750层特惠礼包,2:750,648.0,523:3;138:2;19:1000000,43200,400,1,1,3
320,86,试炼之塔800层特惠礼包,2:800,6.0,531:2;2:60,43200,500,1,1,1
321,86,试炼之塔800层特惠礼包,2:800,98.0,513:1;137:2;116:10;2:980,43200,500,1,1,2
322,86,试炼之塔800层特惠礼包,2:800,328.0,513:2;137:4;116:50,43200,200,1,1,3
323,87,试炼之塔850层特惠礼包,2:850,98,115:15;116:15;138:1;139:1,43200,400,1,1,1
324,87,试炼之塔850层特惠礼包,2:850,198,523:1;134:1;19:200000;2:1000,43200,500,1,1,2
