宠物等级,Normal升级所需经验,Mini升级所需经验,Mvp升级所需经验,Normal升级所需银币,Mini升级所需银币,Mvp升级所需银币,Normal战力,Mini战力,Mvp战力
48,30500,30500,30500,10300,10300,10300,23900,33900,49900
49,31100,31100,31100,10600,10600,10600,24400,34600,50900
50,31700,31700,31700,10900,10900,10900,24900,35300,52000
51,32400,32400,32400,11200,11200,11200,25700,36400,53500
52,33900,33900,33900,12000,12000,12000,26400,37500,55100
53,34200,34200,34200,12800,12800,12800,27200,38500,56700
54,34600,34600,34600,13600,13600,13600,27900,39600,58200
55,34900,34900,34900,14400,14400,14400,28700,40700,59800
56,35300,35300,35300,15200,15200,15200,29400,41700,61400
57,36000,36000,36000,16000,16000,16000,30200,42800,62900
58,36400,36400,36400,16800,16800,16800,30900,43900,64500
59,36700,36700,36700,17600,17600,17600,31700,44900,66100
60,37100,37100,37100,18400,18400,18400,32400,46000,67600
61,37400,37400,37400,19900,19900,19900,33200,47000,69200
62,40100,40100,40100,21400,21400,21400,33900,48100,70800
63,41000,41000,41000,22900,22900,22900,34700,49200,72300
64,41900,41900,41900,24400,24400,24400,35400,50200,73900
65,42800,42800,42800,25900,25900,25900,36200,51300,75500
66,45800,45800,45800,27400,27400,27400,37000,52400,77000
67,46700,46700,46700,28900,28900,28900,37700,53400,78600
68,47200,47200,47200,30400,30400,30400,38500,54500,80200
69,47600,47600,47600,31900,31900,31900,39200,55600,81700
70,48100,48100,48100,33400,33400,33400,40000,56600,83300
71,48600,48600,48600,34900,34900,34900,41000,58100,85400
72,48900,48900,48900,36400,36400,36400,42000,59500,87500
73,49400,49400,49400,37900,37900,37900,43000,60900,89600
74,49900,49900,49900,39400,39400,39400,44000,62300,91700
75,50400,50400,50400,40900,40900,40900,45000,63700,93700
76,51500,51500,51500,42400,42400,42400,46000,65200,95800
77,52000,52000,52000,43900,43900,43900,47000,66600,97900
78,52500,52500,52500,45400,45400,45400,48000,68000,100000
79,53000,53000,53000,46900,46900,46900,49000,69400,102100
80,55600,55600,55600,48400,48400,48400,50000,70800,104200
81,58400,58400,58400,50400,50400,50400,51000,72300,106300
82,61300,61300,61300,52400,52400,52400,52000,73700,108400
83,64400,64400,64400,54400,54400,54400,53000,75100,110500
84,67600,67600,67600,56400,56400,56400,54000,76500,112500
85,71000,71000,71000,58400,58400,58400,55000,77900,114600
86,74500,74500,74500,60400,60400,60400,56000,79400,116700
87,78300,78300,78300,62400,62400,62400,57000,80800,118800
88,82200,82200,82200,64400,64400,64400,58000,82200,120900
89,86300,86300,86300,66400,66400,66400,59000,83600,123000
90,90600,90600,90600,68400,68400,68400,60000,85000,125100
91,95100,95100,95100,70400,70400,70400,61300,86800,127700
92,99900,99900,99900,72400,72400,72400,62500,88600,130300
93,104900,104900,104900,74400,74400,74400,63800,90400,132900
94,110100,110100,110100,76400,76400,76400,65000,92100,135500
95,115600,115600,115600,78400,78400,78400,66300,93900,138100
96,121400,121400,121400,80400,80400,80400,67500,95700,140700
97,127500,127500,127500,82400,82400,82400,68800,97500,143400
98,133900,133900,133900,84400,84400,84400,70000,99200,146000
99,140600,140600,140600,86400,86400,86400,71300,101000,148600
100,147600,147600,147600,88400,88400,88400,72500,102800,151200
101,152000,152000,152000,90400,90400,90400,73800,104600,153800
102,156600,156600,156600,92400,92400,92400,75000,106300,156400
103,161300,161300,161300,94400,94400,94400,76300,108100,159000
104,166100,166100,166100,96400,96400,96400,77600,109900,161600
105,171100,171100,171100,98400,98400,98400,78800,111700,164200
106,176200,176200,176200,100400,100400,100400,80100,113400,166800
107,181500,181500,181500,102400,102400,102400,81300,115200,169500
108,187000,187000,187000,104400,104400,104400,82600,117000,172100
109,192600,192600,192600,106400,106400,106400,83800,118800,174700
110,198400,198400,198400,108400,108400,108400,85100,120500,177300
111,204300,204300,204300,110400,110400,110400,86600,122700,180400
112,210400,210400,210400,112400,112400,112400,88100,124800,183600
113,216800,216800,216800,114400,114400,114400,89600,126900,186700
114,223300,223300,223300,116400,116400,116400,91100,129100,189800
115,230000,230000,230000,118400,118400,118400,92600,131200,193000
116,236900,236900,236900,120400,120400,120400,94100,133300,196100
117,244000,244000,244000,122400,122400,122400,95600,135500,199200
118,251300,251300,251300,124400,124400,124400,97100,137600,202400
119,258800,258800,258800,126400,126400,126400,98600,139700,205500
120,266600,266600,266600,128400,128400,128400,100100,141800,208600
121,274600,274600,274600,130400,130400,130400,101600,144000,211800
122,282800,282800,282800,132400,132400,132400,103100,146100,214900
123,291300,291300,291300,134400,134400,134400,104600,148200,218000
124,300100,300100,300100,136400,136400,136400,106100,150400,221200
125,309100,309100,309100,138400,138400,138400,107600,152500,224300
126,318300,318300,318300,140400,140400,140400,109100,154600,227400
127,327900,327900,327900,142400,142400,142400,110600,156800,230600
128,337700,337700,337700,144400,144400,144400,112100,158900,233700
129,347900,347900,347900,146400,146400,146400,113600,161000,236800
130,358300,358300,358300,148400,148400,148400,115200,163200,240000
131,369000,369000,369000,150400,150400,150400,116700,165300,243200
132,380000,380000,380000,152400,152400,152400,118230,167400,246400
133,391400,391400,391400,154400,154400,154400,119760,169500,249600
134,403100,403100,403100,156400,156400,156400,121290,171600,252800
135,415100,415100,415100,158400,158400,158400,122820,173700,256000
136,427500,427500,427500,160400,160400,160400,124350,175800,259200
137,440300,440300,440300,162400,162400,162400,125880,177900,262400
138,453500,453500,453500,164400,164400,164400,127410,180000,265600
139,467100,467100,467100,166400,166400,166400,128940,182100,268800
140,481100,481100,481100,168400,168400,168400,130470,184200,272000
141,495500,495500,495500,170400,170400,170400,132000,186300,275200
142,510300,510300,510300,172400,172400,172400,133530,188400,278400
143,525600,525600,525600,174400,174400,174400,135060,190500,281600
144,541300,541300,541300,176400,176400,176400,136590,192600,284800
145,557500,557500,557500,178400,178400,178400,138120,194700,288000
146,574200,574200,574200,180400,180400,180400,139650,196800,291200
147,591400,591400,591400,182400,182400,182400,141180,198900,294400
148,609100,609100,609100,184400,184400,184400,142710,201000,297600
149,627300,627300,627300,186400,186400,186400,144240,203100,300800
150,646100,646100,646100,188400,188400,188400,145770,205200,304000
151,665400,665400,665400,190400,190400,190400,152200,215700,317200
152,685300,685300,685300,192400,192400,192400,154200,218500,321400
153,705800,705800,705800,194400,194400,194400,156300,221400,325600
154,726900,726900,726900,196400,196400,196400,158300,224200,329800
155,748700,748700,748700,198400,198400,198400,160300,227100,333900
156,771100,771100,771100,200400,200400,200400,162300,229900,338100
157,794200,794200,794200,202400,202400,202400,164300,232700,342300
158,818000,818000,818000,204400,204400,204400,166300,235600,346500
159,842500,842500,842500,206400,206400,206400,168300,238400,350600
160,867700,867700,867700,208400,208400,208400,170300,241300,354800
161,893700,893700,893700,210400,210400,210400,172300,244100,359000
162,920500,920500,920500,212400,212400,212400,174300,246900,363200
163,948100,948100,948100,214400,214400,214400,176300,249800,367400
164,976500,976500,976500,216400,216400,216400,178300,252600,371500
165,1005700,1005700,1005700,218400,218400,218400,180300,255500,375700
166,1035800,1035800,1035800,220400,220400,220400,182300,258300,379900
167,1066800,1066800,1066800,222400,222400,222400,184300,261100,384100
168,1098800,1098800,1098800,224400,224400,224400,186300,264000,388200
169,1131700,1131700,1131700,226400,226400,226400,188300,266800,392400
170,1165600,1165600,1165600,228400,228400,228400,190300,269700,396600
171,1200500,1200500,1200500,230400,230400,230400,192600,272900,401300
172,1236500,1236500,1236500,232400,232400,232400,194900,276100,406000
173,1273500,1273500,1273500,234400,234400,234400,197100,279300,410700
174,1311700,1311700,1311700,236400,236400,236400,199400,282400,415400
175,1351000,1351000,1351000,238400,238400,238400,201600,285600,420100
176,1391500,1391500,1391500,240400,240400,240400,203900,288800,424800
177,1433200,1433200,1433200,242400,242400,242400,206100,292000,429500
178,1476100,1476100,1476100,244400,244400,244400,208400,295200,434200
179,1520300,1520300,1520300,246400,246400,246400,210600,298400,438900
180,1565900,1565900,1565900,248400,248400,248400,212900,301600,443600
181,1612800,1612800,1612800,250400,250400,250400,215200,304800,448300
182,1661100,1661100,1661100,252400,252400,252400,217400,308000,453000
183,1710900,1710900,1710900,254400,254400,254400,219700,311200,457700
184,1762200,1762200,1762200,256400,256400,256400,221900,314400,462400
185,1815000,1815000,1815000,258400,258400,258400,224200,317600,467100
186,1869400,1869400,1869400,260400,260400,260400,226400,320800,471800
187,1925400,1925400,1925400,262400,262400,262400,228700,324000,476500
188,1983100,1983100,1983100,264400,264400,264400,230900,327200,481200
189,2042500,2042500,2042500,266400,266400,266400,233200,330400,485900
190,2103700,2103700,2103700,268400,268400,268400,235500,333600,490600
191,2166800,2166800,2166800,270400,270400,270400,238000,337100,495800
192,2231800,2231800,2231800,272400,272400,272400,240500,340700,501000
193,2298700,2298700,2298700,274400,274400,274400,243000,344200,506200
194,2367600,2367600,2367600,276400,276400,276400,245500,347800,511500
195,2438600,2438600,2438600,278400,278400,278400,248000,351300,516700
196,2511700,2511700,2511700,280400,280400,280400,250500,354900,521900
197,2587000,2587000,2587000,282400,282400,282400,253000,358400,527100
198,2664600,2664600,2664600,284400,284400,284400,255500,362000,532400
199,2744500,2744500,2744500,286400,286400,286400,258000,365500,537600
200,2826800,2826800,2826800,288400,288400,288400,260500,369100,542800
201,2911600,2911600,2911600,290400,290400,290400,263000,372600,548000
202,2998900,2998900,2998900,292400,292400,292400,265500,376200,553200
203,3088800,3088800,3088800,294400,294400,294400,268000,379700,558500
204,3181400,3181400,3181400,296400,296400,296400,270500,383300,563700
205,3276800,3276800,3276800,298400,298400,298400,273000,386800,568900
206,3375100,3375100,3375100,300400,300400,300400,275600,390400,574100
207,3476300,3476300,3476300,302400,302400,302400,278100,393900,579300
208,3580500,3580500,3580500,304400,304400,304400,280600,397500,584600
209,3687900,3687900,3687900,306400,306400,306400,283100,401000,589800
210,0,0,0,0,0,0,0,0,0
