技能学习等级,技能升级需求等级,技能升级所需消耗
45,22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70,11:20295;11:21670;11:23045;11:24970;11:26895;11:28820;11:30745;11:32670;11:34595;11:36520;11:38445;11:40370;11:42295;11:44770;11:47245;11:49720;11:52195;11:54670;11:57145;11:59620;11:62095;11:64570;11:67045;11:70070;11:73095;11:76120;11:79145;11:82170;11:85195;11:88220;11:91245;11:94270;11:97295;11:100595;11:103895;11:107195;11:110495;11:113795;11:117095;11:120395;11:123695;11:126995;11:130295;11:134695;11:139095;11:143495;11:147895;11:152295;11:156695
50,22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70,11:23985;11:25610;11:27235;11:29510;11:31785;11:34060;11:36335;11:38610;11:40885;11:43160;11:45435;11:47710;11:49985;11:52910;11:55835;11:58760;11:61685;11:64610;11:67535;11:70460;11:73385;11:76310;11:79235;11:82810;11:86385;11:89960;11:93535;11:97110;11:100685;11:104260;11:107835;11:111410;11:114985;11:118885;11:122785;11:126685;11:130585;11:134485;11:138385;11:142285;11:146185;11:150085;11:153985;11:159185;11:164385;11:169585;11:174785;11:179985;11:185185
55,22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70,11:25830;11:27580;11:29330;11:31780;11:34230;11:36680;11:39130;11:41580;11:44030;11:46480;11:48930;11:51380;11:53830;11:56980;11:60130;11:63280;11:66430;11:69580;11:72730;11:75880;11:79030;11:82180;11:85330;11:89180;11:93030;11:96880;11:100730;11:104580;11:108430;11:112280;11:116130;11:119980;11:123830;11:128030;11:132230;11:136430;11:140630;11:144830;11:149030;11:153230;11:157430;11:161630;11:165830;11:171430;11:177030;11:182630;11:188230;11:193830;11:199430
60,22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70,11:27675;11:29550;11:31425;11:34050;11:36675;11:39300;11:41925;11:44550;11:47175;11:49800;11:52425;11:55050;11:57675;11:61050;11:64425;11:67800;11:71175;11:74550;11:77925;11:81300;11:84675;11:88050;11:91425;11:95550;11:99675;11:103800;11:107925;11:112050;11:116175;11:120300;11:124425;11:128550;11:132675;11:137175;11:141675;11:146175;11:150675;11:155175;11:159675;11:164175;11:168675;11:173175;11:177675;11:183675;11:189675;11:195675;11:201675;11:207675;11:213675
65,22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70,11:31365;11:33490;11:35615;11:38590;11:41565;11:44540;11:47515;11:50490;11:53465;11:56440;11:59415;11:62390;11:65365;11:69190;11:73015;11:76840;11:80665;11:84490;11:88315;11:92140;11:95965;11:99790;11:103615;11:108290;11:112965;11:117640;11:122315;11:126990;11:131665;11:136340;11:141015;11:145690;11:150365;11:155465;11:160565;11:165665;11:170765;11:175865;11:180965;11:186065;11:191165;11:196265;11:201365;11:208165;11:214965;11:221765;11:228565;11:235365;11:242165
70,51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,11:100000;11:150000;11:200000;11:250000;11:300000;11:350000;11:400000;11:450000;11:500000;11:550000;11:600000;11:650000;11:700000;11:750000;11:800000;11:850000;11:900000;11:950000;11:1000000;11:1050000;11:1100000;11:1150000;11:1200000;11:1250000;11:1300000;11:1350000;11:1400000;11:1450000;11:1500000;11:1550000;11:1600000;11:1650000;11:1700000;11:1750000;11:1800000;11:1850000;11:1900000;11:1950000;11:2000000;11:2050000;11:2100000;11:2150000;11:2200000;11:2250000;11:2300000;11:2350000;11:2400000;11:2450000;11:2500000
75,56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104,11:150000;11:225000;11:300000;11:375000;11:450000;11:525000;11:600000;11:675000;11:750000;11:825000;11:900000;11:975000;11:1050000;11:1125000;11:1200000;11:1275000;11:1350000;11:1425000;11:1500000;11:1575000;11:1650000;11:1725000;11:1800000;11:1875000;11:1950000;11:2025000;11:2100000;11:2175000;11:2250000;11:2325000;11:2400000;11:2475000;11:2550000;11:2625000;11:2700000;11:2775000;11:2850000;11:2925000;11:3000000;11:3075000;11:3150000;11:3225000;11:3300000;11:3375000;11:3450000;11:3525000;11:3600000;11:3675000;11:3750000
76,76;76;76;76;76;76;76;76;76;77;77;77;77;77;77;77;77;77;77;78;78;78;78;78;78;78;78;78;78;79;79;79;79;79;79;79;79;79;79;80;80;80;80;80;80;80;80;80;80,47:10000;47:15000;47:20000;47:25000;47:30000;47:35000;47:40000;47:45000;47:50000;47:55000;47:60000;47:65000;47:70000;47:75000;47:80000;47:85000;47:90000;47:95000;47:100000;47:105000;47:110000;47:115000;47:120000;47:125000;47:130000;47:135000;47:140000;47:145000;47:150000;47:155000;47:160000;47:165000;47:170000;47:175000;47:180000;47:185000;47:190000;47:195000;47:200000;47:205000;47:210000;47:215000;47:220000;47:225000;47:230000;47:235000;47:240000;47:245000;47:250000
77,77;77;77;77;77;77;77;77;77;78;78;78;78;78;78;78;78;78;78;79;79;79;79;79;79;79;79;79;79;80;80;80;80;80;80;80;80;80;80;81;81;81;81;81;81;81;81;81;81,47:11000;47:17000;47:23000;47:29000;47:35000;47:41000;47:47000;47:53000;47:59000;47:65000;47:71000;47:77000;47:83000;47:89000;47:95000;47:101000;47:107000;47:113000;47:119000;47:125000;47:131000;47:137000;47:143000;47:149000;47:155000;47:161000;47:167000;47:173000;47:179000;47:185000;47:191000;47:197000;47:203000;47:209000;47:215000;47:221000;47:227000;47:233000;47:239000;47:245000;47:251000;47:257000;47:263000;47:269000;47:275000;47:281000;47:287000;47:293000;47:299000
78,78;78;78;78;78;78;78;78;78;79;79;79;79;79;79;79;79;79;79;80;80;80;80;80;80;80;80;80;80;81;81;81;81;81;81;81;81;81;81;82;82;82;82;82;82;82;82;82;82,47:12000;47:18000;47:24000;47:30000;47:36000;47:42000;47:48000;47:54000;47:60000;47:66000;47:72000;47:78000;47:84000;47:90000;47:96000;47:102000;47:108000;47:114000;47:120000;47:126000;47:132000;47:138000;47:144000;47:150000;47:156000;47:162000;47:168000;47:174000;47:180000;47:186000;47:192000;47:198000;47:204000;47:210000;47:216000;47:222000;47:228000;47:234000;47:240000;47:246000;47:252000;47:258000;47:264000;47:270000;47:276000;47:282000;47:288000;47:294000;47:300000
79,79;79;79;79;79;79;79;79;79;80;80;80;80;80;80;80;80;80;80;81;81;81;81;81;81;81;81;81;81;82;82;82;82;82;82;82;82;82;82;83;83;83;83;83;83;83;83;83;83,47:13000;47:19500;47:26000;47:32500;47:39000;47:45500;47:52000;47:58500;47:65000;47:71500;47:78000;47:84500;47:91000;47:97500;47:104000;47:110500;47:117000;47:123500;47:130000;47:136500;47:143000;47:149500;47:156000;47:162500;47:169000;47:175500;47:182000;47:188500;47:195000;47:201500;47:208000;47:214500;47:221000;47:227500;47:234000;47:240500;47:247000;47:253500;47:260000;47:266500;47:273000;47:279500;47:286000;47:292500;47:299000;47:305500;47:312000;47:318500;47:325000
80,80;80;80;80;80;80;80;80;80;81;81;81;81;81;81;81;81;81;81;82;82;82;82;82;82;82;82;82;82;83;83;83;83;83;83;83;83;83;83;84;84;84;84;84;84;84;84;84;84;,47:15000;47:22000;47:29000;47:36000;47:43000;47:50000;47:57000;47:64000;47:71000;47:78000;47:85000;47:92000;47:99000;47:106000;47:113000;47:120000;47:127000;47:134000;47:141000;47:148000;47:155000;47:162000;47:169000;47:176000;47:183000;47:190000;47:197000;47:204000;47:211000;47:218000;47:225000;47:232000;47:239000;47:246000;47:253000;47:260000;47:267000;47:274000;47:281000;47:288000;47:295000;47:302000;47:309000;47:316000;47:323000;47:330000;47:337000;47:344000;47:351000;
81,81;81;81;81;81;81;81;81;81;82;82;82;82;82;82;82;82;82;82;83;83;83;83;83;83;83;83;83;83;84;84;84;84;84;84;84;84;84;84;85;85;85;85;85;85;85;85;85;85;,47:16500;47:24500;47:32500;47:40500;47:48500;47:56500;47:64500;47:72500;47:80500;47:88500;47:96500;47:104500;47:112500;47:120500;47:128500;47:136500;47:144500;47:152500;47:160500;47:168500;47:176500;47:184500;47:192500;47:200500;47:208500;47:216500;47:224500;47:232500;47:240500;47:248500;47:256500;47:264500;47:272500;47:280500;47:288500;47:296500;47:304500;47:312500;47:320500;47:328500;47:336500;47:344500;47:352500;47:360500;47:368500;47:376500;47:384500;47:392500;47:400500;
82,82;82;82;82;82;82;82;82;82;83;83;83;83;83;83;83;83;83;83;84;84;84;84;84;84;84;84;84;84;85;85;85;85;85;85;85;85;85;85;86;86;86;86;86;86;86;86;86;86;,47:18000;47:27000;47:36000;47:45000;47:54000;47:63000;47:72000;47:81000;47:90000;47:99000;47:108000;47:117000;47:126000;47:135000;47:144000;47:153000;47:162000;47:171000;47:180000;47:189000;47:198000;47:207000;47:216000;47:225000;47:234000;47:243000;47:252000;47:261000;47:270000;47:279000;47:288000;47:297000;47:306000;47:315000;47:324000;47:333000;47:342000;47:351000;47:360000;47:369000;47:378000;47:387000;47:396000;47:405000;47:414000;47:423000;47:432000;47:441000;47:450000;
83,83;83;83;83;83;83;83;83;83;84;84;84;84;84;84;84;84;84;84;85;85;85;85;85;85;85;85;85;85;86;86;86;86;86;86;86;86;86;86;87;87;87;87;87;87;87;87;87;87;,47:19500;47:29500;47:39500;47:49500;47:59500;47:69500;47:79500;47:89500;47:99500;47:109500;47:119500;47:129500;47:139500;47:149500;47:159500;47:169500;47:179500;47:189500;47:199500;47:209500;47:219500;47:229500;47:239500;47:249500;47:259500;47:269500;47:279500;47:289500;47:299500;47:309500;47:319500;47:329500;47:339500;47:349500;47:359500;47:369500;47:379500;47:389500;47:399500;47:409500;47:419500;47:429500;47:439500;47:449500;47:459500;47:469500;47:479500;47:489500;47:499500;
84,84;84;84;84;84;84;84;84;84;85;85;85;85;85;85;85;85;85;85;86;86;86;86;86;86;86;86;86;86;87;87;87;87;87;87;87;87;87;87;88;88;88;88;88;88;88;88;88;88;,47:25000;47:36000;47:47000;47:58000;47:69000;47:80000;47:91000;47:102000;47:113000;47:124000;47:135000;47:146000;47:157000;47:168000;47:179000;47:190000;47:201000;47:212000;47:223000;47:234000;47:245000;47:256000;47:267000;47:278000;47:289000;47:300000;47:311000;47:322000;47:333000;47:344000;47:355000;47:366000;47:377000;47:388000;47:399000;47:410000;47:421000;47:432000;47:443000;47:454000;47:465000;47:476000;47:487000;47:498000;47:509000;47:520000;47:531000;47:542000;47:553000;
85,85;85;85;85;85;85;85;85;85;86;86;86;86;86;86;86;86;86;86;87;87;87;87;87;87;87;87;87;87;88;88;88;88;88;88;88;88;88;88;89;89;89;89;89;89;89;89;89;89;,47:27500;47:39500;47:51500;47:63500;47:75500;47:87500;47:99500;47:111500;47:123500;47:135500;47:147500;47:159500;47:171500;47:183500;47:195500;47:207500;47:219500;47:231500;47:243500;47:255500;47:267500;47:279500;47:291500;47:303500;47:315500;47:327500;47:339500;47:351500;47:363500;47:375500;47:387500;47:399500;47:411500;47:423500;47:435500;47:447500;47:459500;47:471500;47:483500;47:495500;47:507500;47:519500;47:531500;47:543500;47:555500;47:567500;47:579500;47:591500;47:603500;
86,86;86;86;86;86;86;86;86;86;87;87;87;87;87;87;87;87;87;87;88;88;88;88;88;88;88;88;88;88;89;89;89;89;89;89;89;89;89;89;90;90;90;90;90;90;90;90;90;90;,47:30000;47:43000;47:56000;47:69000;47:82000;47:95000;47:108000;47:121000;47:134000;47:147000;47:160000;47:173000;47:186000;47:199000;47:212000;47:225000;47:238000;47:251000;47:264000;47:277000;47:290000;47:303000;47:316000;47:329000;47:342000;47:355000;47:368000;47:381000;47:394000;47:407000;47:420000;47:433000;47:446000;47:459000;47:472000;47:485000;47:498000;47:511000;47:524000;47:537000;47:550000;47:563000;47:576000;47:589000;47:602000;47:615000;47:628000;47:641000;47:654000;
87,87;87;87;87;87;87;87;87;87;88;88;88;88;88;88;88;88;88;88;89;89;89;89;89;89;89;89;89;89;90;90;90;90;90;90;90;90;90;90;91;91;91;91;91;91;91;91;91;91;,47:32500;47:46500;47:60500;47:74500;47:88500;47:102500;47:116500;47:130500;47:144500;47:158500;47:172500;47:186500;47:200500;47:214500;47:228500;47:242500;47:256500;47:270500;47:284500;47:298500;47:312500;47:326500;47:340500;47:354500;47:368500;47:382500;47:396500;47:410500;47:424500;47:438500;47:452500;47:466500;47:480500;47:494500;47:508500;47:522500;47:536500;47:550500;47:564500;47:578500;47:592500;47:606500;47:620500;47:634500;47:648500;47:662500;47:676500;47:690500;47:704500;
95,95;95;95;95;95;95;95;95;95;96;96;96;96;96;96;96;96;96;96;97;97;97;97;97;97;97;97;97;97;98;98;98;98;98;98;98;98;98;98;99;99;99;99;99;99;99;99;99;99;,47:35000;47:50000;47:65000;47:80000;47:95000;47:110000;47:125000;47:140000;47:155000;47:170000;47:185000;47:200000;47:215000;47:230000;47:245000;47:260000;47:275000;47:290000;47:305000;47:320000;47:335000;47:350000;47:365000;47:380000;47:395000;47:410000;47:425000;47:440000;47:455000;47:470000;47:485000;47:500000;47:515000;47:530000;47:545000;47:560000;47:575000;47:590000;47:605000;47:620000;47:635000;47:650000;47:665000;47:680000;47:695000;47:710000;47:725000;47:740000;47:755000;
100,100;100;100;100;100;100;100;100;100;101;101;101;101;101;101;101;101;101;101;102;102;102;102;102;102;102;102;102;102;103;103;103;103;103;103;103;103;103;103;104;104;104;104;104;104;104;104;104;104;,47:40000;47:56000;47:72000;47:88000;47:104000;47:120000;47:136000;47:152000;47:168000;47:184000;47:200000;47:216000;47:232000;47:248000;47:264000;47:280000;47:296000;47:312000;47:328000;47:344000;47:360000;47:376000;47:392000;47:408000;47:424000;47:440000;47:456000;47:472000;47:488000;47:504000;47:520000;47:536000;47:552000;47:568000;47:584000;47:600000;47:616000;47:632000;47:648000;47:664000;47:680000;47:696000;47:712000;47:728000;47:744000;47:760000;47:776000;47:792000;47:808000;
