唯一id,怪物id,角色等级,怪物职业,职业类型,生命,蓝量,技能id,属性id,被动技能,英语唯一名
4200,85,1,1,2,320000000.0,40000.0,99004:1;99005:1;99006:1,3,,Baphomet
4201,86,1,1,2,320000000.0,40000.0,99004:1;99005:1;99006:1,3,,Baphomet
4202,87,1,1,2,320000000.0,40000.0,99004:1;99005:1;99006:1,3,,Baphomet
4203,88,1,1,2,320000000.0,40000.0,99004:1;99005:1;99006:1,3,,Baphomet
4204,89,1,1,2,320000000.0,40000.0,99004:1;99005:1;99006:1,3,,Baphomet
4300,90,1,1,2,320000000.0,40000.0,99007:1;99008:1;99009:1,4,,Baphomet
4301,91,1,1,2,320000000.0,40000.0,99007:1;99008:1;99009:1,4,,Baphomet
4302,92,1,1,2,320000000.0,40000.0,99007:1;99008:1;99009:1,4,,Baphomet
4303,93,1,1,2,320000000.0,40000.0,99007:1;99008:1;99009:1,4,,Baphomet
4304,94,1,1,2,320000000.0,40000.0,99007:1;99008:1;99009:1,4,,Baphomet
4400,95,1,1,2,320000000.0,40000.0,99010:1;99011:1;99012:1,5,,Baphomet
4401,96,1,1,2,320000000.0,40000.0,99010:1;99011:1;99012:1,5,,Baphomet
4402,97,1,1,2,320000000.0,40000.0,99010:1;99011:1;99012:1,5,,Baphomet
4403,98,1,1,2,320000000.0,40000.0,99010:1;99011:1;99012:1,5,,Baphomet
4404,99,1,1,2,320000000.0,40000.0,99010:1;99011:1;99012:1,5,,Baphomet
4500,100,1,1,2,320000000.0,40000.0,99013:1;99014:1;99015:1,6,,Baphomet
4501,101,1,1,2,320000000.0,40000.0,99013:1;99014:1;99015:1,6,,Baphomet
4502,102,1,1,2,320000000.0,40000.0,99013:1;99014:1;99015:1,6,,Baphomet
4503,103,1,1,2,320000000.0,40000.0,99013:1;99014:1;99015:1,6,,Baphomet
4504,104,1,1,2,320000000.0,40000.0,99013:1;99014:1;99015:1,6,,Baphomet
4600,105,1,1,2,320000000.0,40000.0,99016:1;99017:1;99018:1,7,,Baphomet
4601,106,1,1,2,320000000.0,40000.0,99016:1;99017:1;99018:1,7,,Baphomet
4602,107,1,1,2,320000000.0,40000.0,99016:1;99017:1;99018:1,7,,Baphomet
4603,108,1,1,2,320000000.0,40000.0,99016:1;99017:1;99018:1,7,,Baphomet
4604,109,1,1,2,320000000.0,40000.0,99016:1;99017:1;99018:1,7,,Baphomet
4700,110,1,1,2,320000000.0,40000.0,99019:1;99020:1;99021:1,8,,Baphomet
4701,111,1,1,2,320000000.0,40000.0,99019:1;99020:1;99021:1,8,,Baphomet
4702,112,1,1,2,320000000.0,40000.0,99019:1;99020:1;99021:1,8,,Baphomet
4703,113,1,1,2,320000000.0,40000.0,99019:1;99020:1;99021:1,8,,Baphomet
4704,114,1,1,2,320000000.0,40000.0,99019:1;99020:1;99021:1,8,,Baphomet
50000,1000,1,1,2,66926.0,100000.0,90019:1,2,,Madkingrabbit
50001,1001,1,1,2,66926.0,100000.0,90020:1;90019:1,2,,Madkingrabbit
50002,1002,1,1,2,66926.0,100000.0,90017:1;90022:1;90020:1,2,,Madkingrabbit
50003,1003,1,1,2,66926.0,100000.0,90021:1;90019:1;90017:1;90020:1,2,,Madkingrabbit
50004,1004,1,1,2,66926.0,100000.0,90020:1;90019:1;90021:1;90017:1,2,,Madkingrabbit
50005,1005,1,1,2,66926.0,100000.0,90023:1;90027:1,5,,metaller
50006,1006,1,1,2,66926.0,100000.0,90027:1;90023:1,5,,metaller
50007,1007,1,1,2,66926.0,100000.0,90023:1;90025:1;90027:1,5,,metaller
50008,1008,1,1,2,66926.0,100000.0,90028:1;90023:1;90027:1;90025:1,5,,metaller
50009,1009,1,1,2,66926.0,100000.0,90023:1;90027:1;90024:1;90028:1,5,,metaller
50010,1010,1,4,2,66926.0,100000.0,90040:1;90041:1,6,,Mistress
50011,1011,1,4,2,66926.0,100000.0,90043:1;90040:1;90041:1,6,,Mistress
50012,1012,1,4,2,66926.0,100000.0,90040:1;90043:1;90044:1;90046:1,6,,Mistress
50013,1013,1,4,2,66926.0,100000.0,90041:1;90043:1;90042:1;90040:1,6,,Mistress
50014,1014,1,4,2,66926.0,100000.0,90043:1;90040:1;90041:1;90042:1,6,,Mistress
50015,1015,1,1,2,66926.0,100000.0,90030:1;90031:1,4,,Polly
50016,1016,1,1,2,66926.0,100000.0,90032:1;90035:1;90031:1,4,,Polly
50017,1017,1,1,2,66926.0,100000.0,90036:1;90032:1;90031:1;90035:1,4,,Polly
50018,1018,1,1,2,66926.0,100000.0,90030:1;90031:1;90035:1;90032:1,4,,Polly
50019,1019,1,1,2,66926.0,100000.0,90032:1;90031:1;90035:1;90036:1,4,,Polly
50020,1020,1,2,2,66926.0,100000.0,90110:1;90111:1,8,,Ghostring
50021,1021,1,2,2,66926.0,100000.0,90110:1;90111:1,8,,Ghostring
50022,1022,1,2,2,66926.0,100000.0,90110:1;90111:1,8,,Ghostring
50023,1023,1,2,2,66926.0,100000.0,90110:1;90111:1,8,,Ghostring
50024,1024,1,2,2,66926.0,100000.0,90110:1;90111:1,8,,Ghostring
50025,1025,1,1,2,66926.0,100000.0,90107:1;90108:1,5,,Vagabondwolf
50026,1026,1,1,2,66926.0,100000.0,90107:1;90108:1,5,,Vagabondwolf
50027,1027,1,1,2,66926.0,100000.0,90107:1;90108:1,5,,Vagabondwolf
50028,1028,1,1,2,66926.0,100000.0,90107:1;90108:1,5,,Vagabondwolf
50029,1029,1,1,2,66926.0,100000.0,90107:1;90108:1,5,,Vagabondwolf
50030,1030,1,1,2,66926.0,100000.0,90170:1;90171:1,3,,BearST
50031,1031,1,1,2,66926.0,100000.0,90170:1;90171:1,3,,BearST
50032,1032,1,1,2,66926.0,100000.0,90170:1;90171:1,3,,BearST
50033,1033,1,1,2,66926.0,100000.0,90170:1;90171:1,3,,BearST
50034,1034,1,1,2,66926.0,100000.0,90170:1;90171:1,3,,BearST
50035,1035,1,1,2,66926.0,100000.0,90166:1;90167:1,2,,Argiope
50036,1036,1,1,2,66926.0,100000.0,90166:1;90167:1,2,,Argiope
50037,1037,1,1,2,66926.0,100000.0,90166:1;90167:1,2,,Argiope
50038,1038,1,1,2,66926.0,100000.0,90166:1;90167:1,2,,Argiope
50039,1039,1,1,2,66926.0,100000.0,90166:1;90167:1,2,,Argiope
50040,1040,1,1,2,66926.0,100000.0,90203:1;90204:1,4,,Tirfing
50041,1041,1,1,2,66926.0,100000.0,90203:1;90204:1,4,,Tirfing
50042,1042,1,1,2,66926.0,100000.0,90203:1;90204:1,4,,Tirfing
50043,1043,1,1,2,66926.0,100000.0,90203:1;90204:1,4,,Tirfing
50044,1044,1,1,2,66926.0,100000.0,90203:1;90204:1,4,,Tirfing
50045,1045,1,1,2,66926.0,100000.0,90210:1;90211:1,7,,Priest
50046,1046,1,1,2,66926.0,100000.0,90210:1;90211:1,7,,Priest
50047,1047,1,1,2,66926.0,100000.0,90210:1;90211:1,7,,Priest
50048,1048,1,1,2,66926.0,100000.0,90210:1;90211:1,7,,Priest
50049,1049,1,1,2,66926.0,100000.0,90210:1;90211:1,7,,Priest
50050,1050,1,2,2,66926.0,100000.0,90152:1;90153:1,7,,Ancientmummy
50051,1051,1,2,2,66926.0,100000.0,90152:1;90153:1,7,,Ancientmummy
50052,1052,1,2,2,66926.0,100000.0,90152:1;90153:1,7,,Ancientmummy
50053,1053,1,2,2,66926.0,100000.0,90152:1;90153:1,7,,Ancientmummy
50054,1054,1,2,2,66926.0,100000.0,90152:1;90153:1,7,,Ancientmummy
50055,1055,1,1,2,66926.0,100000.0,90113:1;90114:1,7,,Dracula
50056,1056,1,1,2,66926.0,100000.0,90113:1;90114:1,7,,Dracula
50057,1057,1,1,2,66926.0,100000.0,90113:1;90114:1,7,,Dracula
50058,1058,1,1,2,66926.0,100000.0,90113:1;90114:1,7,,Dracula
50059,1059,1,1,2,66926.0,100000.0,90113:1;90114:1,7,,Dracula
50060,1060,1,1,2,66926.0,100000.0,90121:1;90122:1,3,,Orclord
50061,1061,1,1,2,66926.0,100000.0,90121:1;90122:1,3,,Orclord
50062,1062,1,1,2,66926.0,100000.0,90121:1;90122:1,3,,Orclord
50063,1063,1,1,2,66926.0,100000.0,90121:1;90122:1,3,,Orclord
50064,1064,1,1,2,66926.0,100000.0,90121:1;90122:1,3,,Orclord
50065,1065,1,1,2,66926.0,100000.0,90125:1;90126:1,3,,Koboldleader
50066,1066,1,1,2,66926.0,100000.0,90125:1;90126:1,3,,Koboldleader
50067,1067,1,1,2,66926.0,100000.0,90125:1;90126:1,3,,Koboldleader
50068,1068,1,1,2,66926.0,100000.0,90125:1;90126:1,3,,Koboldleader
50069,1069,1,1,2,66926.0,100000.0,90125:1;90126:1,3,,Koboldleader
50070,1070,1,1,2,66926.0,100000.0,90130:1;90131:1,4,,Goblinleader
50071,1071,1,1,2,66926.0,100000.0,90130:1;90131:1,4,,Goblinleader
50072,1072,1,1,2,66926.0,100000.0,90130:1;90131:1,4,,Goblinleader
50073,1073,1,1,2,66926.0,100000.0,90130:1;90131:1,4,,Goblinleader
50074,1074,1,1,2,66926.0,100000.0,90130:1;90131:1,4,,Goblinleader
50075,1075,1,1,2,66926.0,100000.0,90138:1;90139:1,5,,Phreeoni
50076,1076,1,1,2,66926.0,100000.0,90138:1;90139:1,5,,Phreeoni
50077,1077,1,1,2,66926.0,100000.0,90138:1;90139:1,5,,Phreeoni
50078,1078,1,1,2,66926.0,100000.0,90138:1;90139:1,5,,Phreeoni
50079,1079,1,1,2,66926.0,100000.0,90138:1;90139:1,5,,Phreeoni
50080,1080,1,2,2,66926.0,100000.0,90141:1;90142:1,6,,Pecopeco
50081,1081,1,2,2,66926.0,100000.0,90141:1;90142:1,6,,Pecopeco
50082,1082,1,2,2,66926.0,100000.0,90141:1;90142:1,6,,Pecopeco
50083,1083,1,2,2,66926.0,100000.0,90141:1;90142:1,6,,Pecopeco
50084,1084,1,2,2,66926.0,100000.0,90141:1;90142:1,6,,Pecopeco
50085,1085,1,1,2,66926.0,100000.0,90145:1;90146:1,3,,Golem
50086,1086,1,1,2,66926.0,100000.0,90145:1;90146:1,3,,Golem
50087,1087,1,1,2,66926.0,100000.0,90145:1;90146:1,3,,Golem
50088,1088,1,1,2,66926.0,100000.0,90145:1;90146:1,3,,Golem
50089,1089,1,1,2,66926.0,100000.0,90145:1;90146:1,3,,Golem
50090,1090,1,1,2,66926.0,100000.0,90174:1;90175:1,3,,Greatestgeneral
50091,1091,1,1,2,66926.0,100000.0,90174:1;90175:1,3,,Greatestgeneral
50092,1092,1,1,2,66926.0,100000.0,90174:1;90175:1,3,,Greatestgeneral
50093,1093,1,1,2,66926.0,100000.0,90174:1;90175:1,3,,Greatestgeneral
50094,1094,1,1,2,66926.0,100000.0,90174:1;90175:1,3,,Greatestgeneral
50095,1095,1,1,2,66926.0,100000.0,90178:1;90179:1,3,,Dokebi
50096,1096,1,1,2,66926.0,100000.0,90178:1;90179:1,3,,Dokebi
50097,1097,1,1,2,66926.0,100000.0,90178:1;90179:1,3,,Dokebi
50098,1098,1,1,2,66926.0,100000.0,90178:1;90179:1,3,,Dokebi
50099,1099,1,1,2,66926.0,100000.0,90178:1;90179:1,3,,Dokebi
50100,1100,1,1,2,66926.0,100000.0,90185:1;90186:1,2,,Hyegun
50101,1101,1,1,2,66926.0,100000.0,90185:1;90186:1,2,,Hyegun
50102,1102,1,1,2,66926.0,100000.0,90185:1;90186:1,2,,Hyegun
50103,1103,1,1,2,66926.0,100000.0,90185:1;90186:1,2,,Hyegun
50104,1104,1,1,2,66926.0,100000.0,90185:1;90186:1,2,,Hyegun
50105,1105,1,2,2,66926.0,100000.0,90189:1;90190:1,5,,NineTail
50106,1106,1,2,2,66926.0,100000.0,90189:1;90190:1,5,,NineTail
50107,1107,1,2,2,66926.0,100000.0,90189:1;90190:1,5,,NineTail
50108,1108,1,2,2,66926.0,100000.0,90189:1;90190:1,5,,NineTail
50109,1109,1,2,2,66926.0,100000.0,90189:1;90190:1,5,,NineTail
50110,1110,1,4,2,66926.0,100000.0,90192:1;90193:1,5,,OwlbaronBlue
50111,1111,1,4,2,66926.0,100000.0,90192:1;90193:1,5,,OwlbaronBlue
50112,1112,1,4,2,66926.0,100000.0,90192:1;90193:1,5,,OwlbaronBlue
50113,1113,1,4,2,66926.0,100000.0,90192:1;90193:1,5,,OwlbaronBlue
50114,1114,1,4,2,66926.0,100000.0,90192:1;90193:1,5,,OwlbaronBlue
50115,1115,1,1,2,66926.0,100000.0,90195:1;90196:1,6,,Moonlight
50116,1116,1,1,2,66926.0,100000.0,90195:1;90196:1,6,,Moonlight
50117,1117,1,1,2,66926.0,100000.0,90195:1;90196:1,6,,Moonlight
50118,1118,1,1,2,66926.0,100000.0,90195:1;90196:1,6,,Moonlight
50119,1119,1,1,2,66926.0,100000.0,90195:1;90196:1,6,,Moonlight
50120,1120,1,1,2,66926.0,100000.0,90117:1;90118:1,8,,Doppelganger
50121,1121,1,1,2,66926.0,100000.0,90117:1;90118:1,8,,Doppelganger
50122,1122,1,1,2,66926.0,100000.0,90117:1;90118:1,8,,Doppelganger
50123,1123,1,1,2,66926.0,100000.0,90117:1;90118:1,8,,Doppelganger
50124,1124,1,1,2,66926.0,100000.0,90117:1;90118:1,8,,Doppelganger
50125,1125,1,4,2,66926.0,100000.0,90216:1;90217:1,4,,Mysteltainn
50126,1126,1,4,2,66926.0,100000.0,90216:1;90217:1,4,,Mysteltainn
50127,1127,1,4,2,66926.0,100000.0,90216:1;90217:1,4,,Mysteltainn
50128,1128,1,4,2,66926.0,100000.0,90216:1;90217:1,4,,Mysteltainn
50129,1129,1,4,2,66926.0,100000.0,90216:1;90217:1,4,,Mysteltainn
50130,1130,1,1,2,66926.0,100000.0,90199:1;90200:1;90201:1,7,,Knight_of_abyss
50131,1131,1,1,2,66926.0,100000.0,90199:1;90200:1;90201:1,7,,Knight_of_abyss
50132,1132,1,1,2,66926.0,100000.0,90199:1;90200:1;90201:1,7,,Knight_of_abyss
50133,1133,1,1,2,66926.0,100000.0,90199:1;90200:1;90201:1,7,,Knight_of_abyss
50134,1134,1,1,2,66926.0,100000.0,90199:1;90200:1;90201:1,7,,Knight_of_abyss
50135,1135,1,1,2,66926.0,100000.0,90134:1;90135:1,2,,Orchero
50136,1136,1,1,2,66926.0,100000.0,90134:1;90135:1,2,,Orchero
50137,1137,1,1,2,66926.0,100000.0,90134:1;90135:1,2,,Orchero
50138,1138,1,1,2,66926.0,100000.0,90134:1;90135:1,2,,Orchero
50139,1139,1,1,2,66926.0,100000.0,90134:1;90135:1,2,,Orchero
50140,1140,1,1,2,66926.0,100000.0,90156:1;90157:1,3,,Minorous
50141,1141,1,1,2,66926.0,100000.0,90156:1;90157:1,3,,Minorous
50142,1142,1,1,2,66926.0,100000.0,90156:1;90157:1,3,,Minorous
50143,1143,1,1,2,66926.0,100000.0,90156:1;90157:1,3,,Minorous
50144,1144,1,1,2,66926.0,100000.0,90156:1;90157:1,3,,Minorous
50145,1145,1,4,2,66926.0,100000.0,90160:1;90161:1,7,,Pharaoh
50146,1146,1,4,2,66926.0,100000.0,90160:1;90161:1,7,,Pharaoh
50147,1147,1,4,2,66926.0,100000.0,90160:1;90161:1,7,,Pharaoh
50148,1148,1,4,2,66926.0,100000.0,90160:1;90161:1,7,,Pharaoh
50149,1149,1,4,2,66926.0,100000.0,90160:1;90161:1,7,,Pharaoh
50150,1150,1,3,2,66926.0,100000.0,90213:1;90214:1,7,,Amonra
50151,1151,1,3,2,66926.0,100000.0,90213:1;90214:1,7,,Amonra
50152,1152,1,3,2,66926.0,100000.0,90213:1;90214:1,7,,Amonra
50153,1153,1,3,2,66926.0,100000.0,90213:1;90214:1,7,,Amonra
50154,1154,1,3,2,66926.0,100000.0,90213:1;90214:1,7,,Amonra
50155,1155,1,1,2,66926.0,100000.0,90163:1;90164:1,7,,Osiris
50156,1156,1,1,2,66926.0,100000.0,90163:1;90164:1,7,,Osiris
50157,1157,1,1,2,66926.0,100000.0,90163:1;90164:1,7,,Osiris
50158,1158,1,1,2,66926.0,100000.0,90163:1;90164:1,7,,Osiris
50159,1159,1,1,2,66926.0,100000.0,90163:1;90164:1,7,,Osiris
50160,1160,1,1,2,66926.0,100000.0,90149:1;90150:1,7,,Maya
50161,1161,1,1,2,66926.0,100000.0,90149:1;90150:1,7,,Maya
50162,1162,1,1,2,66926.0,100000.0,90149:1;90150:1,7,,Maya
50163,1163,1,1,2,66926.0,100000.0,90149:1;90150:1,7,,Maya
50164,1164,1,1,2,66926.0,100000.0,90149:1;90150:1,7,,Maya
50165,1165,1,1,2,66926.0,100000.0,90182:1;90183:1,3,,Eddga
50166,1166,1,1,2,66926.0,100000.0,90182:1;90183:1,3,,Eddga
50167,1167,1,1,2,66926.0,100000.0,90182:1;90183:1,3,,Eddga
50168,1168,1,1,2,66926.0,100000.0,90182:1;90183:1,3,,Eddga
50169,1169,1,1,2,66926.0,100000.0,90182:1;90183:1,3,,Eddga
50170,1170,1,1,2,66926.0,100000.0,90219:1;90220:1,7,,Darklord
50171,1171,1,1,2,66926.0,100000.0,90219:1;90220:1,7,,Darklord
50172,1172,1,1,2,66926.0,100000.0,90219:1;90220:1,7,,Darklord
50173,1173,1,1,2,66926.0,100000.0,90219:1;90220:1,7,,Darklord
50174,1174,1,1,2,66926.0,100000.0,90219:1;90220:1,7,,Darklord
50175,1175,1,1,2,66926.0,100000.0,90145:1;90146:1,3,,Golem
50176,1176,1,1,2,66926.0,100000.0,90145:1;90146:1,3,,Golem
50177,1177,1,1,2,66926.0,100000.0,90145:1;90146:1,3,,Golem
50178,1178,1,1,2,66926.0,100000.0,90145:1;90146:1,3,,Golem
50179,1179,1,1,2,66926.0,100000.0,90145:1;90146:1,3,,Golem
50180,1180,1,1,2,66926.0,100000.0,90134:1;90135:1,4,,OrcheroRed
50181,1181,1,1,2,66926.0,100000.0,90134:1;90135:1,4,,OrcheroRed
50182,1182,1,1,2,66926.0,100000.0,90134:1;90135:1,4,,OrcheroRed
50183,1183,1,1,2,66926.0,100000.0,90134:1;90135:1,4,,OrcheroRed
50184,1184,1,1,2,66926.0,100000.0,90134:1;90135:1,4,,OrcheroRed
50185,1185,1,1,2,66926.0,100000.0,90449:1;90450:1,4,,Rockgiants
50186,1186,1,1,2,66926.0,100000.0,90449:1;90450:1,4,,Rockgiants
50187,1187,1,1,2,66926.0,100000.0,90449:1;90450:1,4,,Rockgiants
50188,1188,1,1,2,66926.0,100000.0,90449:1;90450:1,4,,Rockgiants
50189,1189,1,1,2,66926.0,100000.0,90449:1;90450:1,4,,Rockgiants
50190,1190,1,1,2,66926.0,100000.0,90399:1;90398:1,7,,Wanderman
50191,1191,1,1,2,66926.0,100000.0,90399:1;90398:1,7,,Wanderman
50192,1192,1,1,2,66926.0,100000.0,90399:1;90398:1,7,,Wanderman
50193,1193,1,1,2,66926.0,100000.0,90399:1;90398:1,7,,Wanderman
50194,1194,1,1,2,66926.0,100000.0,90399:1;90398:1,7,,Wanderman
50195,1195,1,1,2,66926.0,100000.0,90458:1;90459:1,4,,Naghtsieger
50196,1196,1,1,2,66926.0,100000.0,90458:1;90459:1,4,,Naghtsieger
50197,1197,1,1,2,66926.0,100000.0,90458:1;90459:1,4,,Naghtsieger
50198,1198,1,1,2,66926.0,100000.0,90458:1;90459:1,4,,Naghtsieger
50199,1199,1,1,2,66926.0,100000.0,90458:1;90459:1,4,,Naghtsieger
50200,1200,1,1,2,66926.0,100000.0,90437:1;90438:1,5,,PterosaurZI
50201,1201,1,1,2,66926.0,100000.0,90437:1;90438:1,5,,PterosaurZI
50202,1202,1,1,2,66926.0,100000.0,90437:1;90438:1,5,,PterosaurZI
50203,1203,1,1,2,66926.0,100000.0,90437:1;90438:1,5,,PterosaurZI
50204,1204,1,1,2,66926.0,100000.0,90437:1;90438:1,5,,PterosaurZI
50205,1205,1,1,2,66926.0,100000.0,90431:1;90432:1,5,,Petit
50206,1206,1,1,2,66926.0,100000.0,90431:1;90432:1,5,,Petit
50207,1207,1,1,2,66926.0,100000.0,90431:1;90432:1,5,,Petit
50208,1208,1,1,2,66926.0,100000.0,90431:1;90432:1,5,,Petit
50209,1209,1,1,2,66926.0,100000.0,90431:1;90432:1,5,,Petit
50210,1210,1,1,2,66926.0,100000.0,90170:1;90171:1,4,,BearORG
50211,1211,1,1,2,66926.0,100000.0,90170:1;90171:1,4,,BearORG
50212,1212,1,1,2,66926.0,100000.0,90170:1;90171:1,4,,BearORG
50213,1213,1,1,2,66926.0,100000.0,90170:1;90171:1,4,,BearORG
50214,1214,1,1,2,66926.0,100000.0,90170:1;90171:1,4,,BearORG
50215,1215,1,1,2,66926.0,100000.0,90455:1;90456:1,4,,Detale
50216,1216,1,1,2,66926.0,100000.0,90455:1;90456:1,4,,Detale
50217,1217,1,1,2,66926.0,100000.0,90455:1;90456:1,4,,Detale
50218,1218,1,1,2,66926.0,100000.0,90455:1;90456:1,4,,Detale
50219,1219,1,1,2,66926.0,100000.0,90455:1;90456:1,4,,Detale
50220,1220,1,1,2,66926.0,100000.0,90107:1;90108:1,4,,VagabondwolfST
50221,1221,1,1,2,66926.0,100000.0,90107:1;90108:1,4,,VagabondwolfST
50222,1222,1,1,2,66926.0,100000.0,90107:1;90108:1,4,,VagabondwolfST
50223,1223,1,1,2,66926.0,100000.0,90107:1;90108:1,4,,VagabondwolfST
50224,1224,1,1,2,66926.0,100000.0,90107:1;90108:1,4,,VagabondwolfST
50225,1225,1,1,2,66926.0,100000.0,90401:1;90402:1,8,,Nightmare
50226,1226,1,1,2,66926.0,100000.0,90401:1;90402:1,8,,Nightmare
50227,1227,1,1,2,66926.0,100000.0,90401:1;90402:1,8,,Nightmare
50228,1228,1,1,2,66926.0,100000.0,90401:1;90402:1,8,,Nightmare
50229,1229,1,1,2,66926.0,100000.0,90401:1;90402:1,8,,Nightmare
50230,1230,1,1,2,66926.0,100000.0,90407:1;90408:1,3,,SavageST
50231,1231,1,1,2,66926.0,100000.0,90407:1;90408:1,3,,SavageST
50232,1232,1,1,2,66926.0,100000.0,90407:1;90408:1,3,,SavageST
50233,1233,1,1,2,66926.0,100000.0,90407:1;90408:1,3,,SavageST
50234,1234,1,1,2,66926.0,100000.0,90407:1;90408:1,3,,SavageST
50235,1235,1,1,2,66926.0,100000.0,90449:1;90450:1,4,,Rockgiants
50236,1236,1,1,2,66926.0,100000.0,90449:1;90450:1,4,,Rockgiants
50237,1237,1,1,2,66926.0,100000.0,90449:1;90450:1,4,,Rockgiants
50238,1238,1,1,2,66926.0,100000.0,90449:1;90450:1,4,,Rockgiants
50239,1239,1,1,2,66926.0,100000.0,90449:1;90450:1,4,,Rockgiants
50240,1240,1,1,2,66926.0,100000.0,90452:1;90453:1,4,,RockST
50241,1241,1,1,2,66926.0,100000.0,90452:1;90453:1,4,,RockST
50242,1242,1,1,2,66926.0,100000.0,90452:1;90453:1,4,,RockST
50243,1243,1,1,2,66926.0,100000.0,90452:1;90453:1,4,,RockST
50244,1244,1,1,2,66926.0,100000.0,90452:1;90453:1,4,,RockST
50245,1245,1,1,2,66926.0,100000.0,90428:1;90429:1,4,,Jakk
50246,1246,1,1,2,66926.0,100000.0,90428:1;90429:1,4,,Jakk
50247,1247,1,1,2,66926.0,100000.0,90428:1;90429:1,4,,Jakk
50248,1248,1,1,2,66926.0,100000.0,90428:1;90429:1,4,,Jakk
50249,1249,1,1,2,66926.0,100000.0,90428:1;90429:1,4,,Jakk
50250,1250,1,1,2,66926.0,100000.0,90422:1;90423:1,7,,OrcSkeleton
50251,1251,1,1,2,66926.0,100000.0,90422:1;90423:1,7,,OrcSkeleton
50252,1252,1,1,2,66926.0,100000.0,90422:1;90423:1,7,,OrcSkeleton
50253,1253,1,1,2,66926.0,100000.0,90422:1;90423:1,7,,OrcSkeleton
50254,1254,1,1,2,66926.0,100000.0,90422:1;90423:1,7,,OrcSkeleton
50255,1255,1,1,2,66926.0,100000.0,90464:1;90465:1,4,,Pyuriel
50256,1256,1,1,2,66926.0,100000.0,90464:1;90465:1,4,,Pyuriel
50257,1257,1,1,2,66926.0,100000.0,90464:1;90465:1,4,,Pyuriel
50258,1258,1,1,2,66926.0,100000.0,90464:1;90465:1,4,,Pyuriel
50259,1259,1,1,2,66926.0,100000.0,90464:1;90465:1,4,,Pyuriel
50260,1260,1,1,2,66926.0,100000.0,90413:1;90414:1,3,,Magiccard
50261,1261,1,1,2,66926.0,100000.0,90413:1;90414:1,3,,Magiccard
50262,1262,1,1,2,66926.0,100000.0,90413:1;90414:1,3,,Magiccard
50263,1263,1,1,2,66926.0,100000.0,90413:1;90414:1,3,,Magiccard
50264,1264,1,1,2,66926.0,100000.0,90413:1;90414:1,3,,Magiccard
