唯一id,副本难度,副本关,关卡数量,召唤boss,奖励,最长战斗时间,是否为高级奖励,赠送挑战次数,开启条件,勇士积分,加成积分系数,每日通关奖励
1017,1,17,,25:50012:16:321211:100;25:50082:16:321211:100;25:50117:16:321211:100;25:50047:16:321211:100;25:50052:16:321211:100,19:4000;,90,0,,,90,,
1018,1,18,,25:50048:18:355116:100;25:50151:18:355116:100;25:50058:18:355116:100;25:50041:18:355116:100;25:50148:18:355116:100,19:4300;,90,0,,,95,,
1019,1,19,,25:50141:20:389020:100;25:50103:20:389020:100;25:50018:20:389020:100;25:50043:20:389020:100;25:50021:20:389020:100,19:4600;,90,0,,,100,,
1020,1,20,,25:50134:22:422925:100,19:4900;515:5,90,1,,,200,,
1021,1,21,,25:50003:20:389020:100;25:50009:20:389020:100;25:50014:20:389020:100;25:50019:20:389020:100;25:50029:20:389020:100,19:5500;,90,0,,,110,,
1022,1,22,,25:50064:21:405973:100;25:50069:21:405973:100;25:50074:21:405973:100;25:50084:21:405973:100;25:50089:21:405973:100,19:6000;,90,0,,,115,,
1023,1,23,,25:50143:22:422925:100;25:50094:22:422925:100;25:50069:22:422925:100;25:50064:22:422925:100;25:50099:22:422925:100,19:6500;,90,0,,,120,,
1024,1,24,,25:50004:24:456830:100;25:50039:24:456830:100;25:50104:24:456830:100;25:50139:24:456830:100;25:50079:24:456830:100,19:7000;,90,0,,,125,,
1025,1,25,,25:50129:26:490734:100,19:7500;516:5,90,1,,,250,,
1026,1,26,,25:50009:26:490734:100;25:50029:26:490734:100;25:50079:26:490734:100;25:50109:26:490734:100;25:50114:26:490734:100,19:8000;,90,0,,,135,,
1027,1,27,,25:50014:27:507687:100;25:50084:27:507687:100;25:50119:27:507687:100;25:50049:27:507687:100;25:50054:27:507687:100,19:8500;,90,0,,,140,,
1028,1,28,,25:50049:28:524639:100;25:50159:28:524639:100;25:50059:28:524639:100;25:50134:28:524639:100;25:50149:28:524639:100,19:9000;,90,0,,,145,,
1029,1,29,,25:50143:30:558544:100;25:50123:30:558544:100;25:50128:30:558544:100;25:50133:30:558544:100;25:50023:30:558544:100,19:9500;,90,0,,,150,,
1030,1,30,,100:50124:32:592449:100,19:10000;516:5,90,1,,,300,,
2001,2,1,30,25:51000:1:322444:100;25:51005:1:322444:100;25:51010:1:322444:100;25:51015:1:322444:100;25:51025:1:322444:100,19:1100;,90,0,1,通关潭阳竹海以后解锁,20,200,19:20000;516:5;45:800
2002,2,2,,25:51060:1:322444:100;25:51065:1:322444:100;25:51016:1:322444:100;25:51080:1:322444:100;25:51040:1:322444:100,19:1210;,90,0,,,30,,
2003,2,3,,25:51030:3:383966:100;25:51090:3:383966:100;25:51095:3:383966:100;25:51060:3:383966:100;25:51065:3:383966:100,19:1320;,90,0,,,40,,
2004,2,4,,25:51000:4:414727:100;25:51036:4:414727:100;25:51101:4:414727:100;25:51136:4:414727:100;25:51076:4:414727:100,19:1430;,90,0,,,50,,
2005,2,5,,100:51074:6:476249:100,19:1540;515:5,90,1,,,100,,
2006,2,6,,25:51006:5:445488:100;25:51026:5:445488:100;25:51076:5:445488:100;25:51106:5:445488:100;25:51111:5:445488:100,19:1650;,90,0,,,70,,
2007,2,7,,25:51011:6:476249:100;25:51081:6:476249:100;25:51116:6:476249:100;25:51046:6:476249:100;25:51051:6:476249:100,19:1760;,90,0,,,80,,
2008,2,8,,25:51046:7:507010:100;25:51051:7:507010:100;25:51056:7:507010:100;25:51131:7:507010:100;25:51146:7:507010:100,19:1870;,90,0,,,90,,
2009,2,9,,25:51065:9:568533:100;25:51140:9:568533:100;25:51005:9:568533:100;25:51100:9:568533:100;25:51000:9:568533:100,19:1980;,90,0,,,100,,
2010,2,10,,100:51024:11:630055:100,19:2090;515:5,90,1,,,200,,
2011,2,11,,25:51001:10:599294:100;25:51007:10:599294:100;25:51012:10:599294:100;25:51017:10:599294:100;25:51027:10:599294:100,19:2420;,90,0,,,120,,
2012,2,12,,25:51061:12:660816:100;25:51067:12:660816:100;25:51072:12:660816:100;25:51082:12:660816:100;25:51042:12:660816:100,19:2750;,90,0,,,130,,
2013,2,13,,25:51062:13:691577:100;25:51092:13:691577:100;25:51067:13:691577:100;25:51032:13:691577:100;25:51098:13:691577:100,19:3080;,90,0,,,140,,
2014,2,14,,25:51002:14:722339:100;25:51037:14:722339:100;25:51102:14:722339:100;25:51137:14:722339:100;25:51077:14:722339:100,19:3410;,90,0,,,150,,
2015,2,15,,100:51089:16:783861:100,19:3740;515:5,90,1,,,300,,
2016,2,16,,25:51007:15:753100:100;25:51027:15:753100:100;25:51077:15:753100:100;25:51107:15:753100:100;25:51112:15:753100:100,19:4070;,90,0,,,170,,
2017,2,17,,25:51012:16:783861:100;25:51082:16:783861:100;25:51117:16:783861:100;25:51047:16:783861:100;25:51052:16:783861:100,19:4400;,90,0,,,180,,
2018,2,18,,25:51048:18:845383:100;25:51151:18:845383:100;25:51058:18:845383:100;25:51041:18:845383:100;25:51148:18:845383:100,19:4730;,90,0,,,190,,
2019,2,19,,25:51141:20:906905:100;25:51103:20:906905:100;25:51018:20:906905:100;25:51043:20:906905:100;25:51021:20:906905:100,19:5060;,90,0,,,200,,
2020,2,20,,25:51134:22:968428:100,19:5390;515:5,90,1,,,400,,
2021,2,21,,25:51003:20:906905:100;25:51009:20:906905:100;25:51014:20:906905:100;25:51019:20:906905:100;25:51029:20:906905:100,19:6050;,90,0,,,220,,
2022,2,22,,25:51064:21:937667:100;25:51069:21:937667:100;25:51074:21:937667:100;25:51084:21:937667:100;25:51089:21:937667:100,19:6600;,90,0,,,230,,
2023,2,23,,25:51143:22:968428:100;25:51094:22:968428:100;25:51069:22:968428:100;25:51064:22:968428:100;25:51099:22:968428:100,19:7150;,90,0,,,240,,
2024,2,24,,25:51004:24:1029950:100;25:51039:24:1029950:100;25:51104:24:1029950:100;25:51139:24:1029950:100;25:51079:24:1029950:100,19:7700;,90,0,,,250,,
2025,2,25,,25:51129:26:1091472:100,19:8250;516:5,90,1,,,500,,
2026,2,26,,25:51009:26:1091472:100;25:51029:26:1091472:100;25:51079:26:1091472:100;25:51109:26:1091472:100;25:51114:26:1091472:100,19:8800;,90,0,,,270,,
2027,2,27,,25:51014:27:1122234:100;25:51084:27:1122234:100;25:51119:27:1122234:100;25:51049:27:1122234:100;25:51054:27:1122234:100,19:9350;,90,0,,,280,,
2028,2,28,,25:51049:28:1152995:100;25:51159:28:1152995:100;25:51059:28:1152995:100;25:51134:28:1152995:100;25:51149:28:1152995:100,19:9900;,90,0,,,290,,
2029,2,29,,25:51143:30:1214517:100;25:51123:30:1214517:100;25:51128:30:1214517:100;25:51133:30:1214517:100;25:51023:30:1214517:100,19:10450;,90,0,,,300,,
2030,2,30,,100:51124:32:1276039:100,19:11000;516:10,90,1,,,600,,
3001,3,1,30,25:52000:1:612379:100;25:52005:1:612379:100;25:52010:1:612379:100;25:52015:1:612379:100;25:52025:1:612379:100,19:1200;,90,0,1,通关沙漠之都以后解锁,40,400,19:20000;516:10;45:1600
3002,3,2,,25:52060:1:612379:100;25:52065:1:612379:100;25:52016:1:612379:100;25:52080:1:612379:100;25:52040:1:612379:100,19:1320;,90,0,,,60,,
3003,3,3,,25:52030:3:706562:100;25:52090:3:706562:100;25:52095:3:706562:100;25:52060:3:706562:100;25:52065:3:706562:100,19:1440;,90,0,,,80,,
3004,3,4,,25:52000:4:753654:100;25:52036:4:753654:100;25:52101:4:753654:100;25:52136:4:753654:100;25:52076:4:753654:100,19:1560;,90,0,,,100,,
3005,3,5,,100:52074:6:847838:100,19:1680;515:6,90,1,,,200,,
3006,3,6,,25:52006:5:800746:100;25:52026:5:800746:100;25:52076:5:800746:100;25:52106:5:800746:100;25:52111:5:800746:100,19:1800;,90,0,,,140,,
3007,3,7,,25:52011:6:847838:100;25:52081:6:847838:100;25:52116:6:847838:100;25:52046:6:847838:100;25:52051:6:847838:100,19:1920;,90,0,,,160,,
3008,3,8,,25:52046:7:894930:100;25:52051:7:894930:100;25:52056:7:894930:100;25:52131:7:894930:100;25:52146:7:894930:100,19:2040;,90,0,,,180,,
3009,3,9,,25:52065:9:989114:100;25:52140:9:989114:100;25:52005:9:989114:100;25:52100:9:989114:100;25:52000:9:989114:100,19:2160;,90,0,,,200,,
3010,3,10,,100:52024:11:1083298:100,19:2280;515:6,90,1,,,400,,
3011,3,11,,25:52001:10:1036206:100;25:52007:10:1036206:100;25:52012:10:1036206:100;25:52017:10:1036206:100;25:52027:10:1036206:100,19:2640;,90,0,,,240,,
3012,3,12,,25:52061:12:1130390:100;25:52067:12:1130390:100;25:52072:12:1130390:100;25:52082:12:1130390:100;25:52042:12:1130390:100,19:3000;,90,0,,,260,,
3013,3,13,,25:52062:13:1177482:100;25:52092:13:1177482:100;25:52067:13:1177482:100;25:52032:13:1177482:100;25:52098:13:1177482:100,19:3360;,90,0,,,280,,
3014,3,14,,25:52002:14:1224574:100;25:52037:14:1224574:100;25:52102:14:1224574:100;25:52137:14:1224574:100;25:52077:14:1224574:100,19:3720;,90,0,,,300,,
3015,3,15,,100:52089:16:1318758:100,19:4080;515:6,90,1,,,600,,
3016,3,16,,25:52007:15:1271666:100;25:52027:15:1271666:100;25:52077:15:1271666:100;25:52107:15:1271666:100;25:52112:15:1271666:100,19:4440;,90,0,,,340,,
3017,3,17,,25:52012:16:1318758:100;25:52082:16:1318758:100;25:52117:16:1318758:100;25:52047:16:1318758:100;25:52052:16:1318758:100,19:4800;,90,0,,,360,,
3018,3,18,,25:52048:18:1412942:100;25:52151:18:1412942:100;25:52058:18:1412942:100;25:52041:18:1412942:100;25:52148:18:1412942:100,19:5160;,90,0,,,380,,
3019,3,19,,25:52141:20:1507125:100;25:52103:20:1507125:100;25:52018:20:1507125:100;25:52043:20:1507125:100;25:52021:20:1507125:100,19:5520;,90,0,,,400,,
3020,3,20,,25:52134:22:1601309:100,19:5880;516:5,90,1,,,800,,
3021,3,21,,25:52003:20:1507125:100;25:52009:20:1507125:100;25:52014:20:1507125:100;25:52019:20:1507125:100;25:52029:20:1507125:100,19:6600;,90,0,,,440,,
3022,3,22,,25:52064:21:1554217:100;25:52069:21:1554217:100;25:52074:21:1554217:100;25:52084:21:1554217:100;25:52089:21:1554217:100,19:7200;,90,0,,,460,,
3023,3,23,,25:52143:22:1601309:100;25:52094:22:1601309:100;25:52069:22:1601309:100;25:52064:22:1601309:100;25:52099:22:1601309:100,19:7800;,90,0,,,480,,
3024,3,24,,25:52004:24:1695493:100;25:52039:24:1695493:100;25:52104:24:1695493:100;25:52139:24:1695493:100;25:52079:24:1695493:100,19:8400;,90,0,,,500,,
3025,3,25,,25:52129:26:1789677:100,19:9000;516:5,90,1,,,1000,,
3026,3,26,,25:52009:26:1789677:100;25:52029:26:1789677:100;25:52079:26:1789677:100;25:52109:26:1789677:100;25:52114:26:1789677:100,19:9600;,90,0,,,540,,
3027,3,27,,25:52014:27:1836769:100;25:52084:27:1836769:100;25:52119:27:1836769:100;25:52049:27:1836769:100;25:52054:27:1836769:100,19:10200;,90,0,,,560,,
3028,3,28,,25:52049:28:1883861:100;25:52159:28:1883861:100;25:52059:28:1883861:100;25:52134:28:1883861:100;25:52149:28:1883861:100,19:10800;,90,0,,,580,,
3029,3,29,,25:52143:30:1978045:100;25:52123:30:1978045:100;25:52128:30:1978045:100;25:52133:30:1978045:100;25:52023:30:1978045:100,19:11400;,90,0,,,600,,
3030,3,30,,100:52124:32:2072229:100,19:12000;516:10,90,1,,,1200,,
4001,4,1,30,25:53000:1:1113792:100;25:53005:1:1113792:100;25:53010:1:1113792:100;25:53015:1:1113792:100;25:53025:1:1113792:100,19:1400;,90,0,1,通关生命研究所以后解锁,80,800,19:20000;517:1;45:3200
4002,4,2,,25:53060:1:1113792:100;25:53065:1:1113792:100;25:53016:1:1113792:100;25:53080:1:1113792:100;25:53040:1:1113792:100,19:1540;,90,0,,,120,,
4003,4,3,,25:53030:3:1279078:100;25:53090:3:1279078:100;25:53095:3:1279078:100;25:53060:3:1279078:100;25:53065:3:1279078:100,19:1680;,90,0,,,160,,
4004,4,4,,25:53000:4:1361722:100;25:53036:4:1361722:100;25:53101:4:1361722:100;25:53136:4:1361722:100;25:53076:4:1361722:100,19:1820;,90,0,,,200,,
4005,4,5,,100:53074:6:1527008:100,19:1960;515:7,90,1,,,400,,
4006,4,6,,25:53006:5:1444365:100;25:53026:5:1444365:100;25:53076:5:1444365:100;25:53106:5:1444365:100;25:53111:5:1444365:100,19:2100;,90,0,,,280,,
4007,4,7,,25:53011:6:1527008:100;25:53081:6:1527008:100;25:53116:6:1527008:100;25:53046:6:1527008:100;25:53051:6:1527008:100,19:2240;,90,0,,,320,,
4008,4,8,,25:53046:7:1609652:100;25:53051:7:1609652:100;25:53056:7:1609652:100;25:53131:7:1609652:100;25:53146:7:1609652:100,19:2380;,90,0,,,360,,
4009,4,9,,25:53065:9:1774938:100;25:53140:9:1774938:100;25:53005:9:1774938:100;25:53100:9:1774938:100;25:53000:9:1774938:100,19:2520;,90,0,,,400,,
4010,4,10,,100:53024:11:1940225:100,19:2660;515:7,90,1,,,800,,
4011,4,11,,25:53001:10:1857582:100;25:53007:10:1857582:100;25:53012:10:1857582:100;25:53017:10:1857582:100;25:53027:10:1857582:100,19:3080;,90,0,,,480,,
4012,4,12,,25:53061:12:2022869:100;25:53067:12:2022869:100;25:53072:12:2022869:100;25:53082:12:2022869:100;25:53042:12:2022869:100,19:3500;,90,0,,,520,,
4013,4,13,,25:53062:13:2105512:100;25:53092:13:2105512:100;25:53067:13:2105512:100;25:53032:13:2105512:100;25:53098:13:2105512:100,19:3920;,90,0,,,560,,
4014,4,14,,25:53002:14:2188155:100;25:53037:14:2188155:100;25:53102:14:2188155:100;25:53137:14:2188155:100;25:53077:14:2188155:100,19:4340;,90,0,,,600,,
4015,4,15,,100:53089:16:2353442:100,19:4760;515:7,90,1,,,1200,,
4016,4,16,,25:53007:15:2270799:100;25:53027:15:2270799:100;25:53077:15:2270799:100;25:53107:15:2270799:100;25:53112:15:2270799:100,19:5180;,90,0,,,680,,
4017,4,17,,25:53012:16:2353442:100;25:53082:16:2353442:100;25:53117:16:2353442:100;25:53047:16:2353442:100;25:53052:16:2353442:100,19:5600;,90,0,,,720,,
4018,4,18,,25:53048:18:2518729:100;25:53151:18:2518729:100;25:53058:18:2518729:100;25:53041:18:2518729:100;25:53148:18:2518729:100,19:6020;,90,0,,,760,,
4019,4,19,,25:53141:20:2684015:100;25:53103:20:2684015:100;25:53018:20:2684015:100;25:53043:20:2684015:100;25:53021:20:2684015:100,19:6440;,90,0,,,800,,
4020,4,20,,25:53134:22:2849302:100,19:6860;516:5,90,1,,,1600,,
4021,4,21,,25:53003:20:2684015:100;25:53009:20:2684015:100;25:53014:20:2684015:100;25:53019:20:2684015:100;25:53029:20:2684015:100,19:7700;,90,0,,,880,,
4022,4,22,,25:53064:21:2766659:100;25:53069:21:2766659:100;25:53074:21:2766659:100;25:53084:21:2766659:100;25:53089:21:2766659:100,19:8400;,90,0,,,920,,
4023,4,23,,25:53143:22:2849302:100;25:53094:22:2849302:100;25:53069:22:2849302:100;25:53064:22:2849302:100;25:53099:22:2849302:100,19:9100;,90,0,,,960,,
4024,4,24,,25:53004:24:3014589:100;25:53039:24:3014589:100;25:53104:24:3014589:100;25:53139:24:3014589:100;25:53079:24:3014589:100,19:9800;,90,0,,,1000,,
4025,4,25,,25:53129:26:3179876:100,19:10500;516:10,90,1,,,2000,,
4026,4,26,,25:53009:26:3179876:100;25:53029:26:3179876:100;25:53079:26:3179876:100;25:53109:26:3179876:100;25:53114:26:3179876:100,19:11200;,90,0,,,1080,,
4027,4,27,,25:53014:27:3262519:100;25:53084:27:3262519:100;25:53119:27:3262519:100;25:53049:27:3262519:100;25:53054:27:3262519:100,19:11900;,90,0,,,1120,,
4028,4,28,,25:53049:28:3345162:100;25:53159:28:3345162:100;25:53059:28:3345162:100;25:53134:28:3345162:100;25:53149:28:3345162:100,19:12600;,90,0,,,1160,,
4029,4,29,,25:53143:30:3510449:100;25:53123:30:3510449:100;25:53128:30:3510449:100;25:53133:30:3510449:100;25:53023:30:3510449:100,19:13300;,90,0,,,1200,,
4030,4,30,,100:53124:32:3675736:100,19:14000;517:1,90,1,,,2400,,
5001,5,1,30,25:54210:1:1568786:100;25:54220:1:1568786:100;25:54300:1:1568786:100;25:54180:1:1568786:100;25:54185:1:1568786:100,19:1600;,90,0,1,通关阿塔圣殿以后解锁,160,1600,19:40000;517:1;45:6400
5002,5,2,,25:54240:2:1748882:100;25:54245:2:1748882:100;25:54305:2:1748882:100;25:54100:2:1748882:100;25:54215:2:1748882:100,19:1760;,90,0,,,240,,
5003,5,3,,25:54260:3:1928979:100;25:54285:3:1928979:100;25:54175:3:1928979:100;25:54230:3:1928979:100;25:54165:3:1928979:100,19:1920;,90,0,,,320,,
5004,5,4,,25:54100:4:2109075:100;25:54135:4:2109075:100;25:54035:4:2109075:100;25:54310:4:2109075:100;25:54280:4:2109075:100,19:2080;,90,0,,,400,,
5005,5,5,,100:54274:5:2289172:100,19:2240;515:8,90,1,,,800,,
5006,5,6,,25:54200:6:2469269:100;25:54205:6:2469269:100;25:54110:6:2469269:100;25:54105:6:2469269:100;25:54025:6:2469269:100,19:2400;,90,0,,,560,,
5007,5,7,,25:54115:7:2649365:100;25:54010:7:2649365:100;25:54080:7:2649365:100;25:54275:7:2649365:100;25:54251:7:2649365:100,19:2560;,90,0,,,640,,
5008,5,8,,25:54170:8:2829462:100;25:54250:8:2829462:100;25:54290:8:2829462:100;25:54295:8:2829462:100;25:54160:8:2829462:100,19:2720;,90,0,,,720,,
5009,5,9,,25:54225:9:3009559:100;25:54020:9:3009559:100;25:54120:9:3009559:100;25:54270:9:3009559:100;25:54306:9:3009559:100,19:2880;,90,0,,,800,,
5010,5,10,,100:54194:10:3189655:100,19:3040;515:8,90,1,,,1600,,
5011,5,11,,25:54212:11:3369752:100;25:54222:11:3369752:100;25:54302:11:3369752:100;25:54182:11:3369752:100;25:54187:11:3369752:100,19:3520;,90,0,,,960,,
5012,5,12,,25:54242:12:3549848:100;25:54247:12:3549848:100;25:54307:12:3549848:100;25:54102:12:3549848:100;25:54217:12:3549848:100,19:4000;,90,0,,,1040,,
5013,5,13,,25:54262:13:3729945:100;25:54287:13:3729945:100;25:54177:13:3729945:100;25:54232:13:3729945:100;25:54167:13:3729945:100,19:4480;,90,0,,,1120,,
5014,5,14,,25:54102:14:3910042:100;25:54137:14:3910042:100;25:54037:14:3910042:100;25:54312:14:3910042:100;25:54282:14:3910042:100,19:4960;,90,0,,,1200,,
5015,5,15,,100:54259:15:4090138:100,19:5440;516:5,90,1,,,2400,,
5016,5,16,,25:54202:16:4270235:100;25:54207:16:4270235:100;25:54112:16:4270235:100;25:54107:16:4270235:100;25:54027:16:4270235:100,19:5920;,90,0,,,1360,,
5017,5,17,,25:54117:17:4450332:100;25:54012:17:4450332:100;25:54082:17:4450332:100;25:54277:17:4450332:100;25:54253:17:4450332:100,19:6400;,90,0,,,1440,,
5018,5,18,,25:54172:18:4630428:100;25:54252:18:4630428:100;25:54292:18:4630428:100;25:54297:18:4630428:100;25:54162:18:4630428:100,19:6880;,90,0,,,1520,,
5019,5,19,,25:54227:19:4810525:100;25:54022:19:4810525:100;25:54122:19:4810525:100;25:54272:19:4810525:100;25:54308:19:4810525:100,19:7360;,90,0,,,1600,,
5020,5,20,,25:54269:20:4990622:100,19:7840;516:5,90,1,,,3200,,
5021,5,21,,25:54214:21:5170718:100;25:54224:21:5170718:100;25:54304:21:5170718:100;25:54184:21:5170718:100;25:54189:21:5170718:100,19:8800;,90,0,,,1760,,
5022,5,22,,25:54244:22:5350815:100;25:54249:22:5350815:100;25:54309:22:5350815:100;25:54104:22:5350815:100;25:54219:22:5350815:100,19:9600;,90,0,,,1840,,
5023,5,23,,25:54264:23:5530911:100;25:54289:23:5530911:100;25:54179:23:5530911:100;25:54234:23:5530911:100;25:54169:23:5530911:100,19:10400;,90,0,,,1920,,
5024,5,24,,25:54104:24:5711008:100;25:54139:24:5711008:100;25:54039:24:5711008:100;25:54314:24:5711008:100;25:54284:24:5711008:100,19:11200;,90,0,,,2000,,
5025,5,25,,25:54319:25:5891105:100,19:12000;516:10,90,1,,,4000,,
5026,5,26,,25:54204:26:6071201:100;25:54209:26:6071201:100;25:54114:26:6071201:100;25:54109:26:6071201:100;25:54029:26:6071201:100,19:12800;,90,0,,,2160,,
5027,5,27,,25:54119:27:6251298:100;25:54014:27:6251298:100;25:54084:27:6251298:100;25:54279:27:6251298:100;25:54254:27:6251298:100,19:13600;,90,0,,,2240,,
5028,5,28,,25:54174:28:6431395:100;25:54254:28:6431395:100;25:54294:28:6431395:100;25:54299:28:6431395:100;25:54164:28:6431395:100,19:14400;,90,0,,,2320,,
5029,5,29,,25:54229:29:6611491:100;25:54024:29:6611491:100;25:54124:29:6611491:100;25:54273:29:6611491:100;25:54278:29:6611491:100,19:15200;,90,0,,,2400,,
5030,5,30,,100:54199:30:6791588:100,19:16000;517:2,90,1,,,4800,,
6001,6,1,30,25:55210:1:3094983:100;25:55220:1:3094983:100;25:55300:1:3094983:100;25:55180:1:3094983:100;25:55185:1:3094983:100,19:1800;,90,0,1,通关德雷克海峡以后解锁,320,3200,19:60000;517:1;45:12800
6002,6,2,,25:55240:2:3400148:100;25:55245:2:3400148:100;25:55305:2:3400148:100;25:55100:2:3400148:100;25:55215:2:3400148:100,19:1980;,90,0,,,480,,
6003,6,3,,25:55260:3:3705313:100;25:55285:3:3705313:100;25:55175:3:3705313:100;25:55230:3:3705313:100;25:55165:3:3705313:100,19:2160;,90,0,,,640,,
6004,6,4,,25:55100:4:4010478:100;25:55135:4:4010478:100;25:55035:4:4010478:100;25:55310:4:4010478:100;25:55280:4:4010478:100,19:2340;,90,0,,,800,,
6005,6,5,,100:55274:5:4315644:100,19:2520;515:9,90,1,,,1600,,
6006,6,6,,25:55200:6:4620809:100;25:55205:6:4620809:100;25:55110:6:4620809:100;25:55105:6:4620809:100;25:55025:6:4620809:100,19:2700;,90,0,,,1120,,
6007,6,7,,25:55115:7:4925974:100;25:55010:7:4925974:100;25:55080:7:4925974:100;25:55275:7:4925974:100;25:55251:7:4925974:100,19:2880;,90,0,,,1280,,
6008,6,8,,25:55170:8:5231140:100;25:55250:8:5231140:100;25:55290:8:5231140:100;25:55295:8:5231140:100;25:55160:8:5231140:100,19:3060;,90,0,,,1440,,
6009,6,9,,25:55225:9:5536305:100;25:55020:9:5536305:100;25:55120:9:5536305:100;25:55270:9:5536305:100;25:55306:9:5536305:100,19:3240;,90,0,,,1600,,
6010,6,10,,100:55194:10:5841470:100,19:3420;516:5,90,1,,,3200,,
6011,6,11,,25:55212:11:6146636:100;25:55222:11:6146636:100;25:55302:11:6146636:100;25:55182:11:6146636:100;25:55187:11:6146636:100,19:3960;,90,0,,,1920,,
6012,6,12,,25:55242:12:6451801:100;25:55247:12:6451801:100;25:55307:12:6451801:100;25:55102:12:6451801:100;25:55217:12:6451801:100,19:4500;,90,0,,,2080,,
6013,6,13,,25:55262:13:6756966:100;25:55287:13:6756966:100;25:55177:13:6756966:100;25:55232:13:6756966:100;25:55167:13:6756966:100,19:5040;,90,0,,,2240,,
6014,6,14,,25:55102:14:7062132:100;25:55137:14:7062132:100;25:55037:14:7062132:100;25:55312:14:7062132:100;25:55282:14:7062132:100,19:5580;,90,0,,,2400,,
6015,6,15,,100:55259:15:7367297:100,19:6120;516:5,90,1,,,4800,,
6016,6,16,,25:55202:16:7672462:100;25:55207:16:7672462:100;25:55112:16:7672462:100;25:55107:16:7672462:100;25:55027:16:7672462:100,19:6660;,90,0,,,2720,,
6017,6,17,,25:55117:17:7977628:100;25:55012:17:7977628:100;25:55082:17:7977628:100;25:55277:17:7977628:100;25:55253:17:7977628:100,19:7200;,90,0,,,2880,,
6018,6,18,,25:55172:18:8282793:100;25:55252:18:8282793:100;25:55292:18:8282793:100;25:55297:18:8282793:100;25:55162:18:8282793:100,19:7740;,90,0,,,3040,,
6019,6,19,,25:55227:19:8587958:100;25:55022:19:8587958:100;25:55122:19:8587958:100;25:55272:19:8587958:100;25:55308:19:8587958:100,19:8280;,90,0,,,3200,,
6020,6,20,,25:55269:20:8893124:100,19:8820;516:8,90,1,,,6400,,
6021,6,21,,25:55214:21:9198289:100;25:55224:21:9198289:100;25:55304:21:9198289:100;25:55184:21:9198289:100;25:55189:21:9198289:100,19:9900;,90,0,,,3520,,
6022,6,22,,25:55244:22:9503454:100;25:55249:22:9503454:100;25:55309:22:9503454:100;25:55104:22:9503454:100;25:55219:22:9503454:100,19:10800;,90,0,,,3680,,
6023,6,23,,25:55264:23:9808620:100;25:55289:23:9808620:100;25:55179:23:9808620:100;25:55234:23:9808620:100;25:55169:23:9808620:100,19:11700;,90,0,,,3840,,
