技能ID,技能类型,技能等级上限,技能品质,职业类型,职业分支,职业阶段,对应伙伴,解锁伙伴等级要求,解锁需求,技能树位置件,技能排序,进阶技能,下阶技能,进阶职业阶段,技能压制值,技能原压制值
21132,1,50,3,1,1,3,10031,83,200:1,55,91,,21032,0,30,480
21134,1,50,3,1,1,3,10031,84,200:1,60,90,,21034,0,30,480
21136,1,50,3,1,1,3,10031,85,200:1,65,89,,21036,0,30,480
21133,1,50,3,1,1,3,10031,86,200:1,70,88,,21033,0,30,480
21135,1,50,3,1,1,3,10031,87,200:1,75,87,,21035,0,30,480
21143,1,50,3,1,1,3,10031,95,200:1,80,86,,21043,0,30,1080
21144,1,50,3,1,1,3,10031,100,200:1,85,85,,21044,0,30,1080
21228,1,50,3,1,2,3,10032,76,200:1,10,98,,21028,0,30,180
21229,1,50,3,1,2,3,10032,77,200:1,13,97,,21029,0,30,180
21225,1,50,3,1,2,3,10032,78,200:1,16,96,,21025,0,30,180
21226,1,50,3,1,2,3,10032,79,200:1,21,95,,21026,0,30,180
21227,1,50,3,1,2,3,10032,80,200:1,26,94,,21027,0,30,180
21230,1,50,3,1,2,3,10032,81,200:1,31,93,,21030,0,30,180
21231,1,50,3,1,2,3,10032,82,200:1,50,92,,21041,0,30,480
21232,1,50,3,1,2,3,10032,83,200:1,55,91,,21042,0,30,480
21237,1,50,3,1,2,3,10032,84,200:1,60,90,,21037,0,30,480
21239,1,50,3,1,2,3,10032,85,200:1,65,89,,21039,0,30,480
21238,1,50,3,1,2,3,10032,86,200:1,70,88,,21038,0,30,480
21240,1,50,3,1,2,3,10032,87,200:1,75,87,,21040,0,30,480
21245,1,50,3,1,2,3,10032,95,200:1,80,86,,21045,0,30,1080
21246,1,50,3,1,2,3,10032,100,200:1,85,85,,21046,0,30,1080
22021,1,50,0,4,0,1,20010,10,1:1000;,10,98,1:22121;2:22221,,3,3,3
22024,1,50,0,4,0,1,20010,13,1:2000;,13,97,1:22124;2:22224,,3,3,3
22025,1,50,0,4,0,1,20010,16,1:3000;,16,96,1:22125;2:22225,,3,3,3
22022,1,50,0,4,0,1,20010,21,113:1,21,95,1:22122;2:22222,,3,3,3
22023,1,50,0,4,0,1,20010,26,113:1,26,94,1:22123;2:22223,,3,3,3
22026,1,50,0,4,0,1,20010,31,113:1,31,93,1:22126;2:22226,,3,3,3
22027,1,50,0,4,1,2,20021,40,113:1,50,92,1:22127,,3,9,9
22028,1,50,0,4,1,2,20021,45,113:1,55,91,1:22128,,3,9,9
22029,1,50,0,4,1,2,20021,50,113:1,60,90,1:22129,,3,9,9
22031,1,50,0,4,1,2,20021,55,114:1,65,89,1:22131,,3,9,9
22030,1,50,0,4,1,2,20021,60,114:1,70,88,1:22130,,3,9,9
22032,1,50,0,4,1,2,20021,65,114:1,75,87,1:22132,,3,9,9
22037,1,50,0,4,2,2,20022,40,113:1,50,92,2:22227,,3,9,9
22038,1,50,0,4,2,2,20022,45,113:1,55,91,2:22228,,3,9,9
22033,1,50,0,4,2,2,20022,50,113:1,60,90,2:22233,,3,9,9
22035,1,50,0,4,2,2,20022,55,114:1,65,89,2:22235,,3,9,9
22034,1,50,0,4,2,2,20022,60,114:1,70,88,2:22234,,3,9,9
22036,1,50,0,4,2,2,20022,65,114:1,75,87,2:22236,,3,9,9
22039,1,50,0,4,1,3,20031,70,191:1,80,86,1:22139,,3,21,21
22040,1,50,0,4,1,3,20031,75,191:1,85,85,1:22140,,3,21,21
22041,1,50,0,4,2,3,20032,70,191:1,80,86,2:22241,,3,21,21
22042,1,50,0,4,2,3,20032,75,191:1,85,85,2:22242,,3,21,21
22121,1,50,3,4,1,3,20031,76,200:1,10,98,,22021,0,30,180
22124,1,50,3,4,1,3,20031,77,200:1,13,97,,22024,0,30,180
22125,1,50,3,4,1,3,20031,78,200:1,16,96,,22025,0,30,180
22122,1,50,3,4,1,3,20031,79,200:1,21,95,,22022,0,30,180
22123,1,50,3,4,1,3,20031,80,200:1,26,94,,22023,0,30,180
22126,1,50,3,4,1,3,20031,81,200:1,31,93,,22026,0,30,180
22127,1,50,3,4,1,3,20031,82,200:1,50,92,,22027,0,30,480
22128,1,50,3,4,1,3,20031,83,200:1,55,91,,22028,0,30,480
22129,1,50,3,4,1,3,20031,84,200:1,60,90,,22029,0,30,480
22131,1,50,3,4,1,3,20031,85,200:1,65,89,,22031,0,30,480
22130,1,50,3,4,1,3,20031,86,200:1,70,88,,22030,0,30,480
22132,1,50,3,4,1,3,20031,87,200:1,75,87,,22032,0,30,480
22139,1,50,3,4,1,3,20031,95,200:1,80,86,,22039,0,30,1080
22140,1,50,3,4,1,3,20031,100,200:1,85,85,,22040,0,30,1080
22221,1,50,3,4,2,3,20032,76,200:1,10,98,,22021,0,30,180
22224,1,50,3,4,2,3,20032,77,200:1,13,97,,22024,0,30,180
22225,1,50,3,4,2,3,20032,78,200:1,16,96,,22025,0,30,180
22222,1,50,3,4,2,3,20032,79,200:1,21,95,,22022,0,30,180
22223,1,50,3,4,2,3,20032,80,200:1,26,94,,22023,0,30,180
22226,1,50,3,4,2,3,20032,81,200:1,31,93,,22026,0,30,180
22227,1,50,3,4,2,3,20032,82,200:1,50,92,,22037,0,30,480
22228,1,50,3,4,2,3,20032,83,200:1,55,91,,22038,0,30,480
22233,1,50,3,4,2,3,20032,84,200:1,60,90,,22033,0,30,480
22235,1,50,3,4,2,3,20032,85,200:1,65,89,,22035,0,30,480
22234,1,50,3,4,2,3,20032,86,200:1,70,88,,22034,0,30,480
22236,1,50,3,4,2,3,20032,87,200:1,75,87,,22036,0,30,480
22241,1,50,3,4,2,3,20032,95,200:1,80,86,,22041,0,30,1080
22242,1,50,3,4,2,3,20032,100,200:1,85,85,,22042,0,30,1080
23024,1,50,0,3,0,1,30010,10,1:1000;,10,98,1:23124;2:23224,,3,3,3
23023,1,50,0,3,0,1,30010,13,1:2000;,13,97,1:23123;2:23223,,3,3,3
23027,1,50,0,3,0,1,30010,16,1:3000;,16,96,1:23127;2:23227,,3,3,3
23026,1,50,0,3,0,1,30010,21,113:1,21,95,1:23126;2:23226,,3,3,3
23028,1,50,0,3,0,1,30010,26,113:1,26,94,1:23128;2:23228,,3,3,3
23025,1,50,0,3,0,1,30010,31,113:1,31,93,1:23125;2:23225,,3,3,3
23029,1,50,0,3,1,2,30021,40,113:1,50,92,1:23129,,3,9,9
23022,1,50,0,3,1,2,30021,45,113:1,55,91,1:23122,,3,9,9
23030,1,50,0,3,1,2,30021,50,113:1,60,90,1:23130,,3,9,9
23032,1,50,0,3,1,2,30021,55,114:1,65,89,1:23132,,3,9,9
23033,1,50,0,3,1,2,30021,60,114:1,70,88,1:23133,,3,9,9
23031,1,50,0,3,1,2,30021,65,114:1,75,87,1:23131,,3,9,9
23039,1,50,0,3,2,2,30022,40,113:1,50,92,2:23229,,3,9,9
23038,1,50,0,3,2,2,30022,45,113:1,55,91,2:23222,,3,9,9
23034,1,50,0,3,2,2,30022,50,113:1,60,90,2:23234,,3,9,9
23036,1,50,0,3,2,2,30022,55,114:1,65,89,2:23236,,3,9,9
23035,1,50,0,3,2,2,30022,60,114:1,70,88,2:23235,,3,9,9
23037,1,50,0,3,2,2,30022,65,114:1,75,87,2:23237,,3,9,9
23040,1,50,0,3,1,3,30031,70,191:1,80,86,1:23140,,3,21,21
23041,1,50,0,3,1,3,30031,75,191:1,85,85,1:23141,,3,21,21
23042,1,50,0,3,2,3,30032,70,191:1,80,86,2:23242,,3,21,21
23043,1,50,0,3,2,3,30032,75,191:1,85,85,2:23243,,3,21,21
23124,1,50,3,3,1,3,30031,76,200:1,10,98,,23024,0,30,180
23123,1,50,3,3,1,3,30031,77,200:1,13,97,,23023,0,30,180
23127,1,50,3,3,1,3,30031,78,200:1,16,96,,23027,0,30,180
23126,1,50,3,3,1,3,30031,79,200:1,21,95,,23026,0,30,180
23128,1,50,3,3,1,3,30031,80,200:1,26,94,,23028,0,30,180
23125,1,50,3,3,1,3,30031,81,200:1,31,93,,23025,0,30,180
23129,1,50,3,3,1,3,30031,82,200:1,50,92,,23029,0,30,480
23122,1,50,3,3,1,3,30031,83,200:1,55,91,,23022,0,30,480
23130,1,50,3,3,1,3,30031,84,200:1,60,90,,23030,0,30,480
23132,1,50,3,3,1,3,30031,85,200:1,65,89,,23032,0,30,480
23133,1,50,3,3,1,3,30031,86,200:1,70,88,,23033,0,30,480
23131,1,50,3,3,1,3,30031,87,200:1,75,87,,23031,0,30,480
23140,1,50,3,3,1,3,30031,95,200:1,80,86,,23040,0,30,1080
23141,1,50,3,3,1,3,30031,100,200:1,85,85,,23041,0,30,1080
23224,1,50,3,3,2,3,30032,76,200:1,10,98,,23024,0,30,180
23223,1,50,3,3,2,3,30032,77,200:1,13,97,,23023,0,30,180
23227,1,50,3,3,2,3,30032,78,200:1,16,96,,23027,0,30,180
23226,1,50,3,3,2,3,30032,79,200:1,21,95,,23026,0,30,180
23228,1,50,3,3,2,3,30032,80,200:1,26,94,,23028,0,30,180
23225,1,50,3,3,2,3,30032,81,200:1,31,93,,23025,0,30,180
23229,1,50,3,3,2,3,30032,82,200:1,50,92,,23039,0,30,480
23222,1,50,3,3,2,3,30032,83,200:1,55,91,,23038,0,30,480
23234,1,50,3,3,2,3,30032,84,200:1,60,90,,23034,0,30,480
23236,1,50,3,3,2,3,30032,85,200:1,65,89,,23036,0,30,480
23235,1,50,3,3,2,3,30032,86,200:1,70,88,,23035,0,30,480
23237,1,50,3,3,2,3,30032,87,200:1,75,87,,23037,0,30,480
23242,1,50,3,3,2,3,30032,95,200:1,80,86,,23042,0,30,1080
23243,1,50,3,3,2,3,30032,100,200:1,85,85,,23043,0,30,1080
24023,1,50,0,2,0,1,40010,10,1:1000;,10,98,1:24123;2:24223,,3,3,3
24026,1,50,0,2,0,1,40010,13,1:2000;,13,97,1:24126;2:24226,,3,3,3
24025,1,50,0,2,0,1,40010,16,1:3000;,16,96,1:24125;2:24225,,3,3,3
24022,1,50,0,2,0,1,40010,21,113:1,21,95,1:24122;2:24222,,3,3,3
24024,1,50,0,2,0,1,40010,26,113:1,26,94,1:24124;2:24224,,3,3,3
24027,1,50,0,2,0,1,40010,31,113:1,31,93,1:24127;2:24227,,3,3,3
24029,1,50,0,2,1,2,40021,40,113:1,50,92,1:24129,,3,9,9
24028,1,50,0,2,1,2,40021,45,113:1,55,91,1:24128,,3,9,9
24030,1,50,0,2,1,2,40021,50,113:1,60,90,1:24130,,3,9,9
24032,1,50,0,2,1,2,40021,55,114:1,65,89,1:24132,,3,9,9
24033,1,50,0,2,1,2,40021,60,114:1,70,88,1:24133,,3,9,9
24031,1,50,0,2,1,2,40021,65,114:1,75,87,1:24131,,3,9,9
24039,1,50,0,2,2,2,40022,40,113:1,50,92,2:24229,,3,9,9
24038,1,50,0,2,2,2,40022,45,113:1,55,91,2:24228,,3,9,9
24035,1,50,0,2,2,2,40022,50,113:1,60,90,2:24235,,3,9,9
24036,1,50,0,2,2,2,40022,55,114:1,65,89,2:24236,,3,9,9
24034,1,50,0,2,2,2,40022,60,114:1,70,88,2:24234,,3,9,9
24037,1,50,0,2,2,2,40022,65,114:1,75,87,2:24237,,3,9,9
24040,1,50,0,2,1,3,40031,70,191:1,80,86,1:24140,,3,21,21
24041,1,50,0,2,1,3,40031,75,191:1,85,85,1:24141,,3,21,21
24042,1,50,0,2,2,3,40032,70,191:1,80,86,2:24242,,3,21,21
24043,1,50,0,2,2,3,40032,75,191:1,85,85,2:24243,,3,21,21
24123,1,50,3,2,1,3,40031,76,200:1,10,98,,24023,0,30,180
24126,1,50,3,2,1,3,40031,77,200:1,13,97,,24026,0,30,180
24125,1,50,3,2,1,3,40031,78,200:1,16,96,,24025,0,30,180
24122,1,50,3,2,1,3,40031,79,200:1,21,95,,24022,0,30,180
24124,1,50,3,2,1,3,40031,80,200:1,26,94,,24024,0,30,180
24127,1,50,3,2,1,3,40031,81,200:1,31,93,,24027,0,30,180
24129,1,50,3,2,1,3,40031,82,200:1,50,92,,24029,0,30,480
24128,1,50,3,2,1,3,40031,83,200:1,55,91,,24028,0,30,480
24130,1,50,3,2,1,3,40031,84,200:1,60,90,,24030,0,30,480
24132,1,50,3,2,1,3,40031,85,200:1,65,89,,24032,0,30,480
24133,1,50,3,2,1,3,40031,86,200:1,70,88,,24033,0,30,480
24131,1,50,3,2,1,3,40031,87,200:1,75,87,,24031,0,30,480
24140,1,50,3,2,1,3,40031,95,200:1,80,86,,24040,0,30,1080
24141,1,50,3,2,1,3,40031,100,200:1,85,85,,24041,0,30,1080
24223,1,50,3,2,2,3,40032,76,200:1,10,98,,24023,0,30,180
24226,1,50,3,2,2,3,40032,77,200:1,13,97,,24026,0,30,180
24225,1,50,3,2,2,3,40032,78,200:1,16,96,,24025,0,30,180
24222,1,50,3,2,2,3,40032,79,200:1,21,95,,24022,0,30,180
24224,1,50,3,2,2,3,40032,80,200:1,26,94,,24024,0,30,180
24227,1,50,3,2,2,3,40032,81,200:1,31,93,,24027,0,30,180
24229,1,50,3,2,2,3,40032,82,200:1,50,92,,24039,0,30,480
24228,1,50,3,2,2,3,40032,83,200:1,55,91,,24038,0,30,480
24235,1,50,3,2,2,3,40032,84,200:1,60,90,,24035,0,30,480
24236,1,50,3,2,2,3,40032,85,200:1,65,89,,24036,0,30,480
24234,1,50,3,2,2,3,40032,86,200:1,70,88,,24034,0,30,480
24237,1,50,3,2,2,3,40032,87,200:1,75,87,,24037,0,30,480
24242,1,50,3,2,2,3,40032,95,200:1,80,86,,24042,0,30,1080
24243,1,50,3,2,2,3,40032,100,200:1,85,85,,24043,0,30,1080
25022,1,50,0,5,0,1,50010,10,1:1000;,10,98,1:25122;2:25222,,3,3,3
25026,1,50,0,5,0,1,50010,13,1:2000;,13,97,1:25126;2:25226,,3,3,3
25025,1,50,0,5,0,1,50010,16,1:3000;,16,96,1:25125;2:25225,,3,3,3
25023,1,50,0,5,0,1,50010,21,113:1,21,95,1:25123;2:25223,,3,3,3
25024,1,50,0,5,0,1,50010,26,113:1,26,94,1:25124;2:25224,,3,3,3
25027,1,50,0,5,0,1,50010,31,113:1,31,93,1:25127;2:25227,,3,3,3
25029,1,50,0,5,1,2,50021,40,113:1,50,92,1:25129,,3,9,9
25028,1,50,0,5,1,2,50021,45,113:1,55,91,1:25128,,3,9,9
25031,1,50,0,5,1,2,50021,50,113:1,60,90,1:25131,,3,9,9
25032,1,50,0,5,1,2,50021,55,114:1,65,89,1:25132,,3,9,9
25030,1,50,0,5,1,2,50021,60,114:1,70,88,1:25130,,3,9,9
25033,1,50,0,5,1,2,50021,65,114:1,75,87,1:25133,,3,9,9
25039,1,50,0,5,2,2,50022,40,113:1,50,92,2:25229,,3,9,9
25038,1,50,0,5,2,2,50022,45,113:1,55,91,2:25228,,3,9,9
25035,1,50,0,5,2,2,50022,50,113:1,60,90,2:25235,,3,9,9
25036,1,50,0,5,2,2,50022,55,114:1,65,89,2:25236,,3,9,9
25034,1,50,0,5,2,2,50022,60,114:1,70,88,2:25234,,3,9,9
25037,1,50,0,5,2,2,50022,65,114:1,75,87,2:25237,,3,9,9
25040,1,50,0,5,1,3,50031,70,191:1,80,86,1:25140,,3,21,21
25041,1,50,0,5,1,3,50031,75,191:1,85,85,1:25141,,3,21,21
25042,1,50,0,5,2,3,50032,70,191:1,80,86,2:25242,,3,21,21
25043,1,50,0,5,2,3,50032,75,191:1,85,85,2:25243,,3,21,21
25122,1,50,3,5,1,3,50031,76,200:1,10,98,,25022,0,30,180
25126,1,50,3,5,1,3,50031,77,200:1,13,97,,25026,0,30,180
25125,1,50,3,5,1,3,50031,78,200:1,16,96,,25025,0,30,180
25123,1,50,3,5,1,3,50031,79,200:1,21,95,,25023,0,30,180
25124,1,50,3,5,1,3,50031,80,200:1,26,94,,25024,0,30,180
25127,1,50,3,5,1,3,50031,81,200:1,31,93,,25027,0,30,180
25129,1,50,3,5,1,3,50031,82,200:1,50,92,,25029,0,30,480
25128,1,50,3,5,1,3,50031,83,200:1,55,91,,25028,0,30,480
25131,1,50,3,5,1,3,50031,84,200:1,60,90,,25031,0,30,480
25132,1,50,3,5,1,3,50031,85,200:1,65,89,,25032,0,30,480
25130,1,50,3,5,1,3,50031,86,200:1,70,88,,25030,0,30,480
25133,1,50,3,5,1,3,50031,87,200:1,75,87,,25033,0,30,480
25140,1,50,3,5,1,3,50031,95,200:1,80,86,,25040,0,30,1080
25141,1,50,3,5,1,3,50031,100,200:1,85,85,,25041,0,30,1080
25222,1,50,3,5,2,3,50032,76,200:1,10,98,,25022,0,30,180
25226,1,50,3,5,2,3,50032,77,200:1,13,97,,25026,0,30,180
25225,1,50,3,5,2,3,50032,78,200:1,16,96,,25025,0,30,180
25223,1,50,3,5,2,3,50032,79,200:1,21,95,,25023,0,30,180
25224,1,50,3,5,2,3,50032,80,200:1,26,94,,25024,0,30,180
25227,1,50,3,5,2,3,50032,81,200:1,31,93,,25027,0,30,180
25229,1,50,3,5,2,3,50032,82,200:1,50,92,,25039,0,30,480
25228,1,50,3,5,2,3,50032,83,200:1,55,91,,25038,0,30,480
25235,1,50,3,5,2,3,50032,84,200:1,60,90,,25035,0,30,480
25236,1,50,3,5,2,3,50032,85,200:1,65,89,,25036,0,30,480
25234,1,50,3,5,2,3,50032,86,200:1,70,88,,25034,0,30,480
25237,1,50,3,5,2,3,50032,87,200:1,75,87,,25037,0,30,480
25242,1,50,3,5,2,3,50032,95,200:1,80,86,,25042,0,30,1080
25243,1,50,3,5,2,3,50032,100,200:1,85,85,,25043,0,30,1080
