佣兵ID,描述,职业名字,职业图标,职业类型,职业阶段,职业分支,模型id,属性id,种族id,头像id,纸娃娃,纸娃娃简影,职业图标2,显示顺位,站位,初始生命,初始蓝量,初始物攻,初始魔攻,初始物防,初始魔防,初始命中,初始闪避,初始暴击,初始韧性,STR成长率,INT成长率,AGI成长率,DEX成长率,LUC成长率,VIT成长率,攻速,普攻技能id,默认技能id,重复分解,初始技能id,上阶职业,下阶职业,转职条件,消耗道具,初始战力,备用技能id,伙伴转职索引,推荐加点比例
40021,JobIntroduce_40021,JobName_40021,Jobs/Jobicon_Assassin,2,2,1,21104,1,8,Heads/head_20104,RoleList/List_Head_Thief_2a,RoleList/List_Head_Thief_Gray,RoleList/List_Job_Assassin,4,3,680,9,66,0,8,6,2,4,2,2,0,0,0,0,0,0,175,24000:1;24001:1;24002:1,24003:1;24003:1;24003:1;24003:1,10000:20,14005,40010,40031,40009,190:1,689,,40010,1:85;6:15
50021,JobIntroduce_50021,JobName_50021,Jobs/Jobicon_Priest,5,2,1,21105,1,8,Heads/head_20105,RoleList/List_Head_Acolyte_2a,RoleList/List_Head_Acolyte_Gray,RoleList/List_Job_Priest,5,6,730,12,0,68,11,10,2,2,2,2,0,0,0,0,0,0,160,15000:1,25003:1;25003:1;25003:1;25003:1,10000:20,15004,50010,50031,40010,190:1,672,,50010,3:80;5:20
10022,JobIntroduce_10022,JobName_10022,Jobs/Jobicon_Crusade,1,2,2,21201,1,8,Heads/head_20201,RoleList/List_Head_Sword_2b,RoleList/List_Head_Sword_Gray,RoleList/List_Job_Crusade,1,2,800,9,59,0,14,10,2,2,2,2,0,0,0,0,0,0,165,21000:1;21001:1;21002:1,21003:1;21003:1;21003:1;21003:1,10000:20,11004,10010,10032,40011,190:1,691,,10010,4:80;1:20
20022,JobIntroduce_20022,JobName_20022,Jobs/Jobicon_Sage,4,2,2,21202,1,8,Heads/head_20202,RoleList/List_Head_Mage_2b,RoleList/List_Head_Mage_Gray,RoleList/List_Job_Sage,2,8,700,11,0,68,6,10,4,2,2,2,0,0,0,0,0,0,155,22000:1,22003:1;22003:1;22003:1;22003:1,10000:20,12004,20010,20032,40012,190:1,687,,20010,3:85;5:15
30022,JobIntroduce_30022,JobName_30022,Jobs/Jobicon_Ranger,3,2,2,21203,1,8,Heads/head_20203,RoleList/List_Head_Archer_2b,RoleList/List_Head_Archer_Gray,RoleList/List_Job_Ranger,3,7,720,9,65,0,10,8,3,3,2,2,0,0,0,0,0,0,170,23000:1,23003:1;23003:1;23003:1;23003:1,10000:20,13004,30010,30032,40013,190:1,685,,30010,5:90;6:10
40022,JobIntroduce_40022,JobName_40022,Jobs/Jobicon_Rogue,2,2,2,21204,1,8,Heads/head_20204,RoleList/List_Head_Thief_2b,RoleList/List_Head_Thief_Gray,RoleList/List_Job_Rogue,4,3,680,9,66,0,8,6,2,4,2,2,0,0,0,0,0,0,175,24000:1;24001:1;24002:1,24003:1;24003:1;24003:1;24003:1,10000:20,14005,40010,40032,40014,190:1,689,,40010,1:85;6:15
50022,JobIntroduce_50022,JobName_50022,Jobs/Jobicon_Monk,5,2,2,21205,1,8,Heads/head_20205,RoleList/List_Head_Acolyte_2b,RoleList/List_Head_Acolyte_Gray,RoleList/List_Job_Monk,5,3,730,12,0,68,11,10,2,2,2,2,0,0,0,0,0,0,160,25004:1;25005:1;25006:1,25003:1;25003:1;25003:1;25003:1,10000:20,15004,50010,50032,40015,190:1,672,,50010,3:80;5:20
10031,JobIntroduce_10031,JobName_10031,Jobs/Jobicon_Knight2,1,3,1,22101,1,8,Heads/head_20101_pro,RoleList/List_Head_Sword_2a_pro,RoleList/List_Head_Sword_Gray,RoleList/List_Job_Knight,1,2,1623,12,155,40,58,45,10,20,10,20,0,0,0,0,0,0,165,21000:1;21001:1;21002:1,21003:1;21003:1;21003:1;21003:1,10000:20,11004,10021,31001,,,291,,10010,4:80;1:20
20031,JobIntroduce_20031,JobName_20031,Jobs/Jobicon_Wizard2,4,3,1,22102,1,8,Heads/head_20102_pro,RoleList/List_Head_Mage_2a_pro,RoleList/List_Head_Mage_Gray,RoleList/List_Job_Wizard,2,8,280,12,21,52,6,6,20,10,10,20,0,0,0,0,0,0,155,22000:1,22003:1;22003:1;22003:1;22003:1,10000:20,12004,20021,31002,,,287,,20010,3:85;5:15
30031,JobIntroduce_30031,JobName_30031,Jobs/Jobicon_Hunter2,3,3,1,22103,1,8,Heads/head_20103_pro,RoleList/List_Head_Archer_2a_pro,RoleList/List_Head_Archer_Gray,RoleList/List_Job_Hunter,3,7,295,12,50,35,6,6,20,10,20,10,0,0,0,0,0,0,170,23000:1,23003:1;23003:1;23003:1;23003:1,10000:20,13004,30021,31003,,,285,,30010,5:90;6:10
40031,JobIntroduce_40031,JobName_40031,Jobs/Jobicon_Assassin2,2,3,1,22104,1,8,Heads/head_20104_pro,RoleList/List_Head_Thief_2a_pro,RoleList/List_Head_Thief_Gray,RoleList/List_Job_Assassin,4,3,151,12,25,7,3,3,10,10,5,5,0,0,0,0,0,0,175,24000:1;24001:1;24002:1,24003:1;24003:1;24003:1;24003:1,10000:20,14005,40021,31004,,,289,,40010,1:85;6:15
50031,JobIntroduce_50031,JobName_50031,Jobs/Jobicon_Priest2,5,3,1,22105,1,8,Heads/head_20105_pro,RoleList/List_Head_Acolyte_2a_pro,RoleList/List_Head_Acolyte_Gray,RoleList/List_Job_Priest,5,6,400,16,50,30,20,20,100,100,100,100,0,0,0,0,0,0,160,15000:1,25003:1;25003:1;25003:1;25003:1,10000:20,15004,50021,31005,,,272,,50010,3:80;5:20
10032,JobIntroduce_10032,JobName_10032,Jobs/Jobicon_Crusade2,1,3,2,22201,1,8,Heads/head_20201_pro,RoleList/List_Head_Sword_2b_pro,RoleList/List_Head_Sword_Gray,RoleList/List_Job_Crusade,1,2,1623,12,155,40,58,45,10,20,10,20,0,0,0,0,0,0,165,21000:1;21001:1;21002:1,21003:1;21003:1;21003:1;21003:1,10000:20,11004,10022,31001,,,291,,10010,4:80;1:20
20032,JobIntroduce_20032,JobName_20032,Jobs/Jobicon_Sage2,4,3,2,22202,1,8,Heads/head_20202_pro,RoleList/List_Head_Mage_2b_pro,RoleList/List_Head_Mage_Gray,RoleList/List_Job_Sage,2,8,280,12,21,52,6,6,20,10,10,20,0,0,0,0,0,0,155,22000:1,22003:1;22003:1;22003:1;22003:1,10000:20,12004,20022,31002,,,287,,20010,3:85;5:15
30032,JobIntroduce_30032,JobName_30032,Jobs/Jobicon_Ranger2,3,3,2,22203,1,8,Heads/head_20203_pro,RoleList/List_Head_Archer_2b_pro,RoleList/List_Head_Archer_Gray,RoleList/List_Job_Ranger,3,7,295,12,50,35,6,6,20,10,20,10,0,0,0,0,0,0,170,23000:1,23003:1;23003:1;23003:1;23003:1,10000:20,13004,30022,31003,,,285,,30010,5:90;6:10
40032,JobIntroduce_40032,JobName_40032,Jobs/Jobicon_Rogue2,2,3,2,22204,1,8,Heads/head_20204_pro,RoleList/List_Head_Thief_2b_pro,RoleList/List_Head_Thief_Gray,RoleList/List_Job_Rogue,4,3,151,12,25,7,3,3,10,10,5,5,0,0,0,0,0,0,175,24000:1;24001:1;24002:1,24003:1;24003:1;24003:1;24003:1,10000:20,14005,40022,31004,,,289,,40010,1:85;6:15
50032,JobIntroduce_50032,JobName_50032,Jobs/Jobicon_Monk2,5,3,2,22205,1,8,Heads/head_20205_pro,RoleList/List_Head_Acolyte_2b_pro,RoleList/List_Head_Acolyte_Gray,RoleList/List_Job_Monk,5,6,400,16,50,30,20,20,100,100,100,100,0,0,0,0,0,0,160,25004:1;25005:1;25006:1,25003:1;25003:1;25003:1;25003:1,10000:20,15004,50022,31005,,,272,,50010,3:80;5:20
30000,JobIntroduce_10000,JobName_10000,Jobs/Jobicon_Merchant,0,0,0,30000,1,8,Heads/head_100002,RoleList/List_Head_Sword,RoleList/List_Head_Sword_Gray,RoleList/List_Job_Sword,1,1,22000,200,40,40,20,20,100,100,100,100,0,0,0,0,0,0,165,10019:1;10020:1,10020:1;10020:1;10020:1;10020:1,10000:20,10000,0,0,10001,,100,,,1:60;4:30;5:10
30001,JobIntroduce_10000,JobName_10000,Jobs/Jobicon_Merchant,0,0,0,30001,1,8,Heads/head_100001,RoleList/List_Head_Mage,RoleList/List_Head_Mage_Gray,RoleList/List_Job_Mage,1,1,22000,200,30,30,20,20,100,100,100,100,0,0,0,0,0,0,155,10017:1;10018:1,10018:1;10018:1;10018:1;10018:1,10000:20,10000,0,0,10001,,100,,,1:60;4:30;5:10
31001,JobIntroduce_10010,JobName_10010,Jobs/Jobicon_Sword,1,0,0,30002,1,8,Heads/head_20001,RoleList/List_Head_Sword,RoleList/List_Head_Sword_Gray,RoleList/List_Job_Sword,1,2,18000,200,70,70,10,10,10,10,5,5,0,0,0,0,0,0,170,11903:1;11904:1;11905:1,11902:1;11901:1;11901:1;11901:1,10000:20,11004,0,0,10001,,291,,,3:60;4:20;5:20
31002,JobIntroduce_20010,JobName_20010,Jobs/Jobicon_Mage,4,0,0,30003,1,8,Heads/head_20002,RoleList/List_Head_Mage,RoleList/List_Head_Mage_Gray,RoleList/List_Job_Mage,2,8,8800,200,90,90,6,6,10,5,5,10,0,0,0,0,0,0,175,12903:1,12902:1;12901:1;12901:1;12901:1,10000:20,12004,0,0,10003,,286,,,2:50;5:30;6:20
31003,JobIntroduce_30010,JobName_30010,Jobs/Jobicon_Archer,3,0,0,30004,1,8,Heads/head_20003,RoleList/List_Head_Archer,RoleList/List_Head_Archer_Gray,RoleList/List_Job_Archer,3,7,12000,200,83,83,6,6,10,5,10,5,0,0,0,0,0,0,160,13903:1,13904:1;13901:1;13901:1;13901:1,10000:20,13004,0,0,10003,,284,,,1:60;2:30;6:10
31004,JobIntroduce_40010,JobName_40010,Jobs/Jobicon_Thief,2,0,0,30005,1,8,Heads/head_20004,RoleList/List_Head_Thief,RoleList/List_Head_Thief_Gray,RoleList/List_Job_Thief,4,3,16000,200,85,85,3,3,10,10,5,5,0,0,0,0,0,0,150,14903:1;14904:1;14905:1,14906:1;14901:1;14901:1;14901:1,10000:20,14005,0,0,10003,,290,,,1:60;2:30;6:10
31005,JobIntroduce_50010,JobName_50010,Jobs/Jobicon_Acolyte,5,0,0,30006,1,8,Heads/head_20005,RoleList/List_Head_Acolyte,RoleList/List_Head_Acolyte_Gray,RoleList/List_Job_Acolyte,5,6,9000,200,80,80,7,7,10,6,10,6,0,0,0,0,0,0,120,15903:1,15902:1;15901:1;15901:1;15901:1,10000:20,15004,0,0,10003,,272,,,1:60;4:30;5:10
