RankId,活动种类,活动序号,活动开始日期,活动开始时间,活动结束日期,活动结束时间,功能结束日期,功能结束时间,排名档次,排名区间,排名奖励
53,4,1,16,12:00:00,20,21:00:00,21,21:00:00,35,35:35,522:2;517:10;100:30;493:20;494:100
54,4,1,16,12:00:00,20,21:00:00,21,21:00:00,36,36:36,522:2;517:10;100:30;493:20;494:100
55,4,1,16,12:00:00,20,21:00:00,21,21:00:00,37,37:37,522:2;517:10;100:30;493:20;494:100
56,4,1,16,12:00:00,20,21:00:00,21,21:00:00,38,38:38,522:2;517:10;100:30;493:20;494:100
57,4,1,16,12:00:00,20,21:00:00,21,21:00:00,39,39:39,522:2;517:10;100:30;493:20;494:100
58,4,1,16,12:00:00,20,21:00:00,21,21:00:00,40,40:40,522:2;517:10;100:30;493:20;494:100
59,4,1,16,12:00:00,20,21:00:00,21,21:00:00,41,41:41,522:2;517:10;100:30;493:20;494:100
60,4,1,16,12:00:00,20,21:00:00,21,21:00:00,42,42:42,522:2;517:10;100:30;493:20;494:100
61,4,1,16,12:00:00,20,21:00:00,21,21:00:00,43,43:43,522:2;517:10;100:30;493:20;494:100
62,4,1,16,12:00:00,20,21:00:00,21,21:00:00,44,44:44,522:2;517:10;100:30;493:20;494:100
63,4,1,16,12:00:00,20,21:00:00,21,21:00:00,45,45:45,522:2;517:10;100:30;493:20;494:100
64,4,1,16,12:00:00,20,21:00:00,21,21:00:00,46,46:46,522:2;517:10;100:30;493:20;494:100
65,4,1,16,12:00:00,20,21:00:00,21,21:00:00,47,47:47,522:2;517:10;100:30;493:20;494:100
66,4,1,16,12:00:00,20,21:00:00,21,21:00:00,48,48:48,522:2;517:10;100:30;493:20;494:100
67,4,1,16,12:00:00,20,21:00:00,21,21:00:00,49,49:49,522:2;517:10;100:30;493:20;494:100
68,4,1,16,12:00:00,20,21:00:00,21,21:00:00,50,50:50,522:2;517:10;100:30;493:20;494:100
69,4,1,16,12:00:00,20,21:00:00,21,21:00:00,51,51:500,522:1;517:5;100:15;493:10;494:50
70,5,1,21,12:00:00,28,21:00:00,29,21:00:00,1,1:1,15049:1;136:20;141:10;110:30;2:1000
71,5,1,21,12:00:00,28,21:00:00,29,21:00:00,2,2:2,136:10;141:5;110:20;2:500
72,5,1,21,12:00:00,28,21:00:00,29,21:00:00,3,3:3,136:6;141:3;110:15;2:200
73,5,1,21,12:00:00,28,21:00:00,29,21:00:00,4,4:4,136:4;141:2;110:10;2:100
74,5,1,21,12:00:00,28,21:00:00,29,21:00:00,5,5:5,136:4;141:2;110:10;2:100
75,5,1,21,12:00:00,28,21:00:00,29,21:00:00,6,6:6,136:4;141:2;110:10;2:100
76,5,1,21,12:00:00,28,21:00:00,29,21:00:00,7,7:7,136:4;141:2;110:10;2:100
77,5,1,21,12:00:00,28,21:00:00,29,21:00:00,8,8:8,136:4;141:2;110:10;2:100
78,5,1,21,12:00:00,28,21:00:00,29,21:00:00,9,9:9,136:4;141:2;110:10;2:100
79,5,1,21,12:00:00,28,21:00:00,29,21:00:00,10,10:10,136:4;141:2;110:10;2:100
80,5,1,21,12:00:00,28,21:00:00,29,21:00:00,11,11:11,136:2;141:1;110:5;2:50
81,5,1,21,12:00:00,28,21:00:00,29,21:00:00,12,12:12,136:2;141:1;110:5;2:50
82,5,1,21,12:00:00,28,21:00:00,29,21:00:00,13,13:13,136:2;141:1;110:5;2:50
83,5,1,21,12:00:00,28,21:00:00,29,21:00:00,14,14:14,136:2;141:1;110:5;2:50
84,5,1,21,12:00:00,28,21:00:00,29,21:00:00,15,15:15,136:2;141:1;110:5;2:50
85,5,1,21,12:00:00,28,21:00:00,29,21:00:00,16,16:16,136:2;141:1;110:5;2:50
86,5,1,21,12:00:00,28,21:00:00,29,21:00:00,17,17:17,136:2;141:1;110:5;2:50
87,5,1,21,12:00:00,28,21:00:00,29,21:00:00,18,18:18,136:2;141:1;110:5;2:50
88,5,1,21,12:00:00,28,21:00:00,29,21:00:00,19,19:19,136:2;141:1;110:5;2:50
89,5,1,21,12:00:00,28,21:00:00,29,21:00:00,20,20:20,136:2;141:1;110:5;2:50
90,5,1,21,12:00:00,28,21:00:00,29,21:00:00,21,21:21,136:2;141:1;110:5;2:50
91,5,1,21,12:00:00,28,21:00:00,29,21:00:00,22,22:22,136:2;141:1;110:5;2:50
92,5,1,21,12:00:00,28,21:00:00,29,21:00:00,23,23:23,136:2;141:1;110:5;2:50
93,5,1,21,12:00:00,28,21:00:00,29,21:00:00,24,24:24,136:2;141:1;110:5;2:50
94,5,1,21,12:00:00,28,21:00:00,29,21:00:00,25,25:25,136:2;141:1;110:5;2:50
95,5,1,21,12:00:00,28,21:00:00,29,21:00:00,26,26:26,136:2;141:1;110:5;2:50
96,5,1,21,12:00:00,28,21:00:00,29,21:00:00,27,27:27,136:2;141:1;110:5;2:50
97,5,1,21,12:00:00,28,21:00:00,29,21:00:00,28,28:28,136:2;141:1;110:5;2:50
98,5,1,21,12:00:00,28,21:00:00,29,21:00:00,29,29:29,136:2;141:1;110:5;2:50
99,5,1,21,12:00:00,28,21:00:00,29,21:00:00,30,30:30,136:2;141:1;110:5;2:50
100,5,1,21,12:00:00,28,21:00:00,29,21:00:00,31,31:31,136:2;141:1;110:5;2:50
101,5,1,21,12:00:00,28,21:00:00,29,21:00:00,32,32:32,136:2;141:1;110:5;2:50
102,5,1,21,12:00:00,28,21:00:00,29,21:00:00,33,33:33,136:2;141:1;110:5;2:50
103,5,1,21,12:00:00,28,21:00:00,29,21:00:00,34,34:34,136:2;141:1;110:5;2:50
104,5,1,21,12:00:00,28,21:00:00,29,21:00:00,35,35:35,136:2;141:1;110:5;2:50
105,5,1,21,12:00:00,28,21:00:00,29,21:00:00,36,36:36,136:2;141:1;110:5;2:50
106,5,1,21,12:00:00,28,21:00:00,29,21:00:00,37,37:37,136:2;141:1;110:5;2:50
107,5,1,21,12:00:00,28,21:00:00,29,21:00:00,38,38:38,136:2;141:1;110:5;2:50
108,5,1,21,12:00:00,28,21:00:00,29,21:00:00,39,39:39,136:2;141:1;110:5;2:50
109,5,1,21,12:00:00,28,21:00:00,29,21:00:00,40,40:40,136:2;141:1;110:5;2:50
110,5,1,21,12:00:00,28,21:00:00,29,21:00:00,41,41:41,136:2;141:1;110:5;2:50
111,5,1,21,12:00:00,28,21:00:00,29,21:00:00,42,42:42,136:2;141:1;110:5;2:50
112,5,1,21,12:00:00,28,21:00:00,29,21:00:00,43,43:43,136:2;141:1;110:5;2:50
113,5,1,21,12:00:00,28,21:00:00,29,21:00:00,44,44:44,136:2;141:1;110:5;2:50
114,5,1,21,12:00:00,28,21:00:00,29,21:00:00,45,45:45,136:2;141:1;110:5;2:50
115,5,1,21,12:00:00,28,21:00:00,29,21:00:00,46,46:46,136:2;141:1;110:5;2:50
116,5,1,21,12:00:00,28,21:00:00,29,21:00:00,47,47:47,136:2;141:1;110:5;2:50
117,5,1,21,12:00:00,28,21:00:00,29,21:00:00,48,48:48,136:2;141:1;110:5;2:50
118,5,1,21,12:00:00,28,21:00:00,29,21:00:00,49,49:49,136:2;141:1;110:5;2:50
119,5,1,21,12:00:00,28,21:00:00,29,21:00:00,50,50:50,136:2;141:1;110:5;2:50
120,5,1,21,12:00:00,28,21:00:00,29,21:00:00,51,51:500,132:1;140:2;110:3;2:20
