唯一id,最长战斗时间,关卡奖励,怪物等级,特殊奖励,战力校验,蓝量加成,战力削弱,停留时间削弱,版本,卡槽解锁,查封配置
20,90,5:24010,68,12122:1,1706,20:50,3412;9:-1;10:-1;19:-3|4435;9:-2;10:-2;19:-6|4606;9:-3;10:-3;19:-9|4776;9:-4;10:-4;19:-12,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
21,90,5:24820,70,,1709,20:50,3418;9:-1;10:-1;19:-3|4443;9:-2;10:-2;19:-6|4614;9:-3;10:-3;19:-9|4785;9:-4;10:-4;19:-12,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
22,90,5:25640,75,,1712,20:50,3424;9:-1;10:-1;19:-3|4451;9:-2;10:-2;19:-6|4622;9:-3;10:-3;19:-9|4793;9:-4;10:-4;19:-12,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
23,90,5:26450,76,,1715,20:50,3430;9:-1;10:-1;19:-3|4459;9:-2;10:-2;19:-6|4630;9:-3;10:-3;19:-9|4802;9:-4;10:-4;19:-12,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
24,90,5:27270,76,,2411,20:50,4822;9:-1;10:-1;19:-3|6268;9:-2;10:-2;19:-6|6509;9:-3;10:-3;19:-9|6750;9:-4;10:-4;19:-12,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
25,90,5:28080,77,12121:1,2414,20:50,4828;9:-1;10:-1;19:-3|6276;9:-2;10:-2;19:-6|6517;9:-3;10:-3;19:-9|6759;9:-4;10:-4;19:-12,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
26,90,5:28890,80,,2418,20:50,4836;9:-1;10:-1;19:-3|6286;9:-2;10:-2;19:-6|6528;9:-3;10:-3;19:-9|6770;9:-4;10:-4;19:-12,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
27,90,5:29710,81,,2423,20:50,4846;9:-1;10:-1;19:-3|6299;9:-2;10:-2;19:-6|6542;9:-3;10:-3;19:-9|6784;9:-4;10:-4;19:-12,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
28,90,5:30520,83,,2886,20:50,5772;9:-1;10:-1;19:-3|7503;9:-2;10:-2;19:-6|7792;9:-3;10:-3;19:-9|8080;9:-4;10:-4;19:-12,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
29,90,5:31340,90,,2890,20:50,5780;9:-1;10:-1;19:-3|7514;9:-2;10:-2;19:-6|7803;9:-3;10:-3;19:-9|8092;9:-4;10:-4;19:-12,10;9:-2;10:-2;19:-2|20;9:-3;10:-3;19:-4|30;9:-4;10:-4;19:-5|50;9:-5;10:-5;19:-6|80;9:-6;10:-6;19:-8|120;9:-8;10:-8;19:-12|150;9:-12;10:-12;19:-14|180;9:-14;10:-14;19:-16|240;9:-16;10:-16;19:-18|300;9:-18;10:-18;19:-20|360;9:-20;10:-20;19:-22|420;9:-22;10:-22;19:-26|480;9:-26;10:-26;19:-28|540;9:-28;10:-28;19:-32,7,,
30,90,5:32150,90,12122:1,2825,20:50,5650;9:-1;10:-1;19:-3|7345;9:-2;10:-2;19:-6|7627;9:-3;10:-3;19:-9|7910;9:-4;10:-4;19:-12,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
31,90,5:51970,70,,4543,20:50,10768;9:-4;10:-4;19:-6|12723;9:-6;10:-6;19:-12|14404;9:-10;10:-10;19:-18|16313;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;6
32,90,5:52130,80,,4530,20:50,10748;9:-4;10:-4;19:-6|12701;9:-6;10:-6;19:-12|14380;9:-10;10:-10;19:-18|16286;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;6
33,90,5:52290,81,,4517,20:50,10727;9:-4;10:-4;19:-6|12678;9:-6;10:-6;19:-12|14356;9:-10;10:-10;19:-18|16259;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;6
34,90,5:52450,83,,4946,20:50,11413;9:-4;10:-4;19:-6|13408;9:-6;10:-6;19:-12|15150;9:-10;10:-10;19:-18|17139;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,CardUnlock12,3;6
35,90,5:52610,88,12121:1,4604,20:50,10866;9:-4;10:-4;19:-6|12826;9:-6;10:-6;19:-12|14517;9:-10;10:-10;19:-18|16438;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
36,90,5:52770,88,,4591,20:50,10845;9:-4;10:-4;19:-6|12804;9:-6;10:-6;19:-12|14493;9:-10;10:-10;19:-18|16411;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;6
37,90,5:52930,93,,4579,20:50,10826;9:-4;10:-4;19:-6|12784;9:-6;10:-6;19:-12|14471;9:-10;10:-10;19:-18|16386;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;6
38,90,5:53090,95,,5222,20:50,11855;9:-4;10:-4;19:-6|13877;9:-6;10:-6;19:-12|15660;9:-10;10:-10;19:-18|17705;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;6
39,90,5:53250,105,,5209,20:50,11834;9:-4;10:-4;19:-6|13855;9:-6;10:-6;19:-12|15636;9:-10;10:-10;19:-18|17678;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,CardUnlock22,3;6
40,90,5:53410,105,12122:1,5195,20:50,11812;9:-4;10:-4;19:-6|13831;9:-6;10:-6;19:-12|15610;9:-10;10:-10;19:-18|17649;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
41,90,5:53630,115,,5648,20:50,12536;9:-4;10:-4;19:-6|14601;9:-6;10:-6;19:-12|16448;9:-10;10:-10;19:-18|18578;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;6
42,90,5:53790,120,,5633,20:50,12512;9:-4;10:-4;19:-6|14576;9:-6;10:-6;19:-12|16421;9:-10;10:-10;19:-18|18547;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;6
43,90,5:53950,125,,5619,20:50,12490;9:-4;10:-4;19:-6|14552;9:-6;10:-6;19:-12|16395;9:-10;10:-10;19:-18|18518;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;6
44,90,5:54110,130,,6213,20:50,13440;9:-4;10:-4;19:-6|15562;9:-6;10:-6;19:-12|17494;9:-10;10:-10;19:-18|19736;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,CardUnlock32,3;6
45,90,5:54270,135,12121:1,6197,20:50,13415;9:-4;10:-4;19:-6|15534;9:-6;10:-6;19:-12|17464;9:-10;10:-10;19:-18|19703;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
46,90,5:54430,140,,6183,20:50,13392;9:-4;10:-4;19:-6|15511;9:-6;10:-6;19:-12|17438;9:-10;10:-10;19:-18|19675;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;6
47,90,5:54590,145,,6168,20:50,13368;9:-4;10:-4;19:-6|15485;9:-6;10:-6;19:-12|17410;9:-10;10:-10;19:-18|19644;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;6
48,90,5:54750,145,,6507,20:50,13911;9:-4;10:-4;19:-6|16061;9:-6;10:-6;19:-12|18037;9:-10;10:-10;19:-18|20339;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;6
49,90,5:54910,150,,6492,20:50,13887;9:-4;10:-4;19:-6|16036;9:-6;10:-6;19:-12|18010;9:-10;10:-10;19:-18|20308;9:-12;10:-12;19:-24,10;9:-2;10:-2;19:-2|20;9:-3;10:-3;19:-4|30;9:-4;10:-4;19:-5|50;9:-5;10:-5;19:-6|80;9:-6;10:-6;19:-8|120;9:-8;10:-8;19:-12|150;9:-12;10:-12;19:-14|180;9:-14;10:-14;19:-16|240;9:-16;10:-16;19:-18|300;9:-18;10:-18;19:-20|360;9:-20;10:-20;19:-22|420;9:-22;10:-22;19:-26|480;9:-26;10:-26;19:-28|540;9:-28;10:-28;19:-32,7,,3;6
50,90,5:55070,150,12122:1,7299,20:50,15178;9:-4;10:-4;19:-6|17408;9:-6;10:-6;19:-12|19503;9:-10;10:-10;19:-18|21962;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
51,90,5:56630,120,,7619,20:50,15690;9:-4;10:-4;19:-6|17952;9:-6;10:-6;19:-12|20095;9:-10;10:-10;19:-18|22618;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;30
52,90,5:56740,130,,7602,20:50,15663;9:-4;10:-4;19:-6|17923;9:-6;10:-6;19:-12|20063;9:-10;10:-10;19:-18|22584;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;30
53,90,5:56860,135,,7585,20:50,15636;9:-4;10:-4;19:-6|17894;9:-6;10:-6;19:-12|20032;9:-10;10:-10;19:-18|22549;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;30
54,90,5:56970,140,,9841,20:50,19245;9:-4;10:-4;19:-6|21729;9:-6;10:-6;19:-12|24205;9:-10;10:-10;19:-18|27174;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,CardUnlock42,3;30
55,90,5:57090,140,12121:1,9865,20:50,19284;9:-4;10:-4;19:-6|21770;9:-6;10:-6;19:-12|24250;9:-10;10:-10;19:-18|27223;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,
56,90,5:57200,167,,9889,20:50,19322;9:-4;10:-4;19:-6|21811;9:-6;10:-6;19:-12|24294;9:-10;10:-10;19:-18|27272;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;30
57,90,5:57320,184,,9913,20:50,19360;9:-4;10:-4;19:-6|21852;9:-6;10:-6;19:-12|24339;9:-10;10:-10;19:-18|27321;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;30
58,90,5:57440,227,,12773,20:50,23936;9:-4;10:-4;19:-6|26714;9:-6;10:-6;19:-12|29630;9:-10;10:-10;19:-18|33184;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;30
59,90,5:57550,239,,12803,20:50,23984;9:-4;10:-4;19:-6|26765;9:-6;10:-6;19:-12|29685;9:-10;10:-10;19:-18|33246;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|50;9:-8;10:-8;19:-10|80;9:-10;10:-10;19:-13|120;9:-12;10:-12;19:-16|150;9:-14;10:-14;19:-19|180;9:-16;10:-16;19:-22|240;9:-18;10:-18;19:-25|300;9:-20;10:-20;19:-28|360;9:-22;10:-22;19:-30,7,,3;30
60,90,5:57670,208,12122:1,12833,20:50,24032;9:-4;10:-4;19:-6|26816;9:-6;10:-6;19:-12|29741;9:-10;10:-10;19:-18|33307;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,
61,90,5:57900,244,,13621,20:50,25293;9:-4;10:-4;19:-6|28155;9:-6;10:-6;19:-12|31198;9:-10;10:-10;19:-18|34923;9:-12;10:-12;19:-24,10;9:-3;10:-3;19:-4|20;9:-5;10:-5;19:-6|30;9:-6;10:-6;19:-8|40;9:-8;10:-8;19:-10|60;9:-10;10:-10;19:-13|90;9:-12;10:-12;19:-16|120;9:-14;10:-14;19:-19|150;9:-16;10:-16;19:-22|180;9:-18;10:-18;19:-25|240;9:-20;10:-20;19:-28|300;9:-22;10:-22;19:-30|360;9:-25;10:-25;19:-33|420;9:-27;10:-27;19:-35|480;9:-28;10:-28;19:-38|540;9:-32;10:-32;19:-40|600;9:-35;10:-35;19:-42,7,,3;30
