全局配置id,开服天数,星期几的BOSS,Boss等级,BOSS等级达到上限,免费挑战次数,挑战次数购买上限,单局结算奖励,挑战次数购买价格,召唤物id,BOSS开启时间,boss存活时间,BOSS结算CD,挑战时间,评分档位所需伤害量,宝箱奖励,整场伤害上限校验
Id,BossLvCycle,WeekDay,BossLevel,BossLvMax,FreeChallenge,ChallengeTimes,ChallengeReward,ChallengePrice,SummonId,SummonTime,LifeTime,SettlementCd,BattleTime,DamageSegment,DamageReward,DamageCheck
int,list,int,int,int,int,int,list,list,int,string,int,int,int,string,list,string
14,8:14,4,2,,1,30,24:300,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4400,5:00:00,86400,1800,40,0:0:3000000;1:3000001:8000000;2:8000001:16000000;3:16000001:25000000;4:25000001:35000000;5:35000001:40000000,11261:1;11262:1;11263:1;11264:1;11265:1,900000000
15,8:14,5,2,,1,30,24:300,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4500,5:00:00,86400,1800,40,0:0:3000000;1:3000001:8000000;2:8000001:16000000;3:16000001:25000000;4:25000001:35000000;5:35000001:40000000,11266:1;11267:1;11268:1;11269:1;11270:1,900000000
16,8:14,6,2,,1,30,24:300,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4600,5:00:00,86400,1800,40,0:0:3000000;1:3000001:8000000;2:8000001:16000000;3:16000001:25000000;4:25000001:35000000;5:35000001:40000000,11271:1;11272:1;11273:1;11274:1;11275:1,900000000
17,8:14,7,2,,1,30,24:300,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4700,5:00:00,86400,1800,40,0:0:3000000;1:3000001:8000000;2:8000001:16000000;3:16000001:25000000;4:25000001:35000000;5:35000001:40000000,11276:1;11277:1;11278:1;11279:1;11280:1,900000000
21,15:21,1,3,,1,30,24:400,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4101,5:00:00,86400,1800,40,0:0:8000000;1:8000001:25000000;2:25000001:42000000;3:42000001:68000000;4:68000001:90000000;5:90000001:120000000,11281:1;11282:1;11283:1;11284:1;11285:1,900000000
22,15:21,2,3,,1,30,24:400,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4201,5:00:00,86400,1800,40,0:0:8000000;1:8000001:25000000;2:25000001:42000000;3:42000001:68000000;4:68000001:90000000;5:90000001:120000000,11286:1;11287:1;11288:1;11289:1;11290:1,900000000
23,15:21,3,3,,1,30,24:400,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4301,5:00:00,86400,1800,40,0:0:8000000;1:8000001:25000000;2:25000001:42000000;3:42000001:68000000;4:68000001:90000000;5:90000001:120000000,11291:1;11292:1;11293:1;11294:1;11295:1,900000000
24,15:21,4,3,,1,30,24:400,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4401,5:00:00,86400,1800,40,0:0:8000000;1:8000001:25000000;2:25000001:42000000;3:42000001:68000000;4:68000001:90000000;5:90000001:120000000,11296:1;11297:1;11298:1;11299:1;11300:1,900000000
25,15:21,5,3,,1,30,24:400,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4501,5:00:00,86400,1800,40,0:0:8000000;1:8000001:25000000;2:25000001:42000000;3:42000001:68000000;4:68000001:90000000;5:90000001:120000000,11301:1;11302:1;11303:1;11304:1;11305:1,900000000
26,15:21,6,3,,1,30,24:400,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4601,5:00:00,86400,1800,40,0:0:8000000;1:8000001:25000000;2:25000001:42000000;3:42000001:68000000;4:68000001:90000000;5:90000001:120000000,11306:1;11307:1;11308:1;11309:1;11310:1,900000000
27,15:21,7,3,,1,30,24:400,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4701,5:00:00,86400,1800,40,0:0:8000000;1:8000001:25000000;2:25000001:42000000;3:42000001:68000000;4:68000001:90000000;5:90000001:120000000,11311:1;11312:1;11313:1;11314:1;11315:1,900000000
31,22:30,1,4,,1,30,24:500,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4101,5:00:00,86400,1800,40,0:0:10000000;1:10000001:35000000;2:35000001:75000000;3:75000001:120000000;4:120000001:150000000;5:150000001:180000000,11316:1;11317:1;11318:1;11319:1;11320:1,900000000
32,22:30,2,4,,1,30,24:500,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4201,5:00:00,86400,1800,40,0:0:10000000;1:10000001:35000000;2:35000001:75000000;3:75000001:120000000;4:120000001:150000000;5:150000001:180000000,11321:1;11322:1;11323:1;11324:1;11325:1,900000000
33,22:30,3,4,,1,30,24:500,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4301,5:00:00,86400,1800,40,0:0:10000000;1:10000001:35000000;2:35000001:75000000;3:75000001:120000000;4:120000001:150000000;5:150000001:180000000,11326:1;11327:1;11328:1;11329:1;11330:1,900000000
34,22:30,4,4,,1,30,24:500,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4401,5:00:00,86400,1800,40,0:0:10000000;1:10000001:35000000;2:35000001:75000000;3:75000001:120000000;4:120000001:150000000;5:150000001:180000000,11331:1;11332:1;11333:1;11334:1;11335:1,900000000
35,22:30,5,4,,1,30,24:500,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4501,5:00:00,86400,1800,40,0:0:10000000;1:10000001:35000000;2:35000001:75000000;3:75000001:120000000;4:120000001:150000000;5:150000001:180000000,11336:1;11337:1;11338:1;11339:1;11340:1,900000000
36,22:30,6,4,,1,30,24:500,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4601,5:00:00,86400,1800,40,0:0:10000000;1:10000001:35000000;2:35000001:75000000;3:75000001:120000000;4:120000001:150000000;5:150000001:180000000,11341:1;11342:1;11343:1;11344:1;11345:1,900000000
37,22:30,7,4,,1,30,24:500,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4701,5:00:00,86400,1800,40,0:0:10000000;1:10000001:35000000;2:35000001:75000000;3:75000001:120000000;4:120000001:150000000;5:150000001:180000000,11346:1;11347:1;11348:1;11349:1;11350:1,900000000
41,31:38,1,5,,1,30,24:600,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4102,5:00:00,86400,1800,40,0:0:20000000;1:20000001:50000000;2:50000001:90000000;3:90000001:140000000;4:140000001:180000000;5:180000001:220000000,11351:1;11352:1;11353:1;11354:1;11355:1,900000000
42,31:38,2,5,,1,30,24:600,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4202,5:00:00,86400,1800,40,0:0:20000000;1:20000001:50000000;2:50000001:90000000;3:90000001:140000000;4:140000001:180000000;5:180000001:220000000,11356:1;11357:1;11358:1;11359:1;11360:1,900000000
43,31:38,3,5,,1,30,24:600,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4302,5:00:00,86400,1800,40,0:0:20000000;1:20000001:50000000;2:50000001:90000000;3:90000001:140000000;4:140000001:180000000;5:180000001:220000000,11361:1;11362:1;11363:1;11364:1;11365:1,900000000
44,31:38,4,5,,1,30,24:600,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4402,5:00:00,86400,1800,40,0:0:20000000;1:20000001:50000000;2:50000001:90000000;3:90000001:140000000;4:140000001:180000000;5:180000001:220000000,11366:1;11367:1;11368:1;11369:1;11370:1,900000000
45,31:38,5,5,,1,30,24:600,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4502,5:00:00,86400,1800,40,0:0:20000000;1:20000001:50000000;2:50000001:90000000;3:90000001:140000000;4:140000001:180000000;5:180000001:220000000,11371:1;11372:1;11373:1;11374:1;11375:1,900000000
46,31:38,6,5,,1,30,24:600,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4602,5:00:00,86400,1800,40,0:0:20000000;1:20000001:50000000;2:50000001:90000000;3:90000001:140000000;4:140000001:180000000;5:180000001:220000000,11376:1;11377:1;11378:1;11379:1;11380:1,900000000
47,31:38,7,5,,1,30,24:600,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4702,5:00:00,86400,1800,40,0:0:20000000;1:20000001:50000000;2:50000001:90000000;3:90000001:140000000;4:140000001:180000000;5:180000001:220000000,11381:1;11382:1;11383:1;11384:1;11385:1,900000000
51,39:46,1,6,,1,30,24:700,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4102,5:00:00,86400,1800,40,0:0:25000000;1:25000001:56000000;2:56000001:100000000;3:100000001:160000000;4:160000001:240000000;5:240000001:280000000,11386:1;11387:1;11388:1;11389:1;11390:1,900000000
52,39:46,2,6,,1,30,24:700,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4202,5:00:00,86400,1800,40,0:0:25000000;1:25000001:56000000;2:56000001:100000000;3:100000001:160000000;4:160000001:240000000;5:240000001:280000000,11391:1;11392:1;11393:1;11394:1;11395:1,900000000
53,39:46,3,6,,1,30,24:700,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4302,5:00:00,86400,1800,40,0:0:25000000;1:25000001:56000000;2:56000001:100000000;3:100000001:160000000;4:160000001:240000000;5:240000001:280000000,11396:1;11397:1;11398:1;11399:1;11400:1,900000000
54,39:46,4,6,,1,30,24:700,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4402,5:00:00,86400,1800,40,0:0:25000000;1:25000001:56000000;2:56000001:100000000;3:100000001:160000000;4:160000001:240000000;5:240000001:280000000,11401:1;11402:1;11403:1;11404:1;11405:1,900000000
55,39:46,5,6,,1,30,24:700,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4502,5:00:00,86400,1800,40,0:0:25000000;1:25000001:56000000;2:56000001:100000000;3:100000001:160000000;4:160000001:240000000;5:240000001:280000000,11406:1;11407:1;11408:1;11409:1;11410:1,900000000
56,39:46,6,6,,1,30,24:700,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4602,5:00:00,86400,1800,40,0:0:25000000;1:25000001:56000000;2:56000001:100000000;3:100000001:160000000;4:160000001:240000000;5:240000001:280000000,11411:1;11412:1;11413:1;11414:1;11415:1,900000000
57,39:46,7,6,,1,30,24:700,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4702,5:00:00,86400,1800,40,0:0:25000000;1:25000001:56000000;2:56000001:100000000;3:100000001:160000000;4:160000001:240000000;5:240000001:280000000,11416:1;11417:1;11418:1;11419:1;11420:1,900000000
61,47:54,1,7,,1,30,24:800,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4103,5:00:00,86400,1800,40,0:0:30000000;1:30000001:90000000;2:90000001:160000000;3:160000001:240000000;4:240000001:320000000;5:320000001:360000000,11421:1;11422:1;11423:1;11424:1;11425:1,900000000
62,47:54,2,7,,1,30,24:800,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4203,5:00:00,86400,1800,40,0:0:30000000;1:30000001:90000000;2:90000001:160000000;3:160000001:240000000;4:240000001:320000000;5:320000001:360000000,11426:1;11427:1;11428:1;11429:1;11430:1,900000000
63,47:54,3,7,,1,30,24:800,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4303,5:00:00,86400,1800,40,0:0:30000000;1:30000001:90000000;2:90000001:160000000;3:160000001:240000000;4:240000001:320000000;5:320000001:360000000,11431:1;11432:1;11433:1;11434:1;11435:1,900000000
64,47:54,4,7,,1,30,24:800,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4403,5:00:00,86400,1800,40,0:0:30000000;1:30000001:90000000;2:90000001:160000000;3:160000001:240000000;4:240000001:320000000;5:320000001:360000000,11436:1;11437:1;11438:1;11439:1;11440:1,900000000
65,47:54,5,7,,1,30,24:800,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4503,5:00:00,86400,1800,40,0:0:30000000;1:30000001:90000000;2:90000001:160000000;3:160000001:240000000;4:240000001:320000000;5:320000001:360000000,11441:1;11442:1;11443:1;11444:1;11445:1,900000000
66,47:54,6,7,,1,30,24:800,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4603,5:00:00,86400,1800,40,0:0:30000000;1:30000001:90000000;2:90000001:160000000;3:160000001:240000000;4:240000001:320000000;5:320000001:360000000,11446:1;11447:1;11448:1;11449:1;11450:1,900000000
67,47:54,7,7,,1,30,24:800,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4703,5:00:00,86400,1800,40,0:0:30000000;1:30000001:90000000;2:90000001:160000000;3:160000001:240000000;4:240000001:320000000;5:320000001:360000000,11451:1;11452:1;11453:1;11454:1;11455:1,900000000
71,55:62,1,8,,1,30,24:900,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4103,5:00:00,86400,1800,40,0:0:40000000;1:40000001:100000000;2:100000001:180000000;3:180000001:300000000;4:300000001:370000000;5:370000001:400000000,11456:1;11457:1;11458:1;11459:1;11460:1,900000000
72,55:62,2,8,,1,30,24:900,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4203,5:00:00,86400,1800,40,0:0:40000000;1:40000001:100000000;2:100000001:180000000;3:180000001:300000000;4:300000001:370000000;5:370000001:400000000,11461:1;11462:1;11463:1;11464:1;11465:1,900000000
73,55:62,3,8,,1,30,24:900,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4303,5:00:00,86400,1800,40,0:0:40000000;1:40000001:100000000;2:100000001:180000000;3:180000001:300000000;4:300000001:370000000;5:370000001:400000000,11466:1;11467:1;11468:1;11469:1;11470:1,900000000
74,55:62,4,8,,1,30,24:900,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4403,5:00:00,86400,1800,40,0:0:40000000;1:40000001:100000000;2:100000001:180000000;3:180000001:300000000;4:300000001:370000000;5:370000001:400000000,11471:1;11472:1;11473:1;11474:1;11475:1,900000000
75,55:62,5,8,,1,30,24:900,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4503,5:00:00,86400,1800,40,0:0:40000000;1:40000001:100000000;2:100000001:180000000;3:180000001:300000000;4:300000001:370000000;5:370000001:400000000,11476:1;11477:1;11478:1;11479:1;11480:1,900000000
76,55:62,6,8,,1,30,24:900,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4603,5:00:00,86400,1800,40,0:0:40000000;1:40000001:100000000;2:100000001:180000000;3:180000001:300000000;4:300000001:370000000;5:370000001:400000000,11481:1;11482:1;11483:1;11484:1;11485:1,900000000
77,55:62,7,8,,1,30,24:900,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4703,5:00:00,86400,1800,40,0:0:40000000;1:40000001:100000000;2:100000001:180000000;3:180000001:300000000;4:300000001:370000000;5:370000001:400000000,11486:1;11487:1;11488:1;11489:1;11490:1,900000000
81,63:70,1,9,,1,30,24:1000,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4104,5:00:00,86400,1800,40,0:0:60000000;1:60000001:140000000;2:140000001:250000000;3:250000001:360000000;4:360000001:450000000;5:450000001:500000000,11491:1;11492:1;11493:1;11494:1;11495:1,900000000
82,63:70,2,9,,1,30,24:1000,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4204,5:00:00,86400,1800,40,0:0:60000000;1:60000001:140000000;2:140000001:250000000;3:250000001:360000000;4:360000001:450000000;5:450000001:500000000,11496:1;11497:1;11498:1;11499:1;11500:1,900000000
83,63:70,3,9,,1,30,24:1000,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4304,5:00:00,86400,1800,40,0:0:60000000;1:60000001:140000000;2:140000001:250000000;3:250000001:360000000;4:360000001:450000000;5:450000001:500000000,11501:1;11502:1;11503:1;11504:1;11505:1,900000000
84,63:70,4,9,,1,30,24:1000,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4404,5:00:00,86400,1800,40,0:0:60000000;1:60000001:140000000;2:140000001:250000000;3:250000001:360000000;4:360000001:450000000;5:450000001:500000000,11506:1;11507:1;11508:1;11509:1;11510:1,900000000
85,63:70,5,9,,1,30,24:1000,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4504,5:00:00,86400,1800,40,0:0:60000000;1:60000001:140000000;2:140000001:250000000;3:250000001:360000000;4:360000001:450000000;5:450000001:500000000,11511:1;11512:1;11513:1;11514:1;11515:1,900000000
86,63:70,6,9,,1,30,24:1000,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4604,5:00:00,86400,1800,40,0:0:60000000;1:60000001:140000000;2:140000001:250000000;3:250000001:360000000;4:360000001:450000000;5:450000001:500000000,11516:1;11517:1;11518:1;11519:1;11520:1,900000000
87,63:70,7,9,,1,30,24:1000,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4704,5:00:00,86400,1800,40,0:0:60000000;1:60000001:140000000;2:140000001:250000000;3:250000001:360000000;4:360000001:450000000;5:450000001:500000000,11521:1;11522:1;11523:1;11524:1;11525:1,900000000
91,71:78,1,10,1,1,30,24:1200,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4104,5:00:00,86400,1800,40,0:0:80000000;1:80000001:180000000;2:180000001:270000000;3:270000001:400000000;4:400000001:550000000;5:550000001:680000000,11526:1;11527:1;11528:1;11529:1;11530:1,900000000
92,71:78,2,10,1,1,30,24:1200,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4204,5:00:00,86400,1800,40,0:0:80000000;1:80000001:180000000;2:180000001:270000000;3:270000001:400000000;4:400000001:550000000;5:550000001:680000000,11531:1;11532:1;11533:1;11534:1;11535:1,900000000
93,71:78,3,10,1,1,30,24:1200,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4304,5:00:00,86400,1800,40,0:0:80000000;1:80000001:180000000;2:180000001:270000000;3:270000001:400000000;4:400000001:550000000;5:550000001:680000000,11536:1;11537:1;11538:1;11539:1;11540:1,900000000
94,71:78,4,10,1,1,30,24:1200,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4404,5:00:00,86400,1800,40,0:0:80000000;1:80000001:180000000;2:180000001:270000000;3:270000001:400000000;4:400000001:550000000;5:550000001:680000000,11541:1;11542:1;11543:1;11544:1;11545:1,900000000
95,71:78,5,10,1,1,30,24:1200,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4504,5:00:00,86400,1800,40,0:0:80000000;1:80000001:180000000;2:180000001:270000000;3:270000001:400000000;4:400000001:550000000;5:550000001:680000000,11546:1;11547:1;11548:1;11549:1;11550:1,900000000
96,71:78,6,10,1,1,30,24:1200,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4604,5:00:00,86400,1800,40,0:0:80000000;1:80000001:180000000;2:180000001:270000000;3:270000001:400000000;4:400000001:550000000;5:550000001:680000000,11551:1;11552:1;11553:1;11554:1;11555:1,900000000
97,71:78,7,10,1,1,30,24:1200,2:100;2:200;2:200;2:500;2:500;2:500;2:500;2:1000;2:1000;2:1500,4704,5:00:00,86400,1800,40,0:0:80000000;1:80000001:180000000;2:180000001:270000000;3:270000001:400000000;4:400000001:550000000;5:550000001:680000000,11556:1;11557:1;11558:1;11559:1;11560:1,900000000
