索引,BossID,掉落Buff列表,关卡Id,勇士积分
34,50056,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:267,1008,178
35,50131,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:267,1008,207
36,50146,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:267,1008,188
37,50065,3000:151;2000:157;3000:161;2000:163;3000:175;3000:181;2000:192;3000:226;3000:228,1009,113
38,50140,3000:151;2000:157;3000:161;2000:163;3000:175;3000:181;2000:192;3000:226;3000:228,1009,89
39,50005,3000:151;2000:157;3000:161;2000:163;3000:175;3000:181;2000:192;3000:226;3000:228,1009,79
40,50100,3000:151;2000:157;3000:161;2000:163;3000:175;3000:181;2000:192;3000:226;3000:228,1009,123
41,50000,3000:151;2000:157;3000:161;2000:163;3000:175;3000:181;2000:192;3000:226;3000:228,1009,74
42,50024,1000:184;1000:185;1000:186;1000:187;1000:188;1000:231;1000:234;1000:237;1000:240;1000:243;1000:246;1000:249;1000:252;1000:255;1000:258,1010,198
43,50001,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,1011,74
44,50007,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,1011,79
45,50012,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,1011,128
46,50017,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,1011,69
47,50027,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,1011,84
48,50061,1000:155;1000:166;1000:195;1000:201;1000:223;1000:280;1000:286;500:288,1012,94
49,50067,1000:155;1000:166;1000:195;1000:201;1000:223;1000:280;1000:286;500:288,1012,113
50,50072,1000:155;1000:166;1000:195;1000:201;1000:223;1000:280;1000:286;500:288,1012,193
51,50082,1000:155;1000:166;1000:195;1000:201;1000:223;1000:280;1000:286;500:288,1012,118
52,50042,1000:155;1000:166;1000:195;1000:201;1000:223;1000:280;1000:286;500:288,1012,118
53,50062,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,1013,94
54,50092,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,1013,133
55,50067,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,1013,113
56,50032,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,1013,99
57,50098,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,1013,173
58,50002,3000:152;2000:157;3000:161;2000:163;3000:175;3000:181;2000:193;3000:226;3000:228,1014,74
59,50037,3000:152;2000:157;3000:161;2000:163;3000:175;3000:181;2000:193;3000:226;3000:228,1014,143
60,50102,3000:152;2000:157;3000:161;2000:163;3000:175;3000:181;2000:193;3000:226;3000:228,1014,123
61,50137,3000:152;2000:157;3000:161;2000:163;3000:175;3000:181;2000:193;3000:226;3000:228,1014,138
62,50077,3000:152;2000:157;3000:161;2000:163;3000:175;3000:181;2000:193;3000:226;3000:228,1014,103
63,50089,1000:184;1000:185;1000:186;1000:187;1000:188;1000:204;1000:207;1000:210;1000:213;1000:216;1000:231;1000:234;1000:237;1000:240;1000:243;1000:246;1000:249;1000:252;1000:255;1000:258;1000:261;1000:264;1000:270;1000:273;1000:276,1015,202
64,50007,1000:173;1000:179;1000:199;1000:283;1000:170;1000:190;1000:220;1000:268,1016,79
65,50027,1000:173;1000:179;1000:199;1000:283;1000:170;1000:190;1000:220;1000:268,1016,84
66,50077,1000:173;1000:179;1000:199;1000:283;1000:170;1000:190;1000:220;1000:268,1016,103
67,50107,1000:173;1000:179;1000:199;1000:283;1000:170;1000:190;1000:220;1000:268,1016,158
68,50112,1000:173;1000:179;1000:199;1000:283;1000:170;1000:190;1000:220;1000:268,1016,183
69,50012,1000:154;1000:167;1000:196;1000:202;1000:223;1000:279;1000:286;500:288,1017,128
70,50082,1000:154;1000:167;1000:196;1000:202;1000:223;1000:279;1000:286;500:288,1017,118
71,50117,1000:154;1000:167;1000:196;1000:202;1000:223;1000:279;1000:286;500:288,1017,108
72,50047,1000:154;1000:167;1000:196;1000:202;1000:223;1000:279;1000:286;500:288,1017,148
73,50052,1000:154;1000:167;1000:196;1000:202;1000:223;1000:279;1000:286;500:288,1017,153
74,50048,1000:173;1000:179;1000:199;1000:283;1000:170;1000:191;1000:221;1000:268,1018,148
75,50151,1000:173;1000:179;1000:199;1000:283;1000:170;1000:191;1000:221;1000:268,1018,163
76,50058,1000:173;1000:179;1000:199;1000:283;1000:170;1000:191;1000:221;1000:268,1018,178
77,50041,1000:173;1000:179;1000:199;1000:283;1000:170;1000:191;1000:221;1000:268,1018,118
78,50148,1000:173;1000:179;1000:199;1000:283;1000:170;1000:191;1000:221;1000:268,1018,188
79,50141,3000:152;2000:158;3000:161;2000:164;3000:176;3000:182;2000:193;3000:226;3000:229,1019,89
80,50103,3000:152;2000:158;3000:161;2000:164;3000:176;3000:182;2000:193;3000:226;3000:229,1019,123
81,50018,3000:152;2000:158;3000:161;2000:164;3000:176;3000:182;2000:193;3000:226;3000:229,1019,69
82,50043,3000:152;2000:158;3000:161;2000:164;3000:176;3000:182;2000:193;3000:226;3000:229,1019,118
83,50021,3000:152;2000:158;3000:161;2000:164;3000:176;3000:182;2000:193;3000:226;3000:229,1019,198
84,50134,1000:204;1000:208;1000:210;1000:213;1000:216;1000:232;1000:235;1000:238;1000:241;1000:244;1000:247;1000:250;1000:253;1000:256;1000:259;261;1000:264;1000:270;1000:273;1000:276,1020,207
85,50003,1000:173;1000:180;1000:200;1000:284;1000:170;1000:191;1000:221;1000:269,1021,74
86,50009,1000:173;1000:180;1000:200;1000:284;1000:170;1000:191;1000:221;1000:269,1021,79
87,50014,1000:173;1000:180;1000:200;1000:284;1000:170;1000:191;1000:221;1000:269,1021,128
88,50019,1000:173;1000:180;1000:200;1000:284;1000:170;1000:191;1000:221;1000:269,1021,69
89,50029,1000:173;1000:180;1000:200;1000:284;1000:170;1000:191;1000:221;1000:269,1021,84
90,50064,1000:156;1000:167;1000:196;1000:202;1000:224;1000:281;1000:287;500:288,1022,94
91,50069,1000:156;1000:167;1000:196;1000:202;1000:224;1000:281;1000:287;500:288,1022,113
92,50074,1000:156;1000:167;1000:196;1000:202;1000:224;1000:281;1000:287;500:288,1022,193
93,50084,1000:156;1000:167;1000:196;1000:202;1000:224;1000:281;1000:287;500:288,1022,118
94,50089,1000:156;1000:167;1000:196;1000:202;1000:224;1000:281;1000:287;500:288,1022,202
95,50143,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,1023,89
96,50094,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,1023,133
97,50069,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,1023,113
98,50064,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,1023,94
99,50099,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,1023,173
100,50004,3000:153;2000:158;3000:162;2000:164;3000:176;3000:182;2000:194;3000:227;3000:229,1024,74
101,50039,3000:153;2000:158;3000:162;2000:164;3000:176;3000:182;2000:194;3000:227;3000:229,1024,143
102,50104,3000:153;2000:158;3000:162;2000:164;3000:176;3000:182;2000:194;3000:227;3000:229,1024,123
103,50139,3000:153;2000:158;3000:162;2000:164;3000:176;3000:182;2000:194;3000:227;3000:229,1024,138
104,50079,3000:153;2000:158;3000:162;2000:164;3000:176;3000:182;2000:194;3000:227;3000:229,1024,103
105,50129,1000:205;1000:208;1000:211;1000:214;1000:217;1000:232;1000:235;1000:238;1000:241;1000:244;1000:247;1000:250;1000:253;1000:256;1000:259;262;1000:265;1000:271;1000:274;1000:277,1025,212
106,50009,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,1026,79
107,50029,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,1026,84
108,50079,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,1026,103
109,50109,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,1026,158
110,50114,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,1026,183
111,50014,1000:156;1000:168;1000:197;1000:203;1000:224;1000:281;1000:287;500:288,1027,128
112,50084,1000:156;1000:168;1000:197;1000:203;1000:224;1000:281;1000:287;500:288,1027,118
113,50119,1000:156;1000:168;1000:197;1000:203;1000:224;1000:281;1000:287;500:288,1027,108
114,50049,1000:156;1000:168;1000:197;1000:203;1000:224;1000:281;1000:287;500:288,1027,148
115,50054,1000:156;1000:168;1000:197;1000:203;1000:224;1000:281;1000:287;500:288,1027,153
116,50049,3000:153;2000:159;3000:162;2000:165;3000:177;3000:183;2000:194;3000:227;3000:230,1028,148
117,50159,3000:153;2000:159;3000:162;2000:165;3000:177;3000:183;2000:194;3000:227;3000:230,1028,168
118,50059,3000:153;2000:159;3000:162;2000:165;3000:177;3000:183;2000:194;3000:227;3000:230,1028,178
119,50134,3000:153;2000:159;3000:162;2000:165;3000:177;3000:183;2000:194;3000:227;3000:230,1028,207
120,50149,3000:153;2000:159;3000:162;2000:165;3000:177;3000:183;2000:194;3000:227;3000:230,1028,188
121,50143,1000:206;1000:209;1000:212;1000:215;1000:218;1000:233;1000:236;1000:239;1000:242;1000:245;1000:248;1000:251;1000:254;1000:257;1000:260;1000:263;1000:266;1000:272;1000:275;1000:278,1029,89
122,50123,1000:206;1000:209;1000:212;1000:215;1000:218;1000:233;1000:236;1000:239;1000:242;1000:245;1000:248;1000:251;1000:254;1000:257;1000:260;1000:263;1000:266;1000:272;1000:275;1000:278,1029,217
123,50128,1000:206;1000:209;1000:212;1000:215;1000:218;1000:233;1000:236;1000:239;1000:242;1000:245;1000:248;1000:251;1000:254;1000:257;1000:260;1000:263;1000:266;1000:272;1000:275;1000:278,1029,212
124,50133,1000:206;1000:209;1000:212;1000:215;1000:218;1000:233;1000:236;1000:239;1000:242;1000:245;1000:248;1000:251;1000:254;1000:257;1000:260;1000:263;1000:266;1000:272;1000:275;1000:278,1029,207
125,50023,1000:206;1000:209;1000:212;1000:215;1000:218;1000:233;1000:236;1000:239;1000:242;1000:245;1000:248;1000:251;1000:254;1000:257;1000:260;1000:263;1000:266;1000:272;1000:275;1000:278,1029,198
126,50124,500:1;500:2;500:3,1030,217
127,51000,1000:169;1000:189;1000:219;1000:267;4000:172;4000:178,2001,148
128,51005,1000:169;1000:189;1000:219;1000:267;4000:172;4000:178,2001,158
129,51010,1000:169;1000:189;1000:219;1000:267;4000:172;4000:178,2001,257
130,51015,1000:169;1000:189;1000:219;1000:267;4000:172;4000:178,2001,138
131,51025,1000:169;1000:189;1000:219;1000:267;4000:172;4000:178,2001,168
132,51060,4000:154;2000:166;3000:195;2000:201;3000:222;3000:279;3000:285;500:288,2002,188
133,51065,4000:154;2000:166;3000:195;2000:201;3000:222;3000:279;3000:285;500:288,2002,227
134,51016,4000:154;2000:166;3000:195;2000:201;3000:222;3000:279;3000:285;500:288,2002,138
135,51080,4000:154;2000:166;3000:195;2000:201;3000:222;3000:279;3000:285;500:288,2002,237
136,51040,4000:154;2000:166;3000:195;2000:201;3000:222;3000:279;3000:285;500:288,2002,237
137,51030,2000:172;3000:178;3000:198;3000:282;1000:169;1500:189;1500:219;1500:267,2003,198
138,51090,2000:172;3000:178;3000:198;3000:282;1000:169;1500:189;1500:219;1500:267,2003,267
139,51095,2000:172;3000:178;3000:198;3000:282;1000:169;1500:189;1500:219;1500:267,2003,346
140,51060,2000:172;3000:178;3000:198;3000:282;1000:169;1500:189;1500:219;1500:267,2003,188
141,51065,2000:172;3000:178;3000:198;3000:282;1000:169;1500:189;1500:219;1500:267,2003,227
142,51000,3000:151;2000:157;3000:160;2000:163;3000:175;3000:181;2000:192;3000:225;3000:228,2004,148
143,51036,3000:151;2000:157;3000:160;2000:163;3000:175;3000:181;2000:192;3000:225;3000:228,2004,287
144,51101,3000:151;2000:157;3000:160;2000:163;3000:175;3000:181;2000:192;3000:225;3000:228,2004,247
145,51136,3000:151;2000:157;3000:160;2000:163;3000:175;3000:181;2000:192;3000:225;3000:228,2004,277
146,51076,3000:151;2000:157;3000:160;2000:163;3000:175;3000:181;2000:192;3000:225;3000:228,2004,207
147,51074,1000:184;1000:185;1000:186;1000:187;1000:188;1000:231;1000:234;1000:237;1000:240;1000:243;1000:246;1000:249;1000:252;1000:255;1000:258,2005,386
148,51006,1000:172;1000:178;1000:198;1000:282;1000:169;1000:189;1000:220;1000:267,2006,158
149,51026,1000:172;1000:178;1000:198;1000:282;1000:169;1000:189;1000:220;1000:267,2006,168
150,51076,1000:172;1000:178;1000:198;1000:282;1000:169;1000:189;1000:220;1000:267,2006,207
151,51106,1000:172;1000:178;1000:198;1000:282;1000:169;1000:189;1000:220;1000:267,2006,316
152,51111,1000:172;1000:178;1000:198;1000:282;1000:169;1000:189;1000:220;1000:267,2006,366
153,51011,1000:154;1000:166;1000:195;1000:201;1000:223;1000:279;1000:286;500:288,2007,257
154,51081,1000:154;1000:166;1000:195;1000:201;1000:223;1000:279;1000:286;500:288,2007,237
155,51116,1000:154;1000:166;1000:195;1000:201;1000:223;1000:279;1000:286;500:288,2007,217
156,51046,1000:154;1000:166;1000:195;1000:201;1000:223;1000:279;1000:286;500:288,2007,297
157,51051,1000:154;1000:166;1000:195;1000:201;1000:223;1000:279;1000:286;500:288,2007,306
158,51046,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:267,2008,297
159,51051,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:267,2008,306
160,51056,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:267,2008,356
161,51131,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:267,2008,415
162,51146,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:267,2008,376
163,51065,3000:151;2000:157;3000:161;2000:163;3000:175;3000:181;2000:192;3000:226;3000:228,2009,227
164,51140,3000:151;2000:157;3000:161;2000:163;3000:175;3000:181;2000:192;3000:226;3000:228,2009,178
165,51005,3000:151;2000:157;3000:161;2000:163;3000:175;3000:181;2000:192;3000:226;3000:228,2009,158
166,51100,3000:151;2000:157;3000:161;2000:163;3000:175;3000:181;2000:192;3000:226;3000:228,2009,247
167,51000,3000:151;2000:157;3000:161;2000:163;3000:175;3000:181;2000:192;3000:226;3000:228,2009,148
168,51024,1000:184;1000:185;1000:186;1000:187;1000:188;1000:231;1000:234;1000:237;1000:240;1000:243;1000:246;1000:249;1000:252;1000:255;1000:258,2010,396
169,51001,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,2011,148
170,51007,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,2011,158
171,51012,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,2011,257
172,51017,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,2011,138
173,51027,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,2011,168
174,51061,1000:155;1000:166;1000:195;1000:201;1000:223;1000:280;1000:286;500:288,2012,188
175,51067,1000:155;1000:166;1000:195;1000:201;1000:223;1000:280;1000:286;500:288,2012,227
176,51072,1000:155;1000:166;1000:195;1000:201;1000:223;1000:280;1000:286;500:288,2012,386
177,51082,1000:155;1000:166;1000:195;1000:201;1000:223;1000:280;1000:286;500:288,2012,237
178,51042,1000:155;1000:166;1000:195;1000:201;1000:223;1000:280;1000:286;500:288,2012,237
179,51062,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,2013,188
180,51092,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,2013,267
181,51067,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,2013,227
182,51032,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,2013,198
183,51098,1000:172;1000:179;1000:199;1000:283;1000:169;1000:190;1000:220;1000:268,2013,346
184,51002,3000:152;2000:157;3000:161;2000:163;3000:175;3000:181;2000:193;3000:226;3000:228,2014,148
185,51037,3000:152;2000:157;3000:161;2000:163;3000:175;3000:181;2000:193;3000:226;3000:228,2014,287
186,51102,3000:152;2000:157;3000:161;2000:163;3000:175;3000:181;2000:193;3000:226;3000:228,2014,247
187,51137,3000:152;2000:157;3000:161;2000:163;3000:175;3000:181;2000:193;3000:226;3000:228,2014,277
188,51077,3000:152;2000:157;3000:161;2000:163;3000:175;3000:181;2000:193;3000:226;3000:228,2014,207
189,51089,1000:184;1000:185;1000:186;1000:187;1000:188;1000:204;1000:207;1000:210;1000:213;1000:216;1000:231;1000:234;1000:237;1000:240;1000:243;1000:246;1000:249;1000:252;1000:255;1000:258;1000:261;1000:264;1000:270;1000:273;1000:276,2015,405
190,51007,1000:173;1000:179;1000:199;1000:283;1000:170;1000:190;1000:220;1000:268,2016,158
191,51027,1000:173;1000:179;1000:199;1000:283;1000:170;1000:190;1000:220;1000:268,2016,168
192,51077,1000:173;1000:179;1000:199;1000:283;1000:170;1000:190;1000:220;1000:268,2016,207
193,51107,1000:173;1000:179;1000:199;1000:283;1000:170;1000:190;1000:220;1000:268,2016,316
194,51112,1000:173;1000:179;1000:199;1000:283;1000:170;1000:190;1000:220;1000:268,2016,366
195,51012,1000:154;1000:167;1000:196;1000:202;1000:223;1000:279;1000:286;500:288,2017,257
196,51082,1000:154;1000:167;1000:196;1000:202;1000:223;1000:279;1000:286;500:288,2017,237
197,51117,1000:154;1000:167;1000:196;1000:202;1000:223;1000:279;1000:286;500:288,2017,217
198,51047,1000:154;1000:167;1000:196;1000:202;1000:223;1000:279;1000:286;500:288,2017,297
199,51052,1000:154;1000:167;1000:196;1000:202;1000:223;1000:279;1000:286;500:288,2017,306
200,51048,1000:173;1000:179;1000:199;1000:283;1000:170;1000:191;1000:221;1000:268,2018,297
201,51151,1000:173;1000:179;1000:199;1000:283;1000:170;1000:191;1000:221;1000:268,2018,326
202,51058,1000:173;1000:179;1000:199;1000:283;1000:170;1000:191;1000:221;1000:268,2018,356
203,51041,1000:173;1000:179;1000:199;1000:283;1000:170;1000:191;1000:221;1000:268,2018,237
204,51148,1000:173;1000:179;1000:199;1000:283;1000:170;1000:191;1000:221;1000:268,2018,376
205,51141,3000:152;2000:158;3000:161;2000:164;3000:176;3000:182;2000:193;3000:226;3000:229,2019,178
206,51103,3000:152;2000:158;3000:161;2000:164;3000:176;3000:182;2000:193;3000:226;3000:229,2019,247
207,51018,3000:152;2000:158;3000:161;2000:164;3000:176;3000:182;2000:193;3000:226;3000:229,2019,138
208,51043,3000:152;2000:158;3000:161;2000:164;3000:176;3000:182;2000:193;3000:226;3000:229,2019,237
209,51021,3000:152;2000:158;3000:161;2000:164;3000:176;3000:182;2000:193;3000:226;3000:229,2019,396
210,51134,1000:204;1000:208;1000:210;1000:213;1000:216;1000:232;1000:235;1000:238;1000:241;1000:244;1000:247;1000:250;1000:253;1000:256;1000:259;261;1000:264;1000:270;1000:273;1000:276,2020,415
211,51003,1000:173;1000:180;1000:200;1000:284;1000:170;1000:191;1000:221;1000:269,2021,148
212,51009,1000:173;1000:180;1000:200;1000:284;1000:170;1000:191;1000:221;1000:269,2021,158
213,51014,1000:173;1000:180;1000:200;1000:284;1000:170;1000:191;1000:221;1000:269,2021,257
214,51019,1000:173;1000:180;1000:200;1000:284;1000:170;1000:191;1000:221;1000:269,2021,138
215,51029,1000:173;1000:180;1000:200;1000:284;1000:170;1000:191;1000:221;1000:269,2021,168
216,51064,1000:156;1000:167;1000:196;1000:202;1000:224;1000:281;1000:287;500:288,2022,188
217,51069,1000:156;1000:167;1000:196;1000:202;1000:224;1000:281;1000:287;500:288,2022,227
218,51074,1000:156;1000:167;1000:196;1000:202;1000:224;1000:281;1000:287;500:288,2022,386
219,51084,1000:156;1000:167;1000:196;1000:202;1000:224;1000:281;1000:287;500:288,2022,237
220,51089,1000:156;1000:167;1000:196;1000:202;1000:224;1000:281;1000:287;500:288,2022,405
221,51143,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,2023,178
222,51094,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,2023,267
223,51069,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,2023,227
224,51064,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,2023,188
225,51099,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,2023,346
226,51004,3000:153;2000:158;3000:162;2000:164;3000:176;3000:182;2000:194;3000:227;3000:229,2024,148
227,51039,3000:153;2000:158;3000:162;2000:164;3000:176;3000:182;2000:194;3000:227;3000:229,2024,287
228,51104,3000:153;2000:158;3000:162;2000:164;3000:176;3000:182;2000:194;3000:227;3000:229,2024,247
229,51139,3000:153;2000:158;3000:162;2000:164;3000:176;3000:182;2000:194;3000:227;3000:229,2024,277
230,51079,3000:153;2000:158;3000:162;2000:164;3000:176;3000:182;2000:194;3000:227;3000:229,2024,207
231,51129,1000:205;1000:208;1000:211;1000:214;1000:217;1000:232;1000:235;1000:238;1000:241;1000:244;1000:247;1000:250;1000:253;1000:256;1000:259;262;1000:265;1000:271;1000:274;1000:277,2025,425
232,51009,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,2026,158
233,51029,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,2026,168
234,51079,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,2026,207
235,51109,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,2026,316
236,51114,1000:174;1000:180;1000:200;1000:284;1000:171;1000:191;1000:221;1000:269,2026,366
237,51014,1000:156;1000:168;1000:197;1000:203;1000:224;1000:281;1000:287;500:288,2027,257
238,51084,1000:156;1000:168;1000:197;1000:203;1000:224;1000:281;1000:287;500:288,2027,237
239,51119,1000:156;1000:168;1000:197;1000:203;1000:224;1000:281;1000:287;500:288,2027,217
240,51049,1000:156;1000:168;1000:197;1000:203;1000:224;1000:281;1000:287;500:288,2027,297
241,51054,1000:156;1000:168;1000:197;1000:203;1000:224;1000:281;1000:287;500:288,2027,306
242,51049,3000:153;2000:159;3000:162;2000:165;3000:177;3000:183;2000:194;3000:227;3000:230,2028,297
243,51159,3000:153;2000:159;3000:162;2000:165;3000:177;3000:183;2000:194;3000:227;3000:230,2028,336
244,51059,3000:153;2000:159;3000:162;2000:165;3000:177;3000:183;2000:194;3000:227;3000:230,2028,356
245,51134,3000:153;2000:159;3000:162;2000:165;3000:177;3000:183;2000:194;3000:227;3000:230,2028,415
246,51149,3000:153;2000:159;3000:162;2000:165;3000:177;3000:183;2000:194;3000:227;3000:230,2028,376
247,51143,1000:206;1000:209;1000:212;1000:215;1000:218;1000:233;1000:236;1000:239;1000:242;1000:245;1000:248;1000:251;1000:254;1000:257;1000:260;1000:263;1000:266;1000:272;1000:275;1000:278,2029,178
248,51123,1000:206;1000:209;1000:212;1000:215;1000:218;1000:233;1000:236;1000:239;1000:242;1000:245;1000:248;1000:251;1000:254;1000:257;1000:260;1000:263;1000:266;1000:272;1000:275;1000:278,2029,435
249,51128,1000:206;1000:209;1000:212;1000:215;1000:218;1000:233;1000:236;1000:239;1000:242;1000:245;1000:248;1000:251;1000:254;1000:257;1000:260;1000:263;1000:266;1000:272;1000:275;1000:278,2029,425
250,51133,1000:206;1000:209;1000:212;1000:215;1000:218;1000:233;1000:236;1000:239;1000:242;1000:245;1000:248;1000:251;1000:254;1000:257;1000:260;1000:263;1000:266;1000:272;1000:275;1000:278,2029,415
251,51023,1000:206;1000:209;1000:212;1000:215;1000:218;1000:233;1000:236;1000:239;1000:242;1000:245;1000:248;1000:251;1000:254;1000:257;1000:260;1000:263;1000:266;1000:272;1000:275;1000:278,2029,396
252,51124,500:1;500:2;500:3,2030,435
253,52000,5000:10;4000:22;2000:31;2000:34;2000:37;2000:64;2000:103;1500:124;1500:127;1500:133;1500:136;1500:139;1500:142;1500:145;1500:148,3001,297
