唯一id,好感度等级,好感度上限,好感度固定值对应奖励,活动ID
306,26,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
307,27,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
308,28,1000,100:1:500000;300:605:3;500:139:2;800:15045:1;1000:856:1,100
309,1,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
310,2,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
311,3,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
312,4,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
313,5,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
314,6,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
315,7,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
316,8,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
317,9,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
318,10,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
319,11,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
320,12,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
321,13,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
322,14,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
323,15,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
324,16,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
325,17,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
326,18,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
327,19,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
328,20,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
329,21,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
330,22,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
331,23,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
332,24,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
333,25,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
334,26,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
335,27,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
336,28,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:857:1,104
337,1,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
338,2,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
339,3,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
340,4,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
341,5,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
342,6,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
343,7,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
344,8,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
345,9,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
346,10,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
