唯一id,显示排序,兑换条件1,兑换条件2,全服奖励数量,兑换数量,兑换奖励,活动Id,类型,是否系统公告,筛选范围,刷新天数
38,2,1:16:210:65,2:9:1:2:3,,5,12238:1,58,1,1,12131:12132:12159:12134:12135:12161:12162:12163:12164:12165:12191:12136:12180:12146:12169:12166:12167:12168:12140:12170:12175:12142:12143:12144:12145:12171:12172:12173:12174:12141:12139:12147:12148:12149:12150:12176:12177:12178:12179:12137:12151:12154:12181:12152:12155:12153:12182:12183:12184:12185:12156:12157:12158:12190:12160:12186:12187:12188:12189:12133,1
39,3,1:16:210:8,2:9:1:1:3,,3,12138:1,58,1,0,12131:12132:12159:12134:12135:12161:12162:12163:12164:12165:12191:12136:12180:12146:12169:12166:12167:12168:12140:12170:12175:12142:12143:12144:12145:12171:12172:12173:12174:12141:12139:12147:12148:12149:12150:12176:12177:12178:12179:12137:12151:12154:12181:12152:12155:12153:12182:12183:12184:12185:12156:12157:12158:12190:12160:12186:12187:12188:12189:12133,1
40,4,1:16:210:2,,,999,102:2,58,1,0,,0
41,5,1:16:210:2,,,999,101:3,58,1,0,,0
42,1,1:848:1:3:2,2:3:1:3:2,,3,830:1,67,0,1,,0
43,2,1:817:1:20:1,,,10,848:1,67,0,0,,0
44,1,1:837:1:3:2,2:3:1:3:2,,3,830:1,68,0,1,,0
45,2,1:815:1:20:1,,,10,837:1,68,0,0,,0
46,1,1:832:1:3:2,2:3:1:3:2,,3,830:1,69,0,1,,0
47,2,1:813:1:20:1,,,10,832:1,69,0,0,,0
48,1,1:840:1:3:2,2:3:1:3:2,,3,830:1,70,0,1,,0
49,2,1:816:1:20:1,,,10,840:1,70,0,0,,0
50,1,1:833:1:3:2,2:3:1:3:2,,3,830:1,71,0,1,,0
51,2,1:814:1:20:1,,,10,833:1,71,0,0,,0
52,1,1:843:1:3:2,2:3:1:3:2,,3,830:1,72,0,1,,0
53,2,1:824:1:20:1,,,10,843:1,72,0,0,,0
54,1,1:823:1:3:2,2:3:1:3:2,,3,830:1,73,0,1,,0
55,2,1:811:1:20:1,,,10,823:1,73,0,0,,0
56,1,1:839:1:3:2,2:3:1:3:2,,3,830:1,74,0,1,,0
57,2,1:820:1:20:1,,,10,839:1,74,0,0,,0
58,1,1:847:1:3:2,2:3:1:3:2,,3,830:1,75,0,1,,0
59,2,1:822:1:20:1,,,10,847:1,75,0,0,,0
60,1,1:835:1:3:2,2:3:1:3:2,,3,830:1,96,0,1,,0
61,2,1:821:1:20:1,,,10,835:1,96,0,0,,0
62,1,1:838:1:3:2,2:3:1:3:2,,3,830:1,97,0,1,,0
63,2,1:818:1:20:1,,,10,838:1,97,0,0,,0
64,1,1:845:1:3:2,2:3:1:3:2,,3,830:1,98,0,1,,0
65,2,1:819:1:20:1;2:825:1:20:1,,,10,845:1,98,0,0,,0
66,1,1:848:1:3:2,2:3:1:3:2,,3,830:1,115,0,1,,0
67,2,1:817:1:20:1,,,10,848:1,115,0,0,,0
68,3,1:815:1:20:1,,,10,837:1,115,0,0,,0
69,4,1:813:1:20:1,,,10,832:1,115,0,0,,0
70,1,1:848:1:3:2,2:3:1:3:2,,3,830:1,116,0,1,,0
71,2,1:816:1:20:1,,,10,840:1,116,0,0,,0
72,3,1:814:1:20:1,,,10,833:1,116,0,0,,0
73,4,1:824:1:20:1,,,10,843:1,116,0,0,,0
74,1,1:848:1:3:2,2:3:1:3:2,,3,830:1,117,0,1,,0
75,2,1:811:1:20:1,,,10,823:1,117,0,0,,0
76,3,1:820:1:20:1,,,10,839:1,117,0,0,,0
77,4,1:822:1:20:1,,,10,847:1,117,0,0,,0
78,1,1:848:1:3:2,2:3:1:3:2,,3,830:1,118,0,1,,0
79,2,1:821:1:20:1,,,10,835:1,118,0,0,,0
80,3,1:818:1:20:1,,,10,838:1,118,0,0,,0
81,4,1:819:1:20:1;2:825:1:20:1,,,10,845:1,118,0,0,,0
82,1,1:848:1:3:2,2:3:1:3:2,,3,830:1,127,0,1,,0
83,2,1:817:1:20:1,,,10,848:1,127,0,0,,0
84,3,1:815:1:20:1,,,10,837:1,127,0,0,,0
85,4,1:813:1:20:1,,,10,832:1,127,0,0,,0
86,1,1:848:1:3:2,2:3:1:3:2,,3,830:1,128,0,1,,0
87,2,1:816:1:20:1,,,10,840:1,128,0,0,,0
88,3,1:814:1:20:1,,,10,833:1,128,0,0,,0
89,4,1:824:1:20:1,,,10,843:1,128,0,0,,0
90,1,1:848:1:3:2,2:3:1:3:2,,3,830:1,129,0,1,,0
91,2,1:811:1:20:1,,,10,823:1,129,0,0,,0
92,3,1:820:1:20:1,,,10,839:1,129,0,0,,0
93,4,1:822:1:20:1,,,10,847:1,129,0,0,,0
94,1,1:848:1:3:2,2:3:1:3:2,,3,830:1,130,0,1,,0
95,2,1:821:1:20:1,,,10,835:1,130,0,0,,0
96,3,1:818:1:20:1,,,10,838:1,130,0,0,,0
97,4,1:819:1:20:1;2:825:1:20:1,,,10,845:1,130,0,0,,0
